datetime,1INCHUSD_open,1INCHUSD_high,1INCHUSD_low,1INCHUSD_close
2022-01-01 00:00:00,2.39,2.42,2.39,2.42
2022-01-01 01:00:00,2.42,2.44,2.41,2.44
2022-01-01 02:00:00,2.43,2.45,2.43,2.44
2022-01-01 03:00:00,2.43,2.45,2.43,2.43
2022-01-01 04:00:00,2.42,2.43,2.4,2.4
2022-01-01 05:00:00,2.41,2.46,2.4,2.43
2022-01-01 06:00:00,2.44,2.45,2.42,2.43
2022-01-01 07:00:00,2.43,2.45,2.42,2.43
2022-01-01 08:00:00,2.43,2.45,2.43,2.44
2022-01-01 09:00:00,2.45,2.46,2.41,2.43
2022-01-01 10:00:00,2.43,2.45,2.39,2.41
2022-01-01 11:00:00,2.42,2.43,2.41,2.42
2022-01-01 12:00:00,2.42,2.47,2.42,2.44
2022-01-01 13:00:00,2.44,2.46,2.44,2.46
2022-01-01 14:00:00,2.45,2.46,2.44,2.44
2022-01-01 15:00:00,2.44,2.49,2.44,2.47
2022-01-01 16:00:00,2.46,2.49,2.46,2.48
2022-01-01 17:00:00,2.47,2.53,2.46,2.51
2022-01-01 18:00:00,2.51,2.52,2.48,2.5
2022-01-01 19:00:00,2.49,2.52,2.49,2.5
2022-01-01 20:00:00,2.5,2.53,2.5,2.51
2022-01-01 21:00:00,2.51,2.52,2.5,2.51
2022-01-01 22:00:00,2.5,2.52,2.49,2.51
2022-01-01 23:00:00,2.5,2.54,2.49,2.53
2022-01-02 00:00:00,2.53,2.54,2.49,2.52
2022-01-02 01:00:00,2.51,2.52,2.49,2.5
2022-01-02 02:00:00,2.5,2.52,2.5,2.51
2022-01-02 03:00:00,2.5,2.52,2.5,2.52
2022-01-02 04:00:00,2.52,2.52,2.47,2.48
2022-01-02 05:00:00,2.48,2.51,2.48,2.49
2022-01-02 06:00:00,2.49,2.5,2.48,2.49
2022-01-02 07:00:00,2.49,2.5,2.49,2.49
2022-01-02 08:00:00,2.5,2.53,2.48,2.52
2022-01-02 09:00:00,2.52,2.55,2.52,2.53
2022-01-02 10:00:00,2.53,2.54,2.52,2.52
2022-01-02 11:00:00,2.53,2.55,2.52,2.53
2022-01-02 12:00:00,2.54,2.56,2.52,2.55
2022-01-02 13:00:00,2.54,2.55,2.51,2.52
2022-01-02 14:00:00,2.52,2.55,2.52,2.55
2022-01-02 15:00:00,2.55,2.57,2.53,2.56
2022-01-02 16:00:00,2.55,2.58,2.55,2.58
2022-01-02 17:00:00,2.58,2.58,2.54,2.57
2022-01-02 18:00:00,2.56,2.57,2.5,2.54
2022-01-02 19:00:00,2.54,2.56,2.53,2.53
2022-01-02 20:00:00,2.54,2.58,2.53,2.56
2022-01-02 21:00:00,2.56,2.57,2.54,2.55
2022-01-02 22:00:00,2.55,2.57,2.55,2.57
2022-01-02 23:00:00,2.57,2.58,2.55,2.56
2022-01-03 00:00:00,2.56,2.59,2.54,2.57
2022-01-03 01:00:00,2.57,2.58,2.55,2.58
2022-01-03 02:00:00,2.57,2.59,2.55,2.59
2022-01-03 03:00:00,2.59,2.59,2.54,2.56
2022-01-03 04:00:00,2.57,2.59,2.56,2.57
2022-01-03 05:00:00,2.57,2.6,2.56,2.59
2022-01-03 06:00:00,2.58,2.58,2.56,2.56
2022-01-03 07:00:00,2.56,2.59,2.56,2.57
2022-01-03 08:00:00,2.57,2.59,2.54,2.55
2022-01-03 09:00:00,2.54,2.57,2.53,2.57
2022-01-03 10:00:00,2.57,2.63,2.57,2.61
2022-01-03 11:00:00,2.61,2.63,2.6,2.61
2022-01-03 12:00:00,2.61,2.61,2.57,2.58
2022-01-03 13:00:00,2.58,2.6,2.58,2.59
2022-01-03 14:00:00,2.59,2.64,2.58,2.6
2022-01-03 15:00:00,2.61,2.66,2.59,2.62
2022-01-03 16:00:00,2.62,2.63,2.53,2.6
2022-01-03 17:00:00,2.6,2.64,2.59,2.61
2022-01-03 18:00:00,2.62,2.62,2.57,2.57
2022-01-03 19:00:00,2.58,2.61,2.55,2.56
2022-01-03 20:00:00,2.56,2.57,2.49,2.52
2022-01-03 21:00:00,2.51,2.56,2.5,2.54
2022-01-03 22:00:00,2.53,2.59,2.53,2.57
2022-01-03 23:00:00,2.57,2.58,2.55,2.57
2022-01-04 00:00:00,2.56,2.59,2.52,2.52
2022-01-04 01:00:00,2.52,2.56,2.5,2.53
2022-01-04 02:00:00,2.53,2.54,2.5,2.51
2022-01-04 03:00:00,2.51,2.53,2.5,2.53
2022-01-04 04:00:00,2.52,2.53,2.5,2.51
2022-01-04 05:00:00,2.5,2.53,2.48,2.51
2022-01-04 06:00:00,2.51,2.53,2.5,2.51
2022-01-04 07:00:00,2.51,2.54,2.5,2.53
2022-01-04 08:00:00,2.53,2.56,2.53,2.56
2022-01-04 09:00:00,2.56,2.57,2.54,2.56
2022-01-04 10:00:00,2.56,2.58,2.54,2.58
2022-01-04 11:00:00,2.58,2.59,2.56,2.57
2022-01-04 12:00:00,2.56,2.56,2.54,2.56
2022-01-04 13:00:00,2.56,2.58,2.53,2.58
2022-01-04 14:00:00,2.58,2.59,2.56,2.58
2022-01-04 15:00:00,2.59,2.6,2.56,2.57
2022-01-04 16:00:00,2.56,2.6,2.55,2.58
2022-01-04 17:00:00,2.57,2.6,2.56,2.57
2022-01-04 18:00:00,2.57,2.59,2.47,2.48
2022-01-04 19:00:00,2.48,2.53,2.47,2.52
2022-01-04 20:00:00,2.53,2.55,2.5,2.53
2022-01-04 21:00:00,2.52,2.54,2.51,2.53
2022-01-04 22:00:00,2.53,2.53,2.5,2.5
2022-01-04 23:00:00,2.5,2.51,2.47,2.48
2022-01-05 00:00:00,2.48,2.52,2.47,2.51
2022-01-05 01:00:00,2.51,2.52,2.49,2.51
2022-01-05 02:00:00,2.5,2.53,2.49,2.52
