datetime,AAVEBUSD_open,AAVEBUSD_high,AAVEBUSD_low,AAVEBUSD_close
2022-01-01 00:00:00,259.3,265.4,257.6,261.3
2022-01-01 01:00:00,261.5,262.1,259.0,259.2
2022-01-01 02:00:00,259.3,260.0,257.9,258.7
2022-01-01 03:00:00,258.6,259.7,256.8,257.7
2022-01-01 04:00:00,257.4,258.4,254.6,255.5
2022-01-01 05:00:00,255.8,257.2,249.7,253.3
2022-01-01 06:00:00,253.0,254.3,251.2,251.4
2022-01-01 07:00:00,251.4,253.3,250.6,252.8
2022-01-01 08:00:00,252.9,254.7,252.0,254.2
2022-01-01 09:00:00,254.4,254.6,252.9,253.5
2022-01-01 10:00:00,253.1,255.8,252.0,255.0
2022-01-01 11:00:00,255.2,258.3,254.9,255.7
2022-01-01 12:00:00,255.8,260.0,255.0,259.3
2022-01-01 13:00:00,260.0,260.0,257.2,258.6
2022-01-01 14:00:00,258.7,258.9,257.1,257.3
2022-01-01 15:00:00,257.6,259.8,256.1,258.5
2022-01-01 16:00:00,258.6,263.8,258.6,259.3
2022-01-01 17:00:00,259.4,261.6,258.6,261.4
2022-01-01 18:00:00,261.5,266.8,260.3,266.5
2022-01-01 19:00:00,266.6,267.6,262.0,263.5
2022-01-01 20:00:00,263.7,263.7,260.3,260.8
2022-01-01 21:00:00,260.8,263.0,259.4,260.5
2022-01-01 22:00:00,260.4,260.4,257.5,258.2
2022-01-01 23:00:00,258.0,261.3,255.2,257.0
2022-01-02 00:00:00,256.9,258.2,253.4,255.0
2022-01-02 01:00:00,254.8,256.9,253.9,256.4
2022-01-02 02:00:00,256.0,257.4,255.6,255.8
2022-01-02 03:00:00,255.8,255.8,253.2,254.7
2022-01-02 04:00:00,255.0,257.5,254.0,257.1
2022-01-02 05:00:00,257.1,258.3,255.1,255.8
2022-01-02 06:00:00,255.8,257.9,255.7,256.1
2022-01-02 07:00:00,256.1,257.8,254.2,257.1
2022-01-02 08:00:00,257.1,257.5,255.2,255.6
2022-01-02 09:00:00,255.8,257.1,254.8,255.1
2022-01-02 10:00:00,255.5,257.6,255.1,256.3
2022-01-02 11:00:00,256.2,262.1,256.2,261.2
2022-01-02 12:00:00,261.3,262.2,259.2,260.1
2022-01-02 13:00:00,260.4,260.6,255.2,259.8
2022-01-02 14:00:00,259.8,261.0,257.4,259.7
2022-01-02 15:00:00,259.7,262.4,258.4,261.6
2022-01-02 16:00:00,261.2,264.3,260.9,262.2
2022-01-02 17:00:00,262.5,267.6,262.5,267.0
2022-01-02 18:00:00,267.3,269.1,265.2,265.2
2022-01-02 19:00:00,265.2,266.1,259.8,264.1
2022-01-02 20:00:00,263.6,267.3,263.0,266.5
2022-01-02 21:00:00,266.5,267.9,264.8,266.2
2022-01-02 22:00:00,266.6,267.5,262.7,266.6
2022-01-02 23:00:00,266.8,273.7,266.4,272.5
2022-01-03 00:00:00,272.5,275.0,271.7,273.8
2022-01-03 01:00:00,273.3,273.6,270.5,272.2
2022-01-03 02:00:00,272.0,276.5,271.8,275.7
2022-01-03 03:00:00,275.8,278.0,274.9,275.7
2022-01-03 04:00:00,275.2,283.9,273.2,279.4
