datetime,AAVEUSD_open,AAVEUSD_high,AAVEUSD_low,AAVEUSD_close
2022-01-01 00:00:00,253.91,262.99,253.6,262.09
2022-01-01 01:00:00,262.1,264.29,259.92,260.0
2022-01-01 02:00:00,260.07,261.76,259.6,260.08
2022-01-01 03:00:00,260.17,263.26,259.6,261.15
2022-01-01 04:00:00,261.15,262.19,258.32,258.77
2022-01-01 05:00:00,258.8,265.5,257.85,261.35
2022-01-01 06:00:00,261.58,262.2,258.89,259.28
2022-01-01 07:00:00,259.35,259.84,257.85,258.88
2022-01-01 08:00:00,258.92,259.82,256.68,257.17
2022-01-01 09:00:00,257.31,258.54,254.5,255.6
2022-01-01 10:00:00,255.89,257.2,251.02,253.12
2022-01-01 11:00:00,253.01,254.35,251.14,251.36
2022-01-01 12:00:00,251.31,253.32,250.63,252.75
2022-01-01 13:00:00,252.95,254.73,251.75,254.29
2022-01-01 14:00:00,254.38,254.61,252.8,253.22
2022-01-01 15:00:00,253.2,255.83,252.18,255.07
2022-01-01 16:00:00,254.97,258.59,254.9,255.98
2022-01-01 17:00:00,256.12,260.02,255.0,259.4
2022-01-01 18:00:00,259.51,260.15,257.1,258.55
2022-01-01 19:00:00,258.72,258.93,256.94,257.13
2022-01-01 20:00:00,257.42,259.91,256.1,258.74
2022-01-01 21:00:00,258.88,262.23,258.68,259.08
2022-01-01 22:00:00,259.42,261.7,258.97,261.44
2022-01-01 23:00:00,261.53,266.75,260.41,266.48
2022-01-02 00:00:00,266.45,267.84,262.45,263.77
2022-01-02 01:00:00,263.74,263.79,260.3,260.88
2022-01-02 02:00:00,260.72,262.94,260.14,260.2
2022-01-02 03:00:00,260.14,260.27,257.58,258.31
2022-01-02 04:00:00,258.24,261.42,255.16,256.15
2022-01-02 05:00:00,256.46,258.21,253.39,254.91
2022-01-02 06:00:00,254.78,256.89,253.78,256.35
2022-01-02 07:00:00,256.19,257.39,255.55,255.76
2022-01-02 08:00:00,255.78,255.95,253.11,254.99
2022-01-02 09:00:00,254.77,257.61,254.05,257.24
2022-01-02 10:00:00,256.96,257.97,255.15,255.84
2022-01-02 11:00:00,255.82,257.81,255.6,256.29
2022-01-02 12:00:00,256.06,257.84,254.39,257.38
2022-01-02 13:00:00,257.42,257.49,255.09,255.67
2022-01-02 14:00:00,255.74,257.11,254.7,255.61
2022-01-02 15:00:00,255.49,257.82,255.21,256.28
2022-01-02 16:00:00,256.29,261.94,256.29,261.06
2022-01-02 17:00:00,261.3,262.4,259.3,260.76
2022-01-02 18:00:00,260.76,260.86,255.03,259.92
2022-01-02 19:00:00,259.8,261.05,257.53,259.7
2022-01-02 20:00:00,259.5,262.42,258.89,261.19
2022-01-02 21:00:00,261.23,264.15,260.88,262.17
2022-01-02 22:00:00,262.31,267.17,262.24,266.86
2022-01-02 23:00:00,267.16,269.03,265.29,265.45
2022-01-03 00:00:00,265.72,265.99,263.2,263.68
2022-01-03 01:00:00,263.53,267.22,263.11,266.54
2022-01-03 02:00:00,266.42,267.93,264.7,266.18
2022-01-03 03:00:00,266.29,268.0,262.82,266.46
2022-01-03 04:00:00,266.51,272.97,265.97,272.35
2022-01-03 05:00:00,272.23,274.87,271.43,273.78
2022-01-03 06:00:00,273.29,273.6,270.84,272.19
2022-01-03 07:00:00,272.19,276.23,271.78,275.5
2022-01-03 08:00:00,275.63,277.75,274.83,275.52
2022-01-03 09:00:00,275.44,283.8,273.22,279.28
2022-01-03 10:00:00,279.1,285.88,279.1,283.73
2022-01-03 11:00:00,283.58,285.16,281.58,283.38
2022-01-03 12:00:00,283.12,283.27,276.53,277.56
2022-01-03 13:00:00,277.5,278.86,275.65,277.2
2022-01-03 14:00:00,276.89,278.54,273.53,274.37
2022-01-03 15:00:00,274.75,276.29,271.39,272.28
2022-01-03 16:00:00,272.35,273.02,264.3,265.98
2022-01-03 17:00:00,266.06,271.45,265.79,269.1
2022-01-03 18:00:00,269.15,274.99,268.54,272.52
2022-01-03 19:00:00,272.67,275.85,272.19,272.25
