datetime,ACMBUSD_open,ACMBUSD_high,ACMBUSD_low,ACMBUSD_close
2022-01-01 00:00:00,5.093,5.139,5.093,5.139
2022-01-01 01:00:00,5.149,5.176,5.095,5.13
2022-01-01 02:00:00,5.13,5.13,5.13,5.13
2022-01-01 03:00:00,5.111,5.111,5.104,5.104
2022-01-01 04:00:00,5.102,5.102,5.102,5.102
2022-01-01 05:00:00,5.121,5.121,5.083,5.102
2022-01-01 06:00:00,5.112,5.205,5.093,5.102
2022-01-01 07:00:00,5.117,5.243,5.117,5.214
2022-01-01 08:00:00,5.222,5.225,5.148,5.186
2022-01-01 09:00:00,5.169,5.17,5.126,5.126
2022-01-01 10:00:00,5.12,5.24,5.112,5.148
2022-01-01 11:00:00,5.167,5.23,5.167,5.167
2022-01-01 12:00:00,5.161,5.214,5.158,5.211
2022-01-01 13:00:00,5.186,5.191,5.158,5.158
2022-01-01 14:00:00,5.159,5.181,5.159,5.181
2022-01-01 15:00:00,5.181,5.186,5.156,5.156
2022-01-01 16:00:00,5.168,5.181,5.127,5.158
2022-01-01 17:00:00,5.15,5.172,5.148,5.165
2022-01-01 18:00:00,5.167,5.24,5.121,5.195
2022-01-01 19:00:00,5.186,5.324,5.158,5.224
2022-01-01 20:00:00,5.243,5.467,5.215,5.227
2022-01-01 21:00:00,5.227,5.256,5.206,5.256
2022-01-01 22:00:00,5.241,5.272,5.241,5.272
2022-01-01 23:00:00,5.243,5.263,5.214,5.214
2022-01-02 00:00:00,5.214,5.233,5.186,5.214
2022-01-02 01:00:00,5.214,5.233,5.195,5.195
2022-01-02 02:00:00,5.222,5.222,5.222,5.222
2022-01-02 03:00:00,5.223,5.243,5.2,5.243
2022-01-02 04:00:00,5.242,5.261,5.233,5.233
2022-01-02 05:00:00,5.226,5.26,5.208,5.232
2022-01-02 06:00:00,5.22,5.26,5.205,5.209
2022-01-02 07:00:00,5.231,5.231,5.195,5.224
2022-01-02 08:00:00,5.205,5.205,5.18,5.191
2022-01-02 09:00:00,5.18,5.191,5.167,5.167
2022-01-02 10:00:00,5.186,5.191,5.186,5.191
2022-01-02 11:00:00,5.183,5.237,5.183,5.234
2022-01-02 12:00:00,5.214,5.231,5.188,5.194
2022-01-02 13:00:00,5.186,5.19,5.12,5.165
2022-01-02 14:00:00,5.167,5.177,5.167,5.177
2022-01-02 15:00:00,5.176,5.177,5.151,5.177
2022-01-02 16:00:00,5.177,5.184,5.162,5.184
2022-01-02 17:00:00,5.163,5.205,5.163,5.205
2022-01-02 18:00:00,5.186,5.187,5.182,5.187
2022-01-02 19:00:00,5.202,5.214,5.181,5.181
2022-01-02 20:00:00,5.177,5.177,5.135,5.158
2022-01-02 21:00:00,5.139,5.139,5.139,5.139
2022-01-02 22:00:00,5.13,5.13,5.11,5.11
2022-01-02 23:00:00,5.103,5.121,5.102,5.121
2022-01-03 00:00:00,5.116,5.13,5.116,5.13
2022-01-03 01:00:00,5.113,5.129,5.079,5.101
2022-01-03 02:00:00,5.079,5.112,5.079,5.112
2022-01-03 03:00:00,5.112,5.144,5.112,5.144
2022-01-03 04:00:00,5.149,5.162,5.13,5.13
2022-01-03 05:00:00,5.146,5.203,5.146,5.203
2022-01-03 06:00:00,5.204,5.291,5.181,5.233
2022-01-03 07:00:00,5.233,5.261,5.168,5.194
2022-01-03 08:00:00,5.194,5.214,5.194,5.195
2022-01-03 09:00:00,5.186,5.202,5.177,5.196
2022-01-03 10:00:00,5.201,5.201,5.17,5.193
2022-01-03 11:00:00,5.192,5.192,5.145,5.168
2022-01-03 12:00:00,5.166,5.167,5.166,5.167
2022-01-03 13:00:00,5.167,5.167,5.148,5.148
2022-01-03 14:00:00,5.167,5.167,5.095,5.095
2022-01-03 15:00:00,5.1,5.11,5.037,5.075
2022-01-03 16:00:00,5.075,5.093,5.075,5.075
2022-01-03 17:00:00,5.112,5.17,5.109,5.17
2022-01-03 18:00:00,5.121,5.171,5.121,5.171
2022-01-03 19:00:00,5.171,5.174,5.171,5.174
2022-01-03 20:00:00,5.12,5.12,5.101,5.101
