datetime,ADATUSD_open,ADATUSD_high,ADATUSD_low,ADATUSD_close
2022-01-01 00:00:00,1.309,1.336,1.309,1.326
2022-01-01 01:00:00,1.319,1.319,1.319,1.319
2022-01-01 02:00:00,1.326,1.326,1.326,1.326
2022-01-01 03:00:00,1.327,1.327,1.327,1.327
2022-01-01 04:00:00,1.327,1.327,1.327,1.327
2022-01-01 05:00:00,1.319,1.319,1.312,1.319
2022-01-01 06:00:00,1.32,1.325,1.32,1.325
2022-01-01 07:00:00,1.319,1.326,1.319,1.326
2022-01-01 08:00:00,1.333,1.333,1.328,1.328
2022-01-01 09:00:00,1.326,1.326,1.325,1.325
2022-01-01 10:00:00,1.333,1.337,1.333,1.337
2022-01-01 11:00:00,1.336,1.336,1.336,1.336
2022-01-01 12:00:00,1.33,1.347,1.33,1.341
2022-01-01 13:00:00,1.343,1.344,1.34,1.343
2022-01-01 14:00:00,1.34,1.347,1.34,1.347
2022-01-01 15:00:00,1.347,1.358,1.347,1.355
2022-01-01 16:00:00,1.356,1.362,1.353,1.357
2022-01-01 17:00:00,1.364,1.375,1.357,1.375
2022-01-01 18:00:00,1.368,1.375,1.367,1.375
2022-01-01 19:00:00,1.382,1.382,1.368,1.373
2022-01-01 20:00:00,1.364,1.364,1.354,1.354
2022-01-01 21:00:00,1.36,1.361,1.356,1.356
2022-01-01 22:00:00,1.354,1.356,1.354,1.356
2022-01-01 23:00:00,1.361,1.37,1.342,1.35
2022-01-02 00:00:00,1.354,1.355,1.348,1.355
2022-01-02 01:00:00,1.352,1.361,1.352,1.361
2022-01-02 02:00:00,1.358,1.36,1.354,1.354
2022-01-02 03:00:00,1.352,1.356,1.352,1.356
2022-01-02 04:00:00,1.361,1.368,1.361,1.361
2022-01-02 05:00:00,1.357,1.36,1.357,1.36
2022-01-02 06:00:00,1.36,1.366,1.36,1.365
2022-01-02 07:00:00,1.362,1.371,1.358,1.371
2022-01-02 08:00:00,1.364,1.366,1.361,1.361
2022-01-02 09:00:00,1.359,1.362,1.357,1.361
2022-01-02 10:00:00,1.368,1.37,1.366,1.37
2022-01-02 11:00:00,1.37,1.385,1.37,1.384
2022-01-02 12:00:00,1.386,1.39,1.377,1.383
2022-01-02 13:00:00,1.378,1.378,1.358,1.364
2022-01-02 14:00:00,1.37,1.37,1.363,1.365
2022-01-02 15:00:00,1.361,1.361,1.36,1.361
2022-01-02 16:00:00,1.363,1.368,1.363,1.364
2022-01-02 17:00:00,1.371,1.371,1.371,1.371
2022-01-02 18:00:00,1.375,1.378,1.375,1.378
2022-01-02 19:00:00,1.368,1.368,1.366,1.367
2022-01-02 20:00:00,1.365,1.367,1.364,1.367
2022-01-02 21:00:00,1.365,1.365,1.353,1.361
2022-01-02 22:00:00,1.362,1.362,1.347,1.347
2022-01-02 23:00:00,1.351,1.353,1.351,1.353
2022-01-03 00:00:00,1.35,1.36,1.345,1.357
2022-01-03 01:00:00,1.352,1.353,1.348,1.351
2022-01-03 02:00:00,1.352,1.352,1.352,1.352
2022-01-03 03:00:00,1.357,1.358,1.354,1.354
