datetime,ADAUSD_open,ADAUSD_high,ADAUSD_low,ADAUSD_close
2022-01-01 00:00:00,1.3082,1.3336,1.308,1.3301
2022-01-01 01:00:00,1.3297,1.3371,1.3261,1.3278
2022-01-01 02:00:00,1.328,1.334,1.3242,1.3255
2022-01-01 03:00:00,1.3259,1.33,1.3238,1.3246
2022-01-01 04:00:00,1.3247,1.3265,1.305,1.3078
2022-01-01 05:00:00,1.3077,1.3382,1.307,1.3273
2022-01-01 06:00:00,1.3269,1.3291,1.3126,1.3165
2022-01-01 07:00:00,1.3163,1.3277,1.3134,1.3244
2022-01-01 08:00:00,1.3243,1.3298,1.3216,1.3264
2022-01-01 09:00:00,1.3266,1.3328,1.3194,1.3275
2022-01-01 10:00:00,1.3273,1.3329,1.3104,1.3173
2022-01-01 11:00:00,1.3173,1.3258,1.3168,1.3184
2022-01-01 12:00:00,1.3189,1.3332,1.3184,1.3308
2022-01-01 13:00:00,1.331,1.3393,1.3263,1.329
2022-01-01 14:00:00,1.329,1.336,1.3245,1.3275
2022-01-01 15:00:00,1.3275,1.3397,1.3259,1.3337
2022-01-01 16:00:00,1.3336,1.3415,1.331,1.3352
2022-01-01 17:00:00,1.3352,1.3498,1.3304,1.3463
2022-01-01 18:00:00,1.3465,1.3485,1.3369,1.3441
2022-01-01 19:00:00,1.344,1.3617,1.3374,1.3466
2022-01-01 20:00:00,1.3466,1.3588,1.3449,1.3537
2022-01-01 21:00:00,1.3538,1.3646,1.35,1.3614
2022-01-01 22:00:00,1.3616,1.3761,1.3573,1.373
2022-01-01 23:00:00,1.3728,1.3799,1.364,1.3797
2022-01-02 00:00:00,1.3796,1.3827,1.365,1.373
2022-01-02 01:00:00,1.3733,1.3742,1.3503,1.3515
2022-01-02 02:00:00,1.3515,1.3625,1.3513,1.3561
2022-01-02 03:00:00,1.3559,1.3605,1.3523,1.3564
2022-01-02 04:00:00,1.3568,1.3707,1.3385,1.3492
2022-01-02 05:00:00,1.3487,1.3558,1.3462,1.3558
2022-01-02 06:00:00,1.3555,1.3642,1.3501,1.3578
2022-01-02 07:00:00,1.3576,1.3659,1.3521,1.3552
2022-01-02 08:00:00,1.3551,1.3591,1.3487,1.357
2022-01-02 09:00:00,1.3571,1.3696,1.3545,1.3582
2022-01-02 10:00:00,1.3583,1.3642,1.3562,1.3611
2022-01-02 11:00:00,1.3611,1.3685,1.3602,1.3642
2022-01-02 12:00:00,1.364,1.375,1.3551,1.3675
2022-01-02 13:00:00,1.3674,1.3681,1.3581,1.3587
2022-01-02 14:00:00,1.3586,1.367,1.3552,1.3615
2022-01-02 15:00:00,1.3612,1.3736,1.36,1.37
2022-01-02 16:00:00,1.3698,1.3875,1.3698,1.385
2022-01-02 17:00:00,1.3854,1.3917,1.377,1.3798
2022-01-02 18:00:00,1.38,1.3804,1.3551,1.3683
2022-01-02 19:00:00,1.3673,1.374,1.361,1.3617
2022-01-02 20:00:00,1.3617,1.3664,1.3563,1.3646
2022-01-02 21:00:00,1.3646,1.369,1.3598,1.3628
2022-01-02 22:00:00,1.3629,1.3741,1.3626,1.3711
2022-01-02 23:00:00,1.3712,1.3803,1.3712,1.3779
2022-01-03 00:00:00,1.3777,1.3782,1.362,1.3629
2022-01-03 01:00:00,1.3625,1.3685,1.3609,1.3682
2022-01-03 02:00:00,1.3675,1.3676,1.3511,1.3611
2022-01-03 03:00:00,1.3607,1.3625,1.3455,1.3509
2022-01-03 04:00:00,1.3509,1.3546,1.3463,1.3488
2022-01-03 05:00:00,1.3488,1.3613,1.3426,1.3562
2022-01-03 06:00:00,1.3561,1.3565,1.3474,1.3491
2022-01-03 07:00:00,1.3489,1.3533,1.3463,1.3526
2022-01-03 08:00:00,1.3526,1.3609,1.352,1.3554
2022-01-03 09:00:00,1.3554,1.359,1.3483,1.3579
2022-01-03 10:00:00,1.3575,1.3665,1.357,1.3613
2022-01-03 11:00:00,1.3616,1.3739,1.3616,1.3707
2022-01-03 12:00:00,1.3708,1.3745,1.3583,1.3609
