datetime,ALCXBUSD_open,ALCXBUSD_high,ALCXBUSD_low,ALCXBUSD_close
2022-01-01 00:00:00,275.4,275.4,267.9,273.6
2022-01-01 01:00:00,273.9,275.3,272.5,272.5
2022-01-01 02:00:00,272.5,275.6,272.1,275.6
2022-01-01 03:00:00,276.6,285.9,275.7,280.2
2022-01-01 04:00:00,280.1,280.5,277.2,277.2
2022-01-01 05:00:00,277.5,278.4,271.8,271.8
2022-01-01 06:00:00,271.8,282.3,271.8,278.4
2022-01-01 07:00:00,278.6,286.2,278.4,279.6
2022-01-01 08:00:00,279.4,279.6,276.9,278.0
2022-01-01 09:00:00,278.3,278.9,273.4,276.3
2022-01-01 10:00:00,274.9,285.0,274.9,284.7
2022-01-01 11:00:00,284.9,304.1,284.6,297.6
2022-01-01 12:00:00,298.3,303.3,297.9,300.5
2022-01-01 13:00:00,298.8,304.5,295.9,303.9
2022-01-01 14:00:00,303.9,325.7,302.5,314.8
2022-01-01 15:00:00,314.7,330.3,309.1,321.9
2022-01-01 16:00:00,321.9,330.6,316.3,317.7
2022-01-01 17:00:00,317.7,324.1,312.2,312.3
2022-01-01 18:00:00,311.4,318.1,311.4,316.0
2022-01-01 19:00:00,316.0,322.6,314.5,321.2
2022-01-01 20:00:00,320.8,321.4,311.0,313.3
2022-01-01 21:00:00,313.0,318.3,312.6,313.4
2022-01-01 22:00:00,313.4,328.0,313.4,321.3
2022-01-01 23:00:00,321.2,322.1,316.1,318.7
2022-01-02 00:00:00,318.7,318.9,314.1,317.2
2022-01-02 01:00:00,316.5,317.7,313.3,314.1
2022-01-02 02:00:00,313.0,314.8,310.7,312.5
2022-01-02 03:00:00,311.7,312.5,301.1,305.3
2022-01-02 04:00:00,305.3,308.5,302.2,307.2
2022-01-02 05:00:00,307.6,309.3,307.4,308.4
2022-01-02 06:00:00,308.6,308.6,301.6,301.6
2022-01-02 07:00:00,301.7,302.6,299.6,302.6
2022-01-02 08:00:00,302.6,303.0,300.8,301.4
2022-01-02 09:00:00,300.8,304.0,300.8,302.0
2022-01-02 10:00:00,302.1,310.3,301.2,310.3
2022-01-02 11:00:00,310.4,318.7,310.4,318.1
2022-01-02 12:00:00,318.4,319.1,310.5,311.4
2022-01-02 13:00:00,312.2,312.6,309.5,312.4
2022-01-02 14:00:00,312.4,312.4,309.8,309.8
2022-01-02 15:00:00,310.3,318.1,310.3,316.4
2022-01-02 16:00:00,315.8,319.0,315.4,315.9
2022-01-02 17:00:00,318.6,330.9,318.6,319.6
2022-01-02 18:00:00,319.3,320.5,318.1,319.3
2022-01-02 19:00:00,318.0,324.0,318.0,322.3
2022-01-02 20:00:00,324.4,327.7,321.6,325.7
2022-01-02 21:00:00,325.4,334.9,325.4,333.8
2022-01-02 22:00:00,334.1,340.0,327.6,327.6
2022-01-02 23:00:00,328.2,334.4,328.2,331.0
2022-01-03 00:00:00,332.9,356.8,332.9,352.8
2022-01-03 01:00:00,352.1,375.0,346.5,350.9
2022-01-03 02:00:00,351.1,366.0,351.1,362.1
2022-01-03 03:00:00,362.1,364.5,355.2,357.4
2022-01-03 04:00:00,358.8,358.8,342.7,353.7
2022-01-03 05:00:00,354.4,354.7,347.4,348.6
2022-01-03 06:00:00,349.8,353.4,347.7,348.9
2022-01-03 07:00:00,349.0,358.3,347.3,352.4
2022-01-03 08:00:00,352.8,357.2,349.4,351.8
2022-01-03 09:00:00,350.4,352.8,340.8,342.7
2022-01-03 10:00:00,342.7,345.0,339.6,340.2
2022-01-03 11:00:00,340.2,342.0,335.4,335.6
2022-01-03 12:00:00,335.0,344.9,334.8,343.4
2022-01-03 13:00:00,343.4,344.8,340.7,341.2
2022-01-03 14:00:00,341.0,345.1,339.8,339.8
2022-01-03 15:00:00,339.3,339.3,321.7,329.8
2022-01-03 16:00:00,328.2,329.5,321.8,326.0
2022-01-03 17:00:00,325.0,329.2,321.8,322.1
2022-01-03 18:00:00,321.8,326.4,321.4,323.4
2022-01-03 19:00:00,324.5,326.4,321.7,321.7
2022-01-03 20:00:00,321.7,322.8,313.4,313.4
2022-01-03 21:00:00,313.1,316.4,313.1,316.1
2022-01-03 22:00:00,315.9,319.3,315.7,318.8
2022-01-03 23:00:00,319.1,319.1,314.4,314.4
2022-01-04 00:00:00,314.3,317.1,310.0,310.5
2022-01-04 01:00:00,310.8,312.9,308.3,312.2
2022-01-04 02:00:00,313.0,313.1,311.0,312.1
2022-01-04 03:00:00,312.2,312.2,307.9,310.1
2022-01-04 04:00:00,309.6,309.7,308.0,308.7
2022-01-04 05:00:00,307.8,309.2,305.3,308.7
2022-01-04 06:00:00,309.1,313.4,309.0,312.1
2022-01-04 07:00:00,312.7,313.8,308.4,313.5
2022-01-04 08:00:00,313.8,318.0,312.7,317.0
2022-01-04 09:00:00,317.0,320.8,314.9,317.4
2022-01-04 10:00:00,318.7,327.8,318.2,321.0
2022-01-04 11:00:00,320.7,320.7,316.0,319.3
2022-01-04 12:00:00,319.3,327.8,317.2,318.6
2022-01-04 13:00:00,319.8,324.7,314.0,314.9
2022-01-04 14:00:00,315.0,325.0,315.0,319.8
2022-01-04 15:00:00,319.8,321.1,313.1,313.4
2022-01-04 16:00:00,312.7,321.2,307.8,314.1
2022-01-04 17:00:00,312.3,312.3,307.5,308.3
2022-01-04 18:00:00,307.0,307.0,295.9,295.9
2022-01-04 19:00:00,296.8,309.7,296.6,309.7
2022-01-04 20:00:00,310.0,312.3,309.5,309.7
2022-01-04 21:00:00,310.6,312.5,310.6,312.4
2022-01-04 22:00:00,311.6,312.7,306.7,308.6
2022-01-04 23:00:00,307.8,307.8,307.1,307.1
2022-01-05 00:00:00,307.2,307.2,304.5,305.0
2022-01-05 01:00:00,306.0,306.6,303.1,304.7
2022-01-05 02:00:00,305.7,311.4,305.7,310.8
2022-01-05 03:00:00,310.2,359.1,309.2,346.6
2022-01-05 04:00:00,347.7,356.3,345.0,352.7
2022-01-05 05:00:00,353.1,358.0,350.6,353.0
2022-01-05 06:00:00,352.7,352.8,346.3,348.3
2022-01-05 07:00:00,349.1,356.5,345.6,352.1
2022-01-05 08:00:00,352.1,353.5,351.0,352.2
2022-01-05 09:00:00,352.2,372.6,350.9,370.3
2022-01-05 10:00:00,370.2,383.8,368.0,374.3
2022-01-05 11:00:00,374.3,378.0,366.5,374.7
2022-01-05 12:00:00,374.9,394.2,367.4,380.5
2022-01-05 13:00:00,380.4,387.2,366.8,380.2
2022-01-05 14:00:00,380.9,385.6,354.4,359.6
