datetime,ALCXUSD_open,ALCXUSD_high,ALCXUSD_low,ALCXUSD_close
2022-01-01 00:00:00,274.42,280.13,274.4,279.41
2022-01-01 01:00:00,279.37,280.52,277.38,277.38
2022-01-01 02:00:00,278.24,281.95,272.59,275.38
2022-01-01 03:00:00,275.38,279.4,275.16,276.91
2022-01-01 04:00:00,277.56,277.56,273.73,275.25
2022-01-01 05:00:00,275.25,275.26,268.1,273.7
2022-01-01 06:00:00,273.73,275.5,272.16,272.16
2022-01-01 07:00:00,272.18,276.4,271.25,276.1
2022-01-01 08:00:00,276.14,284.54,275.73,279.9
2022-01-01 09:00:00,279.7,280.5,275.85,276.41
2022-01-01 10:00:00,277.5,278.16,271.3,271.6
2022-01-01 11:00:00,271.59,282.74,271.26,278.4
2022-01-01 12:00:00,278.85,286.75,278.39,279.52
2022-01-01 13:00:00,279.78,279.95,277.27,279.35
2022-01-01 14:00:00,278.99,279.35,272.97,276.1
2022-01-01 15:00:00,275.76,284.78,273.83,284.77
2022-01-01 16:00:00,284.78,307.48,283.85,298.22
2022-01-01 17:00:00,298.09,303.84,296.93,301.37
2022-01-01 18:00:00,300.31,303.7,297.46,303.7
2022-01-01 19:00:00,303.74,322.46,302.0,314.69
2022-01-01 20:00:00,314.69,331.83,308.99,322.6
2022-01-01 21:00:00,323.1,330.75,315.4,317.49
2022-01-01 22:00:00,317.49,326.65,310.45,311.52
2022-01-01 23:00:00,311.59,318.91,310.75,316.0
2022-01-02 00:00:00,315.99,324.76,313.91,321.84
2022-01-02 01:00:00,320.97,321.63,311.48,312.41
2022-01-02 02:00:00,312.99,317.96,312.07,312.71
2022-01-02 03:00:00,313.8,326.65,312.62,321.99
2022-01-02 04:00:00,322.09,322.09,314.75,318.87
2022-01-02 05:00:00,319.43,320.29,313.82,316.71
2022-01-02 06:00:00,316.71,318.83,313.0,313.75
2022-01-02 07:00:00,313.18,314.66,310.23,312.04
2022-01-02 08:00:00,312.44,312.49,303.31,304.84
2022-01-02 09:00:00,304.84,308.43,301.93,307.47
2022-01-02 10:00:00,307.34,311.86,306.88,308.44
2022-01-02 11:00:00,308.09,308.5,299.35,301.41
2022-01-02 12:00:00,300.65,302.4,298.32,301.9
2022-01-02 13:00:00,301.9,302.84,300.18,300.73
2022-01-02 14:00:00,300.73,303.84,300.46,302.0
2022-01-02 15:00:00,301.99,310.45,300.94,310.45
2022-01-02 16:00:00,310.23,318.98,310.11,318.68
2022-01-02 17:00:00,318.1,319.23,311.13,311.5
2022-01-02 18:00:00,312.3,313.18,308.85,311.81
2022-01-02 19:00:00,311.81,312.27,309.18,309.73
2022-01-02 20:00:00,309.33,318.39,309.1,315.77
2022-01-02 21:00:00,315.77,319.11,314.53,317.74
2022-01-02 22:00:00,317.94,329.1,317.94,320.06
2022-01-02 23:00:00,318.6,320.68,317.0,317.59
2022-01-03 00:00:00,318.41,326.08,317.71,325.29
2022-01-03 01:00:00,325.62,329.1,320.7,325.82
2022-01-03 02:00:00,325.82,335.76,325.22,333.97
2022-01-03 03:00:00,333.99,339.81,326.76,327.34
2022-01-03 04:00:00,327.79,335.26,327.79,330.5
2022-01-03 05:00:00,330.58,355.98,330.33,352.23
2022-01-03 06:00:00,352.22,363.0,347.12,350.67
2022-01-03 07:00:00,350.97,364.11,350.38,361.86
2022-01-03 08:00:00,361.36,364.0,356.21,357.9
2022-01-03 09:00:00,357.87,357.94,347.28,353.49
2022-01-03 10:00:00,353.53,356.26,346.52,349.93
2022-01-03 11:00:00,349.93,357.16,346.82,349.42
2022-01-03 12:00:00,349.42,357.46,346.61,351.67
2022-01-03 13:00:00,352.35,358.26,349.42,351.66
2022-01-03 14:00:00,350.96,352.73,341.79,343.06
2022-01-03 15:00:00,343.06,345.07,339.31,339.91
2022-01-03 16:00:00,340.73,342.85,333.84,334.96
2022-01-03 17:00:00,334.39,344.41,333.85,343.55
2022-01-03 18:00:00,343.48,345.17,340.28,341.44
2022-01-03 19:00:00,340.75,346.32,339.59,339.59
2022-01-03 20:00:00,339.52,339.52,325.86,328.52
2022-01-03 21:00:00,328.59,329.61,320.98,324.47
2022-01-03 22:00:00,324.52,329.03,321.13,321.44
2022-01-03 23:00:00,321.44,326.53,320.7,324.89
2022-01-04 00:00:00,324.9,326.78,321.4,321.4
2022-01-04 01:00:00,321.38,321.87,311.66,312.1
2022-01-04 02:00:00,312.77,316.53,311.79,315.41
2022-01-04 03:00:00,315.75,319.56,315.61,318.56
2022-01-04 04:00:00,318.97,318.97,313.89,314.41
2022-01-04 05:00:00,313.99,317.7,309.21,311.5
2022-01-04 06:00:00,311.1,312.86,308.12,312.29
2022-01-04 07:00:00,312.29,312.71,310.9,311.89
2022-01-04 08:00:00,312.05,313.82,308.01,309.74
2022-01-04 09:00:00,309.74,310.1,307.51,308.66
2022-01-04 10:00:00,308.82,310.05,305.05,309.07
2022-01-04 11:00:00,309.09,314.53,308.19,312.72
2022-01-04 12:00:00,312.31,314.91,308.45,313.93
2022-01-04 13:00:00,313.86,318.04,312.48,317.37
2022-01-04 14:00:00,316.87,321.37,315.0,317.58
2022-01-04 15:00:00,318.05,330.25,316.86,320.17
2022-01-04 16:00:00,320.17,321.4,317.17,319.78
2022-01-04 17:00:00,319.9,322.59,317.41,318.55
2022-01-04 18:00:00,318.86,325.0,313.75,313.82
2022-01-04 19:00:00,314.18,326.16,313.6,320.2
2022-01-04 20:00:00,320.78,320.88,313.12,313.25
2022-01-04 21:00:00,313.12,321.41,306.62,313.0
2022-01-04 22:00:00,313.46,313.6,306.92,306.92
2022-01-04 23:00:00,307.38,307.94,295.16,296.06
2022-01-05 00:00:00,295.66,310.39,294.85,310.39
2022-01-05 01:00:00,309.96,312.99,308.01,310.08
2022-01-05 02:00:00,310.01,313.12,308.52,311.0
2022-01-05 03:00:00,311.32,313.65,304.22,309.09
2022-01-05 04:00:00,308.94,309.11,306.56,307.12
2022-01-05 05:00:00,307.13,307.77,303.4,305.86
2022-01-05 06:00:00,305.7,307.27,302.89,305.81
2022-01-05 07:00:00,305.14,311.46,304.96,311.46
2022-01-05 08:00:00,310.84,357.38,308.9,347.58
2022-01-05 09:00:00,347.04,355.18,345.16,352.19
2022-01-05 10:00:00,352.91,359.0,351.25,353.02
2022-01-05 11:00:00,353.06,353.49,346.56,349.13
2022-01-05 12:00:00,349.28,360.01,344.12,351.54
2022-01-05 13:00:00,351.64,353.56,349.58,353.22
2022-01-05 14:00:00,353.2,372.49,351.98,371.31
2022-01-05 15:00:00,371.61,385.12,368.28,373.65
2022-01-05 16:00:00,373.65,377.71,368.0,375.01
2022-01-05 17:00:00,375.41,391.81,366.0,380.0
2022-01-05 18:00:00,379.06,387.18,368.48,379.96
2022-01-05 19:00:00,379.96,385.0,352.32,358.56
2022-01-05 20:00:00,358.95,365.2,344.54,346.55
2022-01-05 21:00:00,346.61,351.13,335.44,338.06
2022-01-05 22:00:00,337.28,338.61,320.02,335.99
2022-01-05 23:00:00,335.24,370.96,333.77,364.59
2022-01-06 00:00:00,365.04,379.98,353.85,378.02
2022-01-06 01:00:00,378.02,408.33,367.62,405.57
2022-01-06 02:00:00,407.21,418.91,367.3,367.97
2022-01-06 03:00:00,369.65,375.43,354.69,355.9
2022-01-06 04:00:00,355.85,361.93,342.92,357.08
2022-01-06 05:00:00,356.75,391.14,354.1,383.5
2022-01-06 06:00:00,383.5,393.19,367.57,375.41
2022-01-06 07:00:00,375.28,380.32,371.47,378.74
2022-01-06 08:00:00,378.74,381.47,367.32,370.24
2022-01-06 09:00:00,370.62,373.07,350.48,350.92
2022-01-06 10:00:00,354.16,371.5,352.52,361.38
2022-01-06 11:00:00,362.87,370.5,354.06,361.9
2022-01-06 12:00:00,361.9,377.64,358.01,374.2
2022-01-06 13:00:00,375.79,387.0,366.43,374.83
2022-01-06 14:00:00,374.83,385.5,374.05,374.39
2022-01-06 15:00:00,374.41,374.5,367.3,369.69
2022-01-06 16:00:00,369.25,373.22,364.15,371.61
2022-01-06 17:00:00,370.96,380.32,370.3,370.85
2022-01-06 18:00:00,370.85,383.05,367.31,379.14
2022-01-06 19:00:00,378.46,381.24,369.55,374.73
2022-01-06 20:00:00,374.29,378.01,371.31,374.54
2022-01-06 21:00:00,375.24,386.64,373.11,373.61
2022-01-06 22:00:00,373.61,374.88,360.0,362.03
2022-01-06 23:00:00,363.35,363.35,354.22,355.56
2022-01-07 00:00:00,355.5,355.67,342.85,345.28
2022-01-07 01:00:00,345.35,347.88,336.09,342.25
2022-01-07 02:00:00,341.8,343.18,334.2,334.32
2022-01-07 03:00:00,334.1,337.57,316.4,316.4
2022-01-07 04:00:00,316.3,330.81,301.39,320.8
