datetime,ALGOBUSD_open,ALGOBUSD_high,ALGOBUSD_low,ALGOBUSD_close
2022-01-01 00:00:00,1.6664,1.6912,1.6646,1.6784
2022-01-01 01:00:00,1.6788,1.6825,1.6656,1.6659
2022-01-01 02:00:00,1.6664,1.6708,1.659,1.668
2022-01-01 03:00:00,1.6678,1.6765,1.6624,1.6624
2022-01-01 04:00:00,1.6626,1.6671,1.6511,1.656
2022-01-01 05:00:00,1.6582,1.6632,1.6306,1.6409
2022-01-01 06:00:00,1.6407,1.6487,1.6395,1.6403
2022-01-01 07:00:00,1.641,1.664,1.6397,1.6592
2022-01-01 08:00:00,1.66,1.6631,1.6491,1.6582
2022-01-01 09:00:00,1.6566,1.6652,1.6522,1.6578
2022-01-01 10:00:00,1.6557,1.6848,1.6527,1.6715
2022-01-01 11:00:00,1.6699,1.6841,1.6672,1.6795
2022-01-01 12:00:00,1.681,1.719,1.681,1.7159
2022-01-01 13:00:00,1.7156,1.7627,1.7133,1.7596
2022-01-01 14:00:00,1.7594,1.767,1.7379,1.7499
2022-01-01 15:00:00,1.7516,1.7701,1.7516,1.754
2022-01-01 16:00:00,1.7543,1.7661,1.7328,1.7481
2022-01-01 17:00:00,1.7467,1.7467,1.7352,1.745
2022-01-01 18:00:00,1.7445,1.7485,1.7311,1.7424
2022-01-01 19:00:00,1.7424,1.784,1.7337,1.7649
2022-01-01 20:00:00,1.7651,1.7656,1.7109,1.7116
2022-01-01 21:00:00,1.7136,1.7493,1.7019,1.7436
2022-01-01 22:00:00,1.7429,1.7454,1.7229,1.7239
2022-01-01 23:00:00,1.7232,1.7337,1.6961,1.7037
2022-01-02 00:00:00,1.7054,1.7139,1.6941,1.7057
2022-01-02 01:00:00,1.7041,1.7115,1.7012,1.703
2022-01-02 02:00:00,1.7013,1.706,1.6979,1.6985
2022-01-02 03:00:00,1.698,1.7011,1.6822,1.6989
2022-01-02 04:00:00,1.6985,1.7128,1.6966,1.7017
2022-01-02 05:00:00,1.7015,1.706,1.6843,1.6849
2022-01-02 06:00:00,1.6848,1.6932,1.6735,1.675
2022-01-02 07:00:00,1.6751,1.6844,1.661,1.6795
2022-01-02 08:00:00,1.679,1.6794,1.6622,1.6694
2022-01-02 09:00:00,1.6699,1.6739,1.666,1.67
2022-01-02 10:00:00,1.67,1.683,1.6677,1.6791
2022-01-02 11:00:00,1.6792,1.7071,1.6783,1.7033
2022-01-02 12:00:00,1.7015,1.7068,1.6898,1.6937
2022-01-02 13:00:00,1.6949,1.7064,1.6614,1.6813
2022-01-02 14:00:00,1.6798,1.6853,1.6694,1.6779
2022-01-02 15:00:00,1.6774,1.6797,1.6655,1.6694
2022-01-02 16:00:00,1.6697,1.6772,1.6642,1.6647
2022-01-02 17:00:00,1.6654,1.6922,1.6654,1.6691
2022-01-02 18:00:00,1.6706,1.6827,1.6683,1.675
2022-01-02 19:00:00,1.6735,1.6738,1.6445,1.6662
2022-01-02 20:00:00,1.6653,1.674,1.6568,1.6617
2022-01-02 21:00:00,1.6622,1.6623,1.644,1.6525
2022-01-02 22:00:00,1.6507,1.6549,1.6273,1.6373
2022-01-02 23:00:00,1.6368,1.6504,1.6327,1.6443
2022-01-03 00:00:00,1.6452,1.6594,1.642,1.6544
2022-01-03 01:00:00,1.6544,1.6554,1.6416,1.642
2022-01-03 02:00:00,1.6425,1.6504,1.6401,1.648
2022-01-03 03:00:00,1.648,1.6565,1.6458,1.6509
2022-01-03 04:00:00,1.6511,1.6645,1.6477,1.6625
2022-01-03 05:00:00,1.6638,1.6791,1.6619,1.6702
2022-01-03 06:00:00,1.6711,1.6983,1.6711,1.6915
2022-01-03 07:00:00,1.6921,1.6989,1.6777,1.68
2022-01-03 08:00:00,1.6807,1.7268,1.68,1.723
2022-01-03 09:00:00,1.7218,1.7291,1.7053,1.7067
2022-01-03 10:00:00,1.708,1.7442,1.708,1.7367
2022-01-03 11:00:00,1.7359,1.7526,1.6887,1.7508
2022-01-03 12:00:00,1.7508,1.7888,1.7439,1.7681
2022-01-03 13:00:00,1.7675,1.8071,1.7632,1.8067
2022-01-03 14:00:00,1.8055,1.8282,1.7927,1.8272
2022-01-03 15:00:00,1.8254,1.8358,1.7902,1.8235
2022-01-03 16:00:00,1.8238,1.8268,1.7947,1.7977
2022-01-03 17:00:00,1.7983,1.8148,1.7719,1.7908
2022-01-03 18:00:00,1.7908,1.8032,1.7714,1.7946
2022-01-03 19:00:00,1.7948,1.831,1.7751,1.8094
2022-01-03 20:00:00,1.8097,1.8245,1.7506,1.7506
2022-01-03 21:00:00,1.7507,1.8451,1.735,1.8148
2022-01-03 22:00:00,1.8135,1.8191,1.7739,1.7818
2022-01-03 23:00:00,1.782,1.7822,1.7487,1.7506
2022-01-04 00:00:00,1.7512,1.7583,1.723,1.7399
2022-01-04 01:00:00,1.7414,1.7486,1.7254,1.731
2022-01-04 02:00:00,1.731,1.7441,1.7277,1.7358
2022-01-04 03:00:00,1.736,1.7682,1.7291,1.7555
2022-01-04 04:00:00,1.7558,1.757,1.7363,1.7392
2022-01-04 05:00:00,1.7404,1.7585,1.7399,1.7511
2022-01-04 06:00:00,1.7517,1.7574,1.7273,1.7478
2022-01-04 07:00:00,1.7471,1.7524,1.7242,1.7336
2022-01-04 08:00:00,1.733,1.7665,1.7132,1.7493
2022-01-04 09:00:00,1.7517,1.7636,1.7416,1.751
2022-01-04 10:00:00,1.7518,1.759,1.7251,1.7273
2022-01-04 11:00:00,1.7281,1.7577,1.7161,1.7379
2022-01-04 12:00:00,1.7387,1.7409,1.715,1.7158
2022-01-04 13:00:00,1.715,1.7234,1.6586,1.6737
2022-01-04 14:00:00,1.6715,1.7064,1.666,1.6888
2022-01-04 15:00:00,1.6888,1.7017,1.6801,1.6921
2022-01-04 16:00:00,1.6915,1.6954,1.684,1.6895
2022-01-04 17:00:00,1.6887,1.6897,1.6726,1.6866
2022-01-04 18:00:00,1.6845,1.6854,1.6586,1.6709
2022-01-04 19:00:00,1.6725,1.7031,1.661,1.6963
2022-01-04 20:00:00,1.6981,1.7161,1.6938,1.7117
2022-01-04 21:00:00,1.711,1.74,1.711,1.7355
2022-01-04 22:00:00,1.7349,1.7527,1.7289,1.7512
2022-01-04 23:00:00,1.7516,1.7542,1.7398,1.7457
2022-01-05 00:00:00,1.7446,1.7516,1.74,1.7503
2022-01-05 01:00:00,1.7511,1.7749,1.7488,1.7688
2022-01-05 02:00:00,1.7693,1.7736,1.7615,1.7644
2022-01-05 03:00:00,1.764,1.77,1.7452,1.7621
2022-01-05 04:00:00,1.7615,1.7782,1.7604,1.7702
2022-01-05 05:00:00,1.7704,1.7719,1.7425,1.743
2022-01-05 06:00:00,1.743,1.744,1.7186,1.7319
2022-01-05 07:00:00,1.7326,1.7409,1.7,1.7177
2022-01-05 08:00:00,1.7181,1.7434,1.7113,1.7431
2022-01-05 09:00:00,1.7433,1.7489,1.7252,1.7466
2022-01-05 10:00:00,1.7467,1.7933,1.7324,1.7891
2022-01-05 11:00:00,1.7886,1.802,1.7675,1.7817
2022-01-05 12:00:00,1.7793,1.7924,1.7219,1.7238
2022-01-05 13:00:00,1.7246,1.7399,1.6837,1.7251
2022-01-05 14:00:00,1.7237,1.7275,1.6401,1.6435
2022-01-05 15:00:00,1.6406,1.655,1.5751,1.5795
2022-01-05 16:00:00,1.5806,1.6084,1.5531,1.558
2022-01-05 17:00:00,1.5579,1.5697,1.4481,1.5448
2022-01-05 18:00:00,1.5437,1.5727,1.5305,1.5545
2022-01-05 19:00:00,1.5533,1.5684,1.5401,1.5676
2022-01-05 20:00:00,1.5676,1.5694,1.5268,1.5379
2022-01-05 21:00:00,1.5375,1.5541,1.5215,1.5313
2022-01-05 22:00:00,1.5296,1.5447,1.5,1.5
2022-01-05 23:00:00,1.5005,1.5254,1.4832,1.5121
2022-01-06 00:00:00,1.5121,1.5331,1.5012,1.5211
