datetime,ALGOUSD_open,ALGOUSD_high,ALGOUSD_low,ALGOUSD_close
2022-01-01 00:00:00,1.6593,1.6925,1.6582,1.6917
2022-01-01 01:00:00,1.6912,1.6968,1.6782,1.6822
2022-01-01 02:00:00,1.6819,1.6921,1.6801,1.6832
2022-01-01 03:00:00,1.6841,1.6909,1.6818,1.6842
2022-01-01 04:00:00,1.6838,1.6875,1.6655,1.6659
2022-01-01 05:00:00,1.6665,1.69,1.6609,1.6766
2022-01-01 06:00:00,1.676,1.6831,1.6646,1.6664
2022-01-01 07:00:00,1.6656,1.6704,1.6585,1.669
2022-01-01 08:00:00,1.6677,1.6767,1.6614,1.6628
2022-01-01 09:00:00,1.6629,1.6677,1.6513,1.6586
2022-01-01 10:00:00,1.6586,1.6637,1.6313,1.6407
2022-01-01 11:00:00,1.6406,1.6491,1.6391,1.6408
2022-01-01 12:00:00,1.6409,1.6652,1.6391,1.6599
2022-01-01 13:00:00,1.6609,1.6634,1.649,1.6574
2022-01-01 14:00:00,1.6574,1.6659,1.6518,1.6566
2022-01-01 15:00:00,1.656,1.686,1.6525,1.6686
2022-01-01 16:00:00,1.6694,1.6847,1.6689,1.6819
2022-01-01 17:00:00,1.6819,1.7209,1.6819,1.7164
2022-01-01 18:00:00,1.7168,1.7632,1.713,1.7591
2022-01-01 19:00:00,1.7597,1.7673,1.738,1.7512
2022-01-01 20:00:00,1.7514,1.7699,1.7514,1.7537
2022-01-01 21:00:00,1.7535,1.766,1.7318,1.7484
2022-01-01 22:00:00,1.7475,1.7475,1.7344,1.746
2022-01-01 23:00:00,1.7457,1.7504,1.7303,1.7433
2022-01-02 00:00:00,1.7427,1.7842,1.7335,1.765
2022-01-02 01:00:00,1.7651,1.7652,1.711,1.7127
2022-01-02 02:00:00,1.7136,1.7499,1.7076,1.7429
2022-01-02 03:00:00,1.7432,1.7463,1.7222,1.724
2022-01-02 04:00:00,1.7236,1.7352,1.6954,1.7052
2022-01-02 05:00:00,1.7054,1.714,1.6946,1.7049
2022-01-02 06:00:00,1.7047,1.7112,1.7018,1.7028
2022-01-02 07:00:00,1.7026,1.7071,1.6979,1.6981
2022-01-02 08:00:00,1.6981,1.7027,1.6819,1.6982
2022-01-02 09:00:00,1.6982,1.7122,1.6956,1.7021
2022-01-02 10:00:00,1.7016,1.7068,1.6851,1.6853
2022-01-02 11:00:00,1.6853,1.6935,1.6701,1.6747
2022-01-02 12:00:00,1.6747,1.6842,1.6602,1.6791
2022-01-02 13:00:00,1.6786,1.6791,1.6602,1.6714
2022-01-02 14:00:00,1.6705,1.6743,1.6672,1.6693
2022-01-02 15:00:00,1.6692,1.6823,1.6673,1.681
2022-01-02 16:00:00,1.6808,1.7065,1.6793,1.702
2022-01-02 17:00:00,1.702,1.7073,1.6901,1.6944
2022-01-02 18:00:00,1.6944,1.7076,1.6604,1.6815
2022-01-02 19:00:00,1.6796,1.6858,1.6686,1.6786
2022-01-02 20:00:00,1.6782,1.6804,1.6665,1.6697
2022-01-02 21:00:00,1.67,1.6773,1.6616,1.6651
2022-01-02 22:00:00,1.6652,1.691,1.6647,1.67
2022-01-02 23:00:00,1.67,1.6808,1.6675,1.6739
2022-01-03 00:00:00,1.6731,1.674,1.6444,1.667
2022-01-03 01:00:00,1.667,1.675,1.6569,1.6643
2022-01-03 02:00:00,1.6633,1.6633,1.644,1.6516
2022-01-03 03:00:00,1.6516,1.655,1.6261,1.6374
2022-01-03 04:00:00,1.6373,1.6495,1.6318,1.6448
2022-01-03 05:00:00,1.6442,1.6597,1.642,1.6543
2022-01-03 06:00:00,1.6546,1.6552,1.6417,1.6433
2022-01-03 07:00:00,1.643,1.6496,1.64,1.648
2022-01-03 08:00:00,1.648,1.6571,1.6453,1.6512
2022-01-03 09:00:00,1.6517,1.6653,1.6478,1.6649
2022-01-03 10:00:00,1.6655,1.678,1.6619,1.671
2022-01-03 11:00:00,1.6709,1.6982,1.6709,1.6922
2022-01-03 12:00:00,1.6928,1.6994,1.6771,1.6805
2022-01-03 13:00:00,1.6808,1.7275,1.6808,1.7222
2022-01-03 14:00:00,1.722,1.7292,1.7047,1.7071
2022-01-03 15:00:00,1.706,1.7451,1.706,1.7365
