datetime,ALPACABUSD_open,ALPACABUSD_high,ALPACABUSD_low,ALPACABUSD_close
2022-01-01 00:00:00,0.5954,0.6012,0.594,0.5962
2022-01-01 01:00:00,0.5966,0.5973,0.595,0.595
2022-01-01 02:00:00,0.5953,0.5966,0.5907,0.5966
2022-01-01 03:00:00,0.5947,0.5955,0.5915,0.5927
2022-01-01 04:00:00,0.5925,0.5948,0.5906,0.5925
2022-01-01 05:00:00,0.5918,0.6179,0.586,0.6121
2022-01-01 06:00:00,0.6131,0.621,0.6086,0.6207
2022-01-01 07:00:00,0.6203,0.6221,0.6092,0.6143
2022-01-01 08:00:00,0.6143,0.6442,0.6125,0.6424
2022-01-01 09:00:00,0.641,0.686,0.6387,0.6717
2022-01-01 10:00:00,0.6705,0.6713,0.6373,0.6391
2022-01-01 11:00:00,0.6388,0.6463,0.6354,0.6448
2022-01-01 12:00:00,0.6457,0.647,0.6312,0.6319
2022-01-01 13:00:00,0.6319,0.6348,0.6256,0.6299
2022-01-01 14:00:00,0.6307,0.6366,0.628,0.6281
2022-01-01 15:00:00,0.6283,0.63,0.6237,0.6249
2022-01-01 16:00:00,0.6246,0.627,0.6228,0.6236
2022-01-01 17:00:00,0.623,0.6262,0.623,0.6261
2022-01-01 18:00:00,0.6261,0.6293,0.6232,0.6255
2022-01-01 19:00:00,0.6255,0.6282,0.6228,0.6247
2022-01-01 20:00:00,0.6228,0.6282,0.6204,0.6282
2022-01-01 21:00:00,0.627,0.6281,0.6236,0.6281
2022-01-01 22:00:00,0.6277,0.6311,0.6237,0.6256
2022-01-01 23:00:00,0.6256,0.6283,0.6074,0.6082
2022-01-02 00:00:00,0.6083,0.6144,0.6083,0.6142
2022-01-02 01:00:00,0.6141,0.6142,0.6085,0.6109
2022-01-02 02:00:00,0.6118,0.6147,0.6091,0.6101
2022-01-02 03:00:00,0.6104,0.6147,0.6086,0.6135
2022-01-02 04:00:00,0.6136,0.6157,0.6074,0.608
2022-01-02 05:00:00,0.6074,0.6103,0.6038,0.6046
2022-01-02 06:00:00,0.605,0.6111,0.605,0.6093
