datetime,ALPHABUSD_open,ALPHABUSD_high,ALPHABUSD_low,ALPHABUSD_close
2022-01-01 00:00:00,0.6695,0.68,0.6695,0.6759
2022-01-01 01:00:00,0.6785,0.6785,0.6727,0.6727
2022-01-01 02:00:00,0.6737,0.6785,0.6736,0.6778
2022-01-01 03:00:00,0.6778,0.6796,0.677,0.677
2022-01-01 04:00:00,0.6777,0.6789,0.6723,0.6752
2022-01-01 05:00:00,0.6757,0.6776,0.6688,0.6731
2022-01-01 06:00:00,0.6747,0.6785,0.6747,0.6759
2022-01-01 07:00:00,0.6772,0.6817,0.6772,0.6817
2022-01-01 08:00:00,0.6819,0.6831,0.6787,0.6808
2022-01-01 09:00:00,0.6787,0.6813,0.6773,0.6812
2022-01-01 10:00:00,0.682,0.6851,0.681,0.6815
2022-01-01 11:00:00,0.683,0.686,0.6814,0.683
2022-01-01 12:00:00,0.6823,0.6896,0.6813,0.6868
2022-01-01 13:00:00,0.6868,0.6891,0.6847,0.6873
2022-01-01 14:00:00,0.6884,0.6894,0.6855,0.6872
2022-01-01 15:00:00,0.6884,0.6937,0.6883,0.6933
2022-01-01 16:00:00,0.694,0.6943,0.6904,0.6915
2022-01-01 17:00:00,0.692,0.6937,0.6918,0.693
2022-01-01 18:00:00,0.6908,0.6997,0.6903,0.6986
2022-01-01 19:00:00,0.7,0.7005,0.6927,0.698
2022-01-01 20:00:00,0.6955,0.6955,0.6934,0.6955
2022-01-01 21:00:00,0.696,0.6968,0.6943,0.6954
2022-01-01 22:00:00,0.6941,0.6953,0.6924,0.6924
2022-01-01 23:00:00,0.6925,0.6943,0.6826,0.6847
2022-01-02 00:00:00,0.6838,0.687,0.682,0.6864
2022-01-02 01:00:00,0.6881,0.6889,0.6857,0.6857
2022-01-02 02:00:00,0.6869,0.6879,0.6855,0.6855
2022-01-02 03:00:00,0.6844,0.6889,0.6829,0.6885
2022-01-02 04:00:00,0.6881,0.6927,0.6881,0.6899
2022-01-02 05:00:00,0.6901,0.6914,0.6889,0.6911
2022-01-02 06:00:00,0.6911,0.693,0.6911,0.6913
2022-01-02 07:00:00,0.6913,0.6966,0.6895,0.6951
2022-01-02 08:00:00,0.6951,0.6957,0.6927,0.6952
2022-01-02 09:00:00,0.696,0.6971,0.6925,0.6936
2022-01-02 10:00:00,0.6938,0.6985,0.6938,0.6983
2022-01-02 11:00:00,0.6982,0.7035,0.6975,0.7034
2022-01-02 12:00:00,0.7026,0.7038,0.6983,0.6988
2022-01-02 13:00:00,0.6983,0.7009,0.6873,0.697
2022-01-02 14:00:00,0.696,0.7005,0.6924,0.6954
2022-01-02 15:00:00,0.6938,0.6968,0.6928,0.6968
2022-01-02 16:00:00,0.6951,0.6996,0.6951,0.6959
2022-01-02 17:00:00,0.6957,0.7013,0.6957,0.7006
2022-01-02 18:00:00,0.7022,0.7025,0.696,0.6962
2022-01-02 19:00:00,0.6959,0.7005,0.6941,0.6941
2022-01-02 20:00:00,0.6937,0.7008,0.6936,0.6989
2022-01-02 21:00:00,0.699,0.699,0.6926,0.6956
2022-01-02 22:00:00,0.6968,0.6973,0.6857,0.686
2022-01-02 23:00:00,0.6851,0.6889,0.6843,0.6872
2022-01-03 00:00:00,0.687,0.6986,0.687,0.6953
2022-01-03 01:00:00,0.6944,0.7018,0.6913,0.6913
2022-01-03 02:00:00,0.6901,0.6936,0.6899,0.6925
