datetime,ANTBUSD_open,ANTBUSD_high,ANTBUSD_low,ANTBUSD_close
2022-01-01 00:00:00,13.42,13.756,13.292,13.625
2022-01-01 01:00:00,13.624,13.644,13.3,13.368
2022-01-01 02:00:00,13.352,13.515,13.282,13.444
2022-01-01 03:00:00,13.411,13.591,13.251,13.252
2022-01-01 04:00:00,13.254,13.331,12.781,12.936
2022-01-01 05:00:00,12.97,13.118,12.726,13.055
2022-01-01 06:00:00,13.053,13.103,12.841,12.948
2022-01-01 07:00:00,12.905,13.119,12.898,13.014
2022-01-01 08:00:00,13.006,13.075,12.885,12.942
2022-01-01 09:00:00,12.962,13.015,12.841,12.946
2022-01-01 10:00:00,12.965,13.134,12.949,12.974
2022-01-01 11:00:00,12.973,13.073,12.67,12.96
2022-01-01 12:00:00,12.906,13.086,12.9,13.016
2022-01-01 13:00:00,13.006,13.007,12.843,12.92
2022-01-01 14:00:00,12.94,13.04,12.861,12.942
2022-01-01 15:00:00,12.934,12.975,12.731,12.939
2022-01-01 16:00:00,12.96,13.14,12.925,13.133
2022-01-01 17:00:00,13.096,13.148,12.937,12.98
2022-01-01 18:00:00,13.004,13.212,12.923,13.079
2022-01-01 19:00:00,13.083,13.544,12.922,13.355
2022-01-01 20:00:00,13.333,13.379,13.019,13.037
2022-01-01 21:00:00,13.052,13.052,12.373,12.557
2022-01-01 22:00:00,12.561,12.691,12.438,12.599
2022-01-01 23:00:00,12.603,12.604,12.436,12.531
2022-01-02 00:00:00,12.53,12.594,12.414,12.497
2022-01-02 01:00:00,12.492,12.678,12.468,12.58
2022-01-02 02:00:00,12.58,12.749,12.545,12.711
2022-01-02 03:00:00,12.711,13.066,12.675,12.906
2022-01-02 04:00:00,12.884,13.011,12.815,12.974
2022-01-02 05:00:00,12.938,12.973,12.616,12.878
2022-01-02 06:00:00,12.879,12.931,12.741,12.823
2022-01-02 07:00:00,12.822,12.929,12.776,12.807
2022-01-02 08:00:00,12.831,12.831,12.645,12.686
2022-01-02 09:00:00,12.671,12.733,12.489,12.586
2022-01-02 10:00:00,12.586,13.074,12.538,13.041
2022-01-02 11:00:00,13.042,13.36,12.994,13.053
2022-01-02 12:00:00,13.071,13.106,12.84,12.914
2022-01-02 13:00:00,12.915,12.99,12.749,12.947
2022-01-02 14:00:00,12.918,12.99,12.802,12.91
2022-01-02 15:00:00,12.919,12.968,12.845,12.902
2022-01-02 16:00:00,12.898,13.094,12.886,13.048
2022-01-02 17:00:00,13.042,13.172,12.957,13.172
2022-01-02 18:00:00,13.168,13.281,13.019,13.019
2022-01-02 19:00:00,13.05,13.349,12.98,13.209
2022-01-02 20:00:00,13.235,13.253,12.794,12.843
2022-01-02 21:00:00,12.834,12.972,12.654,12.972
2022-01-02 22:00:00,12.953,13.843,12.931,13.799
2022-01-02 23:00:00,13.815,13.899,13.4,13.438
2022-01-03 00:00:00,13.4,13.591,13.28,13.521
2022-01-03 01:00:00,13.544,13.699,13.395,13.463
2022-01-03 02:00:00,13.486,13.617,13.352,13.51
2022-01-03 03:00:00,13.544,13.637,13.256,13.256
2022-01-03 04:00:00,13.295,13.347,13.121,13.187
2022-01-03 05:00:00,13.192,13.328,13.098,13.226
2022-01-03 06:00:00,13.241,13.32,13.109,13.262
2022-01-03 07:00:00,13.282,13.283,12.435,12.526
2022-01-03 08:00:00,12.52,12.55,12.314,12.49
2022-01-03 09:00:00,12.491,12.512,12.167,12.445
2022-01-03 10:00:00,12.469,12.476,11.94,12.073
2022-01-03 11:00:00,12.073,12.125,11.751,11.93
2022-01-03 12:00:00,11.975,12.016,11.867,11.904
2022-01-03 13:00:00,11.887,11.968,11.872,11.916
2022-01-03 14:00:00,11.916,11.938,11.752,11.786
2022-01-03 15:00:00,11.798,11.816,11.611,11.71
