datetime,API3USD_open,API3USD_high,API3USD_low,API3USD_close
2022-01-01 00:00:00,4.23,4.26,4.22,4.26
2022-01-01 01:00:00,4.26,4.37,4.26,4.36
2022-01-01 02:00:00,4.36,4.37,4.27,4.29
2022-01-01 03:00:00,4.29,4.29,4.26,4.27
2022-01-01 04:00:00,4.27,4.28,4.25,4.27
2022-01-01 05:00:00,4.27,4.31,4.27,4.29
2022-01-01 06:00:00,4.29,4.31,4.29,4.29
2022-01-01 07:00:00,4.29,4.32,4.29,4.29
2022-01-01 08:00:00,4.3,4.3,4.27,4.28
2022-01-01 09:00:00,4.28,4.29,4.26,4.26
2022-01-01 10:00:00,4.25,4.26,4.24,4.26
2022-01-01 11:00:00,4.26,4.26,4.24,4.24
2022-01-01 12:00:00,4.25,4.27,4.25,4.27
2022-01-01 13:00:00,4.25,4.27,4.22,4.24
2022-01-01 14:00:00,4.22,4.24,4.22,4.24
2022-01-01 15:00:00,4.24,4.28,4.23,4.27
2022-01-01 16:00:00,4.27,4.31,4.26,4.31
2022-01-01 17:00:00,4.31,4.35,4.29,4.35
2022-01-01 18:00:00,4.35,4.36,4.33,4.33
2022-01-01 19:00:00,4.34,4.36,4.33,4.35
2022-01-01 20:00:00,4.35,4.37,4.34,4.34
2022-01-01 21:00:00,4.33,4.34,4.32,4.34
2022-01-01 22:00:00,4.34,4.35,4.33,4.33
2022-01-01 23:00:00,4.34,4.37,4.33,4.36
2022-01-02 00:00:00,4.38,4.43,4.36,4.43
2022-01-02 01:00:00,4.42,4.47,4.41,4.43
2022-01-02 02:00:00,4.43,4.44,4.42,4.44
2022-01-02 03:00:00,4.42,4.45,4.42,4.42
2022-01-02 04:00:00,4.42,4.56,4.42,4.51
2022-01-02 05:00:00,4.51,4.51,4.41,4.41
2022-01-02 06:00:00,4.42,4.46,4.41,4.44
2022-01-02 07:00:00,4.45,4.46,4.44,4.45
2022-01-02 08:00:00,4.46,4.46,4.44,4.44
2022-01-02 09:00:00,4.45,4.49,4.44,4.46
2022-01-02 10:00:00,4.45,4.46,4.45,4.46
2022-01-02 11:00:00,4.45,4.46,4.45,4.45
2022-01-02 12:00:00,4.46,4.49,4.45,4.47
2022-01-02 13:00:00,4.47,4.49,4.47,4.49
2022-01-02 14:00:00,4.48,4.49,4.42,4.43
2022-01-02 15:00:00,4.43,4.43,4.41,4.43
2022-01-02 16:00:00,4.42,4.48,4.42,4.47
2022-01-02 17:00:00,4.47,4.48,4.46,4.47
2022-01-02 18:00:00,4.48,4.53,4.41,4.41
2022-01-02 19:00:00,4.42,4.45,4.41,4.43
2022-01-02 20:00:00,4.43,4.43,4.41,4.42
2022-01-02 21:00:00,4.42,4.45,4.41,4.43
2022-01-02 22:00:00,4.43,4.44,4.32,4.33
2022-01-02 23:00:00,4.33,4.36,4.32,4.34
2022-01-03 00:00:00,4.34,4.34,4.32,4.33
2022-01-03 01:00:00,4.32,4.35,4.31,4.31
2022-01-03 02:00:00,4.31,4.31,4.28,4.31
2022-01-03 03:00:00,4.31,4.31,4.29,4.3
2022-01-03 04:00:00,4.3,4.33,4.3,4.32
2022-01-03 05:00:00,4.31,4.31,4.28,4.29
2022-01-03 06:00:00,4.29,4.3,4.28,4.3
2022-01-03 07:00:00,4.3,4.31,4.28,4.29
2022-01-03 08:00:00,4.3,4.33,4.28,4.29
2022-01-03 09:00:00,4.28,4.29,4.28,4.29
2022-01-03 10:00:00,4.29,4.29,4.28,4.28
2022-01-03 11:00:00,4.29,4.31,4.28,4.29
2022-01-03 12:00:00,4.3,4.3,4.24,4.24
2022-01-03 13:00:00,4.25,4.25,4.1,4.11
2022-01-03 14:00:00,4.11,4.21,4.11,4.2
2022-01-03 15:00:00,4.2,4.21,4.07,4.08
2022-01-03 16:00:00,4.07,4.13,4.07,4.13
2022-01-03 17:00:00,4.13,4.23,4.12,4.18
2022-01-03 18:00:00,4.18,4.18,4.11,4.11
2022-01-03 19:00:00,4.11,4.19,4.08,4.1
2022-01-03 20:00:00,4.12,4.13,4.07,4.1
2022-01-03 21:00:00,4.1,4.16,4.09,4.15
2022-01-03 22:00:00,4.15,4.16,4.13,4.15
2022-01-03 23:00:00,4.13,4.15,4.13,4.14
2022-01-04 00:00:00,4.13,4.17,4.12,4.17
2022-01-04 01:00:00,4.17,4.18,4.15,4.16
2022-01-04 02:00:00,4.18,4.2,4.16,4.18
2022-01-04 03:00:00,4.19,4.2,4.18,4.2
2022-01-04 04:00:00,4.19,4.2,4.1,4.11
2022-01-04 05:00:00,4.11,4.13,4.06,4.07
2022-01-04 06:00:00,4.07,4.08,4.06,4.08
