datetime,ARBUSD_open,ARBUSD_high,ARBUSD_low,ARBUSD_close
2022-01-01 00:00:00,61.97,63.7,61.97,62.77
2022-01-01 01:00:00,62.8,63.39,62.05,62.17
2022-01-01 02:00:00,62.17,62.68,62.11,62.11
2022-01-01 03:00:00,62.21,62.55,62.07,62.39
2022-01-01 04:00:00,62.37,63.16,61.78,62.03
2022-01-01 05:00:00,62.04,62.24,61.26,61.84
2022-01-01 06:00:00,61.75,61.97,61.16,61.16
2022-01-01 07:00:00,61.18,61.78,61.03,61.58
2022-01-01 08:00:00,61.63,62.41,61.33,62.4
2022-01-01 09:00:00,62.38,62.77,61.46,62.27
2022-01-01 10:00:00,62.24,63.47,62.12,63.46
2022-01-01 11:00:00,63.44,66.81,63.4,66.39
2022-01-01 12:00:00,66.36,66.94,65.15,65.62
2022-01-01 13:00:00,65.71,66.09,64.39,64.46
2022-01-01 14:00:00,64.64,66.06,64.46,65.28
2022-01-01 15:00:00,65.27,66.31,65.27,65.9
2022-01-01 16:00:00,65.97,66.07,65.07,65.73
2022-01-01 17:00:00,65.64,65.89,65.27,65.76
2022-01-01 18:00:00,65.78,66.18,65.23,65.9
2022-01-01 19:00:00,66.18,66.19,64.54,64.69
2022-01-01 20:00:00,64.64,64.68,64.01,64.22
2022-01-01 21:00:00,64.24,64.44,64.08,64.21
2022-01-01 22:00:00,64.31,64.36,63.42,63.65
2022-01-01 23:00:00,63.6,63.79,62.6,62.82
2022-01-02 00:00:00,62.81,63.45,62.81,63.11
2022-01-02 01:00:00,63.08,63.42,62.91,63.0
2022-01-02 02:00:00,62.9,63.02,62.38,62.82
2022-01-02 03:00:00,62.69,62.69,61.98,62.07
2022-01-02 04:00:00,62.15,62.66,61.97,62.15
2022-01-02 05:00:00,62.15,62.35,62.05,62.27
2022-01-02 06:00:00,62.32,62.77,62.18,62.6
2022-01-02 07:00:00,62.61,62.69,61.75,62.07
2022-01-02 08:00:00,62.0,62.0,61.73,61.87
2022-01-02 09:00:00,61.87,62.07,61.69,61.73
2022-01-02 10:00:00,61.72,62.04,61.48,61.62
2022-01-02 11:00:00,61.54,61.58,61.09,61.39
2022-01-02 12:00:00,61.34,61.6,61.19,61.21
2022-01-02 13:00:00,61.19,61.24,59.97,60.57
2022-01-02 14:00:00,60.48,60.59,60.0,60.0
2022-01-02 15:00:00,60.09,60.23,59.82,60.18
2022-01-02 16:00:00,60.12,60.16,59.86,59.91
2022-01-02 17:00:00,59.92,60.27,59.86,60.12
2022-01-02 18:00:00,60.13,60.5,60.03,60.1
2022-01-02 19:00:00,60.18,60.18,59.05,59.05
2022-01-02 20:00:00,59.07,59.4,58.87,59.2
2022-01-02 21:00:00,59.16,59.18,58.61,58.72
2022-01-02 22:00:00,58.66,58.85,58.34,58.62
2022-01-02 23:00:00,58.51,59.04,58.45,58.67
2022-01-03 00:00:00,58.71,59.06,58.64,58.86
2022-01-03 01:00:00,58.92,59.3,58.72,58.91
2022-01-03 02:00:00,58.94,58.94,58.52,58.68
2022-01-03 03:00:00,58.82,59.18,58.82,59.13
2022-01-03 04:00:00,59.15,59.52,58.81,59.41
2022-01-03 05:00:00,59.37,60.0,59.36,59.8
2022-01-03 06:00:00,59.79,61.32,59.78,60.66
2022-01-03 07:00:00,60.78,61.1,59.58,59.86
2022-01-03 08:00:00,59.87,60.88,59.87,60.3
2022-01-03 09:00:00,60.29,61.19,59.93,60.61
2022-01-03 10:00:00,60.64,60.64,59.54,59.65
2022-01-03 11:00:00,59.57,60.02,57.57,58.37
2022-01-03 12:00:00,58.47,58.67,58.09,58.43
2022-01-03 13:00:00,58.47,58.74,57.85,58.3
2022-01-03 14:00:00,58.29,58.52,58.09,58.09
2022-01-03 15:00:00,58.07,58.35,57.17,57.83
2022-01-03 16:00:00,57.79,59.63,57.47,58.56
2022-01-03 17:00:00,58.54,60.15,58.2,59.58
2022-01-03 18:00:00,59.44,60.18,59.21,59.9
2022-01-03 19:00:00,59.82,60.99,59.34,59.54
2022-01-03 20:00:00,59.54,60.58,58.85,60.19
2022-01-03 21:00:00,60.19,61.58,59.66,60.7
2022-01-03 22:00:00,60.88,62.35,60.44,61.61
2022-01-03 23:00:00,61.62,62.5,61.02,61.24
2022-01-04 00:00:00,61.29,62.2,61.02,61.89
2022-01-04 01:00:00,61.8,62.04,61.34,61.9
2022-01-04 02:00:00,61.88,62.8,61.87,62.67
2022-01-04 03:00:00,62.69,63.76,62.65,63.66
2022-01-04 04:00:00,63.68,64.54,63.44,64.11
2022-01-04 05:00:00,64.21,65.76,63.91,65.6
2022-01-04 06:00:00,65.74,65.94,65.18,65.76
2022-01-04 07:00:00,65.77,65.78,64.15,64.66
2022-01-04 08:00:00,64.57,65.81,64.37,65.81
2022-01-04 09:00:00,65.81,68.96,65.78,68.36
2022-01-04 10:00:00,68.4,68.59,67.3,67.47
2022-01-04 11:00:00,67.59,67.64,66.39,66.9
2022-01-04 12:00:00,66.82,67.47,66.3,66.86
2022-01-04 13:00:00,66.86,67.22,64.85,65.57
2022-01-04 14:00:00,65.5,67.45,64.87,65.44
2022-01-04 15:00:00,65.46,66.39,65.07,65.96
2022-01-04 16:00:00,65.94,68.12,65.3,66.85
2022-01-04 17:00:00,66.79,66.79,63.21,63.48
2022-01-04 18:00:00,63.48,63.81,62.58,62.76
2022-01-04 19:00:00,62.81,63.64,61.61,62.88
2022-01-04 20:00:00,62.88,62.88,60.93,61.11
2022-01-04 21:00:00,61.09,62.41,61.03,62.03
2022-01-04 22:00:00,62.13,63.01,61.86,62.77
2022-01-04 23:00:00,62.63,62.65,62.09,62.35
2022-01-05 00:00:00,62.38,62.48,61.97,62.35
2022-01-05 01:00:00,62.21,63.35,61.49,63.11
2022-01-05 02:00:00,63.19,63.93,62.46,63.45
2022-01-05 03:00:00,63.5,65.01,63.04,64.21
2022-01-05 04:00:00,64.21,65.61,64.21,65.05
2022-01-05 05:00:00,65.11,65.26,63.48,64.51
2022-01-05 06:00:00,64.42,64.44,62.96,63.8
2022-01-05 07:00:00,63.9,64.18,62.66,63.52
2022-01-05 08:00:00,63.44,63.9,63.05,63.23
2022-01-05 09:00:00,63.35,63.71,62.56,63.3
2022-01-05 10:00:00,63.25,63.5,62.58,63.13
2022-01-05 11:00:00,63.13,63.18,61.7,62.07
2022-01-05 12:00:00,62.02,62.59,60.59,60.59
2022-01-05 13:00:00,60.58,61.97,60.06,61.21
2022-01-05 14:00:00,61.09,61.4,58.07,58.5
2022-01-05 15:00:00,58.33,59.31,57.63,57.77
2022-01-05 16:00:00,57.62,58.8,56.46,56.47
2022-01-05 17:00:00,56.6,57.12,52.98,56.39
2022-01-05 18:00:00,56.31,57.93,55.63,56.38
2022-01-05 19:00:00,56.33,57.03,56.0,56.41
2022-01-05 20:00:00,56.55,56.7,55.53,55.73
2022-01-05 21:00:00,55.69,56.65,55.16,55.32
2022-01-05 22:00:00,55.39,56.96,54.7,54.99
2022-01-05 23:00:00,55.1,56.54,54.75,56.42
2022-01-06 00:00:00,56.29,56.88,55.78,56.16
2022-01-06 01:00:00,56.13,56.48,55.06,55.69
2022-01-06 02:00:00,55.77,56.33,55.39,55.99
2022-01-06 03:00:00,56.0,56.01,53.96,54.48
2022-01-06 04:00:00,54.52,54.59,52.98,53.26
2022-01-06 05:00:00,53.27,54.68,53.27,54.45
2022-01-06 06:00:00,54.49,54.81,54.05,54.46
2022-01-06 07:00:00,54.7,54.7,53.55,54.39
2022-01-06 08:00:00,54.46,55.21,54.1,55.06
2022-01-06 09:00:00,55.13,55.99,54.71,55.16
2022-01-06 10:00:00,55.35,55.74,54.45,55.51
2022-01-06 11:00:00,55.58,55.58,54.36,54.93
2022-01-06 12:00:00,54.87,55.14,54.27,54.95
2022-01-06 13:00:00,54.88,56.47,54.86,56.39
2022-01-06 14:00:00,56.25,56.25,55.38,55.44
2022-01-06 15:00:00,55.48,55.85,54.52,55.09
2022-01-06 16:00:00,55.16,55.58,54.79,55.26
2022-01-06 17:00:00,55.37,55.58,54.56,55.02
2022-01-06 18:00:00,55.0,56.06,54.9,55.24
2022-01-06 19:00:00,55.32,55.54,53.57,53.71
2022-01-06 20:00:00,53.7,54.22,53.22,54.1
2022-01-06 21:00:00,54.01,54.06,52.98,52.99
2022-01-06 22:00:00,53.15,53.18,49.8,50.34
2022-01-06 23:00:00,50.27,51.02,48.48,50.68
2022-01-07 00:00:00,50.7,51.33,50.27,51.05
2022-01-07 01:00:00,51.04,51.18,49.61,50.16
2022-01-07 02:00:00,50.14,50.71,49.32,50.71
2022-01-07 03:00:00,50.65,51.85,50.32,51.07
2022-01-07 04:00:00,51.01,52.12,50.97,51.47
2022-01-07 05:00:00,51.64,52.19,50.65,50.65
2022-01-07 06:00:00,50.7,51.37,50.6,50.69
