datetime,ARPAUSD_open,ARPAUSD_high,ARPAUSD_low,ARPAUSD_close
2022-01-01 00:00:00,0.0975,0.099,0.0975,0.0987
2022-01-01 01:00:00,0.0987,0.0992,0.0983,0.0987
2022-01-01 02:00:00,0.0986,0.0996,0.0986,0.0996
2022-01-01 03:00:00,0.0995,0.0995,0.0985,0.0987
2022-01-01 04:00:00,0.0988,0.0988,0.0976,0.0979
2022-01-01 05:00:00,0.0981,0.0997,0.0979,0.0988
2022-01-01 06:00:00,0.0989,0.0994,0.0987,0.0988
2022-01-01 07:00:00,0.0988,0.0993,0.0985,0.099
2022-01-01 08:00:00,0.099,0.0996,0.0989,0.0989
2022-01-01 09:00:00,0.0989,0.0989,0.0978,0.0986
2022-01-01 10:00:00,0.0986,0.0986,0.097,0.0979
2022-01-01 11:00:00,0.0978,0.0982,0.0976,0.0978
2022-01-01 12:00:00,0.098,0.0988,0.0979,0.0986
2022-01-01 13:00:00,0.0987,0.0988,0.098,0.0982
2022-01-01 14:00:00,0.0982,0.0984,0.0979,0.0981
2022-01-01 15:00:00,0.098,0.0997,0.098,0.0993
2022-01-01 16:00:00,0.0993,0.0996,0.0988,0.0989
2022-01-01 17:00:00,0.099,0.0997,0.0988,0.0992
2022-01-01 18:00:00,0.0995,0.0995,0.0989,0.0993
2022-01-01 19:00:00,0.0993,0.0994,0.0989,0.099
2022-01-01 20:00:00,0.0992,0.0995,0.099,0.0993
2022-01-01 21:00:00,0.0993,0.0997,0.0988,0.0991
2022-01-01 22:00:00,0.099,0.0992,0.0988,0.099
2022-01-01 23:00:00,0.099,0.1002,0.0986,0.0999
2022-01-02 00:00:00,0.1002,0.1002,0.0988,0.0998
2022-01-02 01:00:00,0.0998,0.0998,0.0989,0.0989
2022-01-02 02:00:00,0.099,0.0995,0.0989,0.0993
2022-01-02 03:00:00,0.0994,0.0995,0.099,0.0992
2022-01-02 04:00:00,0.0991,0.0998,0.0984,0.0988
2022-01-02 05:00:00,0.0987,0.0994,0.0984,0.0993
2022-01-02 06:00:00,0.0993,0.0993,0.0989,0.0991
2022-01-02 07:00:00,0.0991,0.0996,0.0991,0.0991
2022-01-02 08:00:00,0.099,0.0999,0.0987,0.0997
2022-01-02 09:00:00,0.0999,0.1019,0.0997,0.1009
2022-01-02 10:00:00,0.1009,0.101,0.1002,0.1004
2022-01-02 11:00:00,0.1005,0.1009,0.1003,0.1003
2022-01-02 12:00:00,0.1003,0.1007,0.0999,0.1004
2022-01-02 13:00:00,0.1004,0.1004,0.0995,0.0998
2022-01-02 14:00:00,0.1,0.1011,0.0997,0.1011
2022-01-02 15:00:00,0.1012,0.1041,0.1012,0.1034
2022-01-02 16:00:00,0.1033,0.1047,0.1028,0.1031
2022-01-02 17:00:00,0.1032,0.1036,0.1022,0.1024
2022-01-02 18:00:00,0.1024,0.1024,0.1002,0.1014
2022-01-02 19:00:00,0.1013,0.1018,0.1008,0.1012
2022-01-02 20:00:00,0.1012,0.1015,0.1007,0.1011
2022-01-02 21:00:00,0.101,0.1011,0.1003,0.1004
2022-01-02 22:00:00,0.1005,0.1038,0.1005,0.1021
2022-01-02 23:00:00,0.1024,0.1024,0.0995,0.1
2022-01-03 00:00:00,0.1001,0.1003,0.0992,0.0998
2022-01-03 01:00:00,0.0998,0.1001,0.0987,0.0987
2022-01-03 02:00:00,0.0987,0.0989,0.0983,0.0986
2022-01-03 03:00:00,0.0985,0.0987,0.098,0.098
2022-01-03 04:00:00,0.0981,0.099,0.0981,0.0987
2022-01-03 05:00:00,0.0987,0.0996,0.0986,0.0994
2022-01-03 06:00:00,0.0991,0.0996,0.0986,0.0986
2022-01-03 07:00:00,0.0989,0.0991,0.0984,0.099
2022-01-03 08:00:00,0.0989,0.1001,0.0989,0.1001
2022-01-03 09:00:00,0.1002,0.1004,0.0989,0.0998
2022-01-03 10:00:00,0.0999,0.1021,0.0995,0.101
2022-01-03 11:00:00,0.101,0.102,0.1005,0.101
2022-01-03 12:00:00,0.1011,0.1017,0.1004,0.1004
2022-01-03 13:00:00,0.1006,0.1021,0.1006,0.1015
2022-01-03 14:00:00,0.1014,0.1018,0.1007,0.1011
2022-01-03 15:00:00,0.101,0.1012,0.0999,0.1006
2022-01-03 16:00:00,0.1007,0.1008,0.0986,0.0998
2022-01-03 17:00:00,0.1002,0.1016,0.1,0.1003
2022-01-03 18:00:00,0.1007,0.1022,0.1,0.1019
2022-01-03 19:00:00,0.102,0.102,0.0994,0.0995
2022-01-03 20:00:00,0.0993,0.0998,0.0976,0.099
2022-01-03 21:00:00,0.0989,0.0996,0.0986,0.099
2022-01-03 22:00:00,0.099,0.1003,0.0989,0.1001
2022-01-03 23:00:00,0.1002,0.1004,0.0996,0.1004
2022-01-04 00:00:00,0.1005,0.1008,0.099,0.0993
2022-01-04 01:00:00,0.0993,0.0999,0.0989,0.0994
2022-01-04 02:00:00,0.0995,0.0996,0.0985,0.0995
2022-01-04 03:00:00,0.0995,0.0996,0.0987,0.0994
2022-01-04 04:00:00,0.0992,0.1,0.0991,0.0996
2022-01-04 05:00:00,0.0995,0.1001,0.0991,0.1
2022-01-04 06:00:00,0.1,0.1013,0.0992,0.1013
2022-01-04 07:00:00,0.101,0.1016,0.1004,0.1012
2022-01-04 08:00:00,0.1013,0.103,0.1009,0.1026
2022-01-04 09:00:00,0.1024,0.1029,0.1013,0.1017
2022-01-04 10:00:00,0.1019,0.103,0.1016,0.102
2022-01-04 11:00:00,0.1021,0.1028,0.102,0.1024
2022-01-04 12:00:00,0.1022,0.1023,0.1011,0.1021
2022-01-04 13:00:00,0.102,0.1023,0.1012,0.1021
2022-01-04 14:00:00,0.1023,0.1028,0.1016,0.1024
