datetime,ATABUSD_open,ATABUSD_high,ATABUSD_low,ATABUSD_close
2022-01-01 00:00:00,0.6485,0.6569,0.6485,0.6517
2022-01-01 01:00:00,0.6525,0.6556,0.6523,0.6525
2022-01-01 02:00:00,0.6513,0.6589,0.6489,0.6576
2022-01-01 03:00:00,0.6569,0.6573,0.651,0.652
2022-01-01 04:00:00,0.653,0.6536,0.648,0.653
2022-01-01 05:00:00,0.6544,0.6561,0.6425,0.6491
2022-01-01 06:00:00,0.6517,0.6522,0.6464,0.6465
2022-01-01 07:00:00,0.6485,0.6549,0.6485,0.6525
2022-01-01 08:00:00,0.6505,0.6509,0.6473,0.6497
2022-01-01 09:00:00,0.6498,0.6509,0.6471,0.6498
2022-01-01 10:00:00,0.6501,0.6573,0.649,0.651
2022-01-01 11:00:00,0.6506,0.6533,0.6499,0.6501
2022-01-01 12:00:00,0.651,0.6583,0.6497,0.6565
2022-01-01 13:00:00,0.6565,0.6582,0.6532,0.6555
2022-01-01 14:00:00,0.656,0.6567,0.6542,0.6567
2022-01-01 15:00:00,0.6567,0.6594,0.6562,0.657
2022-01-01 16:00:00,0.6571,0.6589,0.6537,0.654
2022-01-01 17:00:00,0.654,0.6569,0.6526,0.6552
2022-01-01 18:00:00,0.6552,0.6621,0.6552,0.6601
2022-01-01 19:00:00,0.661,0.6637,0.657,0.6637
2022-01-01 20:00:00,0.6622,0.6623,0.6539,0.6556
2022-01-01 21:00:00,0.6555,0.6573,0.6554,0.6558
2022-01-01 22:00:00,0.658,0.6609,0.6571,0.6577
2022-01-01 23:00:00,0.6577,0.6595,0.6471,0.6493
2022-01-02 00:00:00,0.6509,0.655,0.6498,0.6521
2022-01-02 01:00:00,0.6544,0.6555,0.6529,0.6529
2022-01-02 02:00:00,0.6532,0.6592,0.653,0.6537
2022-01-02 03:00:00,0.6549,0.6637,0.6515,0.6608
2022-01-02 04:00:00,0.6599,0.6645,0.6599,0.6645
2022-01-02 05:00:00,0.6646,0.6703,0.6613,0.6645
2022-01-02 06:00:00,0.6625,0.6693,0.6625,0.6659
2022-01-02 07:00:00,0.6674,0.6724,0.6609,0.6682
2022-01-02 08:00:00,0.6681,0.6915,0.6652,0.6765
2022-01-02 09:00:00,0.6753,0.6852,0.6684,0.68
2022-01-02 10:00:00,0.68,0.6816,0.673,0.679
2022-01-02 11:00:00,0.678,0.6806,0.6756,0.6796
2022-01-02 12:00:00,0.6806,0.6828,0.6737,0.677
2022-01-02 13:00:00,0.6757,0.684,0.6616,0.6712
2022-01-02 14:00:00,0.6725,0.6857,0.6698,0.6826
2022-01-02 15:00:00,0.6833,0.684,0.6731,0.6732
2022-01-02 16:00:00,0.6732,0.6818,0.6725,0.6798
2022-01-02 17:00:00,0.6777,0.6806,0.6763,0.6777
2022-01-02 18:00:00,0.6777,0.6791,0.6767,0.678
2022-01-02 19:00:00,0.677,0.677,0.671,0.6721
2022-01-02 20:00:00,0.6721,0.6844,0.6712,0.6835
2022-01-02 21:00:00,0.6823,0.6848,0.6785,0.683
2022-01-02 22:00:00,0.6828,0.6829,0.6683,0.6723
2022-01-02 23:00:00,0.6723,0.6741,0.6681,0.6699
2022-01-03 00:00:00,0.67,0.6715,0.667,0.6696
2022-01-03 01:00:00,0.6689,0.6689,0.6603,0.6618
2022-01-03 02:00:00,0.6623,0.663,0.6604,0.6619
2022-01-03 03:00:00,0.6621,0.6651,0.654,0.6569
2022-01-03 04:00:00,0.6569,0.66,0.6487,0.653
2022-01-03 05:00:00,0.6536,0.6592,0.6526,0.6582
2022-01-03 06:00:00,0.6592,0.6635,0.658,0.6635
2022-01-03 07:00:00,0.661,0.665,0.6573,0.6573
2022-01-03 08:00:00,0.659,0.6652,0.659,0.6636
2022-01-03 09:00:00,0.6635,0.6678,0.6561,0.6678
2022-01-03 10:00:00,0.6679,0.6775,0.6608,0.6608
2022-01-03 11:00:00,0.6624,0.666,0.6408,0.653
2022-01-03 12:00:00,0.653,0.6598,0.6521,0.658
2022-01-03 13:00:00,0.6589,0.6624,0.6559,0.6562
2022-01-03 14:00:00,0.6553,0.6584,0.6519,0.652
2022-01-03 15:00:00,0.6517,0.6524,0.6342,0.6418
2022-01-03 16:00:00,0.642,0.6494,0.6391,0.6456
2022-01-03 17:00:00,0.645,0.6552,0.6446,0.6525
2022-01-03 18:00:00,0.653,0.6608,0.6521,0.6521
2022-01-03 19:00:00,0.6549,0.6609,0.6471,0.6471
2022-01-03 20:00:00,0.6471,0.6544,0.645,0.6485
2022-01-03 21:00:00,0.6475,0.653,0.6411,0.6497
2022-01-03 22:00:00,0.6497,0.6613,0.6452,0.6593
2022-01-03 23:00:00,0.6604,0.6604,0.651,0.651
2022-01-04 00:00:00,0.653,0.6634,0.6513,0.6584
2022-01-04 01:00:00,0.6586,0.6718,0.6569,0.669
2022-01-04 02:00:00,0.6689,0.6728,0.6655,0.6728
2022-01-04 03:00:00,0.6734,0.675,0.6665,0.675
2022-01-04 04:00:00,0.6742,0.6742,0.667,0.6742
2022-01-04 05:00:00,0.6746,0.6759,0.6704,0.6719
2022-01-04 06:00:00,0.6741,0.6832,0.6737,0.6766
2022-01-04 07:00:00,0.6762,0.684,0.6734,0.6766
2022-01-04 08:00:00,0.6745,0.6809,0.6689,0.6785
2022-01-04 09:00:00,0.6794,0.6922,0.6777,0.6877
2022-01-04 10:00:00,0.6889,0.6987,0.6795,0.6859
2022-01-04 11:00:00,0.6841,0.6985,0.6777,0.6917
2022-01-04 12:00:00,0.6905,0.6999,0.6849,0.6934
2022-01-04 13:00:00,0.6937,0.7017,0.666,0.674
2022-01-04 14:00:00,0.6729,0.6945,0.6699,0.6846
2022-01-04 15:00:00,0.685,0.6977,0.6825,0.688
2022-01-04 16:00:00,0.6882,0.6882,0.6779,0.6786
2022-01-04 17:00:00,0.6779,0.684,0.6765,0.679
2022-01-04 18:00:00,0.6777,0.6777,0.6641,0.6644
2022-01-04 19:00:00,0.6658,0.6705,0.6592,0.6705
2022-01-04 20:00:00,0.6705,0.6715,0.6663,0.6665
2022-01-04 21:00:00,0.6685,0.6774,0.6685,0.6766
2022-01-04 22:00:00,0.6778,0.6934,0.6778,0.6899
2022-01-04 23:00:00,0.6881,0.691,0.6809,0.6846
2022-01-05 00:00:00,0.6846,0.6878,0.6816,0.6833
2022-01-05 01:00:00,0.6854,0.7007,0.6854,0.6893
2022-01-05 02:00:00,0.6901,0.6937,0.687,0.6934
2022-01-05 03:00:00,0.6942,0.6961,0.6874,0.6902
2022-01-05 04:00:00,0.691,0.7039,0.6889,0.6969
2022-01-05 05:00:00,0.6969,0.6982,0.6889,0.6926
2022-01-05 06:00:00,0.6905,0.6917,0.6769,0.6809
2022-01-05 07:00:00,0.6815,0.6846,0.6733,0.6827
2022-01-05 08:00:00,0.683,0.6916,0.68,0.689
2022-01-05 09:00:00,0.6902,0.698,0.6841,0.6926
2022-01-05 10:00:00,0.693,0.6937,0.6814,0.6877
2022-01-05 11:00:00,0.687,0.6899,0.6823,0.6875
2022-01-05 12:00:00,0.6875,0.6934,0.677,0.677
2022-01-05 13:00:00,0.677,0.6863,0.668,0.6819
2022-01-05 14:00:00,0.6816,0.715,0.6677,0.6683
2022-01-05 15:00:00,0.6683,0.6683,0.6303,0.6372
2022-01-05 16:00:00,0.6353,0.6432,0.6197,0.6197
2022-01-05 17:00:00,0.6197,0.6359,0.5806,0.6275
2022-01-05 18:00:00,0.6259,0.627,0.6135,0.6146
2022-01-05 19:00:00,0.6144,0.6201,0.61,0.6141
2022-01-05 20:00:00,0.6135,0.6151,0.5954,0.5997
2022-01-05 21:00:00,0.5989,0.6024,0.589,0.589
2022-01-05 22:00:00,0.59,0.591,0.5788,0.5788
2022-01-05 23:00:00,0.582,0.5914,0.5773,0.5913
2022-01-06 00:00:00,0.5883,0.5962,0.5854,0.5906
2022-01-06 01:00:00,0.5899,0.5962,0.5881,0.5931
2022-01-06 02:00:00,0.5926,0.5977,0.5914,0.5953
2022-01-06 03:00:00,0.5942,0.5942,0.5805,0.5873
2022-01-06 04:00:00,0.5884,0.5884,0.5718,0.5726
2022-01-06 05:00:00,0.576,0.5874,0.576,0.5873
2022-01-06 06:00:00,0.5846,0.5866,0.575,0.582
2022-01-06 07:00:00,0.5797,0.5849,0.5727,0.584
2022-01-06 08:00:00,0.585,0.592,0.582,0.592
2022-01-06 09:00:00,0.5903,0.594,0.5862,0.5862
2022-01-06 10:00:00,0.5869,0.5904,0.5819,0.5904
2022-01-06 11:00:00,0.5896,0.5914,0.5826,0.5862
2022-01-06 12:00:00,0.5865,0.5908,0.5854,0.5872
2022-01-06 13:00:00,0.5896,0.5969,0.5881,0.5956
2022-01-06 14:00:00,0.5956,0.5999,0.5937,0.5999
2022-01-06 15:00:00,0.5989,0.5995,0.5888,0.5917
2022-01-06 16:00:00,0.5917,0.5942,0.5896,0.5914
2022-01-06 17:00:00,0.5928,0.595,0.59,0.595
2022-01-06 18:00:00,0.5944,0.5944,0.589,0.589
2022-01-06 19:00:00,0.5914,0.5914,0.5807,0.5838
2022-01-06 20:00:00,0.5843,0.5933,0.583,0.5897
2022-01-06 21:00:00,0.589,0.59,0.582,0.582
2022-01-06 22:00:00,0.5816,0.5835,0.5466,0.5503
2022-01-06 23:00:00,0.5506,0.5559,0.5346,0.5515
2022-01-07 00:00:00,0.5522,0.5582,0.5495,0.5565
2022-01-07 01:00:00,0.5554,0.5554,0.5445,0.5483
2022-01-07 02:00:00,0.5487,0.557,0.5413,0.5569
2022-01-07 03:00:00,0.5563,0.5683,0.5542,0.5622
2022-01-07 04:00:00,0.5621,0.5725,0.5621,0.5682
2022-01-07 05:00:00,0.5682,0.5698,0.5622,0.5622
2022-01-07 06:00:00,0.5672,0.5685,0.5644,0.5675
2022-01-07 07:00:00,0.5695,0.571,0.5672,0.569
2022-01-07 08:00:00,0.5674,0.5723,0.5467,0.5541
2022-01-07 09:00:00,0.5553,0.5675,0.5553,0.5626
2022-01-07 10:00:00,0.5609,0.5609,0.5405,0.5506
2022-01-07 11:00:00,0.5535,0.5658,0.5449,0.5658
2022-01-07 12:00:00,0.5644,0.5645,0.5568,0.5621
2022-01-07 13:00:00,0.5635,0.5636,0.5532,0.5559
2022-01-07 14:00:00,0.5559,0.561,0.553,0.5604
2022-01-07 15:00:00,0.5601,0.5616,0.5523,0.5586
2022-01-07 16:00:00,0.5584,0.5592,0.5544,0.559
2022-01-07 17:00:00,0.5563,0.5566,0.5476,0.5476
2022-01-07 18:00:00,0.5504,0.556,0.5473,0.5547
2022-01-07 19:00:00,0.5555,0.5683,0.5522,0.5683
2022-01-07 20:00:00,0.5667,0.5692,0.5644,0.5668
2022-01-07 21:00:00,0.5645,0.5657,0.56,0.5657
2022-01-07 22:00:00,0.5655,0.5672,0.5577,0.5672
2022-01-07 23:00:00,0.5672,0.5714,0.5647,0.571
2022-01-08 00:00:00,0.569,0.5695,0.5661,0.5695
2022-01-08 01:00:00,0.5697,0.574,0.5657,0.574
2022-01-08 02:00:00,0.5715,0.5738,0.5715,0.5728
2022-01-08 03:00:00,0.5736,0.5751,0.5687,0.5713
2022-01-08 04:00:00,0.5698,0.5742,0.5687,0.5742
2022-01-08 05:00:00,0.5734,0.5737,0.5661,0.5683
2022-01-08 06:00:00,0.566,0.5682,0.5648,0.5682
2022-01-08 07:00:00,0.5688,0.5706,0.5627,0.5653
2022-01-08 08:00:00,0.5631,0.5715,0.5597,0.5715
2022-01-08 09:00:00,0.5715,0.5798,0.5584,0.5584
2022-01-08 10:00:00,0.5607,0.5607,0.5527,0.555
2022-01-08 11:00:00,0.5533,0.5576,0.5429,0.543
2022-01-08 12:00:00,0.5429,0.5439,0.5217,0.5222
2022-01-08 13:00:00,0.5251,0.5336,0.5135,0.5151
2022-01-08 14:00:00,0.5152,0.5248,0.5132,0.5178
2022-01-08 15:00:00,0.5193,0.5225,0.5141,0.5181
2022-01-08 16:00:00,0.518,0.5352,0.518,0.5299
2022-01-08 17:00:00,0.5312,0.541,0.5312,0.5369
2022-01-08 18:00:00,0.5368,0.537,0.5286,0.5293
2022-01-08 19:00:00,0.5297,0.5405,0.5244,0.5369
2022-01-08 20:00:00,0.5386,0.5423,0.5337,0.5412
2022-01-08 21:00:00,0.5399,0.5482,0.5387,0.5482
2022-01-08 22:00:00,0.5459,0.548,0.5402,0.5405
2022-01-08 23:00:00,0.5429,0.5548,0.5429,0.5533
2022-01-09 00:00:00,0.552,0.552,0.5452,0.5463
2022-01-09 01:00:00,0.5466,0.5518,0.5454,0.5495
2022-01-09 02:00:00,0.5473,0.5486,0.5454,0.5486
2022-01-09 03:00:00,0.5485,0.5498,0.5361,0.54
2022-01-09 04:00:00,0.5404,0.5423,0.5343,0.536
2022-01-09 05:00:00,0.5375,0.5474,0.536,0.5427
2022-01-09 06:00:00,0.5452,0.5521,0.5452,0.549
2022-01-09 07:00:00,0.5484,0.5507,0.5439,0.5471
2022-01-09 08:00:00,0.5467,0.5495,0.5402,0.5402
2022-01-09 09:00:00,0.5417,0.5488,0.5417,0.5439
2022-01-09 10:00:00,0.543,0.5454,0.5365,0.5445
2022-01-09 11:00:00,0.5453,0.5554,0.542,0.5542
2022-01-09 12:00:00,0.5543,0.5559,0.5503,0.5549
2022-01-09 13:00:00,0.5558,0.5588,0.5534,0.554
2022-01-09 14:00:00,0.5535,0.5628,0.5535,0.5613
2022-01-09 15:00:00,0.5623,0.5654,0.5591,0.5633
2022-01-09 16:00:00,0.5628,0.5633,0.5559,0.5597
2022-01-09 17:00:00,0.5596,0.5597,0.5526,0.554
2022-01-09 18:00:00,0.5548,0.5577,0.5478,0.5559
2022-01-09 19:00:00,0.5542,0.5606,0.5495,0.5495
2022-01-09 20:00:00,0.5496,0.5622,0.5493,0.5581
2022-01-09 21:00:00,0.5553,0.5588,0.551,0.554
2022-01-09 22:00:00,0.5535,0.5548,0.5535,0.5546
2022-01-09 23:00:00,0.5561,0.5633,0.5561,0.5633
2022-01-10 00:00:00,0.5612,0.5629,0.5588,0.5606
2022-01-10 01:00:00,0.5608,0.5627,0.5578,0.5579
2022-01-10 02:00:00,0.558,0.5616,0.558,0.5612
2022-01-10 03:00:00,0.5619,0.5624,0.5539,0.5546
2022-01-10 04:00:00,0.5556,0.5573,0.5522,0.5522
2022-01-10 05:00:00,0.5518,0.5579,0.549,0.549
2022-01-10 06:00:00,0.5492,0.5492,0.5416,0.5416
2022-01-10 07:00:00,0.5444,0.5446,0.5291,0.5295
2022-01-10 08:00:00,0.5294,0.5322,0.524,0.5254
2022-01-10 09:00:00,0.5254,0.531,0.5008,0.5234
2022-01-10 10:00:00,0.5234,0.5234,0.5142,0.5192
2022-01-10 11:00:00,0.5173,0.5349,0.5172,0.5336
2022-01-10 12:00:00,0.5344,0.536,0.5115,0.5191
2022-01-10 13:00:00,0.5195,0.5264,0.5176,0.5228
2022-01-10 14:00:00,0.5225,0.5265,0.5185,0.5195
2022-01-10 15:00:00,0.5199,0.5296,0.5175,0.5275
2022-01-10 16:00:00,0.5266,0.5288,0.5187,0.5227
2022-01-10 17:00:00,0.5231,0.5252,0.5218,0.5218
2022-01-10 18:00:00,0.5222,0.5283,0.5218,0.5283
2022-01-10 19:00:00,0.5288,0.5291,0.5229,0.5246
2022-01-10 20:00:00,0.5243,0.5305,0.5225,0.5289
2022-01-10 21:00:00,0.5296,0.5376,0.5278,0.5354
2022-01-10 22:00:00,0.5357,0.5376,0.5334,0.5376
2022-01-10 23:00:00,0.5375,0.5383,0.5347,0.5365
2022-01-11 00:00:00,0.5359,0.5372,0.5322,0.537
2022-01-11 01:00:00,0.537,0.5376,0.5314,0.532
2022-01-11 02:00:00,0.534,0.5405,0.5338,0.54
2022-01-11 03:00:00,0.5416,0.5458,0.536,0.536
2022-01-11 04:00:00,0.5385,0.54,0.5333,0.5343
2022-01-11 05:00:00,0.5356,0.5385,0.5246,0.5246
2022-01-11 06:00:00,0.5247,0.533,0.5247,0.5312
2022-01-11 07:00:00,0.5336,0.5416,0.5317,0.5388
2022-01-11 08:00:00,0.54,0.543,0.5373,0.5386
2022-01-11 09:00:00,0.5403,0.5427,0.5321,0.5376
2022-01-11 10:00:00,0.5403,0.5452,0.5349,0.5434
2022-01-11 11:00:00,0.5437,0.5545,0.5431,0.5525
2022-01-11 12:00:00,0.5528,0.5578,0.5467,0.5512
2022-01-11 13:00:00,0.5503,0.5587,0.5492,0.5535
2022-01-11 14:00:00,0.5535,0.557,0.552,0.557
2022-01-11 15:00:00,0.557,0.5588,0.5548,0.5579
2022-01-11 16:00:00,0.5566,0.5575,0.5549,0.557
2022-01-11 17:00:00,0.5571,0.5644,0.5562,0.557
2022-01-11 18:00:00,0.557,0.557,0.5548,0.5566
2022-01-11 19:00:00,0.5584,0.561,0.5566,0.5601
2022-01-11 20:00:00,0.5601,0.5627,0.56,0.5611
2022-01-11 21:00:00,0.5617,0.5634,0.5576,0.5594
2022-01-11 22:00:00,0.5601,0.5606,0.5584,0.5606
2022-01-11 23:00:00,0.5606,0.5616,0.5586,0.5614
2022-01-12 00:00:00,0.56,0.5614,0.5591,0.5607
2022-01-12 01:00:00,0.5622,0.5707,0.5622,0.5643
2022-01-12 02:00:00,0.565,0.5691,0.5609,0.5628
2022-01-12 03:00:00,0.5628,0.5651,0.5617,0.5628
2022-01-12 04:00:00,0.5628,0.5683,0.5628,0.5671
2022-01-12 05:00:00,0.5678,0.5706,0.5661,0.5678
2022-01-12 06:00:00,0.5661,0.5745,0.5655,0.5689
2022-01-12 07:00:00,0.5692,0.577,0.5692,0.5748
2022-01-12 08:00:00,0.5748,0.5833,0.5721,0.5808
2022-01-12 09:00:00,0.5801,0.5818,0.5759,0.5799
2022-01-12 10:00:00,0.5801,0.583,0.5735,0.5784
2022-01-12 11:00:00,0.5784,0.5883,0.5771,0.5834
2022-01-12 12:00:00,0.5832,0.5844,0.5789,0.583
2022-01-12 13:00:00,0.5821,0.589,0.5793,0.5824
2022-01-12 14:00:00,0.5833,0.5847,0.5808,0.5828
2022-01-12 15:00:00,0.5824,0.583,0.5801,0.5819
2022-01-12 16:00:00,0.5819,0.586,0.5797,0.5809
2022-01-12 17:00:00,0.5817,0.5828,0.5789,0.5789
2022-01-12 18:00:00,0.5799,0.5817,0.5799,0.5807
2022-01-12 19:00:00,0.5819,0.5833,0.578,0.578
2022-01-12 20:00:00,0.5798,0.5807,0.5696,0.5724
2022-01-12 21:00:00,0.5722,0.5783,0.572,0.5752
2022-01-12 22:00:00,0.575,0.5771,0.5683,0.5748
2022-01-12 23:00:00,0.5751,0.578,0.5751,0.5753
2022-01-13 00:00:00,0.5768,0.5787,0.5743,0.5786
2022-01-13 01:00:00,0.5787,0.5819,0.5779,0.5819
2022-01-13 02:00:00,0.5812,0.5819,0.5789,0.5794
2022-01-13 03:00:00,0.5812,0.5844,0.5812,0.5844
2022-01-13 04:00:00,0.5844,0.5844,0.5808,0.5808
2022-01-13 05:00:00,0.5826,0.584,0.5755,0.577
2022-01-13 06:00:00,0.5762,0.5762,0.5688,0.5719
2022-01-13 07:00:00,0.5727,0.5776,0.5715,0.5774
2022-01-13 08:00:00,0.5774,0.5824,0.574,0.5822
2022-01-13 09:00:00,0.5822,0.5875,0.5808,0.5817
2022-01-13 10:00:00,0.5819,0.5823,0.5522,0.5602
2022-01-13 11:00:00,0.5591,0.5644,0.5577,0.5602
2022-01-13 12:00:00,0.5591,0.5591,0.5491,0.5545
2022-01-13 13:00:00,0.553,0.556,0.5513,0.5525
2022-01-13 14:00:00,0.5535,0.5548,0.546,0.5501
2022-01-13 15:00:00,0.5485,0.5499,0.543,0.5495
2022-01-13 16:00:00,0.5505,0.5513,0.5484,0.5499
