datetime,ATMBUSD_open,ATMBUSD_high,ATMBUSD_low,ATMBUSD_close
2022-01-01 00:00:00,7.13,7.23,7.13,7.17
2022-01-01 01:00:00,7.16,7.18,7.13,7.13
2022-01-01 02:00:00,7.12,7.15,7.12,7.15
2022-01-01 03:00:00,7.15,7.18,7.15,7.18
2022-01-01 04:00:00,7.15,7.15,7.13,7.13
2022-01-01 05:00:00,7.15,7.17,7.09,7.13
2022-01-01 06:00:00,7.12,7.16,7.12,7.14
2022-01-01 07:00:00,7.14,7.2,7.14,7.2
2022-01-01 08:00:00,7.2,7.22,7.17,7.2
2022-01-01 09:00:00,7.21,7.21,7.19,7.19
2022-01-01 10:00:00,7.18,7.23,7.18,7.19
2022-01-01 11:00:00,7.21,7.23,7.21,7.21
2022-01-01 12:00:00,7.22,7.25,7.21,7.25
2022-01-01 13:00:00,7.23,7.23,7.21,7.22
2022-01-01 14:00:00,7.23,7.25,7.19,7.2
2022-01-01 15:00:00,7.2,7.22,7.17,7.18
2022-01-01 16:00:00,7.19,7.2,7.17,7.2
2022-01-01 17:00:00,7.17,7.2,7.15,7.19
2022-01-01 18:00:00,7.19,7.23,7.19,7.23
2022-01-01 19:00:00,7.2,7.32,7.2,7.24
2022-01-01 20:00:00,7.25,7.25,7.22,7.22
2022-01-01 21:00:00,7.23,7.23,7.21,7.21
2022-01-01 22:00:00,7.22,7.23,7.19,7.2
2022-01-01 23:00:00,7.19,7.19,7.14,7.14
2022-01-02 00:00:00,7.14,7.17,7.14,7.17
2022-01-02 01:00:00,7.18,7.18,7.18,7.18
2022-01-02 02:00:00,7.19,7.19,7.19,7.19
2022-01-02 03:00:00,7.2,7.21,7.2,7.21
2022-01-02 04:00:00,7.22,7.34,7.22,7.3
2022-01-02 05:00:00,7.28,7.3,7.26,7.27
2022-01-02 06:00:00,7.27,7.3,7.22,7.28
2022-01-02 07:00:00,7.25,7.26,7.21,7.26
2022-01-02 08:00:00,7.25,7.3,7.21,7.25
2022-01-02 09:00:00,7.23,7.23,7.22,7.22
2022-01-02 10:00:00,7.22,7.23,7.22,7.23
2022-01-02 11:00:00,7.21,7.26,7.21,7.25
2022-01-02 12:00:00,7.26,7.27,7.2,7.22
2022-01-02 13:00:00,7.2,7.2,7.12,7.16
2022-01-02 14:00:00,7.17,7.17,7.17,7.17
2022-01-02 15:00:00,7.16,7.2,7.16,7.2
2022-01-02 16:00:00,7.2,7.21,7.2,7.2
2022-01-02 17:00:00,7.2,7.22,7.2,7.22
2022-01-02 18:00:00,7.2,7.21,7.19,7.19
2022-01-02 19:00:00,7.19,7.2,7.19,7.2
2022-01-02 20:00:00,7.16,7.17,7.15,7.15
2022-01-02 21:00:00,7.18,7.18,7.16,7.17
2022-01-02 22:00:00,7.16,7.17,7.15,7.15
2022-01-02 23:00:00,7.16,7.37,7.16,7.24
2022-01-03 00:00:00,7.26,7.37,7.24,7.27
2022-01-03 01:00:00,7.27,7.32,7.2,7.2
2022-01-03 02:00:00,7.19,7.21,7.19,7.19
2022-01-03 03:00:00,7.22,7.31,7.22,7.28
2022-01-03 04:00:00,7.24,7.26,7.21,7.21
2022-01-03 05:00:00,7.25,7.26,7.25,7.25
2022-01-03 06:00:00,7.25,7.42,7.25,7.38
2022-01-03 07:00:00,7.34,7.34,7.26,7.27
2022-01-03 08:00:00,7.27,7.31,7.27,7.31
2022-01-03 09:00:00,7.31,7.33,7.27,7.31
2022-01-03 10:00:00,7.29,7.31,7.26,7.26
2022-01-03 11:00:00,7.27,7.31,7.23,7.25
2022-01-03 12:00:00,7.25,7.27,7.23,7.26
2022-01-03 13:00:00,7.26,7.26,7.24,7.24
2022-01-03 14:00:00,7.25,7.4,7.23,7.29
2022-01-03 15:00:00,7.25,7.26,7.15,7.15
2022-01-03 16:00:00,7.17,7.2,7.12,7.2
2022-01-03 17:00:00,7.18,7.31,7.18,7.22
2022-01-03 18:00:00,7.23,7.23,7.19,7.19
2022-01-03 19:00:00,7.22,7.25,7.22,7.25
2022-01-03 20:00:00,7.23,7.27,7.23,7.27
2022-01-03 21:00:00,7.2,7.2,7.16,7.16
2022-01-03 22:00:00,7.16,7.2,7.16,7.2
2022-01-03 23:00:00,7.19,7.2,7.13,7.14
2022-01-04 00:00:00,7.16,7.18,7.13,7.14
2022-01-04 01:00:00,7.14,7.17,7.14,7.16
2022-01-04 02:00:00,7.17,7.17,7.17,7.17
2022-01-04 03:00:00,7.21,7.21,7.18,7.18
2022-01-04 04:00:00,7.19,7.22,7.18,7.19
2022-01-04 05:00:00,7.19,7.24,7.19,7.23
2022-01-04 06:00:00,7.24,7.28,7.24,7.25
2022-01-04 07:00:00,7.25,7.27,7.23,7.23
2022-01-04 08:00:00,7.23,7.3,7.22,7.3
2022-01-04 09:00:00,7.27,7.34,7.23,7.32
2022-01-04 10:00:00,7.34,7.34,7.24,7.24
2022-01-04 11:00:00,7.22,7.24,7.22,7.24
2022-01-04 12:00:00,7.26,7.27,7.26,7.27
2022-01-04 13:00:00,7.22,7.22,7.1,7.1
2022-01-04 14:00:00,7.13,7.24,7.13,7.17
2022-01-04 15:00:00,7.17,7.3,7.16,7.21
2022-01-04 16:00:00,7.22,7.4,7.2,7.21
2022-01-04 17:00:00,7.2,7.2,7.16,7.16
2022-01-04 18:00:00,7.16,7.16,7.15,7.15
