datetime,ATOMBUSD_open,ATOMBUSD_high,ATOMBUSD_low,ATOMBUSD_close
2022-01-01 00:00:00,33.75,33.99,33.39,33.5
2022-01-01 01:00:00,33.55,33.89,33.45,33.51
2022-01-01 02:00:00,33.5,33.98,33.44,33.69
2022-01-01 03:00:00,33.68,33.72,33.28,33.5
2022-01-01 04:00:00,33.53,33.53,32.97,33.33
2022-01-01 05:00:00,33.33,33.53,32.8,33.23
2022-01-01 06:00:00,33.19,33.9,33.13,33.39
2022-01-01 07:00:00,33.39,34.38,33.35,34.0
2022-01-01 08:00:00,34.05,34.65,33.92,34.38
2022-01-01 09:00:00,34.38,36.0,34.38,34.97
2022-01-01 10:00:00,34.94,35.39,34.78,35.36
2022-01-01 11:00:00,35.34,35.82,34.89,35.45
2022-01-01 12:00:00,35.47,36.94,35.47,36.92
2022-01-01 13:00:00,36.92,37.02,36.46,36.55
2022-01-01 14:00:00,36.55,36.68,36.03,36.35
2022-01-01 15:00:00,36.37,36.92,36.22,36.69
2022-01-01 16:00:00,36.7,36.78,35.94,36.29
2022-01-01 17:00:00,36.31,36.4,36.02,36.32
2022-01-01 18:00:00,36.24,36.36,35.55,36.33
2022-01-01 19:00:00,36.34,36.88,35.56,35.57
2022-01-01 20:00:00,35.58,35.64,35.05,35.34
2022-01-01 21:00:00,35.35,35.97,35.08,35.38
2022-01-01 22:00:00,35.4,35.67,35.21,35.67
2022-01-01 23:00:00,35.68,36.06,35.33,35.8
2022-01-02 00:00:00,35.79,36.45,35.67,36.21
2022-01-02 01:00:00,36.2,36.37,35.84,35.91
2022-01-02 02:00:00,35.86,35.95,35.55,35.68
2022-01-02 03:00:00,35.69,35.81,35.39,35.39
2022-01-02 04:00:00,35.41,35.83,35.36,35.47
2022-01-02 05:00:00,35.47,35.67,35.09,35.13
2022-01-02 06:00:00,35.13,35.4,34.71,34.87
2022-01-02 07:00:00,34.91,35.16,34.62,35.04
2022-01-02 08:00:00,35.04,35.05,34.72,34.79
2022-01-02 09:00:00,34.81,35.17,34.74,34.97
2022-01-02 10:00:00,34.96,35.77,34.95,35.68
2022-01-02 11:00:00,35.62,35.75,35.16,35.37
2022-01-02 12:00:00,35.39,35.55,34.61,34.68
2022-01-02 13:00:00,34.73,34.87,34.23,34.87
2022-01-02 14:00:00,34.88,35.01,34.57,34.67
2022-01-02 15:00:00,34.69,35.19,34.65,35.09
2022-01-02 16:00:00,35.06,35.25,34.84,34.97
2022-01-02 17:00:00,34.98,35.63,34.86,35.35
2022-01-02 18:00:00,35.4,35.7,35.2,35.51
2022-01-02 19:00:00,35.52,35.55,34.5,34.85
2022-01-02 20:00:00,34.84,35.02,34.54,35.02
2022-01-02 21:00:00,35.02,35.03,34.57,34.67
2022-01-02 22:00:00,34.62,34.86,34.24,34.44
2022-01-02 23:00:00,34.41,34.83,34.4,34.59
2022-01-03 00:00:00,34.62,34.98,34.58,34.83
2022-01-03 01:00:00,34.83,34.87,34.54,34.62
2022-01-03 02:00:00,34.66,35.44,34.53,35.35
2022-01-03 03:00:00,35.33,36.9,35.32,36.84
2022-01-03 04:00:00,36.84,37.91,36.6,37.51
2022-01-03 05:00:00,37.51,37.97,37.34,37.74
2022-01-03 06:00:00,37.75,37.84,37.38,37.45
2022-01-03 07:00:00,37.49,37.86,37.4,37.78
2022-01-03 08:00:00,37.8,38.51,37.62,38.26
2022-01-03 09:00:00,38.26,38.34,37.84,38.02
2022-01-03 10:00:00,38.02,38.78,37.91,38.04
2022-01-03 11:00:00,38.07,38.28,36.88,37.83
2022-01-03 12:00:00,37.83,38.5,37.78,38.04
2022-01-03 13:00:00,38.05,38.63,37.9,37.9
2022-01-03 14:00:00,37.93,38.3,37.61,37.97
2022-01-03 15:00:00,37.97,38.04,36.93,37.53
2022-01-03 16:00:00,37.51,38.16,37.26,37.85
2022-01-03 17:00:00,37.85,39.81,37.72,39.31
2022-01-03 18:00:00,39.29,39.51,38.98,39.24
2022-01-03 19:00:00,39.25,39.72,38.57,38.69
2022-01-03 20:00:00,38.66,38.96,38.3,38.35
2022-01-03 21:00:00,38.37,38.51,37.58,37.69
2022-01-03 22:00:00,37.67,38.02,37.52,37.99
2022-01-03 23:00:00,37.95,39.73,37.81,38.98
2022-01-04 00:00:00,38.94,39.21,38.45,38.92
2022-01-04 01:00:00,38.91,39.5,38.75,39.25
2022-01-04 02:00:00,39.23,39.44,38.99,39.36
2022-01-04 03:00:00,39.37,40.0,39.22,39.9
2022-01-04 04:00:00,39.91,39.93,39.2,39.26
2022-01-04 05:00:00,39.3,40.08,38.95,39.84
2022-01-04 06:00:00,39.87,40.75,39.66,40.53
2022-01-04 07:00:00,40.53,41.02,40.19,40.89
2022-01-04 08:00:00,40.86,40.94,40.35,40.58
2022-01-04 09:00:00,40.67,41.94,40.65,41.86
2022-01-04 10:00:00,41.86,43.19,41.86,42.26
2022-01-04 11:00:00,42.24,42.8,41.86,42.33
2022-01-04 12:00:00,42.32,42.8,41.58,41.78
2022-01-04 13:00:00,41.79,42.08,40.59,40.98
2022-01-04 14:00:00,40.95,43.17,40.6,42.95
2022-01-04 15:00:00,42.95,43.93,42.14,43.34
2022-01-04 16:00:00,43.36,43.82,41.84,41.94
2022-01-04 17:00:00,41.93,42.43,41.9,42.05
2022-01-04 18:00:00,42.09,42.95,41.55,42.05
2022-01-04 19:00:00,42.12,42.73,41.66,42.17
2022-01-04 20:00:00,42.18,43.25,42.11,42.34
2022-01-04 21:00:00,42.39,42.6,41.24,41.41
2022-01-04 22:00:00,41.51,42.24,41.43,41.98
2022-01-04 23:00:00,41.98,42.03,41.06,41.37
2022-01-05 00:00:00,41.38,41.46,40.87,41.28
2022-01-05 01:00:00,41.24,41.79,40.97,41.74
2022-01-05 02:00:00,41.75,41.79,41.13,41.55
2022-01-05 03:00:00,41.61,41.68,41.08,41.15
2022-01-05 04:00:00,41.15,41.23,40.58,40.98
2022-01-05 05:00:00,40.95,41.03,39.87,40.18
2022-01-05 06:00:00,40.2,40.41,39.82,40.27
2022-01-05 07:00:00,40.28,40.3,39.35,40.1
2022-01-05 08:00:00,40.09,40.5,39.8,40.05
2022-01-05 09:00:00,40.11,40.18,39.47,39.98
2022-01-05 10:00:00,39.98,40.95,39.78,40.7
2022-01-05 11:00:00,40.7,40.89,39.57,39.68
2022-01-05 12:00:00,39.68,40.03,38.55,38.6
2022-01-05 13:00:00,38.61,39.7,38.46,38.98
2022-01-05 14:00:00,38.99,39.11,37.14,37.43
2022-01-05 15:00:00,37.47,38.43,37.0,37.48
2022-01-05 16:00:00,37.45,38.57,37.09,37.09
2022-01-05 17:00:00,37.12,38.32,34.64,38.09
2022-01-05 18:00:00,38.1,39.52,37.35,38.65
2022-01-05 19:00:00,38.63,39.72,38.27,39.08
2022-01-05 20:00:00,39.07,39.2,36.81,37.23
2022-01-05 21:00:00,37.21,37.56,36.6,36.73
2022-01-05 22:00:00,36.75,37.12,36.04,36.14
2022-01-05 23:00:00,36.16,36.89,35.87,36.61
2022-01-06 00:00:00,36.63,37.49,36.38,37.11
2022-01-06 01:00:00,37.13,37.4,36.75,37.05
2022-01-06 02:00:00,37.06,37.46,36.82,37.1
2022-01-06 03:00:00,37.08,37.2,36.0,36.58
2022-01-06 04:00:00,36.59,36.62,35.45,35.59
2022-01-06 05:00:00,35.62,36.6,35.61,36.47
2022-01-06 06:00:00,36.48,36.53,35.86,36.18
2022-01-06 07:00:00,36.21,36.8,35.71,36.66
2022-01-06 08:00:00,36.69,37.81,36.55,37.65
2022-01-06 09:00:00,37.64,38.18,36.88,37.06
2022-01-06 10:00:00,37.11,38.5,36.78,38.22
2022-01-06 11:00:00,38.24,39.13,38.06,38.91
2022-01-06 12:00:00,38.92,39.39,38.6,39.07
2022-01-06 13:00:00,39.1,41.46,38.94,41.26
2022-01-06 14:00:00,41.2,41.32,40.32,40.46
2022-01-06 15:00:00,40.5,40.72,39.64,40.01
2022-01-06 16:00:00,40.02,40.23,39.35,39.52
2022-01-06 17:00:00,39.52,39.9,38.98,39.76
2022-01-06 18:00:00,39.76,40.5,39.64,40.16
2022-01-06 19:00:00,40.07,40.93,39.17,39.66
2022-01-06 20:00:00,39.65,40.29,39.11,39.53
2022-01-06 21:00:00,39.52,40.25,39.31,39.45
2022-01-06 22:00:00,39.5,40.33,37.69,38.29
2022-01-06 23:00:00,38.31,41.94,38.02,41.74
2022-01-07 00:00:00,41.76,42.0,40.74,41.39
2022-01-07 01:00:00,41.41,41.52,40.22,40.69
2022-01-07 02:00:00,40.73,41.7,40.03,41.33
2022-01-07 03:00:00,41.29,42.55,41.2,41.84
2022-01-07 04:00:00,41.85,43.3,41.84,43.11
2022-01-07 05:00:00,43.07,44.68,42.87,43.48
2022-01-07 06:00:00,43.51,44.22,42.81,43.03
2022-01-07 07:00:00,43.05,43.75,42.87,42.89
2022-01-07 08:00:00,42.93,43.34,41.49,42.09
2022-01-07 09:00:00,42.19,43.62,41.82,43.11
2022-01-07 10:00:00,43.15,44.03,41.97,43.08
2022-01-07 11:00:00,43.02,43.8,42.33,42.84
2022-01-07 12:00:00,42.86,42.97,41.42,41.78
2022-01-07 13:00:00,41.79,41.89,40.41,40.9
2022-01-07 14:00:00,40.87,41.34,40.56,40.91
2022-01-07 15:00:00,41.0,41.36,40.43,40.79
2022-01-07 16:00:00,40.8,41.27,40.4,40.48
2022-01-07 17:00:00,40.47,40.5,39.12,39.57
2022-01-07 18:00:00,39.53,39.7,38.34,38.57
2022-01-07 19:00:00,38.57,40.01,38.34,39.58
2022-01-07 20:00:00,39.58,40.32,39.27,39.37
2022-01-07 21:00:00,39.36,39.4,38.53,39.05
2022-01-07 22:00:00,39.06,39.19,38.42,39.02
2022-01-07 23:00:00,39.02,39.38,38.82,39.14
2022-01-08 00:00:00,39.12,39.24,38.8,38.9
2022-01-08 01:00:00,38.92,39.15,38.6,39.13
2022-01-08 02:00:00,39.1,39.28,38.86,38.99
2022-01-08 03:00:00,39.0,39.67,38.95,39.11
2022-01-08 04:00:00,39.13,39.49,39.03,39.45
2022-01-08 05:00:00,39.45,39.46,38.53,38.71
2022-01-08 06:00:00,38.74,38.76,37.83,38.11
2022-01-08 07:00:00,38.12,38.33,37.62,37.93
2022-01-08 08:00:00,37.93,38.14,37.4,37.65
2022-01-08 09:00:00,37.65,37.77,37.1,37.17
2022-01-08 10:00:00,37.19,37.2,36.63,36.78
2022-01-08 11:00:00,36.76,36.79,35.67,35.8
2022-01-08 12:00:00,35.8,36.47,34.6,34.64
2022-01-08 13:00:00,34.65,35.98,34.07,34.45
2022-01-08 14:00:00,34.41,35.21,34.2,35.09
2022-01-08 15:00:00,35.1,35.71,34.79,35.05
2022-01-08 16:00:00,35.01,36.71,34.94,36.29
2022-01-08 17:00:00,36.28,37.42,36.08,36.69
2022-01-08 18:00:00,36.69,36.7,35.75,35.87
2022-01-08 19:00:00,35.87,36.91,35.47,36.82
2022-01-08 20:00:00,36.86,37.12,36.36,36.97
2022-01-08 21:00:00,36.91,38.08,36.9,37.71
2022-01-08 22:00:00,37.7,37.7,37.09,37.14
2022-01-08 23:00:00,37.17,38.02,37.17,38.01
