datetime,ATOMUSD_open,ATOMUSD_high,ATOMUSD_low,ATOMUSD_close
2022-01-01 00:00:00,32.42,33.51,32.37,33.44
2022-01-01 01:00:00,33.43,34.03,33.33,33.67
2022-01-01 02:00:00,33.67,34.17,33.64,33.8
2022-01-01 03:00:00,33.82,33.87,33.29,33.41
2022-01-01 04:00:00,33.43,33.82,32.94,33.71
2022-01-01 05:00:00,33.71,34.0,33.39,33.48
2022-01-01 06:00:00,33.48,33.91,33.46,33.5
2022-01-01 07:00:00,33.53,34.0,33.45,33.67
2022-01-01 08:00:00,33.69,33.71,33.29,33.5
2022-01-01 09:00:00,33.52,33.52,33.0,33.37
2022-01-01 10:00:00,33.34,33.54,32.8,33.2
2022-01-01 11:00:00,33.17,33.89,33.12,33.4
2022-01-01 12:00:00,33.39,34.42,33.37,34.02
2022-01-01 13:00:00,34.03,34.65,33.9,34.4
2022-01-01 14:00:00,34.36,35.95,34.36,34.93
2022-01-01 15:00:00,34.91,35.42,34.79,35.37
2022-01-01 16:00:00,35.36,35.8,34.91,35.48
2022-01-01 17:00:00,35.47,37.09,35.47,37.04
2022-01-01 18:00:00,37.02,37.07,36.46,36.57
2022-01-01 19:00:00,36.56,36.69,36.05,36.36
2022-01-01 20:00:00,36.36,36.92,36.22,36.71
2022-01-01 21:00:00,36.72,36.78,35.92,36.28
2022-01-01 22:00:00,36.29,36.42,36.01,36.28
2022-01-01 23:00:00,36.24,36.38,35.6,36.33
2022-01-02 00:00:00,36.36,36.91,35.47,35.56
2022-01-02 01:00:00,35.55,35.64,35.05,35.34
2022-01-02 02:00:00,35.35,35.98,34.97,35.37
2022-01-02 03:00:00,35.34,35.68,35.18,35.65
2022-01-02 04:00:00,35.66,36.07,35.35,35.78
2022-01-02 05:00:00,35.76,36.44,35.67,36.21
2022-01-02 06:00:00,36.19,36.38,35.82,35.87
2022-01-02 07:00:00,35.88,35.96,35.54,35.7
2022-01-02 08:00:00,35.69,35.83,35.38,35.4
2022-01-02 09:00:00,35.41,35.86,35.36,35.48
2022-01-02 10:00:00,35.46,35.68,35.08,35.14
2022-01-02 11:00:00,35.14,35.39,34.78,34.9
2022-01-02 12:00:00,34.91,35.16,34.63,35.05
2022-01-02 13:00:00,35.05,35.06,34.72,34.82
2022-01-02 14:00:00,34.8,35.17,34.72,34.95
2022-01-02 15:00:00,34.96,35.77,34.96,35.61
2022-01-02 16:00:00,35.61,35.75,35.14,35.36
2022-01-02 17:00:00,35.38,35.55,34.6,34.72
2022-01-02 18:00:00,34.71,34.9,34.08,34.86
2022-01-02 19:00:00,34.86,35.01,34.56,34.68
2022-01-02 20:00:00,34.68,35.19,34.66,35.1
2022-01-02 21:00:00,35.1,35.26,34.84,34.99
2022-01-02 22:00:00,34.99,35.63,34.83,35.41
2022-01-02 23:00:00,35.41,35.74,35.2,35.54
2022-01-03 00:00:00,35.54,35.56,34.5,34.84
2022-01-03 01:00:00,34.83,35.06,34.52,35.03
2022-01-03 02:00:00,35.03,35.04,34.55,34.65
2022-01-03 03:00:00,34.65,34.87,34.23,34.45
2022-01-03 04:00:00,34.44,34.84,34.41,34.58
2022-01-03 05:00:00,34.6,34.98,34.58,34.87
2022-01-03 06:00:00,34.85,34.89,34.52,34.64
2022-01-03 07:00:00,34.67,35.42,34.54,35.32
2022-01-03 08:00:00,35.33,36.92,35.32,36.86
2022-01-03 09:00:00,36.86,37.9,36.61,37.5
2022-01-03 10:00:00,37.48,37.99,37.33,37.78
2022-01-03 11:00:00,37.76,37.84,37.39,37.47
2022-01-03 12:00:00,37.48,37.85,37.4,37.79
2022-01-03 13:00:00,37.78,38.5,37.58,38.28
2022-01-03 14:00:00,38.27,38.36,37.83,38.0
2022-01-03 15:00:00,38.01,38.85,37.89,38.02
2022-01-03 16:00:00,38.02,38.26,36.86,37.86
2022-01-03 17:00:00,37.86,38.5,37.79,38.03
2022-01-03 18:00:00,38.03,38.64,37.9,37.93
2022-01-03 19:00:00,37.95,38.34,37.63,38.0
2022-01-03 20:00:00,37.98,38.06,37.0,37.56
2022-01-03 21:00:00,37.54,38.2,37.26,37.87
2022-01-03 22:00:00,37.84,40.0,37.75,39.33
2022-01-03 23:00:00,39.34,39.55,39.01,39.29
2022-01-04 00:00:00,39.25,39.76,38.56,38.72
2022-01-04 01:00:00,38.72,38.99,38.29,38.37
2022-01-04 02:00:00,38.35,38.53,37.61,37.7
2022-01-04 03:00:00,37.7,38.07,37.53,37.97
2022-01-04 04:00:00,37.96,39.74,37.85,38.99
2022-01-04 05:00:00,38.98,39.22,38.45,38.94
2022-01-04 06:00:00,38.93,39.52,38.75,39.31
2022-01-04 07:00:00,39.27,39.46,39.0,39.37
2022-01-04 08:00:00,39.37,40.0,39.22,39.92
2022-01-04 09:00:00,39.9,39.92,39.18,39.28
2022-01-04 10:00:00,39.32,40.01,39.0,39.86
2022-01-04 11:00:00,39.87,40.77,39.63,40.53
2022-01-04 12:00:00,40.53,40.94,40.18,40.87
2022-01-04 13:00:00,40.85,40.91,40.34,40.64
2022-01-04 14:00:00,40.65,42.09,40.65,42.06
2022-01-04 15:00:00,42.07,44.8,42.06,42.24
2022-01-04 16:00:00,42.24,42.85,41.73,42.38
2022-01-04 17:00:00,42.36,42.87,41.52,41.82
2022-01-04 18:00:00,41.84,42.14,40.56,40.98
2022-01-04 19:00:00,40.98,43.2,40.57,42.93
2022-01-04 20:00:00,42.91,43.92,42.14,43.31
2022-01-04 21:00:00,43.29,43.86,41.79,41.92
2022-01-04 22:00:00,41.9,42.4,41.86,42.08
2022-01-04 23:00:00,42.09,42.95,41.5,42.05
2022-01-05 00:00:00,42.04,42.7,41.51,42.17
2022-01-05 01:00:00,42.17,43.26,42.09,42.36
2022-01-05 02:00:00,42.38,42.61,41.28,41.41
2022-01-05 03:00:00,41.42,42.26,41.4,41.98
2022-01-05 04:00:00,41.98,42.06,41.03,41.38
2022-01-05 05:00:00,41.4,41.48,40.85,41.21
2022-01-05 06:00:00,41.21,41.79,40.95,41.76
2022-01-05 07:00:00,41.77,41.8,41.11,41.55
2022-01-05 08:00:00,41.58,41.66,41.05,41.14
2022-01-05 09:00:00,41.14,41.23,40.57,40.95
2022-01-05 10:00:00,40.95,41.02,40.14,40.19
2022-01-05 11:00:00,40.18,40.4,39.81,40.23
2022-01-05 12:00:00,40.26,40.29,39.36,40.1
2022-01-05 13:00:00,40.09,40.48,39.81,40.1
2022-01-05 14:00:00,40.11,40.18,39.47,39.99
2022-01-05 15:00:00,39.99,40.96,39.77,40.72
2022-01-05 16:00:00,40.74,40.89,39.56,39.72
2022-01-05 17:00:00,39.69,40.04,38.53,38.59
2022-01-05 18:00:00,38.6,39.72,38.42,38.99
2022-01-05 19:00:00,39.02,39.1,37.02,37.43
2022-01-05 20:00:00,37.43,38.38,36.91,37.46
2022-01-05 21:00:00,37.46,38.56,37.05,37.09
2022-01-05 22:00:00,37.1,38.43,34.63,38.11
2022-01-05 23:00:00,38.12,39.58,37.34,38.67
2022-01-06 00:00:00,38.67,39.74,38.28,39.1
2022-01-06 01:00:00,39.1,39.22,36.77,37.22
2022-01-06 02:00:00,37.2,37.59,36.53,36.74
2022-01-06 03:00:00,36.73,37.13,36.06,36.12
2022-01-06 04:00:00,36.14,36.91,35.84,36.6
2022-01-06 05:00:00,36.61,37.54,36.34,37.07
2022-01-06 06:00:00,37.1,37.41,36.76,37.05
2022-01-06 07:00:00,37.06,37.48,36.84,37.09
2022-01-06 08:00:00,37.1,37.18,35.96,36.59
2022-01-06 09:00:00,36.59,36.64,35.43,35.58
2022-01-06 10:00:00,35.57,36.61,35.57,36.44
2022-01-06 11:00:00,36.45,36.53,35.87,36.22
2022-01-06 12:00:00,36.19,36.82,35.69,36.7
2022-01-06 13:00:00,36.72,37.87,36.55,37.67
2022-01-06 14:00:00,37.68,38.23,36.89,37.06
2022-01-06 15:00:00,37.06,38.5,36.78,38.23
2022-01-06 16:00:00,38.26,39.14,38.06,38.9
2022-01-06 17:00:00,38.93,39.41,38.62,39.14
2022-01-06 18:00:00,39.13,41.47,38.93,41.24
2022-01-06 19:00:00,41.26,41.37,40.29,40.45
