datetime,AUCTIONBUSD_open,AUCTIONBUSD_high,AUCTIONBUSD_low,AUCTIONBUSD_close
2022-01-01 00:00:00,24.75,25.04,24.69,25.0
2022-01-01 01:00:00,25.01,25.11,24.73,24.77
2022-01-01 02:00:00,24.76,24.85,24.5,24.63
2022-01-01 03:00:00,24.62,24.62,24.51,24.51
2022-01-01 04:00:00,24.5,24.54,24.3,24.37
2022-01-01 05:00:00,24.37,24.53,24.15,24.41
2022-01-01 06:00:00,24.4,24.4,24.09,24.09
2022-01-01 07:00:00,24.15,24.59,24.15,24.35
2022-01-01 08:00:00,24.35,24.37,24.15,24.15
2022-01-01 09:00:00,24.14,24.24,24.09,24.11
2022-01-01 10:00:00,24.15,24.44,24.14,24.4
2022-01-01 11:00:00,24.44,24.76,24.42,24.45
2022-01-01 12:00:00,24.42,24.77,24.41,24.74
2022-01-01 13:00:00,24.71,24.84,24.42,24.56
2022-01-01 14:00:00,24.56,24.61,24.52,24.61
2022-01-01 15:00:00,24.64,24.73,24.62,24.62
2022-01-01 16:00:00,24.61,24.61,24.21,24.22
2022-01-01 17:00:00,24.26,24.68,24.23,24.68
2022-01-01 18:00:00,24.6,24.65,24.26,24.53
2022-01-01 19:00:00,24.52,24.68,24.46,24.68
2022-01-01 20:00:00,24.63,24.63,24.52,24.53
2022-01-01 21:00:00,24.56,24.73,24.56,24.65
2022-01-01 22:00:00,24.66,25.03,24.34,24.64
2022-01-01 23:00:00,24.64,24.76,24.26,24.5
2022-01-02 00:00:00,24.43,24.68,24.34,24.68
2022-01-02 01:00:00,24.6,24.67,24.47,24.49
2022-01-02 02:00:00,24.49,24.57,24.49,24.49
2022-01-02 03:00:00,24.49,24.57,24.26,24.57
2022-01-02 04:00:00,24.55,25.08,24.53,24.93
2022-01-02 05:00:00,24.91,24.91,24.41,24.48
2022-01-02 06:00:00,24.47,24.76,24.45,24.54
2022-01-02 07:00:00,24.55,24.72,24.49,24.72
2022-01-02 08:00:00,24.71,24.71,24.44,24.44
2022-01-02 09:00:00,24.45,24.61,24.4,24.41
2022-01-02 10:00:00,24.42,24.54,24.4,24.53
2022-01-02 11:00:00,24.57,24.83,24.53,24.72
2022-01-02 12:00:00,24.73,24.73,24.48,24.57
2022-01-02 13:00:00,24.49,24.51,24.08,24.43
2022-01-02 14:00:00,24.36,24.36,24.18,24.33
2022-01-02 15:00:00,24.36,24.36,24.27,24.27
2022-01-02 16:00:00,24.27,24.58,24.22,24.58
2022-01-02 17:00:00,24.57,24.7,24.34,24.39
2022-01-02 18:00:00,24.43,24.46,24.43,24.46
2022-01-02 19:00:00,24.4,24.4,24.26,24.26
2022-01-02 20:00:00,24.25,24.38,24.1,24.38
2022-01-02 21:00:00,24.38,24.38,24.14,24.14
2022-01-02 22:00:00,24.18,24.33,24.03,24.04
2022-01-02 23:00:00,24.02,24.15,24.02,24.11
2022-01-03 00:00:00,24.11,24.43,24.01,24.43
2022-01-03 01:00:00,24.43,25.31,24.37,25.22
2022-01-03 02:00:00,25.22,25.5,24.65,25.41
2022-01-03 03:00:00,25.43,25.66,24.44,24.46
2022-01-03 04:00:00,24.45,24.95,24.45,24.85
2022-01-03 05:00:00,24.84,24.9,24.63,24.72
2022-01-03 06:00:00,24.64,24.78,24.64,24.78
2022-01-03 07:00:00,24.72,25.08,24.72,25.02
2022-01-03 08:00:00,25.04,25.45,24.85,25.0
2022-01-03 09:00:00,25.0,25.42,24.78,24.85
2022-01-03 10:00:00,24.84,25.1,24.52,24.52
2022-01-03 11:00:00,24.56,24.66,24.12,24.43
2022-01-03 12:00:00,24.44,24.71,24.44,24.5
2022-01-03 13:00:00,24.5,24.5,24.36,24.42
2022-01-03 14:00:00,24.35,24.35,24.35,24.35
2022-01-03 15:00:00,24.35,24.35,23.55,23.91
2022-01-03 16:00:00,23.88,24.17,23.87,23.89
2022-01-03 17:00:00,24.01,24.27,24.01,24.17
2022-01-03 18:00:00,24.19,24.78,24.19,24.72
2022-01-03 19:00:00,24.72,24.72,24.16,24.16
2022-01-03 20:00:00,24.16,24.65,24.08,24.27
2022-01-03 21:00:00,24.29,24.51,24.12,24.12
2022-01-03 22:00:00,24.12,24.5,24.06,24.49
2022-01-03 23:00:00,24.52,24.63,24.02,24.12
2022-01-04 00:00:00,24.09,24.6,24.04,24.04
2022-01-04 01:00:00,24.13,24.39,24.13,24.24
2022-01-04 02:00:00,24.27,24.53,24.27,24.38
2022-01-04 03:00:00,24.41,24.48,24.38,24.38
2022-01-04 04:00:00,24.42,24.43,24.39,24.39
2022-01-04 05:00:00,24.38,24.45,24.15,24.34
2022-01-04 06:00:00,24.39,24.56,24.39,24.56
2022-01-04 07:00:00,24.57,24.57,24.47,24.53
2022-01-04 08:00:00,24.5,24.55,24.36,24.54
2022-01-04 09:00:00,24.53,24.7,24.41,24.63
2022-01-04 10:00:00,24.7,24.79,24.46,24.46
2022-01-04 11:00:00,24.49,24.69,24.33,24.67
2022-01-04 12:00:00,24.62,24.81,24.46,24.46
2022-01-04 13:00:00,24.52,24.64,23.95,23.95
2022-01-04 14:00:00,23.93,24.48,23.7,24.44
2022-01-04 15:00:00,24.44,24.58,24.34,24.34
2022-01-04 16:00:00,24.31,24.34,24.2,24.34
2022-01-04 17:00:00,24.38,24.39,24.14,24.14
2022-01-04 18:00:00,24.13,24.23,23.99,24.1
2022-01-04 19:00:00,24.01,24.49,24.01,24.38
2022-01-04 20:00:00,24.4,24.47,24.4,24.45
2022-01-04 21:00:00,24.34,24.34,24.18,24.24
2022-01-04 22:00:00,24.29,24.73,24.26,24.65
2022-01-04 23:00:00,24.63,24.8,24.38,24.46
2022-01-05 00:00:00,24.4,24.43,24.34,24.43
2022-01-05 01:00:00,24.42,24.77,24.42,24.59
2022-01-05 02:00:00,24.59,24.6,24.54,24.6
2022-01-05 03:00:00,24.54,24.55,24.47,24.54
2022-01-05 04:00:00,24.52,24.61,24.48,24.54
2022-01-05 05:00:00,24.61,24.68,24.57,24.64
2022-01-05 06:00:00,24.64,24.7,24.38,24.41
2022-01-05 07:00:00,24.43,24.43,24.17,24.26
2022-01-05 08:00:00,24.29,24.37,24.18,24.3
2022-01-05 09:00:00,24.3,24.59,24.2,24.54
2022-01-05 10:00:00,24.51,24.75,24.33,24.63
2022-01-05 11:00:00,24.68,24.76,24.29,24.42
2022-01-05 12:00:00,24.4,24.4,24.22,24.24
2022-01-05 13:00:00,24.22,24.27,24.02,24.24
2022-01-05 14:00:00,24.24,24.25,23.29,23.35
2022-01-05 15:00:00,23.36,23.72,22.88,23.06
2022-01-05 16:00:00,23.11,23.39,22.45,22.61
2022-01-05 17:00:00,22.6,22.73,22.11,22.36
2022-01-05 18:00:00,22.37,22.87,22.31,22.64
2022-01-05 19:00:00,22.61,22.61,22.33,22.45
2022-01-05 20:00:00,22.44,22.53,22.14,22.28
2022-01-05 21:00:00,22.3,22.51,21.95,22.35
2022-01-05 22:00:00,22.32,22.33,21.76,22.0
2022-01-05 23:00:00,21.97,22.33,21.53,21.86
2022-01-06 00:00:00,21.82,22.31,21.76,22.25
2022-01-06 01:00:00,22.32,22.32,22.19,22.19
2022-01-06 02:00:00,22.15,22.65,22.12,22.53
2022-01-06 03:00:00,22.49,22.51,21.64,22.0
2022-01-06 04:00:00,21.95,22.09,21.57,21.6
2022-01-06 05:00:00,21.6,22.07,21.6,22.04
2022-01-06 06:00:00,22.04,22.23,21.95,22.23
2022-01-06 07:00:00,22.23,22.38,21.65,21.87
2022-01-06 08:00:00,21.89,22.41,21.89,22.39
2022-01-06 09:00:00,22.34,22.43,22.0,22.05
2022-01-06 10:00:00,22.04,22.52,21.79,21.98
2022-01-06 11:00:00,21.99,22.45,21.96,22.3
2022-01-06 12:00:00,22.3,22.76,22.1,22.29
2022-01-06 13:00:00,22.28,22.58,22.24,22.58
2022-01-06 14:00:00,22.58,22.58,22.34,22.56
2022-01-06 15:00:00,22.56,22.68,22.4,22.51
2022-01-06 16:00:00,22.58,22.6,22.46,22.46
2022-01-06 17:00:00,22.46,22.46,22.37,22.37
2022-01-06 18:00:00,22.37,22.72,22.32,22.51
2022-01-06 19:00:00,22.51,22.6,22.16,22.56
2022-01-06 20:00:00,22.6,22.63,22.12,22.36
2022-01-06 21:00:00,22.27,22.4,22.12,22.2
2022-01-06 22:00:00,22.16,22.16,21.21,21.3
2022-01-06 23:00:00,21.24,21.37,20.55,21.37
2022-01-07 00:00:00,21.39,21.53,20.97,21.01
2022-01-07 01:00:00,21.07,21.22,20.78,21.09
2022-01-07 02:00:00,21.01,21.43,20.49,20.99
2022-01-07 03:00:00,21.01,21.59,21.01,21.23
2022-01-07 04:00:00,21.23,21.64,21.22,21.43
2022-01-07 05:00:00,21.42,21.43,21.07,21.07
2022-01-07 06:00:00,21.05,21.59,21.04,21.33
2022-01-07 07:00:00,21.33,21.57,21.33,21.5
2022-01-07 08:00:00,21.57,21.62,20.79,21.23
2022-01-07 09:00:00,21.2,21.61,20.9,21.18
2022-01-07 10:00:00,21.14,21.2,20.29,20.7
2022-01-07 11:00:00,20.7,21.27,20.34,21.26
2022-01-07 12:00:00,21.2,21.2,20.85,21.11
2022-01-07 13:00:00,21.12,21.12,20.81,20.81
2022-01-07 14:00:00,20.82,21.2,20.8,21.03
2022-01-07 15:00:00,21.06,21.28,20.67,21.06
2022-01-07 16:00:00,21.02,21.08,20.73,20.89
2022-01-07 17:00:00,20.87,20.88,20.59,20.74
2022-01-07 18:00:00,20.66,21.08,20.64,20.98
2022-01-07 19:00:00,20.95,21.31,20.86,21.27
2022-01-07 20:00:00,21.3,21.4,20.81,20.93
2022-01-07 21:00:00,20.98,21.3,20.94,21.22
2022-01-07 22:00:00,21.2,21.31,20.91,21.31
2022-01-07 23:00:00,21.31,21.95,21.08,21.7
2022-01-08 00:00:00,21.58,21.67,21.19,21.62
2022-01-08 01:00:00,21.58,21.63,21.51,21.58
2022-01-08 02:00:00,21.61,21.89,21.48,21.88
2022-01-08 03:00:00,21.89,21.94,21.67,21.72
2022-01-08 04:00:00,21.68,21.84,21.63,21.84
2022-01-08 05:00:00,21.83,21.84,21.55,21.7
2022-01-08 06:00:00,21.75,21.99,21.68,21.81
2022-01-08 07:00:00,21.84,21.9,21.47,21.48
2022-01-08 08:00:00,21.55,21.64,21.43,21.61
2022-01-08 09:00:00,21.54,21.55,21.31,21.31
2022-01-08 10:00:00,21.29,21.29,20.96,21.19
2022-01-08 11:00:00,21.09,21.38,20.83,20.83
2022-01-08 12:00:00,20.84,20.9,19.95,19.95
2022-01-08 13:00:00,19.92,20.68,19.59,20.25
2022-01-08 14:00:00,20.21,20.68,20.09,20.5
2022-01-08 15:00:00,20.51,20.51,19.85,20.2
2022-01-08 16:00:00,20.21,20.81,20.21,20.71
2022-01-08 17:00:00,20.73,21.34,20.73,21.31
2022-01-08 18:00:00,21.31,22.37,20.73,20.93
2022-01-08 19:00:00,20.94,21.12,20.58,21.03
2022-01-08 20:00:00,21.04,21.08,20.71,20.9
2022-01-08 21:00:00,20.93,21.03,20.93,21.03
2022-01-08 22:00:00,20.93,21.28,20.89,20.95
2022-01-08 23:00:00,20.94,21.25,20.92,21.18
2022-01-09 00:00:00,21.18,21.28,20.77,21.03
2022-01-09 01:00:00,21.06,21.42,20.98,21.0
2022-01-09 02:00:00,20.99,21.0,20.88,20.88
2022-01-09 03:00:00,20.87,21.21,20.81,21.2
2022-01-09 04:00:00,21.16,21.23,20.81,21.01
2022-01-09 05:00:00,21.01,21.28,20.89,21.02
2022-01-09 06:00:00,21.01,21.06,20.87,21.04
2022-01-09 07:00:00,20.98,21.29,20.86,21.09
2022-01-09 08:00:00,21.06,21.11,20.63,20.65
2022-01-09 09:00:00,20.65,20.89,20.61,20.75
2022-01-09 10:00:00,20.67,21.01,20.36,20.85
2022-01-09 11:00:00,20.83,21.08,20.76,21.06
2022-01-09 12:00:00,21.04,21.13,20.98,21.04
2022-01-09 13:00:00,21.07,21.21,20.95,20.95
2022-01-09 14:00:00,20.95,21.32,20.9,21.3
2022-01-09 15:00:00,21.3,21.52,21.07,21.18
2022-01-09 16:00:00,21.18,21.23,21.02,21.07
2022-01-09 17:00:00,21.05,21.18,21.01,21.01
2022-01-09 18:00:00,21.0,21.14,20.76,20.95
2022-01-09 19:00:00,20.85,21.04,20.58,20.77
2022-01-09 20:00:00,20.66,20.73,20.54,20.7
2022-01-09 21:00:00,20.69,20.73,20.54,20.65
2022-01-09 22:00:00,20.59,20.86,20.55,20.84
2022-01-09 23:00:00,20.89,21.0,20.8,20.86
2022-01-10 00:00:00,20.8,20.8,20.8,20.8
2022-01-10 01:00:00,20.8,20.82,20.61,20.72
2022-01-10 02:00:00,20.69,20.86,20.66,20.82
2022-01-10 03:00:00,20.81,20.81,20.53,20.53
2022-01-10 04:00:00,20.56,20.67,20.51,20.54
2022-01-10 05:00:00,20.55,20.64,20.45,20.45
2022-01-10 06:00:00,20.45,20.45,20.13,20.16
2022-01-10 07:00:00,20.25,20.4,19.82,19.83
2022-01-10 08:00:00,19.83,19.83,19.59,19.61
2022-01-10 09:00:00,19.59,19.63,18.97,19.38
2022-01-10 10:00:00,19.35,19.9,19.35,19.9
2022-01-10 11:00:00,19.87,20.35,19.73,20.16
2022-01-10 12:00:00,20.16,20.16,19.49,19.89
2022-01-10 13:00:00,19.9,20.02,19.68,20.02
2022-01-10 14:00:00,20.02,20.02,20.02,20.02
2022-01-10 15:00:00,20.03,20.27,19.99,20.27
2022-01-10 16:00:00,20.27,20.27,19.99,19.99
2022-01-10 17:00:00,20.05,20.32,20.02,20.11
2022-01-10 18:00:00,20.01,20.05,19.89,20.05
2022-01-10 19:00:00,20.01,20.12,20.01,20.12
2022-01-10 20:00:00,20.09,20.09,20.08,20.08
2022-01-10 21:00:00,20.08,20.08,19.81,19.97
2022-01-10 22:00:00,19.96,20.01,19.83,20.01
2022-01-10 23:00:00,20.01,20.01,19.89,19.98
2022-01-11 00:00:00,19.96,19.97,19.81,19.88
2022-01-11 01:00:00,19.83,19.9,19.8,19.83
2022-01-11 02:00:00,19.83,19.89,19.83,19.85
2022-01-11 03:00:00,19.95,20.01,19.84,19.84
2022-01-11 04:00:00,19.87,19.89,19.69,19.89
2022-01-11 05:00:00,19.86,19.86,19.7,19.81
2022-01-11 06:00:00,19.86,19.97,19.86,19.88
2022-01-11 07:00:00,19.97,20.01,19.97,20.0
2022-01-11 08:00:00,19.95,20.0,19.94,20.0
2022-01-11 09:00:00,20.0,20.01,19.76,19.91
2022-01-11 10:00:00,19.98,20.27,19.81,20.27
2022-01-11 11:00:00,20.28,20.66,20.28,20.47
2022-01-11 12:00:00,20.5,20.66,20.33,20.66
2022-01-11 13:00:00,20.53,20.59,20.34,20.5
2022-01-11 14:00:00,20.56,20.64,20.14,20.43
2022-01-11 15:00:00,20.4,20.49,20.3,20.43
2022-01-11 16:00:00,20.44,20.48,20.28,20.31
2022-01-11 17:00:00,20.32,20.39,20.26,20.27
2022-01-11 18:00:00,20.36,20.4,20.28,20.4
2022-01-11 19:00:00,20.43,20.52,20.43,20.48
2022-01-11 20:00:00,20.52,20.56,20.3,20.3
2022-01-11 21:00:00,20.31,20.31,20.21,20.21
2022-01-11 22:00:00,20.23,20.31,20.0,20.08
2022-01-11 23:00:00,20.09,20.13,20.07,20.07
2022-01-12 00:00:00,20.07,20.12,20.0,20.12
2022-01-12 01:00:00,20.07,20.22,20.07,20.11
2022-01-12 02:00:00,20.13,20.13,20.01,20.01
2022-01-12 03:00:00,20.1,20.34,20.08,20.2
2022-01-12 04:00:00,20.23,20.37,20.23,20.37
2022-01-12 05:00:00,20.3,20.35,20.27,20.28
2022-01-12 06:00:00,20.28,20.47,20.28,20.43
2022-01-12 07:00:00,20.47,20.71,20.44,20.64
2022-01-12 08:00:00,20.71,21.04,20.71,21.03
2022-01-12 09:00:00,20.97,21.1,20.88,21.1
2022-01-12 10:00:00,21.06,21.15,20.79,21.02
2022-01-12 11:00:00,21.02,21.12,20.83,21.12
2022-01-12 12:00:00,21.12,21.14,21.05,21.14
2022-01-12 13:00:00,21.14,21.14,20.89,20.89
2022-01-12 14:00:00,20.92,21.06,20.88,20.95
2022-01-12 15:00:00,20.94,21.04,20.87,21.04
2022-01-12 16:00:00,21.02,21.14,20.98,20.98
2022-01-12 17:00:00,20.98,20.98,20.89,20.89
2022-01-12 18:00:00,20.93,21.02,20.86,20.9
2022-01-12 19:00:00,20.9,20.99,20.83,20.83
2022-01-12 20:00:00,20.83,20.83,20.72,20.72
2022-01-12 21:00:00,20.71,20.79,20.7,20.79
2022-01-12 22:00:00,20.71,20.78,20.71,20.78
2022-01-12 23:00:00,20.72,20.84,20.72,20.84
2022-01-13 00:00:00,20.77,20.9,20.71,20.89
2022-01-13 01:00:00,20.9,20.98,20.87,20.98
2022-01-13 02:00:00,20.91,20.96,20.87,20.96
2022-01-13 03:00:00,20.95,21.27,20.95,21.23
2022-01-13 04:00:00,21.23,21.29,21.14,21.25
2022-01-13 05:00:00,21.24,21.24,21.14,21.14
2022-01-13 06:00:00,21.2,21.23,20.87,20.91
2022-01-13 07:00:00,20.89,20.89,20.69,20.81
