datetime,AUCTIONUSD_open,AUCTIONUSD_high,AUCTIONUSD_low,AUCTIONUSD_close
2022-01-01 00:00:00,24.47,24.72,24.33,24.68
2022-01-01 01:00:00,24.63,25.39,24.62,24.99
2022-01-01 02:00:00,25.0,25.09,24.53,24.56
2022-01-01 03:00:00,24.56,24.95,24.5,24.89
2022-01-01 04:00:00,24.89,24.89,24.32,24.82
2022-01-01 05:00:00,24.78,25.0,24.59,24.98
2022-01-01 06:00:00,24.95,25.16,24.7,24.72
2022-01-01 07:00:00,24.69,24.87,24.49,24.53
2022-01-01 08:00:00,24.53,24.66,24.48,24.48
2022-01-01 09:00:00,24.48,24.52,24.25,24.32
2022-01-01 10:00:00,24.33,24.55,24.16,24.36
2022-01-01 11:00:00,24.36,24.39,24.1,24.1
2022-01-01 12:00:00,24.14,24.54,24.1,24.3
2022-01-01 13:00:00,24.36,24.39,24.11,24.11
2022-01-01 14:00:00,24.11,24.23,24.05,24.14
2022-01-01 15:00:00,24.14,24.42,24.1,24.37
2022-01-01 16:00:00,24.4,24.68,24.34,24.47
2022-01-01 17:00:00,24.43,24.75,24.42,24.66
2022-01-01 18:00:00,24.66,24.82,24.42,24.54
2022-01-01 19:00:00,24.54,24.68,24.53,24.64
2022-01-01 20:00:00,24.64,24.83,24.56,24.58
2022-01-01 21:00:00,24.58,24.63,24.2,24.21
2022-01-01 22:00:00,24.21,24.7,24.15,24.65
2022-01-01 23:00:00,24.7,24.74,24.2,24.52
2022-01-02 00:00:00,24.46,24.68,24.42,24.63
2022-01-02 01:00:00,24.63,24.66,24.5,24.52
2022-01-02 02:00:00,24.52,24.75,24.52,24.69
2022-01-02 03:00:00,24.67,25.26,24.29,24.6
2022-01-02 04:00:00,24.6,24.77,24.26,24.44
2022-01-02 05:00:00,24.44,24.71,24.29,24.62
2022-01-02 06:00:00,24.67,24.67,24.46,24.46
2022-01-02 07:00:00,24.5,24.56,24.45,24.52
2022-01-02 08:00:00,24.54,24.64,24.28,24.57
2022-01-02 09:00:00,24.57,25.33,24.5,24.89
2022-01-02 10:00:00,24.92,24.92,24.43,24.44
2022-01-02 11:00:00,24.44,24.78,24.4,24.53
2022-01-02 12:00:00,24.53,24.7,24.49,24.66
2022-01-02 13:00:00,24.66,24.7,24.47,24.49
2022-01-02 14:00:00,24.48,24.61,24.41,24.42
2022-01-02 15:00:00,24.41,24.6,24.41,24.6
2022-01-02 16:00:00,24.54,24.78,24.51,24.74
2022-01-02 17:00:00,24.78,24.78,24.5,24.51
2022-01-02 18:00:00,24.52,24.53,24.05,24.3
2022-01-02 19:00:00,24.3,24.38,24.14,24.34
2022-01-02 20:00:00,24.34,24.39,24.27,24.32
2022-01-02 21:00:00,24.33,24.59,24.19,24.56
2022-01-02 22:00:00,24.58,24.68,24.3,24.36
2022-01-02 23:00:00,24.41,24.48,24.32,24.45
2022-01-03 00:00:00,24.4,24.46,24.22,24.24
2022-01-03 01:00:00,24.23,24.39,24.07,24.39
2022-01-03 02:00:00,24.36,24.36,24.13,24.19
2022-01-03 03:00:00,24.19,24.32,24.0,24.01
2022-01-03 04:00:00,24.01,24.17,23.99,24.14
2022-01-03 05:00:00,24.12,24.42,23.97,24.42
2022-01-03 06:00:00,24.42,25.33,24.37,25.28
2022-01-03 07:00:00,25.21,25.59,24.64,25.55
2022-01-03 08:00:00,25.55,25.67,24.41,24.53
2022-01-03 09:00:00,24.53,25.0,24.53,24.82
2022-01-03 10:00:00,24.8,24.91,24.64,24.66
2022-01-03 11:00:00,24.66,24.8,24.66,24.74
2022-01-03 12:00:00,24.76,25.12,24.7,24.99
2022-01-03 13:00:00,25.0,25.5,24.82,24.87
2022-01-03 14:00:00,24.86,25.44,24.74,24.83
2022-01-03 15:00:00,24.81,25.15,24.52,24.53
2022-01-03 16:00:00,24.53,24.69,24.11,24.44
2022-01-03 17:00:00,24.44,24.73,24.44,24.55
2022-01-03 18:00:00,24.5,24.5,24.32,24.35
2022-01-03 19:00:00,24.36,24.43,24.31,24.36
2022-01-03 20:00:00,24.36,24.41,23.55,23.88
2022-01-03 21:00:00,23.93,24.16,23.82,23.86
2022-01-03 22:00:00,23.86,24.29,23.85,24.21
2022-01-03 23:00:00,24.21,24.82,24.21,24.65
2022-01-04 00:00:00,24.64,24.74,24.17,24.24
2022-01-04 01:00:00,24.21,24.7,24.07,24.24
2022-01-04 02:00:00,24.24,24.58,24.1,24.14
2022-01-04 03:00:00,24.14,24.58,24.07,24.51
2022-01-04 04:00:00,24.55,24.69,24.02,24.17
2022-01-04 05:00:00,24.1,24.62,24.06,24.1
2022-01-04 06:00:00,24.1,24.41,24.09,24.19
2022-01-04 07:00:00,24.19,24.54,24.18,24.37
2022-01-04 08:00:00,24.37,24.56,24.36,24.39
2022-01-04 09:00:00,24.39,24.46,24.36,24.37
2022-01-04 10:00:00,24.36,24.52,24.17,24.32
2022-01-04 11:00:00,24.33,24.58,24.33,24.58
2022-01-04 12:00:00,24.51,24.55,24.42,24.5
2022-01-04 13:00:00,24.5,24.58,24.34,24.49
2022-01-04 14:00:00,24.49,24.76,24.39,24.67
2022-01-04 15:00:00,24.67,24.79,24.49,24.5
2022-01-04 16:00:00,24.49,24.72,24.27,24.72
2022-01-04 17:00:00,24.68,24.87,24.46,24.54
2022-01-04 18:00:00,24.52,24.69,23.94,23.94
2022-01-04 19:00:00,23.93,24.48,23.68,24.41
2022-01-04 20:00:00,24.37,24.58,24.29,24.32
2022-01-04 21:00:00,24.32,24.4,24.16,24.38
2022-01-04 22:00:00,24.34,24.39,24.1,24.1
2022-01-04 23:00:00,24.1,24.18,23.95,24.06
2022-01-05 00:00:00,24.02,24.49,24.01,24.34
2022-01-05 01:00:00,24.34,24.53,24.34,24.4
2022-01-05 02:00:00,24.4,24.43,24.12,24.22
2022-01-05 03:00:00,24.27,24.81,24.23,24.64
2022-01-05 04:00:00,24.69,24.83,24.37,24.38
2022-01-05 05:00:00,24.41,24.46,24.3,24.36
2022-01-05 06:00:00,24.39,24.78,24.35,24.59
2022-01-05 07:00:00,24.56,24.65,24.51,24.52
2022-01-05 08:00:00,24.52,24.57,24.43,24.49
2022-01-05 09:00:00,24.49,24.62,24.49,24.62
2022-01-05 10:00:00,24.57,24.8,24.54,24.63
2022-01-05 11:00:00,24.63,24.74,24.34,24.44
2022-01-05 12:00:00,24.44,24.59,24.17,24.29
2022-01-05 13:00:00,24.25,24.43,24.2,24.29
2022-01-05 14:00:00,24.32,24.58,24.16,24.51
2022-01-05 15:00:00,24.55,24.82,24.3,24.6
2022-01-05 16:00:00,24.6,24.8,24.25,24.35
2022-01-05 17:00:00,24.38,24.41,24.22,24.22
2022-01-05 18:00:00,24.22,24.3,24.1,24.16
2022-01-05 19:00:00,24.16,24.22,23.31,23.32
2022-01-05 20:00:00,23.32,23.64,22.76,23.04
2022-01-05 21:00:00,23.04,23.37,22.41,22.64
2022-01-05 22:00:00,22.63,22.76,22.07,22.33
2022-01-05 23:00:00,22.32,22.91,22.28,22.63
2022-01-06 00:00:00,22.61,22.64,22.37,22.38
2022-01-06 01:00:00,22.38,22.48,22.19,22.3
2022-01-06 02:00:00,22.34,22.56,21.94,22.33
2022-01-06 03:00:00,22.33,22.35,21.76,21.94
2022-01-06 04:00:00,21.94,22.39,21.48,21.83
2022-01-06 05:00:00,21.81,22.37,21.69,22.28
2022-01-06 06:00:00,22.25,22.3,22.17,22.18
2022-01-06 07:00:00,22.18,22.78,22.11,22.44
2022-01-06 08:00:00,22.44,22.59,21.6,21.99
2022-01-06 09:00:00,22.02,22.1,21.55,21.6
2022-01-06 10:00:00,21.61,22.13,21.6,22.0
2022-01-06 11:00:00,22.0,22.27,21.92,22.23
2022-01-06 12:00:00,22.26,22.36,21.64,21.9
2022-01-06 13:00:00,21.91,22.44,21.87,22.34
2022-01-06 14:00:00,22.28,22.57,21.94,21.95
2022-01-06 15:00:00,21.94,22.66,21.78,21.95
2022-01-06 16:00:00,21.95,22.48,21.93,22.2
2022-01-06 17:00:00,22.21,22.88,22.09,22.28
2022-01-06 18:00:00,22.28,22.59,22.21,22.56
2022-01-06 19:00:00,22.55,22.63,22.3,22.56
2022-01-06 20:00:00,22.56,22.7,22.41,22.55
2022-01-06 21:00:00,22.55,22.63,22.44,22.45
2022-01-06 22:00:00,22.45,22.49,22.35,22.37
2022-01-06 23:00:00,22.37,22.69,22.3,22.51
2022-01-07 00:00:00,22.51,22.64,22.14,22.57
2022-01-07 01:00:00,22.6,22.67,22.07,22.31
2022-01-07 02:00:00,22.31,22.43,22.09,22.17
2022-01-07 03:00:00,22.18,22.24,21.2,21.26
2022-01-07 04:00:00,21.26,21.45,20.51,21.42
2022-01-07 05:00:00,21.39,21.61,20.89,21.03
2022-01-07 06:00:00,21.03,21.38,20.8,21.16
2022-01-07 07:00:00,21.08,21.55,20.45,21.03
2022-01-07 08:00:00,21.01,21.62,21.01,21.26
2022-01-07 09:00:00,21.23,21.73,21.23,21.42
2022-01-07 10:00:00,21.42,21.49,21.06,21.06
2022-01-07 11:00:00,21.05,21.63,21.03,21.31
2022-01-07 12:00:00,21.34,21.63,21.31,21.56
2022-01-07 13:00:00,21.53,21.8,20.75,21.22
2022-01-07 14:00:00,21.22,21.73,20.9,21.14
2022-01-07 15:00:00,21.14,21.2,20.35,20.68
2022-01-07 16:00:00,20.69,21.3,20.37,21.2
2022-01-07 17:00:00,21.2,21.2,20.82,21.12
2022-01-07 18:00:00,21.11,21.11,20.76,20.77
2022-01-07 19:00:00,20.77,21.22,20.77,21.04
2022-01-07 20:00:00,21.06,21.32,20.62,21.01
2022-01-07 21:00:00,21.01,21.12,20.69,20.94
2022-01-07 22:00:00,20.9,20.92,20.6,20.72
2022-01-07 23:00:00,20.66,21.1,20.61,20.9
2022-01-08 00:00:00,20.9,21.32,20.82,21.31
2022-01-08 01:00:00,21.29,21.41,20.77,20.89
2022-01-08 02:00:00,20.96,21.35,20.88,21.19
2022-01-08 03:00:00,21.19,21.34,20.91,21.34
2022-01-08 04:00:00,21.34,22.0,21.1,21.6
2022-01-08 05:00:00,21.59,21.67,21.2,21.57
2022-01-08 06:00:00,21.55,21.75,21.51,21.53
2022-01-08 07:00:00,21.53,21.97,21.48,21.81
2022-01-08 08:00:00,21.82,22.07,21.63,21.66
2022-01-08 09:00:00,21.65,21.94,21.61,21.73
2022-01-08 10:00:00,21.73,21.89,21.54,21.62
2022-01-08 11:00:00,21.68,22.03,21.68,21.82
2022-01-08 12:00:00,21.82,21.85,21.45,21.54
2022-01-08 13:00:00,21.54,21.68,21.45,21.57
2022-01-08 14:00:00,21.57,21.68,21.21,21.21
2022-01-08 15:00:00,21.25,21.25,20.92,21.11
2022-01-08 16:00:00,21.11,21.38,20.76,20.76
2022-01-08 17:00:00,20.77,20.87,19.98,19.98
2022-01-08 18:00:00,19.97,20.8,19.54,20.27
2022-01-08 19:00:00,20.25,20.77,20.08,20.5
2022-01-08 20:00:00,20.5,20.52,19.87,20.18
2022-01-08 21:00:00,20.18,20.83,20.18,20.66
2022-01-08 22:00:00,20.67,21.5,20.67,21.33
2022-01-08 23:00:00,21.33,22.71,20.73,20.95
2022-01-09 00:00:00,20.94,21.1,20.55,20.93
2022-01-09 01:00:00,20.93,21.14,20.7,20.89
2022-01-09 02:00:00,20.89,21.13,20.89,20.96
2022-01-09 03:00:00,20.97,21.34,20.83,20.94
2022-01-09 04:00:00,20.94,21.31,20.89,21.09
2022-01-09 05:00:00,21.09,21.38,20.65,21.02
2022-01-09 06:00:00,21.02,21.45,20.96,20.96
2022-01-09 07:00:00,21.01,21.01,20.86,20.86
2022-01-09 08:00:00,20.86,21.23,20.82,21.18
2022-01-09 09:00:00,21.18,21.26,20.81,21.01
