datetime,AUDBUSD_open,AUDBUSD_high,AUDBUSD_low,AUDBUSD_close
2022-01-01 00:00:00,0.7243,0.7245,0.7236,0.7243
2022-01-01 01:00:00,0.7242,0.7245,0.724,0.7244
2022-01-01 02:00:00,0.7242,0.7244,0.7235,0.7242
2022-01-01 03:00:00,0.7242,0.7245,0.7239,0.7243
2022-01-01 04:00:00,0.7245,0.7246,0.7239,0.7245
2022-01-01 05:00:00,0.7246,0.7251,0.7243,0.725
2022-01-01 06:00:00,0.725,0.7252,0.7246,0.7246
2022-01-01 07:00:00,0.7246,0.7251,0.7244,0.725
2022-01-01 08:00:00,0.7251,0.7255,0.7249,0.7255
2022-01-01 09:00:00,0.7251,0.7254,0.7247,0.7247
2022-01-01 10:00:00,0.7247,0.7249,0.7244,0.7248
2022-01-01 11:00:00,0.7247,0.7252,0.7247,0.725
2022-01-01 12:00:00,0.725,0.7253,0.7249,0.7252
2022-01-01 13:00:00,0.7253,0.7257,0.7252,0.7256
2022-01-01 14:00:00,0.725,0.7256,0.725,0.7252
2022-01-01 15:00:00,0.7251,0.7252,0.7247,0.7248
2022-01-01 16:00:00,0.7247,0.7257,0.7242,0.7256
2022-01-01 17:00:00,0.7256,0.7257,0.725,0.7254
2022-01-01 18:00:00,0.7255,0.7255,0.7246,0.7253
2022-01-01 19:00:00,0.7252,0.7253,0.7242,0.7249
2022-01-01 20:00:00,0.7249,0.7255,0.7245,0.725
2022-01-01 21:00:00,0.725,0.7255,0.7246,0.7253
2022-01-01 22:00:00,0.7251,0.7253,0.7247,0.7252
2022-01-01 23:00:00,0.725,0.7256,0.7248,0.7252
2022-01-02 00:00:00,0.7252,0.7257,0.7252,0.7255
2022-01-02 01:00:00,0.7255,0.7256,0.7251,0.7253
2022-01-02 02:00:00,0.7253,0.7256,0.7247,0.7256
2022-01-02 03:00:00,0.7255,0.7257,0.7251,0.7252
2022-01-02 04:00:00,0.7252,0.7259,0.7247,0.7249
2022-01-02 05:00:00,0.7249,0.7254,0.7247,0.7247
2022-01-02 06:00:00,0.7248,0.7258,0.7248,0.7254
2022-01-02 07:00:00,0.725,0.7252,0.7243,0.7247
2022-01-02 08:00:00,0.7243,0.7247,0.7242,0.7242
2022-01-02 09:00:00,0.7242,0.726,0.7242,0.726
2022-01-02 10:00:00,0.7257,0.7259,0.7253,0.7258
2022-01-02 11:00:00,0.7258,0.7259,0.7254,0.7258
2022-01-02 12:00:00,0.7258,0.7263,0.7258,0.7262
2022-01-02 13:00:00,0.7262,0.7263,0.7252,0.7253
2022-01-02 14:00:00,0.7252,0.7252,0.7245,0.7246
2022-01-02 15:00:00,0.7245,0.7245,0.7235,0.7239
2022-01-02 16:00:00,0.7239,0.7246,0.7233,0.7243
2022-01-02 17:00:00,0.7244,0.7253,0.7242,0.725
2022-01-02 18:00:00,0.7252,0.7262,0.7252,0.7253
2022-01-02 19:00:00,0.7252,0.7258,0.7247,0.7252
2022-01-02 20:00:00,0.7253,0.7262,0.7241,0.7242
2022-01-02 21:00:00,0.7243,0.7245,0.7233,0.724
2022-01-02 22:00:00,0.7241,0.7244,0.7229,0.7237
2022-01-02 23:00:00,0.7237,0.7244,0.7233,0.7237
2022-01-03 00:00:00,0.7237,0.7243,0.7235,0.7239
2022-01-03 01:00:00,0.7238,0.7245,0.7235,0.7244
2022-01-03 02:00:00,0.7242,0.7246,0.724,0.7242
2022-01-03 03:00:00,0.7248,0.7252,0.7244,0.7249
2022-01-03 04:00:00,0.7249,0.7252,0.7243,0.7244
2022-01-03 05:00:00,0.7244,0.7249,0.7242,0.7243
2022-01-03 06:00:00,0.7243,0.7243,0.7233,0.7233
2022-01-03 07:00:00,0.7233,0.7236,0.7228,0.7231
2022-01-03 08:00:00,0.7235,0.7236,0.7211,0.7213
2022-01-03 09:00:00,0.7211,0.7216,0.719,0.719
2022-01-03 10:00:00,0.719,0.7193,0.7179,0.7179
2022-01-03 11:00:00,0.7179,0.7187,0.7175,0.7184
2022-01-03 12:00:00,0.7184,0.719,0.7184,0.7188
2022-01-03 13:00:00,0.7189,0.7193,0.7188,0.7189
2022-01-03 14:00:00,0.7189,0.7193,0.7186,0.7186
2022-01-03 15:00:00,0.7185,0.7187,0.7175,0.718
2022-01-03 16:00:00,0.7178,0.7184,0.7176,0.718
2022-01-03 17:00:00,0.7179,0.7182,0.7174,0.7178
2022-01-03 18:00:00,0.7181,0.7191,0.7177,0.7184
2022-01-03 19:00:00,0.7186,0.7191,0.7182,0.7191
2022-01-03 20:00:00,0.7188,0.72,0.7187,0.7188
2022-01-03 21:00:00,0.719,0.7198,0.7184,0.7191
2022-01-03 22:00:00,0.7191,0.7198,0.7189,0.7194
2022-01-03 23:00:00,0.7196,0.7209,0.7194,0.7201
2022-01-04 00:00:00,0.7202,0.7208,0.72,0.7205
2022-01-04 01:00:00,0.7206,0.7209,0.7192,0.7204
2022-01-04 02:00:00,0.7204,0.7206,0.7201,0.7205
2022-01-04 03:00:00,0.7201,0.7207,0.7197,0.7198
2022-01-04 04:00:00,0.72,0.7208,0.7198,0.7203
2022-01-04 05:00:00,0.7202,0.7216,0.7199,0.7201
2022-01-04 06:00:00,0.72,0.7202,0.7186,0.7189
2022-01-04 07:00:00,0.7189,0.7191,0.7176,0.718
2022-01-04 08:00:00,0.718,0.7199,0.7178,0.7198
2022-01-04 09:00:00,0.7199,0.7214,0.7199,0.7211
2022-01-04 10:00:00,0.7213,0.7242,0.7211,0.7238
2022-01-04 11:00:00,0.7237,0.7237,0.7227,0.7231
2022-01-04 12:00:00,0.7232,0.7238,0.7231,0.7231
2022-01-04 13:00:00,0.7231,0.7234,0.7218,0.7224
2022-01-04 14:00:00,0.7224,0.7233,0.7223,0.7232
2022-01-04 15:00:00,0.7234,0.7237,0.7229,0.7229
2022-01-04 16:00:00,0.7229,0.7233,0.7221,0.7221
2022-01-04 17:00:00,0.7221,0.7221,0.7211,0.7219
2022-01-04 18:00:00,0.722,0.7232,0.722,0.7229
2022-01-04 19:00:00,0.7228,0.7232,0.7221,0.7225
2022-01-04 20:00:00,0.7226,0.7227,0.722,0.7221
2022-01-04 21:00:00,0.7221,0.7227,0.7215,0.7224
2022-01-04 22:00:00,0.7224,0.7225,0.7216,0.7223
2022-01-04 23:00:00,0.7223,0.7232,0.7219,0.7228
2022-01-05 00:00:00,0.7229,0.7229,0.7205,0.7213
