datetime,AUDIOBUSD_open,AUDIOBUSD_high,AUDIOBUSD_low,AUDIOBUSD_close
2022-01-01 00:00:00,1.603,1.631,1.603,1.619
2022-01-01 01:00:00,1.62,1.625,1.615,1.615
2022-01-01 02:00:00,1.617,1.63,1.611,1.63
2022-01-01 03:00:00,1.63,1.63,1.618,1.618
2022-01-01 04:00:00,1.623,1.623,1.61,1.619
2022-01-01 05:00:00,1.621,1.628,1.593,1.61
2022-01-01 06:00:00,1.612,1.629,1.612,1.618
2022-01-01 07:00:00,1.615,1.634,1.615,1.631
2022-01-01 08:00:00,1.631,1.631,1.619,1.621
2022-01-01 09:00:00,1.623,1.627,1.615,1.618
2022-01-01 10:00:00,1.618,1.629,1.616,1.619
2022-01-01 11:00:00,1.621,1.632,1.621,1.626
2022-01-01 12:00:00,1.625,1.648,1.625,1.646
2022-01-01 13:00:00,1.647,1.655,1.637,1.645
2022-01-01 14:00:00,1.645,1.649,1.637,1.641
2022-01-01 15:00:00,1.643,1.656,1.64,1.644
2022-01-01 16:00:00,1.647,1.647,1.628,1.629
2022-01-01 17:00:00,1.629,1.641,1.626,1.637
2022-01-01 18:00:00,1.635,1.657,1.632,1.65
2022-01-01 19:00:00,1.652,1.665,1.643,1.661
2022-01-01 20:00:00,1.661,1.661,1.636,1.636
2022-01-01 21:00:00,1.634,1.639,1.631,1.633
2022-01-01 22:00:00,1.633,1.658,1.633,1.646
2022-01-01 23:00:00,1.646,1.655,1.63,1.642
2022-01-02 00:00:00,1.643,1.676,1.643,1.662
2022-01-02 01:00:00,1.658,1.674,1.651,1.673
2022-01-02 02:00:00,1.67,1.685,1.661,1.669
2022-01-02 03:00:00,1.669,1.678,1.651,1.675
2022-01-02 04:00:00,1.674,1.678,1.664,1.677
2022-01-02 05:00:00,1.676,1.678,1.658,1.664
2022-01-02 06:00:00,1.671,1.672,1.655,1.655
2022-01-02 07:00:00,1.655,1.669,1.646,1.667
2022-01-02 08:00:00,1.661,1.664,1.655,1.655
2022-01-02 09:00:00,1.655,1.666,1.652,1.659
2022-01-02 10:00:00,1.658,1.669,1.654,1.658
2022-01-02 11:00:00,1.66,1.674,1.656,1.671
2022-01-02 12:00:00,1.675,1.679,1.662,1.67
2022-01-02 13:00:00,1.665,1.668,1.632,1.648
2022-01-02 14:00:00,1.649,1.655,1.641,1.644
2022-01-02 15:00:00,1.643,1.643,1.622,1.641
2022-01-02 16:00:00,1.641,1.645,1.635,1.636
2022-01-02 17:00:00,1.637,1.643,1.635,1.642
2022-01-02 18:00:00,1.642,1.651,1.641,1.648
2022-01-02 19:00:00,1.646,1.652,1.637,1.649
2022-01-02 20:00:00,1.646,1.65,1.612,1.618
2022-01-02 21:00:00,1.615,1.617,1.595,1.605
2022-01-02 22:00:00,1.604,1.607,1.584,1.599
2022-01-02 23:00:00,1.596,1.629,1.596,1.606
2022-01-03 00:00:00,1.608,1.625,1.608,1.623
2022-01-03 01:00:00,1.622,1.622,1.607,1.607
2022-01-03 02:00:00,1.607,1.621,1.603,1.617
2022-01-03 03:00:00,1.617,1.622,1.613,1.62
2022-01-03 04:00:00,1.622,1.633,1.614,1.624
2022-01-03 05:00:00,1.625,1.647,1.625,1.64
2022-01-03 06:00:00,1.641,1.671,1.641,1.667
2022-01-03 07:00:00,1.667,1.689,1.654,1.681
2022-01-03 08:00:00,1.684,1.691,1.646,1.655
2022-01-03 09:00:00,1.654,1.671,1.635,1.638
2022-01-03 10:00:00,1.637,1.653,1.622,1.638
2022-01-03 11:00:00,1.639,1.646,1.595,1.625
2022-01-03 12:00:00,1.626,1.645,1.618,1.639
2022-01-03 13:00:00,1.639,1.641,1.609,1.613
2022-01-03 14:00:00,1.618,1.624,1.609,1.609
2022-01-03 15:00:00,1.607,1.61,1.577,1.599
2022-01-03 16:00:00,1.596,1.607,1.592,1.601
2022-01-03 17:00:00,1.597,1.618,1.596,1.602
2022-01-03 18:00:00,1.605,1.621,1.602,1.614
2022-01-03 19:00:00,1.621,1.622,1.585,1.592
2022-01-03 20:00:00,1.589,1.597,1.57,1.575
2022-01-03 21:00:00,1.571,1.581,1.559,1.576
2022-01-03 22:00:00,1.579,1.594,1.567,1.593
2022-01-03 23:00:00,1.591,1.591,1.573,1.575
2022-01-04 00:00:00,1.575,1.59,1.569,1.589
2022-01-04 01:00:00,1.59,1.598,1.585,1.598
2022-01-04 02:00:00,1.598,1.607,1.594,1.604
2022-01-04 03:00:00,1.607,1.611,1.593,1.599
2022-01-04 04:00:00,1.603,1.621,1.595,1.614
2022-01-04 05:00:00,1.615,1.626,1.608,1.624
2022-01-04 06:00:00,1.627,1.645,1.625,1.642
2022-01-04 07:00:00,1.644,1.653,1.622,1.625
2022-01-04 08:00:00,1.628,1.642,1.616,1.636
2022-01-04 09:00:00,1.64,1.644,1.628,1.642
2022-01-04 10:00:00,1.643,1.653,1.622,1.627
2022-01-04 11:00:00,1.626,1.644,1.618,1.638
2022-01-04 12:00:00,1.639,1.66,1.628,1.629
2022-01-04 13:00:00,1.627,1.643,1.578,1.589
2022-01-04 14:00:00,1.588,1.627,1.582,1.6
2022-01-04 15:00:00,1.603,1.625,1.598,1.606
2022-01-04 16:00:00,1.606,1.625,1.6,1.625
2022-01-04 17:00:00,1.615,1.621,1.603,1.609
