datetime,AUTOBUSD_open,AUTOBUSD_high,AUTOBUSD_low,AUTOBUSD_close
2022-01-01 00:00:00,603.1,611.2,602.7,607.7
2022-01-01 01:00:00,608.0,610.4,605.8,605.8
2022-01-01 02:00:00,606.0,612.1,606.0,611.1
2022-01-01 03:00:00,613.2,620.0,607.3,610.3
2022-01-01 04:00:00,610.3,613.0,606.6,609.7
2022-01-01 05:00:00,609.6,619.8,603.7,613.0
2022-01-01 06:00:00,612.9,630.7,606.1,622.0
2022-01-01 07:00:00,623.9,660.0,621.4,640.4
2022-01-01 08:00:00,642.1,644.0,631.0,632.4
2022-01-01 09:00:00,631.9,633.0,623.0,630.2
2022-01-01 10:00:00,630.0,640.4,630.0,630.3
2022-01-01 11:00:00,634.1,662.9,627.4,630.9
2022-01-01 12:00:00,629.3,632.9,620.7,627.0
2022-01-01 13:00:00,627.3,628.1,621.0,621.7
2022-01-01 14:00:00,625.2,629.7,623.7,629.7
2022-01-01 15:00:00,627.1,627.1,622.3,625.3
2022-01-01 16:00:00,625.8,636.2,623.6,626.6
2022-01-01 17:00:00,625.6,634.3,625.6,628.7
2022-01-01 18:00:00,628.6,651.6,628.5,648.6
2022-01-01 19:00:00,646.6,646.6,630.1,632.5
2022-01-01 20:00:00,630.8,630.8,627.4,628.2
2022-01-01 21:00:00,627.2,630.0,624.1,626.2
2022-01-01 22:00:00,626.3,629.0,625.5,625.8
2022-01-01 23:00:00,625.9,628.9,616.9,620.6
2022-01-02 00:00:00,620.8,627.0,619.9,624.0
2022-01-02 01:00:00,624.0,637.6,622.5,622.5
2022-01-02 02:00:00,624.9,633.8,624.9,626.7
2022-01-02 03:00:00,626.8,632.9,621.3,626.5
2022-01-02 04:00:00,629.9,632.9,629.4,630.6
2022-01-02 05:00:00,631.8,633.5,631.4,631.4
2022-01-02 06:00:00,632.0,635.5,630.9,633.3
2022-01-02 07:00:00,631.2,635.7,628.0,635.6
2022-01-02 08:00:00,632.8,632.8,625.4,628.7
2022-01-02 09:00:00,628.0,629.0,624.4,625.3
2022-01-02 10:00:00,624.3,625.9,622.6,625.9
2022-01-02 11:00:00,625.6,634.1,622.9,634.1
2022-01-02 12:00:00,634.3,637.0,625.8,625.9
2022-01-02 13:00:00,626.1,627.4,619.7,625.2
2022-01-02 14:00:00,625.7,630.0,622.1,624.5
2022-01-02 15:00:00,624.6,633.5,624.5,633.5
2022-01-02 16:00:00,633.5,636.9,629.9,636.7
2022-01-02 17:00:00,633.8,638.4,632.8,636.0
2022-01-02 18:00:00,636.0,648.2,633.8,647.6
2022-01-02 19:00:00,646.9,646.9,632.8,639.9
