datetime,AVAXUSD_open,AVAXUSD_high,AVAXUSD_low,AVAXUSD_close
2022-01-01 00:00:00,109.43,112.0,109.43,111.7
2022-01-01 01:00:00,111.69,111.69,109.59,109.73
2022-01-01 02:00:00,109.73,110.99,109.73,110.76
2022-01-01 03:00:00,110.76,110.85,108.9,109.71
2022-01-01 04:00:00,109.73,110.24,108.55,108.98
2022-01-01 05:00:00,108.96,111.13,108.22,109.84
2022-01-01 06:00:00,109.96,110.21,109.18,109.37
2022-01-01 07:00:00,109.39,110.75,108.99,110.41
2022-01-01 08:00:00,110.29,110.73,109.55,109.9
2022-01-01 09:00:00,109.92,110.17,109.19,109.91
2022-01-01 10:00:00,109.89,110.21,108.89,109.15
2022-01-01 11:00:00,109.14,110.0,109.06,109.16
2022-01-01 12:00:00,109.16,110.0,108.98,109.8
2022-01-01 13:00:00,109.8,110.57,109.78,110.28
2022-01-01 14:00:00,110.32,110.38,108.79,109.24
2022-01-01 15:00:00,109.22,110.41,109.02,109.47
2022-01-01 16:00:00,109.55,111.08,109.34,111.02
2022-01-01 17:00:00,111.0,114.79,110.98,113.55
2022-01-01 18:00:00,113.53,113.89,112.7,113.08
2022-01-01 19:00:00,113.06,113.77,112.61,112.68
2022-01-01 20:00:00,112.76,113.4,112.1,113.34
2022-01-01 21:00:00,113.33,113.86,112.9,113.29
2022-01-01 22:00:00,113.28,113.6,112.65,113.53
2022-01-01 23:00:00,113.57,114.55,112.86,114.26
2022-01-02 00:00:00,114.27,116.49,113.59,116.35
2022-01-02 01:00:00,116.35,116.41,114.41,114.77
2022-01-02 02:00:00,114.78,115.88,114.37,115.84
2022-01-02 03:00:00,115.84,117.53,115.1,117.45
2022-01-02 04:00:00,117.45,117.49,115.71,116.99
2022-01-02 05:00:00,116.97,117.39,115.55,116.0
2022-01-02 06:00:00,115.99,116.24,114.77,115.11
2022-01-02 07:00:00,115.08,116.26,115.02,116.01
2022-01-02 08:00:00,116.0,116.24,115.11,115.55
2022-01-02 09:00:00,115.54,116.08,115.23,115.31
2022-01-02 10:00:00,115.24,115.97,115.14,115.78
2022-01-02 11:00:00,115.69,116.53,115.6,115.76
2022-01-02 12:00:00,115.76,116.29,115.09,115.88
2022-01-02 13:00:00,115.87,115.93,115.14,115.16
2022-01-02 14:00:00,115.14,115.36,113.76,113.92
2022-01-02 15:00:00,113.99,114.56,113.45,114.33
2022-01-02 16:00:00,114.3,115.8,113.96,115.7
2022-01-02 17:00:00,115.7,115.92,115.0,115.28
2022-01-02 18:00:00,115.23,115.31,112.5,114.22
2022-01-02 19:00:00,114.15,114.43,112.15,112.29
2022-01-02 20:00:00,112.3,113.18,112.0,113.0
2022-01-02 21:00:00,112.98,113.75,112.6,112.93
2022-01-02 22:00:00,112.93,113.92,112.93,113.62
2022-01-02 23:00:00,113.72,113.94,112.92,113.21
2022-01-03 00:00:00,113.13,113.41,112.2,112.65
2022-01-03 01:00:00,112.61,114.14,112.48,113.02
2022-01-03 02:00:00,112.99,112.99,112.2,112.38
2022-01-03 03:00:00,112.38,112.59,110.66,110.84
2022-01-03 04:00:00,110.87,112.2,110.5,111.64
2022-01-03 05:00:00,111.51,113.0,111.47,112.37
2022-01-03 06:00:00,112.36,112.4,111.01,111.12
2022-01-03 07:00:00,111.13,111.92,111.03,111.86
2022-01-03 08:00:00,111.9,112.12,111.31,112.04
2022-01-03 09:00:00,112.06,112.72,111.45,112.17
2022-01-03 10:00:00,112.15,112.44,110.16,111.09
2022-01-03 11:00:00,111.09,112.1,111.09,111.85
2022-01-03 12:00:00,111.83,112.33,111.01,111.49
2022-01-03 13:00:00,111.52,112.97,111.52,112.54
2022-01-03 14:00:00,112.55,113.38,111.85,112.15
2022-01-03 15:00:00,112.14,112.55,110.52,110.74
2022-01-03 16:00:00,110.7,111.24,107.45,109.4
2022-01-03 17:00:00,109.37,110.47,108.95,109.92
2022-01-03 18:00:00,109.9,110.22,108.98,109.35
2022-01-03 19:00:00,109.37,109.54,108.06,108.06
2022-01-03 20:00:00,108.05,108.29,105.98,108.13
2022-01-03 21:00:00,108.1,108.77,107.3,108.15
2022-01-03 22:00:00,108.15,109.25,108.0,108.4
2022-01-03 23:00:00,108.38,108.99,108.04,108.09
2022-01-04 00:00:00,108.09,108.45,106.52,107.11
2022-01-04 01:00:00,107.02,107.56,105.44,106.15
2022-01-04 02:00:00,106.17,106.94,105.11,106.4
2022-01-04 03:00:00,106.47,106.58,105.42,105.63
2022-01-04 04:00:00,105.62,105.92,104.95,105.47
2022-01-04 05:00:00,105.45,106.09,104.76,105.76
