datetime,AVAXUSDT_open,AVAXUSDT_high,AVAXUSDT_low,AVAXUSDT_close
2022-01-01 00:00:00,109.77,112.1,109.7,111.42
2022-01-01 01:00:00,111.31,111.6,109.61,109.9
2022-01-01 02:00:00,110.28,110.98,110.07,110.75
2022-01-01 03:00:00,110.53,110.81,108.95,109.74
2022-01-01 04:00:00,109.8,110.14,108.55,108.87
2022-01-01 05:00:00,108.92,111.1,108.62,109.86
2022-01-01 06:00:00,110.01,110.2,109.19,109.21
2022-01-01 07:00:00,109.19,110.78,109.01,110.29
2022-01-01 08:00:00,110.0,110.52,109.67,110.02
2022-01-01 09:00:00,109.82,110.05,109.25,109.97
2022-01-01 10:00:00,110.04,110.17,108.91,109.24
2022-01-01 11:00:00,109.32,110.03,109.04,109.12
2022-01-01 12:00:00,109.12,109.99,109.03,109.88
2022-01-01 13:00:00,109.91,110.56,109.8,110.32
2022-01-01 14:00:00,110.32,110.4,109.14,109.25
2022-01-01 15:00:00,109.47,110.32,109.04,109.78
2022-01-01 16:00:00,109.5,111.03,109.5,110.96
2022-01-01 17:00:00,111.01,114.56,110.97,113.75
2022-01-01 18:00:00,113.35,113.83,112.6,112.94
2022-01-01 19:00:00,113.02,113.71,112.64,112.76
2022-01-01 20:00:00,112.78,113.39,112.08,113.34
2022-01-01 21:00:00,113.35,113.81,112.83,113.22
2022-01-01 22:00:00,113.3,113.53,112.7,113.53
2022-01-01 23:00:00,113.48,114.67,112.85,114.16
2022-01-02 00:00:00,114.33,116.46,113.69,116.34
2022-01-02 01:00:00,116.41,116.41,114.38,114.77
2022-01-02 02:00:00,114.5,115.81,114.38,115.77
2022-01-02 03:00:00,115.68,117.54,115.2,117.43
2022-01-02 04:00:00,117.41,117.41,115.69,116.83
2022-01-02 05:00:00,116.77,117.35,115.6,115.79
2022-01-02 06:00:00,115.6,116.15,114.78,115.0
2022-01-02 07:00:00,115.0,116.14,115.0,115.99
2022-01-02 08:00:00,115.99,116.04,115.14,115.39
2022-01-02 09:00:00,115.45,116.0,115.23,115.23
2022-01-02 10:00:00,115.35,115.9,115.29,115.65
2022-01-02 11:00:00,115.98,116.49,115.58,115.72
2022-01-02 12:00:00,115.85,116.26,115.21,115.84
2022-01-02 13:00:00,115.78,115.85,115.13,115.13
2022-01-02 14:00:00,115.0,115.37,113.8,113.94
2022-01-02 15:00:00,113.85,114.46,113.51,114.12
2022-01-02 16:00:00,114.04,115.8,114.04,115.68
2022-01-02 17:00:00,115.81,115.91,115.05,115.13
2022-01-02 18:00:00,114.95,115.2,112.76,114.03
2022-01-02 19:00:00,114.05,114.37,112.23,112.3
2022-01-02 20:00:00,112.27,113.11,112.0,112.85
2022-01-02 21:00:00,112.75,113.69,112.71,113.14
2022-01-02 22:00:00,113.11,113.85,113.06,113.64
2022-01-02 23:00:00,113.55,113.86,112.98,113.08
2022-01-03 00:00:00,113.07,113.33,111.99,112.51
2022-01-03 01:00:00,112.45,114.07,112.45,112.88
2022-01-03 02:00:00,112.81,112.91,112.21,112.32
2022-01-03 03:00:00,112.48,112.64,110.49,110.82
2022-01-03 04:00:00,110.74,112.19,110.61,111.62
2022-01-03 05:00:00,111.94,113.0,111.89,112.26
2022-01-03 06:00:00,112.21,112.24,111.0,111.33
2022-01-03 07:00:00,111.38,111.87,111.3,111.83
2022-01-03 08:00:00,111.9,112.14,111.3,112.14
2022-01-03 09:00:00,112.2,112.64,111.5,112.24
2022-01-03 10:00:00,112.34,112.34,110.17,111.44
2022-01-03 11:00:00,111.48,112.04,111.29,111.82
2022-01-03 12:00:00,111.89,112.25,111.01,111.59
2022-01-03 13:00:00,111.67,112.9,111.63,112.36
2022-01-03 14:00:00,112.33,113.34,111.91,112.22
2022-01-03 15:00:00,112.04,112.41,110.53,110.79
2022-01-03 16:00:00,110.63,111.27,107.57,109.4
2022-01-03 17:00:00,109.3,110.43,109.02,109.89
2022-01-03 18:00:00,109.9,110.12,109.17,109.48
2022-01-03 19:00:00,109.42,109.45,108.08,108.08
2022-01-03 20:00:00,108.03,108.32,106.0,107.75
2022-01-03 21:00:00,107.82,108.79,107.33,108.17
2022-01-03 22:00:00,107.93,109.0,107.87,108.43
2022-01-03 23:00:00,108.46,108.9,108.0,108.35
2022-01-04 00:00:00,108.32,108.36,106.53,107.18
2022-01-04 01:00:00,106.92,107.55,105.63,106.13
2022-01-04 02:00:00,106.31,106.91,105.12,106.31
2022-01-04 03:00:00,106.1,106.25,105.48,105.56
2022-01-04 04:00:00,105.83,105.88,105.0,105.4
2022-01-04 05:00:00,105.4,106.03,105.13,105.77
2022-01-04 06:00:00,105.73,106.25,105.43,105.98
2022-01-04 07:00:00,106.13,106.36,105.8,106.1
2022-01-04 08:00:00,106.04,106.61,106.02,106.23
2022-01-04 09:00:00,106.27,106.59,105.82,106.16
2022-01-04 10:00:00,106.2,107.09,105.93,107.09
2022-01-04 11:00:00,107.09,107.75,106.95,107.57
2022-01-04 12:00:00,107.25,107.32,106.42,106.9
2022-01-04 13:00:00,106.95,107.85,106.25,107.69
2022-01-04 14:00:00,107.71,108.96,107.41,108.52
2022-01-04 15:00:00,108.59,109.26,107.57,107.9
2022-01-04 16:00:00,107.98,107.98,106.92,107.75
2022-01-04 17:00:00,107.71,108.9,107.52,107.8
2022-01-04 18:00:00,107.8,108.18,104.75,104.91
2022-01-04 19:00:00,104.74,105.66,103.32,103.86
2022-01-04 20:00:00,103.83,105.78,103.57,105.42
2022-01-04 21:00:00,105.39,105.9,105.06,105.13
2022-01-04 22:00:00,105.17,105.33,104.16,104.57
2022-01-04 23:00:00,104.43,104.55,102.85,103.3
2022-01-05 00:00:00,103.53,105.37,102.54,105.0
2022-01-05 01:00:00,104.89,105.07,103.41,104.2
2022-01-05 02:00:00,104.26,105.69,104.21,105.45
2022-01-05 03:00:00,105.6,106.1,105.48,105.66
2022-01-05 04:00:00,105.69,105.77,105.17,105.46
2022-01-05 05:00:00,105.46,105.53,104.94,105.35
2022-01-05 06:00:00,105.33,105.97,105.33,105.86
2022-01-05 07:00:00,105.79,106.31,105.43,105.93
2022-01-05 08:00:00,105.98,106.4,105.22,106.24
2022-01-05 09:00:00,106.36,106.64,105.91,106.24
2022-01-05 10:00:00,106.27,106.54,105.49,105.93
2022-01-05 11:00:00,105.86,105.97,104.61,105.31
2022-01-05 12:00:00,105.42,105.42,103.88,104.99
2022-01-05 13:00:00,104.95,105.42,104.47,105.05
2022-01-05 14:00:00,105.07,105.38,104.21,105.3
2022-01-05 15:00:00,105.33,105.43,104.55,105.17
2022-01-05 16:00:00,105.15,105.24,104.29,104.29
2022-01-05 17:00:00,104.64,104.87,102.12,102.2
2022-01-05 18:00:00,102.11,103.47,100.87,102.06
2022-01-05 19:00:00,102.04,102.49,97.84,98.25
2022-01-05 20:00:00,98.3,99.24,96.0,97.48
2022-01-05 21:00:00,97.27,98.75,96.24,96.24
2022-01-05 22:00:00,96.21,96.96,90.4,95.94
2022-01-05 23:00:00,95.94,98.45,95.69,97.48
2022-01-06 00:00:00,97.46,98.0,96.24,97.73
2022-01-06 01:00:00,97.53,97.83,94.92,95.41
