datetime,AXSBUSD_open,AXSBUSD_high,AXSBUSD_low,AXSBUSD_close
2022-01-01 00:00:00,93.58,95.3,93.41,94.35
2022-01-01 01:00:00,94.44,94.53,93.63,93.69
2022-01-01 02:00:00,93.71,94.22,93.36,94.0
2022-01-01 03:00:00,93.99,94.33,93.82,94.04
2022-01-01 04:00:00,94.1,94.27,93.18,93.46
2022-01-01 05:00:00,93.44,93.74,91.93,92.14
2022-01-01 06:00:00,92.17,92.31,91.4,91.91
2022-01-01 07:00:00,91.85,92.85,91.85,92.68
2022-01-01 08:00:00,92.71,93.0,92.5,92.8
2022-01-01 09:00:00,92.78,92.81,92.39,92.55
2022-01-01 10:00:00,92.51,93.44,92.33,92.8
2022-01-01 11:00:00,92.8,93.97,92.67,93.07
2022-01-01 12:00:00,93.05,94.17,92.9,93.88
2022-01-01 13:00:00,93.99,93.99,93.27,93.59
2022-01-01 14:00:00,93.66,93.79,93.41,93.74
2022-01-01 15:00:00,93.75,94.24,93.68,93.8
2022-01-01 16:00:00,93.85,94.09,93.59,93.79
2022-01-01 17:00:00,93.78,93.9,93.5,93.79
2022-01-01 18:00:00,93.87,94.15,93.43,94.07
2022-01-01 19:00:00,94.07,94.19,93.65,94.19
2022-01-01 20:00:00,94.2,94.49,94.0,94.07
2022-01-01 21:00:00,94.05,94.23,93.74,93.84
2022-01-01 22:00:00,93.81,94.29,93.79,94.01
2022-01-01 23:00:00,93.99,94.29,93.2,93.6
2022-01-02 00:00:00,93.51,94.14,93.51,94.06
2022-01-02 01:00:00,94.01,94.07,93.73,93.73
2022-01-02 02:00:00,93.65,94.0,93.65,93.81
2022-01-02 03:00:00,93.77,94.88,93.55,94.27
2022-01-02 04:00:00,94.27,94.82,94.11,94.24
2022-01-02 05:00:00,94.24,94.63,94.11,94.47
2022-01-02 06:00:00,94.49,94.78,94.0,94.1
2022-01-02 07:00:00,94.08,94.62,93.69,94.33
2022-01-02 08:00:00,94.35,94.56,94.15,94.49
2022-01-02 09:00:00,94.45,95.56,94.44,95.18
2022-01-02 10:00:00,95.18,95.95,95.18,95.35
2022-01-02 11:00:00,95.36,96.65,95.31,96.23
2022-01-02 12:00:00,96.33,96.74,95.67,95.9
2022-01-02 13:00:00,95.94,96.03,94.47,95.18
2022-01-02 14:00:00,95.15,95.47,94.85,95.13
2022-01-02 15:00:00,95.13,95.49,94.99,95.26
2022-01-02 16:00:00,95.23,95.79,95.06,95.57
2022-01-02 17:00:00,95.63,96.13,95.51,96.04
2022-01-02 18:00:00,96.09,96.74,96.07,96.43
2022-01-02 19:00:00,96.41,96.41,95.93,96.05
2022-01-02 20:00:00,96.03,96.12,95.15,96.05
2022-01-02 21:00:00,95.98,96.05,95.26,95.45
2022-01-02 22:00:00,95.42,95.65,95.01,95.11
2022-01-02 23:00:00,95.1,96.09,95.06,95.91
2022-01-03 00:00:00,95.93,96.57,95.86,96.26
2022-01-03 01:00:00,96.26,96.67,95.54,95.58
2022-01-03 02:00:00,95.54,96.44,95.48,96.11
2022-01-03 03:00:00,96.11,96.64,95.94,96.1
2022-01-03 04:00:00,96.11,96.48,95.65,96.26
2022-01-03 05:00:00,96.26,97.24,96.18,96.99
2022-01-03 06:00:00,97.0,97.88,96.94,97.56
2022-01-03 07:00:00,97.54,97.92,96.71,97.13
2022-01-03 08:00:00,97.15,97.91,97.04,97.38
2022-01-03 09:00:00,97.34,97.67,96.62,96.71
2022-01-03 10:00:00,96.77,97.06,95.49,95.9
2022-01-03 11:00:00,95.84,96.09,93.85,94.62
2022-01-03 12:00:00,94.58,95.17,94.23,94.83
2022-01-03 13:00:00,94.79,95.22,94.3,94.39
2022-01-03 14:00:00,94.43,94.53,93.7,93.7
2022-01-03 15:00:00,93.76,93.77,92.34,92.66
2022-01-03 16:00:00,92.68,93.35,92.34,93.08
2022-01-03 17:00:00,93.01,94.0,92.83,93.91
2022-01-03 18:00:00,93.89,94.64,93.75,94.35
2022-01-03 19:00:00,94.4,94.45,93.1,93.3
2022-01-03 20:00:00,93.25,93.93,93.0,93.16
2022-01-03 21:00:00,93.16,93.93,92.71,93.63
2022-01-03 22:00:00,93.56,94.75,93.2,94.24
2022-01-03 23:00:00,94.18,96.05,93.72,94.04
2022-01-04 00:00:00,94.0,94.85,93.82,94.3
2022-01-04 01:00:00,94.32,94.93,93.92,94.89
2022-01-04 02:00:00,94.81,95.43,94.57,95.21
2022-01-04 03:00:00,95.26,95.38,94.67,94.96
2022-01-04 04:00:00,94.96,94.99,94.5,94.61
2022-01-04 05:00:00,94.67,95.36,94.53,95.08
2022-01-04 06:00:00,95.2,96.47,95.2,96.31
2022-01-04 07:00:00,96.28,96.5,95.3,95.99
2022-01-04 08:00:00,95.94,96.55,95.48,96.28
