datetime,AXSUSD_open,AXSUSD_high,AXSUSD_low,AXSUSD_close
2022-01-01 00:00:00,93.17,94.49,93.17,94.38
2022-01-01 01:00:00,94.38,94.83,93.88,93.98
2022-01-01 02:00:00,93.98,94.5,93.93,94.31
2022-01-01 03:00:00,94.31,94.34,93.73,93.8
2022-01-01 04:00:00,93.83,93.86,93.4,93.56
2022-01-01 05:00:00,93.51,95.25,93.51,94.45
2022-01-01 06:00:00,94.41,94.6,93.6,93.67
2022-01-01 07:00:00,93.67,94.25,93.44,94.01
2022-01-01 08:00:00,93.96,94.3,93.89,94.1
2022-01-01 09:00:00,94.14,94.21,93.23,93.4
2022-01-01 10:00:00,93.41,93.74,91.91,92.14
2022-01-01 11:00:00,92.13,92.29,91.34,91.94
2022-01-01 12:00:00,92.0,92.9,91.9,92.68
2022-01-01 13:00:00,92.67,92.96,92.51,92.78
2022-01-01 14:00:00,92.77,92.83,92.36,92.49
2022-01-01 15:00:00,92.47,93.3,92.37,92.82
2022-01-01 16:00:00,92.75,93.87,92.71,93.02
2022-01-01 17:00:00,93.09,94.21,92.91,93.89
2022-01-01 18:00:00,93.89,94.01,93.27,93.69
2022-01-01 19:00:00,93.69,93.83,93.4,93.77
2022-01-01 20:00:00,93.77,94.32,93.71,93.84
2022-01-01 21:00:00,93.91,94.08,93.55,93.78
2022-01-01 22:00:00,93.79,93.9,93.49,93.83
2022-01-01 23:00:00,93.78,94.24,93.45,94.19
2022-01-02 00:00:00,94.07,94.29,93.65,94.29
2022-01-02 01:00:00,94.32,94.37,94.08,94.09
2022-01-02 02:00:00,94.11,94.24,93.77,93.87
2022-01-02 03:00:00,93.87,94.36,93.84,94.06
2022-01-02 04:00:00,94.08,94.33,93.21,93.57
2022-01-02 05:00:00,93.57,94.19,93.51,94.11
2022-01-02 06:00:00,94.09,94.13,93.78,93.83
2022-01-02 07:00:00,93.8,94.08,93.71,93.87
2022-01-02 08:00:00,93.84,94.76,93.61,94.22
2022-01-02 09:00:00,94.26,94.85,94.12,94.2
2022-01-02 10:00:00,94.2,94.61,94.13,94.52
2022-01-02 11:00:00,94.54,94.74,94.02,94.06
2022-01-02 12:00:00,94.13,94.61,93.73,94.38
2022-01-02 13:00:00,94.34,94.6,94.13,94.48
2022-01-02 14:00:00,94.53,95.6,94.52,95.25
2022-01-02 15:00:00,95.3,95.83,95.18,95.42
2022-01-02 16:00:00,95.42,96.48,95.33,96.39
2022-01-02 17:00:00,96.4,96.66,95.63,95.95
2022-01-02 18:00:00,95.96,96.03,94.46,95.13
2022-01-02 19:00:00,95.17,95.53,94.68,95.16
2022-01-02 20:00:00,95.15,95.49,94.98,95.31
2022-01-02 21:00:00,95.24,95.78,95.05,95.61
2022-01-02 22:00:00,95.55,96.18,95.51,96.11
2022-01-02 23:00:00,96.1,96.73,96.1,96.42
2022-01-03 00:00:00,96.34,96.4,95.91,96.08
2022-01-03 01:00:00,96.05,96.09,95.19,95.97
2022-01-03 02:00:00,95.97,96.04,95.23,95.47
2022-01-03 03:00:00,95.5,95.62,95.01,95.07
2022-01-03 04:00:00,95.0,96.06,95.0,95.8
2022-01-03 05:00:00,95.93,96.58,95.87,96.29
2022-01-03 06:00:00,96.22,96.63,95.5,95.55
2022-01-03 07:00:00,95.53,96.4,95.46,96.14
2022-01-03 08:00:00,96.29,96.62,96.0,96.15
2022-01-03 09:00:00,96.12,96.41,95.66,96.3
2022-01-03 10:00:00,96.47,97.11,96.18,97.07
2022-01-03 11:00:00,97.06,97.93,97.04,97.54
2022-01-03 12:00:00,97.52,97.93,96.79,97.24
2022-01-03 13:00:00,97.29,97.92,97.06,97.39
2022-01-03 14:00:00,97.38,97.71,96.71,96.76
2022-01-03 15:00:00,96.76,97.06,95.6,95.69
2022-01-03 16:00:00,95.62,96.04,93.86,94.5
2022-01-03 17:00:00,94.56,95.17,93.75,94.81
2022-01-03 18:00:00,94.87,95.18,94.06,94.35
2022-01-03 19:00:00,94.36,94.5,93.71,93.73
2022-01-03 20:00:00,93.62,93.72,92.0,92.59
2022-01-03 21:00:00,92.55,93.29,92.25,92.8
2022-01-03 22:00:00,92.82,93.95,92.7,93.85
2022-01-03 23:00:00,93.85,94.54,93.73,94.38
2022-01-04 00:00:00,94.39,94.44,93.07,93.21
2022-01-04 01:00:00,93.2,93.94,93.0,93.16
2022-01-04 02:00:00,93.26,93.87,92.67,93.58
2022-01-04 03:00:00,93.61,94.43,93.13,94.13
2022-01-04 04:00:00,94.09,95.92,93.74,94.0
2022-01-04 05:00:00,93.97,94.86,93.87,94.35
2022-01-04 06:00:00,94.34,94.94,93.98,94.86
2022-01-04 07:00:00,94.88,95.41,94.63,95.3
2022-01-04 08:00:00,95.31,95.37,94.72,94.95
2022-01-04 09:00:00,94.94,94.95,94.48,94.6
2022-01-04 10:00:00,94.68,95.28,94.49,95.16
2022-01-04 11:00:00,95.28,96.54,95.28,96.39
2022-01-04 12:00:00,96.44,96.51,95.38,95.85
2022-01-04 13:00:00,95.89,96.54,95.46,96.26
2022-01-04 14:00:00,96.45,96.74,96.07,96.55
2022-01-04 15:00:00,96.57,96.72,95.46,95.63
2022-01-04 16:00:00,95.65,96.37,94.57,95.18
2022-01-04 17:00:00,95.19,95.94,94.99,95.03
2022-01-04 18:00:00,95.12,95.57,93.08,93.6
2022-01-04 19:00:00,93.54,95.19,93.08,94.14
2022-01-04 20:00:00,94.15,94.85,93.94,94.36
2022-01-04 21:00:00,94.45,94.66,94.11,94.35
2022-01-04 22:00:00,94.34,94.34,93.5,93.79
2022-01-04 23:00:00,93.73,93.73,92.63,92.8
2022-01-05 00:00:00,92.85,94.03,92.5,93.95
2022-01-05 01:00:00,93.95,94.09,93.63,93.69
2022-01-05 02:00:00,93.86,94.21,93.56,94.08
2022-01-05 03:00:00,94.1,94.64,94.08,94.53
2022-01-05 04:00:00,94.52,94.56,94.07,94.42
2022-01-05 05:00:00,94.39,94.43,94.14,94.26
2022-01-05 06:00:00,94.25,94.79,93.98,94.63
2022-01-05 07:00:00,94.66,94.81,94.25,94.44
2022-01-05 08:00:00,94.46,94.83,94.11,94.64
2022-01-05 09:00:00,94.69,94.87,94.4,94.67
2022-01-05 10:00:00,94.71,94.91,94.28,94.45
2022-01-05 11:00:00,94.34,94.37,93.08,93.48
2022-01-05 12:00:00,93.48,93.57,92.84,93.39
2022-01-05 13:00:00,93.38,93.84,93.09,93.8
2022-01-05 14:00:00,93.79,93.95,93.04,93.76
2022-01-05 15:00:00,93.67,93.86,93.34,93.83
2022-01-05 16:00:00,93.82,93.82,93.08,93.26
2022-01-05 17:00:00,93.25,93.6,87.83,88.06
2022-01-05 18:00:00,88.09,88.87,87.55,87.77
