datetime,BADGERBUSD_open,BADGERBUSD_high,BADGERBUSD_low,BADGERBUSD_close
2022-01-01 00:00:00,14.75,15.03,14.75,14.88
2022-01-01 01:00:00,14.89,14.89,14.78,14.78
2022-01-01 02:00:00,14.78,14.79,14.73,14.79
2022-01-01 03:00:00,14.79,14.96,14.79,14.9
2022-01-01 04:00:00,14.91,14.91,14.78,14.78
2022-01-01 05:00:00,14.95,14.95,14.62,14.87
2022-01-01 06:00:00,14.92,14.97,14.79,14.8
2022-01-01 07:00:00,14.81,14.98,14.81,14.94
2022-01-01 08:00:00,14.94,15.34,14.93,15.16
2022-01-01 09:00:00,15.21,15.21,15.06,15.17
2022-01-01 10:00:00,15.17,15.42,15.17,15.38
2022-01-01 11:00:00,15.4,15.68,15.36,15.45
2022-01-01 12:00:00,15.53,15.78,15.39,15.43
2022-01-01 13:00:00,15.44,15.91,15.43,15.48
2022-01-01 14:00:00,15.46,15.5,15.36,15.39
2022-01-01 15:00:00,15.42,15.6,15.41,15.49
2022-01-01 16:00:00,15.54,15.57,15.45,15.54
2022-01-01 17:00:00,15.54,15.87,15.43,15.45
2022-01-01 18:00:00,15.43,16.13,15.39,15.93
2022-01-01 19:00:00,15.9,16.63,15.6,15.96
2022-01-01 20:00:00,15.94,16.08,15.68,15.76
2022-01-01 21:00:00,15.76,15.76,15.57,15.66
2022-01-01 22:00:00,15.63,15.65,15.51,15.55
2022-01-01 23:00:00,15.57,15.59,15.3,15.36
2022-01-02 00:00:00,15.38,15.53,15.36,15.5
2022-01-02 01:00:00,15.51,15.51,15.44,15.44
2022-01-02 02:00:00,15.44,15.49,15.41,15.42
2022-01-02 03:00:00,15.4,15.4,15.32,15.4
2022-01-02 04:00:00,15.39,15.57,15.39,15.57
2022-01-02 05:00:00,15.48,15.57,15.42,15.42
2022-01-02 06:00:00,15.46,15.57,15.46,15.52
2022-01-02 07:00:00,15.51,15.57,15.43,15.51
2022-01-02 08:00:00,15.53,15.56,15.4,15.42
2022-01-02 09:00:00,15.44,15.46,15.41,15.45
2022-01-02 10:00:00,15.49,15.55,15.42,15.55
2022-01-02 11:00:00,15.54,15.74,15.54,15.73
2022-01-02 12:00:00,15.74,15.78,15.53,15.56
2022-01-02 13:00:00,15.55,15.55,15.29,15.33
2022-01-02 14:00:00,15.37,15.4,15.3,15.39
2022-01-02 15:00:00,15.38,15.44,15.35,15.37
2022-01-02 16:00:00,15.38,15.51,15.35,15.47
2022-01-02 17:00:00,15.51,15.51,15.49,15.5
2022-01-02 18:00:00,15.5,15.52,15.42,15.42
2022-01-02 19:00:00,15.41,15.53,15.34,15.48
2022-01-02 20:00:00,15.46,15.79,15.46,15.79
2022-01-02 21:00:00,15.79,16.0,15.69,15.84
2022-01-02 22:00:00,15.84,15.84,15.47,15.47
2022-01-02 23:00:00,15.46,15.53,15.46,15.47
2022-01-03 00:00:00,15.42,15.54,15.4,15.54
2022-01-03 01:00:00,15.51,15.53,15.35,15.35
2022-01-03 02:00:00,15.35,15.48,15.29,15.48
2022-01-03 03:00:00,15.51,15.63,15.5,15.61
2022-01-03 04:00:00,15.66,15.71,15.4,15.43
2022-01-03 05:00:00,15.43,15.57,15.43,15.57
2022-01-03 06:00:00,15.59,16.0,15.57,15.71
2022-01-03 07:00:00,15.71,15.71,15.59,15.59
2022-01-03 08:00:00,15.59,15.95,15.59,15.7
2022-01-03 09:00:00,15.73,15.92,15.66,15.74
2022-01-03 10:00:00,15.71,15.75,15.59,15.61
2022-01-03 11:00:00,15.59,16.17,15.5,15.5
2022-01-03 12:00:00,15.57,15.68,15.49,15.64
2022-01-03 13:00:00,15.64,15.68,15.54,15.54
2022-01-03 14:00:00,15.57,15.66,15.39,15.49
2022-01-03 15:00:00,15.48,15.48,15.06,15.13
2022-01-03 16:00:00,15.1,15.24,15.07,15.15
2022-01-03 17:00:00,15.13,15.26,15.12,15.24
2022-01-03 18:00:00,15.22,15.31,15.21,15.25
2022-01-03 19:00:00,15.27,15.42,15.19,15.19
2022-01-03 20:00:00,15.19,15.27,15.1,15.2
2022-01-03 21:00:00,15.22,15.22,14.98,15.16
2022-01-03 22:00:00,15.13,15.24,15.1,15.21
2022-01-03 23:00:00,15.18,15.29,15.15,15.16
2022-01-04 00:00:00,15.12,15.25,15.11,15.24
2022-01-04 01:00:00,15.25,15.58,15.25,15.55
2022-01-04 02:00:00,15.54,15.68,15.47,15.49
2022-01-04 03:00:00,15.53,15.67,15.53,15.66
2022-01-04 04:00:00,15.68,15.73,15.53,15.54
2022-01-04 05:00:00,15.54,15.78,15.5,15.71
2022-01-04 06:00:00,15.71,15.82,15.7,15.81
2022-01-04 07:00:00,15.78,15.84,15.64,15.75
2022-01-04 08:00:00,15.64,15.75,15.55,15.75
2022-01-04 09:00:00,15.76,16.07,15.66,15.99
2022-01-04 10:00:00,16.0,16.07,15.65,15.67
2022-01-04 11:00:00,15.66,15.69,15.53,15.6
2022-01-04 12:00:00,15.62,15.67,15.52,15.52
2022-01-04 13:00:00,15.52,15.65,15.42,15.62
2022-01-04 14:00:00,15.57,15.87,15.46,15.5
2022-01-04 15:00:00,15.56,15.66,15.56,15.58
2022-01-04 16:00:00,15.55,15.57,15.47,15.57
2022-01-04 17:00:00,15.5,15.6,15.5,15.5
2022-01-04 18:00:00,15.47,15.47,15.26,15.31
2022-01-04 19:00:00,15.26,15.44,15.24,15.41
2022-01-04 20:00:00,15.4,15.52,15.35,15.39
2022-01-04 21:00:00,15.42,15.47,15.42,15.47
2022-01-04 22:00:00,15.47,15.58,15.46,15.56
2022-01-04 23:00:00,15.56,15.65,15.56,15.65
2022-01-05 00:00:00,15.65,15.65,15.54,15.54
2022-01-05 01:00:00,15.57,15.61,15.57,15.61
2022-01-05 02:00:00,15.63,15.7,15.61,15.69
2022-01-05 03:00:00,15.7,15.8,15.65,15.79
2022-01-05 04:00:00,15.79,16.16,15.79,16.13
2022-01-05 05:00:00,16.14,16.14,15.92,16.05
2022-01-05 06:00:00,16.05,16.07,15.74,15.74
2022-01-05 07:00:00,15.78,15.85,15.69,15.82
2022-01-05 08:00:00,15.86,16.11,15.8,16.09
2022-01-05 09:00:00,16.09,16.09,15.8,16.0
2022-01-05 10:00:00,15.93,16.04,15.91,16.04
2022-01-05 11:00:00,16.08,16.1,15.89,15.89
2022-01-05 12:00:00,15.93,16.03,15.76,15.9
2022-01-05 13:00:00,15.82,15.82,15.61,15.68
2022-01-05 14:00:00,15.63,15.63,14.4,14.87
2022-01-05 15:00:00,14.88,14.91,14.46,14.49
2022-01-05 16:00:00,14.48,14.66,14.23,14.23
2022-01-05 17:00:00,14.24,14.26,13.75,14.14
2022-01-05 18:00:00,14.11,14.34,13.88,14.08
2022-01-05 19:00:00,14.07,14.21,13.96,14.2
2022-01-05 20:00:00,14.16,14.19,13.76,13.84
2022-01-05 21:00:00,13.87,13.87,13.78,13.8
2022-01-05 22:00:00,13.72,13.72,13.23,13.27
2022-01-05 23:00:00,13.34,13.55,13.27,13.52
2022-01-06 00:00:00,13.5,13.6,13.4,13.44
2022-01-06 01:00:00,13.44,13.56,13.37,13.45
2022-01-06 02:00:00,13.45,13.59,13.45,13.59
2022-01-06 03:00:00,13.56,13.59,13.24,13.41
2022-01-06 04:00:00,13.41,13.41,13.08,13.08
2022-01-06 05:00:00,13.16,13.39,13.16,13.34
2022-01-06 06:00:00,13.32,13.38,13.26,13.36
2022-01-06 07:00:00,13.35,13.43,13.25,13.43
2022-01-06 08:00:00,13.46,13.69,13.46,13.54
2022-01-06 09:00:00,13.53,13.55,13.25,13.34
2022-01-06 10:00:00,13.34,13.43,13.26,13.43
2022-01-06 11:00:00,13.45,13.53,13.34,13.38
2022-01-06 12:00:00,13.43,13.59,13.31,13.55
2022-01-06 13:00:00,13.56,13.71,13.5,13.71
2022-01-06 14:00:00,13.67,13.72,13.66,13.66
2022-01-06 15:00:00,13.66,13.71,13.46,13.47
2022-01-06 16:00:00,13.48,13.91,13.43,13.52
2022-01-06 17:00:00,13.48,13.49,13.38,13.48
2022-01-06 18:00:00,13.48,13.49,13.35,13.35
2022-01-06 19:00:00,13.39,13.39,13.19,13.19
2022-01-06 20:00:00,13.22,13.38,13.21,13.38
2022-01-06 21:00:00,13.37,13.37,13.18,13.23
2022-01-06 22:00:00,13.18,13.18,12.66,12.76
2022-01-06 23:00:00,12.76,12.76,12.3,12.64
2022-01-07 00:00:00,12.65,12.65,12.4,12.56
2022-01-07 01:00:00,12.64,12.65,12.26,12.38
2022-01-07 02:00:00,12.38,12.56,12.21,12.5
2022-01-07 03:00:00,12.52,12.74,12.52,12.69
2022-01-07 04:00:00,12.64,12.92,12.64,12.8
2022-01-07 05:00:00,12.8,12.82,12.66,12.66
2022-01-07 06:00:00,12.67,12.78,12.61,12.61
2022-01-07 07:00:00,12.63,12.77,12.63,12.68
2022-01-07 08:00:00,12.69,12.79,12.25,12.37
2022-01-07 09:00:00,12.37,12.61,12.35,12.56
2022-01-07 10:00:00,12.54,12.54,12.03,12.25
2022-01-07 11:00:00,12.36,12.74,12.13,12.74
2022-01-07 12:00:00,12.71,12.71,12.52,12.6
2022-01-07 13:00:00,12.61,12.61,12.38,12.41
2022-01-07 14:00:00,12.42,12.6,12.35,12.54
2022-01-07 15:00:00,12.55,12.63,12.41,12.62
2022-01-07 16:00:00,12.62,12.63,12.54,12.57
2022-01-07 17:00:00,12.57,12.57,12.31,12.31
2022-01-07 18:00:00,12.31,12.37,12.26,12.29
2022-01-07 19:00:00,12.36,12.66,12.31,12.66
2022-01-07 20:00:00,12.69,12.71,12.65,12.65
2022-01-07 21:00:00,12.61,12.65,12.49,12.65
2022-01-07 22:00:00,12.62,12.62,12.49,12.59
2022-01-07 23:00:00,12.59,12.73,12.59,12.72
2022-01-08 00:00:00,12.68,12.7,12.61,12.62
2022-01-08 01:00:00,12.62,12.63,12.45,12.54
2022-01-08 02:00:00,12.54,12.58,12.54,12.58
2022-01-08 03:00:00,12.59,13.59,12.58,12.72
2022-01-08 04:00:00,12.72,12.77,12.63,12.69
2022-01-08 05:00:00,12.69,12.76,12.53,12.54
2022-01-08 06:00:00,12.52,12.73,12.51,12.59
2022-01-08 07:00:00,12.58,12.63,12.52,12.55
2022-01-08 08:00:00,12.53,12.71,12.44,12.68
2022-01-08 09:00:00,12.69,12.71,12.39,12.43
2022-01-08 10:00:00,12.4,12.44,12.24,12.31
2022-01-08 11:00:00,12.28,12.42,12.11,12.11
2022-01-08 12:00:00,12.13,12.16,11.8,11.8
2022-01-08 13:00:00,11.8,12.11,11.73,11.79
2022-01-08 14:00:00,11.71,12.02,11.7,11.8
2022-01-08 15:00:00,11.84,12.0,11.76,11.9
2022-01-08 16:00:00,11.9,12.41,11.9,12.38
2022-01-08 17:00:00,12.41,12.54,12.41,12.48
2022-01-08 18:00:00,12.46,12.46,12.27,12.27
2022-01-08 19:00:00,12.26,12.44,12.14,12.37
2022-01-08 20:00:00,12.34,12.42,12.25,12.3
2022-01-08 21:00:00,12.32,12.52,12.32,12.47
2022-01-08 22:00:00,12.42,12.44,12.32,12.32
2022-01-08 23:00:00,12.31,12.46,12.31,12.46
2022-01-09 00:00:00,12.45,12.45,12.32,12.32
2022-01-09 01:00:00,12.32,12.5,12.3,12.48
2022-01-09 02:00:00,12.46,12.46,12.27,12.31
2022-01-09 03:00:00,12.29,12.37,12.2,12.22
2022-01-09 04:00:00,12.23,12.24,12.1,12.15
2022-01-09 05:00:00,12.14,12.14,11.8,12.02
2022-01-09 06:00:00,12.02,12.17,12.02,12.12
2022-01-09 07:00:00,12.15,12.15,12.05,12.07
2022-01-09 08:00:00,12.07,12.13,11.86,11.86
2022-01-09 09:00:00,11.87,12.03,11.87,11.98
2022-01-09 10:00:00,11.93,12.05,11.77,12.05
2022-01-09 11:00:00,12.05,12.54,12.05,12.33
2022-01-09 12:00:00,12.33,12.37,12.2,12.26
2022-01-09 13:00:00,12.25,12.35,12.19,12.19
2022-01-09 14:00:00,12.19,12.5,12.19,12.46
2022-01-09 15:00:00,12.46,12.49,12.38,12.49
2022-01-09 16:00:00,12.48,12.52,12.37,12.39
2022-01-09 17:00:00,12.38,12.45,12.22,12.23
2022-01-09 18:00:00,12.23,12.26,12.18,12.24
2022-01-09 19:00:00,12.23,12.32,12.16,12.22
2022-01-09 20:00:00,12.19,12.29,12.17,12.27
2022-01-09 21:00:00,12.27,12.27,12.21,12.23
2022-01-09 22:00:00,12.26,12.27,12.26,12.27
2022-01-09 23:00:00,12.29,12.43,12.29,12.36
2022-01-10 00:00:00,12.4,12.4,12.31,12.31
2022-01-10 01:00:00,12.33,12.33,12.27,12.3
2022-01-10 02:00:00,12.35,12.36,12.24,12.27
2022-01-10 03:00:00,12.28,12.28,12.18,12.19
2022-01-10 04:00:00,12.21,12.3,12.17,12.17
2022-01-10 05:00:00,12.18,12.22,12.11,12.12
2022-01-10 06:00:00,12.1,12.1,11.9,12.03
2022-01-10 07:00:00,12.01,12.01,11.58,11.58
2022-01-10 08:00:00,11.61,11.85,11.58,11.58
2022-01-10 09:00:00,11.56,11.78,11.1,11.43
2022-01-10 10:00:00,11.48,11.57,11.34,11.52
2022-01-10 11:00:00,11.53,11.77,11.45,11.73
2022-01-10 12:00:00,11.77,11.78,11.28,11.48
2022-01-10 13:00:00,11.48,11.59,11.45,11.53
2022-01-10 14:00:00,11.53,11.64,11.44,11.52
2022-01-10 15:00:00,11.53,11.85,11.45,11.82
2022-01-10 16:00:00,11.82,11.91,11.73,11.83
2022-01-10 17:00:00,11.85,11.88,11.72,11.72
2022-01-10 18:00:00,11.73,11.88,11.73,11.85
2022-01-10 19:00:00,11.83,11.83,11.75,11.75
2022-01-10 20:00:00,11.76,11.98,11.76,11.97
2022-01-10 21:00:00,11.98,12.27,11.98,12.12
2022-01-10 22:00:00,12.11,12.57,12.05,12.25
2022-01-10 23:00:00,12.26,13.04,12.11,12.24
2022-01-11 00:00:00,12.17,12.45,11.96,11.99
2022-01-11 01:00:00,11.96,12.02,11.95,12.0
2022-01-11 02:00:00,12.02,12.15,12.02,12.15
2022-01-11 03:00:00,12.15,12.19,11.93,11.95
2022-01-11 04:00:00,11.95,12.01,11.88,11.88
2022-01-11 05:00:00,11.88,11.95,11.66,11.66
2022-01-11 06:00:00,11.7,11.92,11.7,11.88
2022-01-11 07:00:00,11.86,11.93,11.78,11.79
2022-01-11 08:00:00,11.81,11.92,11.73,11.78
2022-01-11 09:00:00,11.77,11.84,11.56,11.73
2022-01-11 10:00:00,11.79,11.97,11.7,11.74
2022-01-11 11:00:00,11.76,12.08,11.69,12.0
2022-01-11 12:00:00,12.03,12.21,11.9,11.97
2022-01-11 13:00:00,11.98,12.05,11.9,12.02
2022-01-11 14:00:00,12.02,12.1,11.97,12.09
2022-01-11 15:00:00,12.12,12.14,12.06,12.07
2022-01-11 16:00:00,12.04,12.04,12.0,12.0
2022-01-11 17:00:00,12.02,12.02,11.99,11.99
2022-01-11 18:00:00,12.01,12.07,12.01,12.04
2022-01-11 19:00:00,12.04,12.18,12.04,12.07
2022-01-11 20:00:00,12.07,12.13,12.07,12.11
2022-01-11 21:00:00,12.13,12.15,12.07,12.1
2022-01-11 22:00:00,12.1,12.16,12.09,12.16
2022-01-11 23:00:00,12.15,12.18,12.1,12.15
2022-01-12 00:00:00,12.15,12.15,12.14,12.14
2022-01-12 01:00:00,12.17,12.27,12.17,12.19
2022-01-12 02:00:00,12.19,12.19,12.12,12.18
2022-01-12 03:00:00,12.18,12.22,12.15,12.15
2022-01-12 04:00:00,12.14,12.35,12.14,12.3
2022-01-12 05:00:00,12.29,12.36,12.21,12.22
2022-01-12 06:00:00,12.21,12.4,12.21,12.31
2022-01-12 07:00:00,12.31,12.46,12.31,12.44
2022-01-12 08:00:00,12.46,12.66,12.41,12.59
2022-01-12 09:00:00,12.59,12.61,12.56,12.59
