datetime,BAKEBUSD_open,BAKEBUSD_high,BAKEBUSD_low,BAKEBUSD_close
2022-01-01 00:00:00,1.089,1.106,1.086,1.097
2022-01-01 01:00:00,1.101,1.101,1.09,1.09
2022-01-01 02:00:00,1.092,1.101,1.091,1.1
2022-01-01 03:00:00,1.1,1.106,1.1,1.102
2022-01-01 04:00:00,1.104,1.108,1.096,1.101
2022-01-01 05:00:00,1.102,1.112,1.094,1.103
2022-01-01 06:00:00,1.104,1.11,1.099,1.099
2022-01-01 07:00:00,1.101,1.135,1.099,1.121
2022-01-01 08:00:00,1.123,1.124,1.105,1.107
2022-01-01 09:00:00,1.109,1.112,1.104,1.106
2022-01-01 10:00:00,1.106,1.12,1.105,1.116
2022-01-01 11:00:00,1.118,1.125,1.113,1.119
2022-01-01 12:00:00,1.119,1.137,1.119,1.132
2022-01-01 13:00:00,1.132,1.134,1.127,1.131
2022-01-01 14:00:00,1.13,1.131,1.123,1.125
2022-01-01 15:00:00,1.125,1.166,1.121,1.127
2022-01-01 16:00:00,1.127,1.129,1.12,1.124
2022-01-01 17:00:00,1.124,1.125,1.12,1.121
2022-01-01 18:00:00,1.122,1.129,1.116,1.128
2022-01-01 19:00:00,1.128,1.128,1.116,1.125
2022-01-01 20:00:00,1.124,1.125,1.119,1.121
2022-01-01 21:00:00,1.12,1.124,1.12,1.123
2022-01-01 22:00:00,1.123,1.127,1.122,1.124
2022-01-01 23:00:00,1.124,1.126,1.103,1.111
2022-01-02 00:00:00,1.108,1.116,1.108,1.115
2022-01-02 01:00:00,1.114,1.117,1.112,1.114
2022-01-02 02:00:00,1.114,1.114,1.11,1.111
2022-01-02 03:00:00,1.11,1.116,1.104,1.113
2022-01-02 04:00:00,1.113,1.12,1.112,1.113
2022-01-02 05:00:00,1.112,1.115,1.108,1.108
2022-01-02 06:00:00,1.111,1.116,1.11,1.111
2022-01-02 07:00:00,1.111,1.119,1.106,1.114
2022-01-02 08:00:00,1.116,1.117,1.111,1.116
2022-01-02 09:00:00,1.115,1.126,1.113,1.125
2022-01-02 10:00:00,1.125,1.134,1.12,1.13
2022-01-02 11:00:00,1.13,1.147,1.13,1.144
2022-01-02 12:00:00,1.144,1.154,1.139,1.142
2022-01-02 13:00:00,1.142,1.144,1.119,1.135
2022-01-02 14:00:00,1.134,1.138,1.128,1.131
2022-01-02 15:00:00,1.131,1.137,1.131,1.133
2022-01-02 16:00:00,1.133,1.136,1.129,1.131
2022-01-02 17:00:00,1.13,1.14,1.13,1.136
2022-01-02 18:00:00,1.137,1.138,1.132,1.135
2022-01-02 19:00:00,1.134,1.138,1.131,1.138
2022-01-02 20:00:00,1.139,1.148,1.136,1.148
2022-01-02 21:00:00,1.148,1.148,1.138,1.144
2022-01-02 22:00:00,1.145,1.148,1.128,1.134
2022-01-02 23:00:00,1.134,1.146,1.133,1.14
2022-01-03 00:00:00,1.14,1.151,1.137,1.149
2022-01-03 01:00:00,1.15,1.15,1.142,1.145
2022-01-03 02:00:00,1.145,1.154,1.143,1.147
2022-01-03 03:00:00,1.146,1.151,1.141,1.146
2022-01-03 04:00:00,1.147,1.148,1.135,1.144
2022-01-03 05:00:00,1.145,1.18,1.145,1.159
2022-01-03 06:00:00,1.161,1.169,1.156,1.158
2022-01-03 07:00:00,1.159,1.165,1.152,1.154
2022-01-03 08:00:00,1.154,1.175,1.154,1.16
2022-01-03 09:00:00,1.16,1.164,1.147,1.151
2022-01-03 10:00:00,1.151,1.156,1.139,1.145
2022-01-03 11:00:00,1.144,1.15,1.122,1.128
2022-01-03 12:00:00,1.129,1.14,1.124,1.137
2022-01-03 13:00:00,1.135,1.141,1.131,1.134
2022-01-03 14:00:00,1.136,1.141,1.128,1.128
2022-01-03 15:00:00,1.127,1.128,1.109,1.117
2022-01-03 16:00:00,1.115,1.125,1.112,1.118
2022-01-03 17:00:00,1.118,1.13,1.116,1.126
2022-01-03 18:00:00,1.125,1.135,1.124,1.132
2022-01-03 19:00:00,1.134,1.137,1.118,1.121
2022-01-03 20:00:00,1.121,1.132,1.116,1.116
2022-01-03 21:00:00,1.12,1.127,1.108,1.119
2022-01-03 22:00:00,1.119,1.131,1.112,1.128
2022-01-03 23:00:00,1.128,1.135,1.123,1.125
2022-01-04 00:00:00,1.127,1.141,1.127,1.136
2022-01-04 01:00:00,1.137,1.148,1.132,1.145
2022-01-04 02:00:00,1.146,1.151,1.143,1.146
2022-01-04 03:00:00,1.148,1.16,1.143,1.147
2022-01-04 04:00:00,1.148,1.15,1.14,1.144
2022-01-04 05:00:00,1.145,1.17,1.142,1.154
2022-01-04 06:00:00,1.154,1.157,1.15,1.156
2022-01-04 07:00:00,1.157,1.163,1.145,1.161
2022-01-04 08:00:00,1.162,1.173,1.152,1.167
2022-01-04 09:00:00,1.168,1.175,1.162,1.173
2022-01-04 10:00:00,1.172,1.176,1.167,1.17
2022-01-04 11:00:00,1.171,1.182,1.164,1.177
2022-01-04 12:00:00,1.177,1.184,1.168,1.168
2022-01-04 13:00:00,1.17,1.174,1.133,1.143
2022-01-04 14:00:00,1.141,1.163,1.134,1.151
2022-01-04 15:00:00,1.153,1.17,1.153,1.159
2022-01-04 16:00:00,1.159,1.165,1.156,1.164
2022-01-04 17:00:00,1.16,1.163,1.154,1.158
2022-01-04 18:00:00,1.156,1.159,1.138,1.144
2022-01-04 19:00:00,1.142,1.162,1.138,1.16
2022-01-04 20:00:00,1.16,1.168,1.158,1.16
2022-01-04 21:00:00,1.16,1.225,1.16,1.206
2022-01-04 22:00:00,1.207,1.215,1.203,1.207
2022-01-04 23:00:00,1.207,1.209,1.195,1.2
2022-01-05 00:00:00,1.201,1.207,1.199,1.204
2022-01-05 01:00:00,1.201,1.207,1.199,1.206
2022-01-05 02:00:00,1.207,1.211,1.2,1.206
2022-01-05 03:00:00,1.208,1.227,1.201,1.221
2022-01-05 04:00:00,1.219,1.22,1.207,1.21
2022-01-05 05:00:00,1.21,1.213,1.198,1.207
2022-01-05 06:00:00,1.206,1.207,1.191,1.194
2022-01-05 07:00:00,1.195,1.201,1.183,1.194
2022-01-05 08:00:00,1.194,1.205,1.192,1.204
2022-01-05 09:00:00,1.204,1.21,1.193,1.206
2022-01-05 10:00:00,1.208,1.208,1.196,1.203
2022-01-05 11:00:00,1.203,1.215,1.197,1.204
2022-01-05 12:00:00,1.203,1.21,1.171,1.173
2022-01-05 13:00:00,1.172,1.196,1.163,1.176
2022-01-05 14:00:00,1.177,1.18,1.104,1.12
2022-01-05 15:00:00,1.118,1.128,1.07,1.097
2022-01-05 16:00:00,1.096,1.112,1.08,1.085
2022-01-05 17:00:00,1.085,1.092,1.018,1.068
2022-01-05 18:00:00,1.07,1.077,1.057,1.058
2022-01-05 19:00:00,1.057,1.066,1.05,1.059
2022-01-05 20:00:00,1.061,1.063,1.035,1.041
2022-01-05 21:00:00,1.039,1.045,1.029,1.031
2022-01-05 22:00:00,1.032,1.041,1.023,1.025
2022-01-05 23:00:00,1.025,1.04,1.017,1.038
2022-01-06 00:00:00,1.036,1.047,1.03,1.038
2022-01-06 01:00:00,1.037,1.045,1.03,1.038
2022-01-06 02:00:00,1.038,1.048,1.033,1.043
2022-01-06 03:00:00,1.045,1.046,1.02,1.034
2022-01-06 04:00:00,1.034,1.034,1.01,1.017
2022-01-06 05:00:00,1.018,1.037,1.017,1.028
2022-01-06 06:00:00,1.03,1.033,1.019,1.022
2022-01-06 07:00:00,1.024,1.034,1.016,1.034
2022-01-06 08:00:00,1.035,1.044,1.032,1.042
2022-01-06 09:00:00,1.041,1.049,1.033,1.034
2022-01-06 10:00:00,1.036,1.048,1.028,1.045
2022-01-06 11:00:00,1.047,1.052,1.04,1.048
2022-01-06 12:00:00,1.047,1.053,1.043,1.05
2022-01-06 13:00:00,1.048,1.064,1.047,1.064
2022-01-06 14:00:00,1.062,1.062,1.054,1.058
2022-01-06 15:00:00,1.057,1.06,1.043,1.05
2022-01-06 16:00:00,1.049,1.051,1.043,1.05
2022-01-06 17:00:00,1.05,1.059,1.049,1.057
2022-01-06 18:00:00,1.056,1.057,1.048,1.048
2022-01-06 19:00:00,1.05,1.053,1.036,1.041
2022-01-06 20:00:00,1.042,1.046,1.033,1.04
2022-01-06 21:00:00,1.038,1.038,1.024,1.024
2022-01-06 22:00:00,1.025,1.026,0.98,0.989
2022-01-06 23:00:00,0.989,1.016,0.948,0.977
2022-01-07 00:00:00,0.978,0.982,0.969,0.978
2022-01-07 01:00:00,0.977,0.978,0.955,0.961
2022-01-07 02:00:00,0.962,0.97,0.946,0.968
2022-01-07 03:00:00,0.97,0.99,0.966,0.982
2022-01-07 04:00:00,0.981,0.996,0.981,0.99
2022-01-07 05:00:00,0.989,0.994,0.979,0.979
2022-01-07 06:00:00,0.98,0.987,0.979,0.982
2022-01-07 07:00:00,0.983,0.993,0.983,0.984
2022-01-07 08:00:00,0.985,0.995,0.946,0.966
2022-01-07 09:00:00,0.962,0.982,0.961,0.978
2022-01-07 10:00:00,0.978,0.978,0.942,0.961
2022-01-07 11:00:00,0.961,0.989,0.944,0.986
2022-01-07 12:00:00,0.985,0.987,0.975,0.983
2022-01-07 13:00:00,0.982,0.984,0.967,0.971
2022-01-07 14:00:00,0.972,0.979,0.966,0.975
2022-01-07 15:00:00,0.977,0.982,0.966,0.976
2022-01-07 16:00:00,0.977,0.98,0.973,0.975
2022-01-07 17:00:00,0.974,0.975,0.957,0.961
2022-01-07 18:00:00,0.961,0.968,0.941,0.964
2022-01-07 19:00:00,0.964,0.982,0.96,0.979
2022-01-07 20:00:00,0.979,0.986,0.975,0.976
2022-01-07 21:00:00,0.975,0.976,0.967,0.972
2022-01-07 22:00:00,0.972,0.972,0.963,0.97
2022-01-07 23:00:00,0.971,0.978,0.97,0.975
2022-01-08 00:00:00,0.974,0.977,0.972,0.977
2022-01-08 01:00:00,0.975,0.98,0.969,0.979
2022-01-08 02:00:00,0.979,0.983,0.979,0.983
2022-01-08 03:00:00,0.984,0.992,0.982,0.983
2022-01-08 04:00:00,0.985,0.99,0.983,0.989
2022-01-08 05:00:00,0.989,0.99,0.978,0.981
2022-01-08 06:00:00,0.98,0.984,0.976,0.983
2022-01-08 07:00:00,0.982,0.987,0.978,0.981
2022-01-08 08:00:00,0.979,0.987,0.972,0.981
2022-01-08 09:00:00,0.981,0.985,0.97,0.97
2022-01-08 10:00:00,0.97,0.971,0.958,0.96
2022-01-08 11:00:00,0.959,0.966,0.944,0.946
2022-01-08 12:00:00,0.944,0.947,0.923,0.923
2022-01-08 13:00:00,0.922,0.929,0.892,0.895
2022-01-08 14:00:00,0.895,0.907,0.891,0.896
2022-01-08 15:00:00,0.898,0.906,0.892,0.896
2022-01-08 16:00:00,0.897,0.925,0.897,0.92
2022-01-08 17:00:00,0.92,0.936,0.919,0.927
2022-01-08 18:00:00,0.927,0.927,0.915,0.916
2022-01-08 19:00:00,0.915,0.928,0.909,0.923
2022-01-08 20:00:00,0.922,0.927,0.916,0.921
2022-01-08 21:00:00,0.921,0.933,0.92,0.93
2022-01-08 22:00:00,0.929,0.929,0.919,0.92
2022-01-08 23:00:00,0.92,0.927,0.92,0.927
2022-01-09 00:00:00,0.927,0.928,0.918,0.918
2022-01-09 01:00:00,0.92,0.923,0.917,0.922
2022-01-09 02:00:00,0.922,0.922,0.917,0.919
2022-01-09 03:00:00,0.917,0.923,0.912,0.916
2022-01-09 04:00:00,0.915,0.918,0.907,0.91
2022-01-09 05:00:00,0.912,0.917,0.907,0.913
2022-01-09 06:00:00,0.914,0.926,0.914,0.923
2022-01-09 07:00:00,0.924,0.925,0.916,0.917
2022-01-09 08:00:00,0.916,0.925,0.909,0.909
2022-01-09 09:00:00,0.91,0.92,0.91,0.915
2022-01-09 10:00:00,0.917,0.917,0.904,0.913
2022-01-09 11:00:00,0.913,0.936,0.913,0.935
2022-01-09 12:00:00,0.936,0.937,0.929,0.933
2022-01-09 13:00:00,0.934,0.938,0.931,0.932
2022-01-09 14:00:00,0.932,0.951,0.932,0.949
2022-01-09 15:00:00,0.949,0.95,0.94,0.942
2022-01-09 16:00:00,0.942,0.944,0.933,0.94
2022-01-09 17:00:00,0.937,0.939,0.929,0.93
2022-01-09 18:00:00,0.931,0.933,0.923,0.926
2022-01-09 19:00:00,0.926,0.936,0.923,0.923
2022-01-09 20:00:00,0.923,0.928,0.921,0.925
2022-01-09 21:00:00,0.924,0.927,0.917,0.924
2022-01-09 22:00:00,0.923,0.923,0.92,0.923
2022-01-09 23:00:00,0.922,0.932,0.921,0.932
2022-01-10 00:00:00,0.929,0.932,0.926,0.93
2022-01-10 01:00:00,0.929,0.934,0.925,0.928
2022-01-10 02:00:00,0.929,0.932,0.925,0.929
2022-01-10 03:00:00,0.93,0.931,0.919,0.923
2022-01-10 04:00:00,0.921,0.923,0.916,0.918
2022-01-10 05:00:00,0.917,0.922,0.912,0.913
2022-01-10 06:00:00,0.912,0.912,0.892,0.9
2022-01-10 07:00:00,0.901,0.903,0.878,0.883
2022-01-10 08:00:00,0.883,0.889,0.876,0.877
2022-01-10 09:00:00,0.876,0.877,0.832,0.864
2022-01-10 10:00:00,0.864,0.871,0.848,0.855
2022-01-10 11:00:00,0.855,0.884,0.851,0.884
2022-01-10 12:00:00,0.885,0.888,0.849,0.862
2022-01-10 13:00:00,0.864,0.872,0.86,0.868
2022-01-10 14:00:00,0.866,0.872,0.859,0.861
2022-01-10 15:00:00,0.862,0.876,0.857,0.874
2022-01-10 16:00:00,0.875,0.878,0.868,0.87
2022-01-10 17:00:00,0.872,0.876,0.868,0.871
2022-01-10 18:00:00,0.872,0.878,0.868,0.877
2022-01-10 19:00:00,0.875,0.875,0.868,0.868
2022-01-10 20:00:00,0.869,0.88,0.868,0.878
2022-01-10 21:00:00,0.88,0.892,0.879,0.888
2022-01-10 22:00:00,0.887,0.892,0.885,0.891
2022-01-10 23:00:00,0.892,0.898,0.887,0.89
