datetime,BALBUSD_open,BALBUSD_high,BALBUSD_low,BALBUSD_close
2022-01-01 00:00:00,17.79,17.99,17.56,17.84
2022-01-01 01:00:00,17.87,17.98,17.79,17.83
2022-01-01 02:00:00,17.83,17.86,17.7,17.77
2022-01-01 03:00:00,17.76,17.81,17.75,17.8
2022-01-01 04:00:00,17.78,17.85,17.7,17.78
2022-01-01 05:00:00,17.78,17.83,17.55,17.67
2022-01-01 06:00:00,17.7,17.75,17.64,17.64
2022-01-01 07:00:00,17.64,17.81,17.62,17.81
2022-01-01 08:00:00,17.83,17.93,17.83,17.92
2022-01-01 09:00:00,17.88,17.95,17.8,17.9
2022-01-01 10:00:00,17.89,18.1,17.88,17.92
2022-01-01 11:00:00,17.92,18.31,17.92,18.17
2022-01-01 12:00:00,18.2,18.48,18.14,18.38
2022-01-01 13:00:00,18.36,18.48,18.29,18.42
2022-01-01 14:00:00,18.48,18.59,18.26,18.54
2022-01-01 15:00:00,18.48,18.56,18.46,18.54
2022-01-01 16:00:00,18.54,18.63,18.54,18.56
2022-01-01 17:00:00,18.55,18.55,18.37,18.43
2022-01-01 18:00:00,18.43,18.74,18.38,18.74
2022-01-01 19:00:00,18.75,18.75,18.56,18.58
2022-01-01 20:00:00,18.56,18.58,18.45,18.45
2022-01-01 21:00:00,18.45,18.72,18.45,18.68
2022-01-01 22:00:00,18.72,18.8,18.71,18.8
2022-01-01 23:00:00,18.81,19.08,18.58,18.7
2022-01-02 00:00:00,18.7,19.0,18.63,18.92
2022-01-02 01:00:00,18.9,18.98,18.87,18.87
2022-01-02 02:00:00,18.94,19.11,18.94,19.08
2022-01-02 03:00:00,19.08,19.16,18.9,18.9
2022-01-02 04:00:00,18.92,19.11,18.89,18.96
2022-01-02 05:00:00,18.9,19.3,18.9,19.19
2022-01-02 06:00:00,19.18,19.18,19.01,19.06
2022-01-02 07:00:00,19.05,19.22,18.9,19.15
2022-01-02 08:00:00,19.16,19.4,19.16,19.32
2022-01-02 09:00:00,19.31,19.4,19.12,19.23
2022-01-02 10:00:00,19.27,19.37,19.16,19.25
2022-01-02 11:00:00,19.27,19.49,19.26,19.47
