datetime,BALUSD_open,BALUSD_high,BALUSD_low,BALUSD_close
2022-01-01 00:00:00,17.54,17.76,17.54,17.71
2022-01-01 01:00:00,17.67,17.85,17.65,17.75
2022-01-01 02:00:00,17.74,17.79,17.67,17.69
2022-01-01 03:00:00,17.69,17.82,17.69,17.78
2022-01-01 04:00:00,17.79,17.81,17.65,17.79
2022-01-01 05:00:00,17.8,17.95,17.55,17.85
2022-01-01 06:00:00,17.85,17.89,17.77,17.77
2022-01-01 07:00:00,17.78,17.81,17.69,17.75
2022-01-01 08:00:00,17.74,17.82,17.73,17.8
2022-01-01 09:00:00,17.78,17.85,17.7,17.77
2022-01-01 10:00:00,17.81,17.84,17.52,17.66
2022-01-01 11:00:00,17.7,17.74,17.62,17.64
2022-01-01 12:00:00,17.63,17.84,17.62,17.83
2022-01-01 13:00:00,17.83,17.94,17.8,17.88
2022-01-01 14:00:00,17.86,17.96,17.78,17.88
2022-01-01 15:00:00,17.88,18.08,17.88,17.92
2022-01-01 16:00:00,17.94,18.36,17.92,18.2
2022-01-01 17:00:00,18.2,18.48,18.12,18.36
2022-01-01 18:00:00,18.37,18.49,18.27,18.44
2022-01-01 19:00:00,18.45,18.58,18.27,18.49
2022-01-01 20:00:00,18.5,18.61,18.44,18.53
2022-01-01 21:00:00,18.55,18.65,18.53,18.58
2022-01-01 22:00:00,18.57,18.57,18.38,18.47
2022-01-01 23:00:00,18.44,18.76,18.39,18.71
2022-01-02 00:00:00,18.7,18.75,18.55,18.6
2022-01-02 01:00:00,18.58,18.58,18.44,18.47
2022-01-02 02:00:00,18.51,18.72,18.49,18.7
2022-01-02 03:00:00,18.67,18.81,18.66,18.8
2022-01-02 04:00:00,18.79,19.07,18.58,18.66
2022-01-02 05:00:00,18.66,19.06,18.6,18.89
2022-01-02 06:00:00,18.89,18.98,18.87,18.89
2022-01-02 07:00:00,18.9,19.26,18.9,19.05
2022-01-02 08:00:00,19.04,19.17,18.9,18.92
2022-01-02 09:00:00,18.91,19.13,18.89,18.96
2022-01-02 10:00:00,18.94,19.28,18.89,19.17
2022-01-02 11:00:00,19.15,19.15,18.99,19.06
2022-01-02 12:00:00,19.06,19.22,18.91,19.17
2022-01-02 13:00:00,19.17,19.45,19.16,19.31
2022-01-02 14:00:00,19.29,19.38,19.1,19.27
2022-01-02 15:00:00,19.28,19.37,19.16,19.25
2022-01-02 16:00:00,19.26,19.49715,19.24,19.48
2022-01-02 17:00:00,19.49715,19.6,19.33,19.56
2022-01-02 18:00:00,19.57,19.7,19.28,19.54
2022-01-02 19:00:00,19.54,19.59,19.36,19.36
2022-01-02 20:00:00,19.37,19.52,19.27,19.3
2022-01-02 21:00:00,19.31,19.49,19.27,19.46
2022-01-02 22:00:00,19.5,19.77973,19.49,19.7
2022-01-02 23:00:00,19.7,19.78,19.61,19.62
2022-01-03 00:00:00,19.6,19.6,19.41,19.43
2022-01-03 01:00:00,19.42,19.5,19.3,19.38
2022-01-03 02:00:00,19.35,19.36,19.06,19.12
2022-01-03 03:00:00,19.12,19.17,18.94,18.98
2022-01-03 04:00:00,19.0,19.15,19.0,19.09
2022-01-03 05:00:00,19.1,19.32,19.03,19.28
2022-01-03 06:00:00,19.29,19.3,19.05,19.08
2022-01-03 07:00:00,19.09,19.13,19.05,19.08
2022-01-03 08:00:00,19.1,19.14,19.04,19.11
2022-01-03 09:00:00,19.12,19.14,18.97,19.13
2022-01-03 10:00:00,19.13,19.49,19.13,19.47
2022-01-03 11:00:00,19.49,19.61,19.44,19.59
2022-01-03 12:00:00,19.59,19.7,19.57,19.67
2022-01-03 13:00:00,19.7,19.76,19.61,19.72
2022-01-03 14:00:00,19.76,20.1,19.7,19.85
2022-01-03 15:00:00,19.86,19.88,19.37,19.61
2022-01-03 16:00:00,19.61,19.81,19.22,19.41
2022-01-03 17:00:00,19.42,19.59,19.39,19.51
2022-01-03 18:00:00,19.51,19.64,19.43,19.51
