datetime,BANDBUSD_open,BANDBUSD_high,BANDBUSD_low,BANDBUSD_close
2022-01-01 00:00:00,5.019,5.097,5.019,5.049
2022-01-01 01:00:00,5.055,5.077,5.032,5.032
2022-01-01 02:00:00,5.032,5.067,5.025,5.057
2022-01-01 03:00:00,5.057,5.08,5.05,5.08
2022-01-01 04:00:00,5.06,5.071,5.024,5.032
2022-01-01 05:00:00,5.039,5.059,4.983,5.032
2022-01-01 06:00:00,5.024,5.037,5.007,5.007
2022-01-01 07:00:00,5.021,5.067,5.021,5.066
2022-01-01 08:00:00,5.068,5.086,5.066,5.075
2022-01-01 09:00:00,5.075,5.082,5.059,5.06
2022-01-01 10:00:00,5.051,5.112,5.051,5.077
2022-01-01 11:00:00,5.091,5.119,5.077,5.079
2022-01-01 12:00:00,5.088,5.14,5.086,5.119
2022-01-01 13:00:00,5.12,5.131,5.097,5.119
2022-01-01 14:00:00,5.122,5.126,5.088,5.096
2022-01-01 15:00:00,5.099,5.141,5.097,5.121
2022-01-01 16:00:00,5.132,5.142,5.113,5.113
2022-01-01 17:00:00,5.106,5.149,5.104,5.131
2022-01-01 18:00:00,5.126,5.185,5.122,5.18
2022-01-01 19:00:00,5.189,5.205,5.157,5.178
2022-01-01 20:00:00,5.171,5.205,5.157,5.163
2022-01-01 21:00:00,5.164,5.187,5.156,5.167
2022-01-01 22:00:00,5.154,5.19,5.15,5.159
2022-01-01 23:00:00,5.176,5.257,5.13,5.139
2022-01-02 00:00:00,5.158,5.205,5.158,5.189
2022-01-02 01:00:00,5.19,5.207,5.176,5.202
2022-01-02 02:00:00,5.197,5.2,5.175,5.175
2022-01-02 03:00:00,5.181,5.221,5.154,5.221
2022-01-02 04:00:00,5.225,5.281,5.219,5.237
2022-01-02 05:00:00,5.23,5.246,5.228,5.23
2022-01-02 06:00:00,5.238,5.263,5.238,5.253
2022-01-02 07:00:00,5.256,5.299,5.217,5.299
2022-01-02 08:00:00,5.3,5.322,5.287,5.308
2022-01-02 09:00:00,5.295,5.301,5.254,5.286
