datetime,BANDUSD_open,BANDUSD_high,BANDUSD_low,BANDUSD_close
2022-01-01 00:00:00,5.03,5.1,5.02,5.08
2022-01-01 01:00:00,5.09,5.12,5.05,5.07
2022-01-01 02:00:00,5.07,5.09,5.04,5.04
2022-01-01 03:00:00,5.05,5.06,5.03,5.03
2022-01-01 04:00:00,5.04,5.04,5.0,5.0
2022-01-01 05:00:00,5.0,5.1,5.0,5.05
2022-01-01 06:00:00,5.05,5.08,5.03,5.03
2022-01-01 07:00:00,5.03,5.06,5.02,5.06
2022-01-01 08:00:00,5.06,5.08,5.05,5.07
2022-01-01 09:00:00,5.06,5.07,5.03,5.06
2022-01-01 10:00:00,5.06,5.06,4.98,5.02
2022-01-01 11:00:00,5.03,5.03,5.01,5.01
2022-01-01 12:00:00,5.02,5.08,5.02,5.08
2022-01-01 13:00:00,5.07,5.09,5.06,5.08
2022-01-01 14:00:00,5.08,5.08,5.05,5.05
2022-01-01 15:00:00,5.05,5.11,5.05,5.09
2022-01-01 16:00:00,5.08,5.12,5.07,5.08
2022-01-01 17:00:00,5.08,5.14,5.08,5.12
2022-01-01 18:00:00,5.12,5.14,5.1,5.12
2022-01-01 19:00:00,5.12,5.12,5.09,5.09
2022-01-01 20:00:00,5.09,5.14,5.09,5.12
2022-01-01 21:00:00,5.12,5.16,5.11,5.12
2022-01-01 22:00:00,5.12,5.15,5.1,5.12
2022-01-01 23:00:00,5.12,5.19,5.12,5.18
2022-01-02 00:00:00,5.18,5.21,5.15,5.18
2022-01-02 01:00:00,5.18,5.21,5.16,5.16
2022-01-02 02:00:00,5.16,5.19,5.15,5.15
2022-01-02 03:00:00,5.15,5.19,5.15,5.17
2022-01-02 04:00:00,5.17,5.28,5.13,5.15
2022-01-02 05:00:00,5.15,5.21,5.15,5.19
2022-01-02 06:00:00,5.18,5.21,5.17,5.2
2022-01-02 07:00:00,5.19,5.2,5.17,5.18
2022-01-02 08:00:00,5.18,5.22,5.15,5.22
2022-01-02 09:00:00,5.22,5.28,5.22,5.24
2022-01-02 10:00:00,5.24,5.25,5.22,5.22
2022-01-02 11:00:00,5.22,5.27,5.22,5.26
2022-01-02 12:00:00,5.26,5.31,5.22,5.29
2022-01-02 13:00:00,5.3,5.32,5.28,5.31
2022-01-02 14:00:00,5.3,5.3,5.25,5.29
2022-01-02 15:00:00,5.28,5.3,5.24,5.26
2022-01-02 16:00:00,5.26,5.33,5.25,5.33
2022-01-02 17:00:00,5.32,5.32,5.27,5.28
2022-01-02 18:00:00,5.28,5.29,5.19,5.24
2022-01-02 19:00:00,5.25,5.27,5.22,5.24
2022-01-02 20:00:00,5.22,5.26,5.22,5.26
2022-01-02 21:00:00,5.25,5.29,5.23,5.24
2022-01-02 22:00:00,5.24,5.29,5.24,5.27
2022-01-02 23:00:00,5.27,5.29,5.26,5.27
2022-01-03 00:00:00,5.27,5.28,5.22,5.26
2022-01-03 01:00:00,5.27,5.31,5.24,5.3
2022-01-03 02:00:00,5.29,5.3,5.23,5.26
2022-01-03 03:00:00,5.25,5.26,5.2,5.23
2022-01-03 04:00:00,5.23,5.25,5.22,5.22
2022-01-03 05:00:00,5.22,5.27,5.2,5.25
2022-01-03 06:00:00,5.26,5.27,5.22,5.23
2022-01-03 07:00:00,5.23,5.25,5.21,5.23
2022-01-03 08:00:00,5.22,5.24,5.21,5.24
2022-01-03 09:00:00,5.25,5.25,5.2,5.25
2022-01-03 10:00:00,5.26,5.35,5.25,5.33
2022-01-03 11:00:00,5.33,5.38,5.33,5.37
2022-01-03 12:00:00,5.37,5.38,5.33,5.34
2022-01-03 13:00:00,5.37,5.42,5.35,5.4
2022-01-03 14:00:00,5.38,5.41,5.33,5.38
2022-01-03 15:00:00,5.38,5.43,5.35,5.35
2022-01-03 16:00:00,5.37,5.41,5.24,5.31
2022-01-03 17:00:00,5.32,5.39,5.31,5.38
2022-01-03 18:00:00,5.38,5.59,5.38,5.46
2022-01-03 19:00:00,5.46,5.48,5.38,5.39
2022-01-03 20:00:00,5.4,5.42,5.24,5.3
2022-01-03 21:00:00,5.3,5.49,5.28,5.46
2022-01-03 22:00:00,5.47,5.55,5.45,5.53
2022-01-03 23:00:00,5.54,5.59,5.51,5.57
2022-01-04 00:00:00,5.59,5.7,5.52,5.58
2022-01-04 01:00:00,5.59,5.68,5.52,5.57
2022-01-04 02:00:00,5.57,5.57,5.47,5.51
2022-01-04 03:00:00,5.52,5.7,5.49,5.68
2022-01-04 04:00:00,5.67,5.71,5.63,5.66
2022-01-04 05:00:00,5.66,5.7,5.6,5.65
2022-01-04 06:00:00,5.65,5.74,5.63,5.72
2022-01-04 07:00:00,5.74,6.04,5.74,5.9
2022-01-04 08:00:00,5.92,6.07,5.88,5.96
2022-01-04 09:00:00,5.96,5.98,5.81,5.83
2022-01-04 10:00:00,5.84,5.92,5.79,5.85
2022-01-04 11:00:00,5.87,5.87,5.75,5.81
2022-01-04 12:00:00,5.81,5.86,5.76,5.83
2022-01-04 13:00:00,5.84,5.91,5.79,5.91
2022-01-04 14:00:00,5.91,5.97,5.87,5.89
2022-01-04 15:00:00,5.9,5.92,5.82,5.88
2022-01-04 16:00:00,5.87,5.97,5.85,5.93
2022-01-04 17:00:00,5.93,5.95,5.87,5.87
2022-01-04 18:00:00,5.87,5.9,5.62,5.65
2022-01-04 19:00:00,5.65,5.78,5.62,5.75
2022-01-04 20:00:00,5.77,5.85,5.73,5.81
2022-01-04 21:00:00,5.82,5.84,5.76,5.81
2022-01-04 22:00:00,5.79,5.81,5.75,5.78
2022-01-04 23:00:00,5.78,5.81,5.64,5.67
2022-01-05 00:00:00,5.67,5.87,5.64,5.87
2022-01-05 01:00:00,5.86,6.06,5.84,5.91
2022-01-05 02:00:00,5.93,5.97,5.9,5.91
2022-01-05 03:00:00,5.92,5.99,5.92,5.93
2022-01-05 04:00:00,5.94,5.95,5.87,5.92
2022-01-05 05:00:00,5.91,5.98,5.89,5.96
2022-01-05 06:00:00,5.96,6.07,5.93,6.05
2022-01-05 07:00:00,6.05,6.11,6.03,6.09
2022-01-05 08:00:00,6.08,6.15,6.02,6.15
2022-01-05 09:00:00,6.14,6.16,6.06,6.12
2022-01-05 10:00:00,6.12,6.13,6.05,6.13
2022-01-05 11:00:00,6.11,6.11,5.95,6.03
2022-01-05 12:00:00,6.04,6.1,6.0,6.08
2022-01-05 13:00:00,6.08,6.22,6.0,6.16
2022-01-05 14:00:00,6.16,6.35,6.14,6.29
2022-01-05 15:00:00,6.3,6.851,6.26,6.66
2022-01-05 16:00:00,6.66,7.5,6.63,6.93
2022-01-05 17:00:00,6.9,6.99,6.62,6.65
2022-01-05 18:00:00,6.66,6.87,6.63,6.78
2022-01-05 19:00:00,6.77,6.79,6.44,6.54
2022-01-05 20:00:00,6.53,6.62,6.36,6.42
2022-01-05 21:00:00,6.4,6.49,6.27,6.29
2022-01-05 22:00:00,6.28,6.35,5.62,6.06
2022-01-05 23:00:00,6.06,6.49,6.04,6.23
2022-01-06 00:00:00,6.24,6.4,6.07,6.14
2022-01-06 01:00:00,6.15,6.17,5.87,5.93
2022-01-06 02:00:00,5.92,6.09,5.89,6.0
2022-01-06 03:00:00,5.99,6.08,5.92,5.93
2022-01-06 04:00:00,5.96,6.07,5.87,5.95
2022-01-06 05:00:00,5.95,6.27,5.92,6.08
2022-01-06 06:00:00,6.08,6.13,6.0,6.04
2022-01-06 07:00:00,6.03,6.14,5.98,6.09
2022-01-06 08:00:00,6.08,6.08,5.86,5.9
2022-01-06 09:00:00,5.9,5.9,5.67,5.74
2022-01-06 10:00:00,5.74,5.79,5.7,5.75
2022-01-06 11:00:00,5.75,5.76,5.65,5.72
2022-01-06 12:00:00,5.74,5.84,5.68,5.82
2022-01-06 13:00:00,5.85,5.86,5.75,5.84
2022-01-06 14:00:00,5.81,5.82,5.71,5.72
2022-01-06 15:00:00,5.72,5.76,5.63,5.75
2022-01-06 16:00:00,5.75,5.81,5.67,5.78
2022-01-06 17:00:00,5.78,5.82,5.72,5.8
2022-01-06 18:00:00,5.81,5.94,5.81,5.93
2022-01-06 19:00:00,5.92,5.93,5.83,5.86
2022-01-06 20:00:00,5.86,5.9,5.8,5.85
2022-01-06 21:00:00,5.84,5.87,5.81,5.86
2022-01-06 22:00:00,5.85,5.91,5.81,5.88
