datetime,BARBUSD_open,BARBUSD_high,BARBUSD_low,BARBUSD_close
2022-01-01 00:00:00,8.92,9.01,8.92,8.92
2022-01-01 01:00:00,8.93,8.93,8.85,8.85
2022-01-01 02:00:00,8.86,8.89,8.82,8.89
2022-01-01 03:00:00,8.89,8.97,8.88,8.94
2022-01-01 04:00:00,8.96,8.96,8.93,8.93
2022-01-01 05:00:00,8.96,8.96,8.85,8.94
2022-01-01 06:00:00,8.88,8.95,8.84,8.94
2022-01-01 07:00:00,8.95,9.04,8.95,8.95
2022-01-01 08:00:00,8.94,9.01,8.94,8.96
2022-01-01 09:00:00,8.95,8.97,8.93,8.97
2022-01-01 10:00:00,8.94,9.0,8.94,8.98
2022-01-01 11:00:00,8.98,9.02,8.92,8.92
2022-01-01 12:00:00,8.95,9.03,8.94,8.99
2022-01-01 13:00:00,8.97,8.97,8.92,8.97
2022-01-01 14:00:00,8.97,8.97,8.94,8.95
2022-01-01 15:00:00,8.95,8.98,8.95,8.96
2022-01-01 16:00:00,8.95,8.96,8.95,8.95
2022-01-01 17:00:00,8.96,8.97,8.94,8.97
2022-01-01 18:00:00,8.95,8.98,8.91,8.94
2022-01-01 19:00:00,8.95,8.96,8.9,8.9
2022-01-01 20:00:00,8.91,8.92,8.9,8.91
2022-01-01 21:00:00,8.89,8.9,8.88,8.9
2022-01-01 22:00:00,8.91,8.91,8.89,8.9
2022-01-01 23:00:00,8.89,8.89,8.84,8.86
2022-01-02 00:00:00,8.84,8.88,8.82,8.88
2022-01-02 01:00:00,8.87,8.97,8.86,8.97
2022-01-02 02:00:00,8.94,8.94,8.91,8.91
2022-01-02 03:00:00,8.91,8.93,8.9,8.93
2022-01-02 04:00:00,8.94,8.98,8.94,8.96
2022-01-02 05:00:00,8.96,8.96,8.94,8.94
2022-01-02 06:00:00,8.95,8.95,8.9,8.93
2022-01-02 07:00:00,8.93,8.93,8.89,8.9
2022-01-02 08:00:00,8.92,8.92,8.86,8.92
2022-01-02 09:00:00,8.92,8.93,8.87,8.89
