datetime,BATBUSD_open,BATBUSD_high,BATBUSD_low,BATBUSD_close
2022-01-01 00:00:00,1.2251,1.2517,1.2223,1.2383
2022-01-01 01:00:00,1.2401,1.2401,1.2187,1.2201
2022-01-01 02:00:00,1.2184,1.2374,1.2161,1.2365
2022-01-01 03:00:00,1.2367,1.2397,1.2299,1.2299
2022-01-01 04:00:00,1.2317,1.2351,1.2208,1.2286
2022-01-01 05:00:00,1.2286,1.2326,1.2059,1.2187
2022-01-01 06:00:00,1.2194,1.2236,1.2162,1.2164
2022-01-01 07:00:00,1.2186,1.2339,1.2177,1.2328
2022-01-01 08:00:00,1.233,1.2365,1.2277,1.2277
2022-01-01 09:00:00,1.2278,1.2313,1.2193,1.2249
2022-01-01 10:00:00,1.2237,1.2376,1.2214,1.2326
2022-01-01 11:00:00,1.2327,1.2393,1.2314,1.2327
2022-01-01 12:00:00,1.2326,1.2484,1.2306,1.2458
2022-01-01 13:00:00,1.2458,1.2494,1.2402,1.2452
2022-01-01 14:00:00,1.2455,1.2539,1.2409,1.2447
2022-01-01 15:00:00,1.2461,1.2565,1.2422,1.2449
2022-01-01 16:00:00,1.2454,1.2531,1.2439,1.2477
2022-01-01 17:00:00,1.2477,1.2487,1.2423,1.2468
2022-01-01 18:00:00,1.2481,1.2592,1.2418,1.2571
2022-01-01 19:00:00,1.2555,1.2578,1.2457,1.2496
2022-01-01 20:00:00,1.2495,1.2495,1.24,1.2426
2022-01-01 21:00:00,1.2414,1.2437,1.2369,1.2383
2022-01-01 22:00:00,1.2369,1.2467,1.2369,1.2435
2022-01-01 23:00:00,1.2458,1.2488,1.2225,1.2318
2022-01-02 00:00:00,1.2299,1.2376,1.2266,1.2341
2022-01-02 01:00:00,1.232,1.2357,1.2303,1.232
2022-01-02 02:00:00,1.2332,1.2358,1.2256,1.2304
2022-01-02 03:00:00,1.2304,1.276,1.2255,1.2672
2022-01-02 04:00:00,1.266,1.3106,1.2659,1.3036
2022-01-02 05:00:00,1.3052,1.3139,1.2918,1.2935
2022-01-02 06:00:00,1.2939,1.2997,1.2881,1.2934
2022-01-02 07:00:00,1.2932,1.3027,1.2839,1.2968
2022-01-02 08:00:00,1.2989,1.2997,1.2867,1.29
2022-01-02 09:00:00,1.2908,1.309,1.2815,1.3074
2022-01-02 10:00:00,1.3064,1.3259,1.3034,1.3177
2022-01-02 11:00:00,1.3177,1.3221,1.3051,1.3176
2022-01-02 12:00:00,1.3163,1.321,1.3043,1.3087
2022-01-02 13:00:00,1.3052,1.3205,1.2886,1.3022
2022-01-02 14:00:00,1.3026,1.3456,1.3026,1.314
2022-01-02 15:00:00,1.3139,1.3186,1.302,1.3039
2022-01-02 16:00:00,1.3038,1.308,1.2974,1.2982
2022-01-02 17:00:00,1.2982,1.3047,1.2952,1.2989
2022-01-02 18:00:00,1.2989,1.302,1.2965,1.3
2022-01-02 19:00:00,1.3005,1.31,1.2953,1.2954
2022-01-02 20:00:00,1.2953,1.2966,1.2751,1.2855
2022-01-02 21:00:00,1.2852,1.3459,1.2852,1.32
2022-01-02 22:00:00,1.3178,1.3228,1.2948,1.2976
2022-01-02 23:00:00,1.2947,1.328,1.2927,1.3155
2022-01-03 00:00:00,1.3158,1.3247,1.3135,1.3169
2022-01-03 01:00:00,1.3172,1.3173,1.2954,1.2954
2022-01-03 02:00:00,1.2964,1.2991,1.292,1.2955
2022-01-03 03:00:00,1.2955,1.2991,1.2812,1.2812
2022-01-03 04:00:00,1.2831,1.2944,1.2823,1.2895
2022-01-03 05:00:00,1.2895,1.3098,1.2895,1.3063
2022-01-03 06:00:00,1.3062,1.3399,1.3025,1.3337
2022-01-03 07:00:00,1.3337,1.3379,1.3112,1.3134
2022-01-03 08:00:00,1.3134,1.3235,1.3119,1.316
2022-01-03 09:00:00,1.316,1.316,1.2978,1.2983
2022-01-03 10:00:00,1.3027,1.304,1.2832,1.2872
2022-01-03 11:00:00,1.2851,1.2929,1.256,1.2657
2022-01-03 12:00:00,1.2679,1.2904,1.2666,1.2813
2022-01-03 13:00:00,1.2829,1.2873,1.2767,1.2785
2022-01-03 14:00:00,1.2786,1.2906,1.2783,1.282
2022-01-03 15:00:00,1.2815,1.2828,1.2623,1.2766
2022-01-03 16:00:00,1.2765,1.2828,1.268,1.2737
2022-01-03 17:00:00,1.2737,1.2893,1.2727,1.2831
2022-01-03 18:00:00,1.2834,1.3032,1.2832,1.3032
2022-01-03 19:00:00,1.3008,1.3059,1.2793,1.2821
2022-01-03 20:00:00,1.2808,1.2859,1.2622,1.2622
2022-01-03 21:00:00,1.2657,1.2675,1.2494,1.2587
2022-01-03 22:00:00,1.2603,1.2693,1.2525,1.2675
2022-01-03 23:00:00,1.2675,1.2718,1.2566,1.2571
2022-01-04 00:00:00,1.2571,1.2921,1.2563,1.2914
2022-01-04 01:00:00,1.2922,1.3,1.2824,1.2949
2022-01-04 02:00:00,1.2952,1.3316,1.2952,1.3273
2022-01-04 03:00:00,1.3288,1.3394,1.3201,1.3242
2022-01-04 04:00:00,1.3259,1.3308,1.3094,1.313
2022-01-04 05:00:00,1.3143,1.3264,1.3113,1.3254
2022-01-04 06:00:00,1.3254,1.3314,1.3173,1.3215
2022-01-04 07:00:00,1.3226,1.3237,1.2976,1.3089
2022-01-04 08:00:00,1.3089,1.3232,1.2924,1.3174
2022-01-04 09:00:00,1.3187,1.329,1.3099,1.325
2022-01-04 10:00:00,1.3261,1.3383,1.3158,1.3349
2022-01-04 11:00:00,1.3348,1.3647,1.3284,1.3532
2022-01-04 12:00:00,1.3538,1.3637,1.3294,1.3294
2022-01-04 13:00:00,1.3318,1.3423,1.279,1.2828
2022-01-04 14:00:00,1.2813,1.319,1.2725,1.316
2022-01-04 15:00:00,1.3159,1.3459,1.3149,1.3324
2022-01-04 16:00:00,1.3325,1.3517,1.3308,1.3398
2022-01-04 17:00:00,1.3386,1.3487,1.303,1.3057
2022-01-04 18:00:00,1.3048,1.3048,1.2818,1.2832
2022-01-04 19:00:00,1.2843,1.3214,1.2745,1.318
2022-01-04 20:00:00,1.3171,1.3345,1.3126,1.314
2022-01-04 21:00:00,1.3153,1.3296,1.31,1.328
2022-01-04 22:00:00,1.328,1.3346,1.3225,1.3242
2022-01-04 23:00:00,1.3245,1.3249,1.3074,1.3152
2022-01-05 00:00:00,1.3155,1.3155,1.302,1.309
2022-01-05 01:00:00,1.309,1.3186,1.3043,1.3157
2022-01-05 02:00:00,1.3155,1.3204,1.3063,1.3101
2022-01-05 03:00:00,1.3117,1.3159,1.3006,1.3142
2022-01-05 04:00:00,1.3143,1.3295,1.3137,1.3219
2022-01-05 05:00:00,1.3255,1.3286,1.3119,1.3185
2022-01-05 06:00:00,1.3185,1.3191,1.2924,1.2988
2022-01-05 07:00:00,1.2985,1.3068,1.288,1.305
2022-01-05 08:00:00,1.3037,1.3226,1.2987,1.3226
2022-01-05 09:00:00,1.3215,1.3298,1.3106,1.3268
2022-01-05 10:00:00,1.3268,1.3278,1.3114,1.3214
2022-01-05 11:00:00,1.3215,1.3252,1.3039,1.3049
2022-01-05 12:00:00,1.3062,1.3177,1.2888,1.2888
2022-01-05 13:00:00,1.2884,1.3124,1.2807,1.2969
2022-01-05 14:00:00,1.2967,1.3039,1.221,1.2331
2022-01-05 15:00:00,1.2331,1.2429,1.187,1.2023
2022-01-05 16:00:00,1.2023,1.2206,1.19,1.1945
2022-01-05 17:00:00,1.1936,1.1999,1.1227,1.1788
2022-01-05 18:00:00,1.1751,1.1962,1.1638,1.1763
2022-01-05 19:00:00,1.1751,1.1989,1.1638,1.1903
2022-01-05 20:00:00,1.1891,1.1917,1.1527,1.1624
2022-01-05 21:00:00,1.1611,1.1668,1.1459,1.1499
2022-01-05 22:00:00,1.1478,1.1551,1.1264,1.1283
2022-01-05 23:00:00,1.1303,1.1532,1.122,1.1503
2022-01-06 00:00:00,1.1485,1.1637,1.1404,1.1514
2022-01-06 01:00:00,1.1513,1.1581,1.1378,1.1489
2022-01-06 02:00:00,1.1463,1.1579,1.14,1.1551
2022-01-06 03:00:00,1.1532,1.1538,1.1242,1.1377
2022-01-06 04:00:00,1.1366,1.1376,1.1093,1.1135
2022-01-06 05:00:00,1.1153,1.1493,1.1153,1.1382
2022-01-06 06:00:00,1.1382,1.142,1.1225,1.1303
2022-01-06 07:00:00,1.1307,1.1406,1.1179,1.1406
2022-01-06 08:00:00,1.1407,1.1715,1.1346,1.1639
2022-01-06 09:00:00,1.1652,1.1929,1.1581,1.1614
2022-01-06 10:00:00,1.1634,1.1685,1.1436,1.1628
2022-01-06 11:00:00,1.1639,1.1734,1.154,1.1698
2022-01-06 12:00:00,1.171,1.1764,1.1597,1.1764
2022-01-06 13:00:00,1.174,1.1925,1.1708,1.1925
2022-01-06 14:00:00,1.19,1.1903,1.1806,1.1851
2022-01-06 15:00:00,1.1853,1.1888,1.1699,1.1794
2022-01-06 16:00:00,1.1765,1.183,1.171,1.179
2022-01-06 17:00:00,1.1817,1.1891,1.1737,1.1891
2022-01-06 18:00:00,1.1851,1.1925,1.1772,1.1826
2022-01-06 19:00:00,1.1838,1.1885,1.1274,1.1348
2022-01-06 20:00:00,1.136,1.144,1.1016,1.1257
2022-01-06 21:00:00,1.1249,1.1278,1.1127,1.1143
2022-01-06 22:00:00,1.1128,1.1144,1.0534,1.0677
2022-01-06 23:00:00,1.0665,1.0806,1.0371,1.0767
2022-01-07 00:00:00,1.076,1.0835,1.0685,1.0792
2022-01-07 01:00:00,1.0772,1.0792,1.0561,1.0586
2022-01-07 02:00:00,1.0586,1.0774,1.0445,1.0774
2022-01-07 03:00:00,1.076,1.1046,1.0709,1.088
2022-01-07 04:00:00,1.0876,1.1053,1.0872,1.096
2022-01-07 05:00:00,1.0973,1.1025,1.0829,1.0829
2022-01-07 06:00:00,1.0829,1.0981,1.082,1.0883
2022-01-07 07:00:00,1.0888,1.1029,1.0888,1.094
2022-01-07 08:00:00,1.0952,1.1029,1.0569,1.0723
2022-01-07 09:00:00,1.0737,1.0921,1.0678,1.0885
2022-01-07 10:00:00,1.0885,1.0889,1.0434,1.0658
2022-01-07 11:00:00,1.0703,1.0932,1.0528,1.0932
2022-01-07 12:00:00,1.0886,1.0941,1.077,1.084
2022-01-07 13:00:00,1.085,1.0861,1.0664,1.0726
2022-01-07 14:00:00,1.0736,1.087,1.066,1.0807
2022-01-07 15:00:00,1.0831,1.0868,1.0687,1.0789
2022-01-07 16:00:00,1.0815,1.0929,1.0759,1.0861
2022-01-07 17:00:00,1.0822,1.0825,1.0601,1.0657
2022-01-07 18:00:00,1.0652,1.0784,1.0622,1.0763
2022-01-07 19:00:00,1.0755,1.0915,1.0666,1.0915
2022-01-07 20:00:00,1.0914,1.1026,1.0824,1.0843
2022-01-07 21:00:00,1.084,1.0926,1.0748,1.0926
2022-01-07 22:00:00,1.0882,1.0883,1.0735,1.0845
2022-01-07 23:00:00,1.0857,1.0986,1.0817,1.093
2022-01-08 00:00:00,1.0923,1.0959,1.0859,1.093
2022-01-08 01:00:00,1.0905,1.0947,1.0818,1.0916
2022-01-08 02:00:00,1.0901,1.0942,1.088,1.092
2022-01-08 03:00:00,1.0905,1.0988,1.0851,1.0894
2022-01-08 04:00:00,1.0882,1.096,1.0869,1.0918
2022-01-08 05:00:00,1.0931,1.0931,1.069,1.0709
2022-01-08 06:00:00,1.07,1.071,1.0583,1.0686
2022-01-08 07:00:00,1.0675,1.0734,1.0575,1.0617
2022-01-08 08:00:00,1.0612,1.0688,1.055,1.0628
2022-01-08 09:00:00,1.0642,1.067,1.0506,1.051
2022-01-08 10:00:00,1.0514,1.0543,1.0375,1.0418
2022-01-08 11:00:00,1.041,1.0535,1.0263,1.0276
2022-01-08 12:00:00,1.0287,1.0327,1.0028,1.0028
2022-01-08 13:00:00,1.0028,1.0242,0.9895,0.9973
2022-01-08 14:00:00,0.998,1.0126,0.9916,0.9988
2022-01-08 15:00:00,0.9989,1.0075,0.9909,0.9973
2022-01-08 16:00:00,0.9961,1.026,0.9957,1.0196
2022-01-08 17:00:00,1.0208,1.0404,1.0208,1.0322
2022-01-08 18:00:00,1.0303,1.0315,1.0197,1.0209
2022-01-08 19:00:00,1.0197,1.0311,1.0062,1.0273
2022-01-08 20:00:00,1.0262,1.0307,1.0164,1.0247
2022-01-08 21:00:00,1.0238,1.0416,1.0238,1.0361
2022-01-08 22:00:00,1.0351,1.0363,1.0263,1.0285
2022-01-08 23:00:00,1.0289,1.0412,1.0289,1.0412
2022-01-09 00:00:00,1.0415,1.0454,1.0329,1.0346
2022-01-09 01:00:00,1.0344,1.0424,1.032,1.039
2022-01-09 02:00:00,1.0408,1.041,1.0295,1.0295
2022-01-09 03:00:00,1.0292,1.037,1.0197,1.0218
2022-01-09 04:00:00,1.0236,1.0266,1.0112,1.0162
2022-01-09 05:00:00,1.0174,1.0248,1.007,1.021
2022-01-09 06:00:00,1.0217,1.0373,1.0217,1.0298
2022-01-09 07:00:00,1.0308,1.033,1.0217,1.022
2022-01-09 08:00:00,1.0218,1.0278,1.007,1.007
2022-01-09 09:00:00,1.007,1.0199,1.007,1.0126
2022-01-09 10:00:00,1.0123,1.0138,1.0001,1.0115
2022-01-09 11:00:00,1.0126,1.0379,1.0116,1.036
2022-01-09 12:00:00,1.0379,1.04,1.0302,1.037
2022-01-09 13:00:00,1.0377,1.0452,1.0343,1.0358
2022-01-09 14:00:00,1.0343,1.0547,1.0341,1.0521
2022-01-09 15:00:00,1.0543,1.0559,1.0459,1.0459
2022-01-09 16:00:00,1.0472,1.0558,1.042,1.044
2022-01-09 17:00:00,1.0459,1.0492,1.038,1.038
2022-01-09 18:00:00,1.0399,1.0419,1.0267,1.0348
2022-01-09 19:00:00,1.0332,1.0455,1.026,1.026
2022-01-09 20:00:00,1.0259,1.0328,1.0228,1.0285
2022-01-09 21:00:00,1.0298,1.0316,1.0199,1.0293
2022-01-09 22:00:00,1.028,1.0286,1.0238,1.0279
2022-01-09 23:00:00,1.028,1.0424,1.0275,1.0421
2022-01-10 00:00:00,1.041,1.0422,1.0353,1.0387
2022-01-10 01:00:00,1.0375,1.0403,1.0328,1.0353
2022-01-10 02:00:00,1.0371,1.04,1.0337,1.0392
2022-01-10 03:00:00,1.0403,1.044,1.0253,1.0285
2022-01-10 04:00:00,1.0282,1.0312,1.0235,1.0259
2022-01-10 05:00:00,1.0249,1.033,1.0217,1.0217
2022-01-10 06:00:00,1.0212,1.0212,1.0028,1.0057
2022-01-10 07:00:00,1.0057,1.0083,0.9835,0.9838
2022-01-10 08:00:00,0.9839,0.9935,0.9776,0.9789
2022-01-10 09:00:00,0.9798,0.9823,0.9386,0.9733
2022-01-10 10:00:00,0.9738,0.9738,0.9533,0.9624
2022-01-10 11:00:00,0.9614,0.9918,0.9562,0.9918
2022-01-10 12:00:00,0.9923,0.9955,0.9561,0.9713
2022-01-10 13:00:00,0.9727,0.9798,0.9685,0.9773
2022-01-10 14:00:00,0.9762,0.9838,0.9676,0.9697
2022-01-10 15:00:00,0.971,0.992,0.9662,0.992
