datetime,BATUSD_open,BATUSD_high,BATUSD_low,BATUSD_close
2022-01-01 00:00:00,1.205,1.252,1.204,1.251
2022-01-01 01:00:00,1.251,1.265,1.244,1.248
2022-01-01 02:00:00,1.249,1.254,1.24,1.24
2022-01-01 03:00:00,1.24,1.245,1.236,1.238
2022-01-01 04:00:00,1.239,1.239,1.224,1.226
2022-01-01 05:00:00,1.224,1.252,1.222,1.239
2022-01-01 06:00:00,1.237,1.237,1.218,1.22
2022-01-01 07:00:00,1.22,1.238,1.217,1.236
2022-01-01 08:00:00,1.236,1.239,1.23,1.231
2022-01-01 09:00:00,1.231,1.235,1.222,1.231
2022-01-01 10:00:00,1.229,1.232,1.206,1.219
2022-01-01 11:00:00,1.22,1.224,1.217,1.219
2022-01-01 12:00:00,1.22,1.233,1.218,1.233
2022-01-01 13:00:00,1.233,1.237,1.227,1.23
2022-01-01 14:00:00,1.23,1.232,1.219,1.222
2022-01-01 15:00:00,1.224,1.237,1.222,1.23
2022-01-01 16:00:00,1.232,1.241,1.232,1.232
2022-01-01 17:00:00,1.233,1.249,1.231,1.247
2022-01-01 18:00:00,1.246,1.25,1.24,1.25
2022-01-01 19:00:00,1.249,1.255,1.24,1.245
2022-01-01 20:00:00,1.247,1.256,1.243,1.247
2022-01-01 21:00:00,1.249,1.254,1.244,1.248
2022-01-01 22:00:00,1.248,1.249,1.243,1.249
2022-01-01 23:00:00,1.248,1.26,1.242,1.257
2022-01-02 00:00:00,1.256,1.258,1.245,1.249
2022-01-02 01:00:00,1.25,1.25,1.24,1.243
2022-01-02 02:00:00,1.243,1.244,1.236,1.239
2022-01-02 03:00:00,1.239,1.247,1.237,1.246
2022-01-02 04:00:00,1.246,1.249,1.223,1.231
2022-01-02 05:00:00,1.229,1.236,1.226,1.233
2022-01-02 06:00:00,1.231,1.236,1.23,1.233
2022-01-02 07:00:00,1.233,1.236,1.229,1.229
2022-01-02 08:00:00,1.231,1.277,1.225,1.268
2022-01-02 09:00:00,1.267,1.311,1.266,1.303
2022-01-02 10:00:00,1.306,1.315,1.293,1.294
2022-01-02 11:00:00,1.296,1.3,1.289,1.294
2022-01-02 12:00:00,1.293,1.303,1.285,1.297
2022-01-02 13:00:00,1.297,1.3,1.286,1.292
2022-01-02 14:00:00,1.291,1.308,1.282,1.307
2022-01-02 15:00:00,1.308,1.326,1.304,1.318
2022-01-02 16:00:00,1.32,1.321,1.306,1.318
2022-01-02 17:00:00,1.319,1.322,1.305,1.309
2022-01-02 18:00:00,1.307,1.32,1.287,1.302
2022-01-02 19:00:00,1.303,1.349,1.302,1.315
2022-01-02 20:00:00,1.314,1.319,1.302,1.304
2022-01-02 21:00:00,1.303,1.308,1.296,1.298
2022-01-02 22:00:00,1.3,1.305,1.295,1.301
2022-01-02 23:00:00,1.302,1.302,1.297,1.299
2022-01-03 00:00:00,1.297,1.311,1.294,1.294
2022-01-03 01:00:00,1.294,1.297,1.276,1.286
2022-01-03 02:00:00,1.285,1.344,1.285,1.32
2022-01-03 03:00:00,1.319,1.322,1.295,1.297
2022-01-03 04:00:00,1.295,1.328,1.292,1.315
2022-01-03 05:00:00,1.315,1.325,1.314,1.317
2022-01-03 06:00:00,1.316,1.316,1.296,1.296
2022-01-03 07:00:00,1.295,1.299,1.292,1.295
2022-01-03 08:00:00,1.296,1.298,1.282,1.283
2022-01-03 09:00:00,1.286,1.295,1.282,1.291
2022-01-03 10:00:00,1.292,1.31,1.29,1.308
2022-01-03 11:00:00,1.308,1.341,1.303,1.336
2022-01-03 12:00:00,1.334,1.338,1.312,1.315
2022-01-03 13:00:00,1.315,1.324,1.312,1.318
2022-01-03 14:00:00,1.318,1.318,1.297,1.3
2022-01-03 15:00:00,1.3,1.303,1.283,1.288
2022-01-03 16:00:00,1.288,1.293,1.255,1.267
2022-01-03 17:00:00,1.267,1.291,1.266,1.283
2022-01-03 18:00:00,1.282,1.287,1.277,1.281
2022-01-03 19:00:00,1.279,1.29,1.278,1.282
2022-01-03 20:00:00,1.281,1.283,1.262,1.275
2022-01-03 21:00:00,1.274,1.284,1.267,1.273
2022-01-03 22:00:00,1.273,1.291,1.272,1.283
2022-01-03 23:00:00,1.287,1.303,1.283,1.301
2022-01-04 00:00:00,1.303,1.306,1.279,1.282
2022-01-04 01:00:00,1.281,1.284,1.262,1.262
2022-01-04 02:00:00,1.263,1.269,1.251,1.261
2022-01-04 03:00:00,1.26,1.27,1.252,1.268
2022-01-04 04:00:00,1.268,1.272,1.256,1.258
2022-01-04 05:00:00,1.257,1.292,1.257,1.292
2022-01-04 06:00:00,1.293,1.301,1.282,1.296
2022-01-04 07:00:00,1.294,1.332,1.294,1.33
2022-01-04 08:00:00,1.33,1.34,1.321,1.324
2022-01-04 09:00:00,1.324,1.331,1.31,1.315
2022-01-04 10:00:00,1.317,1.328,1.311,1.326
2022-01-04 11:00:00,1.326,1.331,1.318,1.323
2022-01-04 12:00:00,1.321,1.323,1.298,1.309
2022-01-04 13:00:00,1.309,1.324,1.293,1.317
2022-01-04 14:00:00,1.319,1.33,1.31,1.325
2022-01-04 15:00:00,1.326,1.337,1.316,1.335
2022-01-04 16:00:00,1.336,1.364,1.328,1.353
2022-01-04 17:00:00,1.354,1.363,1.33,1.334
2022-01-04 18:00:00,1.331,1.343,1.279,1.283
2022-01-04 19:00:00,1.281,1.32,1.272,1.315
2022-01-04 20:00:00,1.314,1.347,1.313,1.333
2022-01-04 21:00:00,1.333,1.353,1.33,1.34
2022-01-04 22:00:00,1.34,1.341,1.302,1.303
2022-01-04 23:00:00,1.303,1.304,1.282,1.282
2022-01-05 00:00:00,1.284,1.321,1.275,1.317
2022-01-05 01:00:00,1.32,1.335,1.313,1.316
2022-01-05 02:00:00,1.314,1.331,1.311,1.328
2022-01-05 03:00:00,1.33,1.334,1.323,1.325
2022-01-05 04:00:00,1.325,1.325,1.307,1.317
2022-01-05 05:00:00,1.316,1.316,1.302,1.306
2022-01-05 06:00:00,1.308,1.319,1.304,1.317
2022-01-05 07:00:00,1.316,1.32,1.306,1.309
2022-01-05 08:00:00,1.307,1.316,1.301,1.314
2022-01-05 09:00:00,1.317,1.33,1.314,1.324
2022-01-05 10:00:00,1.325,1.328,1.313,1.32
2022-01-05 11:00:00,1.32,1.32,1.291,1.3
2022-01-05 12:00:00,1.302,1.306,1.288,1.306
2022-01-05 13:00:00,1.303,1.322,1.3,1.322
2022-01-05 14:00:00,1.32,1.329,1.31,1.327
2022-01-05 15:00:00,1.325,1.329,1.312,1.322
2022-01-05 16:00:00,1.321,1.325,1.303,1.306
2022-01-05 17:00:00,1.307,1.318,1.288,1.29
2022-01-05 18:00:00,1.288,1.312,1.28,1.299
2022-01-05 19:00:00,1.296,1.303,1.21,1.233
2022-01-05 20:00:00,1.233,1.243,1.189,1.203
2022-01-05 21:00:00,1.202,1.222,1.19,1.194
2022-01-05 22:00:00,1.192,1.201,1.123,1.18
2022-01-05 23:00:00,1.178,1.198,1.163,1.176
2022-01-06 00:00:00,1.178,1.196,1.164,1.191
2022-01-06 01:00:00,1.192,1.192,1.152,1.164
2022-01-06 02:00:00,1.161,1.167,1.147,1.149
2022-01-06 03:00:00,1.148,1.155,1.126,1.128
2022-01-06 04:00:00,1.127,1.154,1.122,1.151
2022-01-06 05:00:00,1.147,1.163,1.141,1.153
2022-01-06 06:00:00,1.152,1.159,1.14,1.143
2022-01-06 07:00:00,1.142,1.158,1.141,1.154
2022-01-06 08:00:00,1.154,1.155,1.125,1.136
2022-01-06 09:00:00,1.137,1.137,1.11,1.117
2022-01-06 10:00:00,1.117,1.152,1.117,1.141
2022-01-06 11:00:00,1.139,1.142,1.123,1.13
2022-01-06 12:00:00,1.13,1.141,1.117,1.141
2022-01-06 13:00:00,1.141,1.17,1.135,1.163
2022-01-06 14:00:00,1.166,1.192,1.158,1.163
2022-01-06 15:00:00,1.163,1.169,1.144,1.164
2022-01-06 16:00:00,1.163,1.174,1.155,1.17
2022-01-06 17:00:00,1.172,1.177,1.16,1.174
2022-01-06 18:00:00,1.174,1.193,1.172,1.191
2022-01-06 19:00:00,1.19,1.193,1.182,1.184
2022-01-06 20:00:00,1.186,1.19,1.171,1.178
2022-01-06 21:00:00,1.178,1.183,1.172,1.179
2022-01-06 22:00:00,1.181,1.188,1.172,1.186
2022-01-06 23:00:00,1.186,1.191,1.177,1.184
2022-01-07 00:00:00,1.182,1.189,1.125,1.134
2022-01-07 01:00:00,1.135,1.143,1.1,1.123
2022-01-07 02:00:00,1.123,1.126,1.112,1.115
2022-01-07 03:00:00,1.115,1.115,1.052,1.064
2022-01-07 04:00:00,1.064,1.08,1.04,1.075
2022-01-07 05:00:00,1.076,1.083,1.068,1.076
2022-01-07 06:00:00,1.076,1.078,1.055,1.059
2022-01-07 07:00:00,1.06,1.077,1.044,1.077
2022-01-07 08:00:00,1.075,1.105,1.07,1.088
2022-01-07 09:00:00,1.088,1.105,1.087,1.096
2022-01-07 10:00:00,1.097,1.103,1.083,1.084
2022-01-07 11:00:00,1.083,1.098,1.082,1.086
2022-01-07 12:00:00,1.089,1.103,1.089,1.096
2022-01-07 13:00:00,1.096,1.101,1.058,1.07
2022-01-07 14:00:00,1.071,1.092,1.068,1.089
2022-01-07 15:00:00,1.089,1.089,1.044,1.067
2022-01-07 16:00:00,1.068,1.092,1.053,1.091
2022-01-07 17:00:00,1.09,1.094,1.079,1.084
2022-01-07 18:00:00,1.084,1.086,1.066,1.073
2022-01-07 19:00:00,1.074,1.087,1.066,1.081
2022-01-07 20:00:00,1.082,1.087,1.069,1.08
2022-01-07 21:00:00,1.08,1.092,1.075,1.083
2022-01-07 22:00:00,1.083,1.083,1.06,1.065
2022-01-07 23:00:00,1.065,1.078,1.063,1.078
2022-01-08 00:00:00,1.078,1.091,1.066,1.091
2022-01-08 01:00:00,1.09,1.101,1.083,1.084
2022-01-08 02:00:00,1.087,1.091,1.074,1.089
2022-01-08 03:00:00,1.089,1.089,1.074,1.086
2022-01-08 04:00:00,1.085,1.098,1.082,1.092
2022-01-08 05:00:00,1.091,1.096,1.087,1.093
2022-01-08 06:00:00,1.09,1.095,1.082,1.09
2022-01-08 07:00:00,1.09,1.095,1.086,1.091
2022-01-08 08:00:00,1.092,1.098,1.087,1.09
2022-01-08 09:00:00,1.091,1.095,1.088,1.091
2022-01-08 10:00:00,1.091,1.092,1.069,1.07
2022-01-08 11:00:00,1.07,1.07,1.058,1.068
2022-01-08 12:00:00,1.07,1.073,1.058,1.063
2022-01-08 13:00:00,1.063,1.07,1.055,1.065
2022-01-08 14:00:00,1.063,1.067,1.05,1.051
2022-01-08 15:00:00,1.052,1.055,1.038,1.04
2022-01-08 16:00:00,1.041,1.055,1.027,1.028
2022-01-08 17:00:00,1.026,1.034,1.003,1.003
2022-01-08 18:00:00,1.003,1.025,0.99,0.998
2022-01-08 19:00:00,1.001,1.014,0.991,1.0
2022-01-08 20:00:00,1.001,1.007,0.99,0.997
2022-01-08 21:00:00,0.997,1.026,0.996,1.02
2022-01-08 22:00:00,1.021,1.041,1.02,1.031
2022-01-08 23:00:00,1.03,1.033,1.02,1.022
2022-01-09 00:00:00,1.022,1.03,1.005,1.027
2022-01-09 01:00:00,1.028,1.032,1.016,1.025
2022-01-09 02:00:00,1.026,1.041,1.024,1.037
2022-01-09 03:00:00,1.034,1.037,1.026,1.029
2022-01-09 04:00:00,1.029,1.041,1.029,1.04
2022-01-09 05:00:00,1.041,1.045,1.033,1.034
2022-01-09 06:00:00,1.033,1.044,1.032,1.039
2022-01-09 07:00:00,1.041,1.042,1.03,1.031
2022-01-09 08:00:00,1.031,1.036,1.02,1.023
2022-01-09 09:00:00,1.024,1.026,1.011,1.017
2022-01-09 10:00:00,1.016,1.024,1.007,1.023
