datetime,BCHBUSD_open,BCHBUSD_high,BCHBUSD_low,BCHBUSD_close
2022-01-01 00:00:00,432.6,438.2,432.5,435.2
2022-01-01 01:00:00,435.7,436.1,433.8,433.8
2022-01-01 02:00:00,434.1,435.5,433.0,435.5
2022-01-01 03:00:00,435.6,438.1,434.2,437.4
2022-01-01 04:00:00,437.6,441.8,436.6,437.2
2022-01-01 05:00:00,437.6,439.0,433.9,436.0
2022-01-01 06:00:00,436.0,437.6,434.9,434.9
2022-01-01 07:00:00,435.0,438.9,435.0,438.9
2022-01-01 08:00:00,438.7,439.0,436.6,437.1
2022-01-01 09:00:00,437.3,442.2,436.5,440.4
2022-01-01 10:00:00,440.1,444.3,438.8,441.2
2022-01-01 11:00:00,441.6,444.6,440.8,442.8
2022-01-01 12:00:00,442.5,446.0,441.9,443.9
2022-01-01 13:00:00,444.3,444.8,442.9,443.5
2022-01-01 14:00:00,443.7,444.0,442.0,442.9
2022-01-01 15:00:00,442.9,444.9,442.5,444.0
2022-01-01 16:00:00,443.8,444.9,442.2,442.5
2022-01-01 17:00:00,442.5,443.6,441.8,443.2
2022-01-01 18:00:00,442.9,445.3,441.8,445.2
2022-01-01 19:00:00,445.1,447.1,442.7,446.7
2022-01-01 20:00:00,446.8,448.2,446.3,447.1
2022-01-01 21:00:00,447.5,449.7,447.5,449.5
2022-01-01 22:00:00,449.5,450.4,448.5,448.6
2022-01-01 23:00:00,448.7,449.6,444.0,444.9
2022-01-02 00:00:00,444.7,449.3,443.4,447.7
2022-01-02 01:00:00,447.3,447.8,446.5,446.9
2022-01-02 02:00:00,446.5,447.3,444.5,445.1
2022-01-02 03:00:00,445.4,446.8,444.2,446.4
2022-01-02 04:00:00,446.6,449.1,446.0,447.5
2022-01-02 05:00:00,447.3,448.6,445.8,445.8
2022-01-02 06:00:00,445.7,447.7,445.0,445.2
2022-01-02 07:00:00,445.5,448.4,443.5,447.0
2022-01-02 08:00:00,446.7,446.9,443.3,444.2
2022-01-02 09:00:00,443.7,446.2,443.5,445.9
2022-01-02 10:00:00,445.5,448.5,444.9,447.0
2022-01-02 11:00:00,447.1,452.1,446.6,451.3
2022-01-02 12:00:00,451.0,452.5,449.1,449.8
2022-01-02 13:00:00,449.7,449.7,444.9,446.6
2022-01-02 14:00:00,446.5,447.6,444.5,444.8
2022-01-02 15:00:00,444.8,446.2,444.3,445.6
2022-01-02 16:00:00,445.6,447.1,445.3,445.3
2022-01-02 17:00:00,445.4,447.6,445.4,447.0
2022-01-02 18:00:00,447.1,448.6,447.1,447.9
2022-01-02 19:00:00,447.6,447.8,445.9,446.1
2022-01-02 20:00:00,445.8,446.2,444.2,445.5
2022-01-02 21:00:00,445.1,445.9,443.6,444.6
2022-01-02 22:00:00,444.7,445.5,441.9,442.7
2022-01-02 23:00:00,442.4,443.5,441.4,441.8
2022-01-03 00:00:00,441.8,443.7,440.7,443.4
2022-01-03 01:00:00,443.6,443.6,441.6,441.7
2022-01-03 02:00:00,441.5,443.0,441.2,443.0
2022-01-03 03:00:00,442.5,443.5,441.9,442.1
2022-01-03 04:00:00,442.4,443.3,439.4,441.9
2022-01-03 05:00:00,441.9,444.5,441.9,443.4
2022-01-03 06:00:00,443.5,446.2,443.5,445.7
2022-01-03 07:00:00,445.9,446.6,443.4,444.1
2022-01-03 08:00:00,444.0,447.3,444.0,444.8
2022-01-03 09:00:00,444.7,445.9,442.4,443.0
2022-01-03 10:00:00,442.8,444.2,440.3,441.4
2022-01-03 11:00:00,441.4,442.5,436.8,438.4
2022-01-03 12:00:00,438.1,440.1,437.0,437.8
2022-01-03 13:00:00,437.7,439.2,437.2,437.6
2022-01-03 14:00:00,438.1,438.8,436.0,436.0
2022-01-03 15:00:00,435.9,436.3,431.2,432.5
2022-01-03 16:00:00,432.3,434.9,431.8,433.2
2022-01-03 17:00:00,433.1,436.3,433.1,433.7
2022-01-03 18:00:00,434.4,435.8,433.6,434.4
2022-01-03 19:00:00,434.9,435.4,430.7,431.7
2022-01-03 20:00:00,431.3,433.0,430.0,430.5
2022-01-03 21:00:00,430.3,431.0,428.8,429.5
2022-01-03 22:00:00,429.5,431.5,427.6,431.1
2022-01-03 23:00:00,430.6,431.3,428.8,429.0
2022-01-04 00:00:00,429.1,431.7,428.8,430.8
2022-01-04 01:00:00,430.8,432.0,430.2,431.9
2022-01-04 02:00:00,431.8,432.4,430.6,430.9
2022-01-04 03:00:00,431.2,432.5,430.5,431.1
2022-01-04 04:00:00,431.0,431.9,429.9,430.4
2022-01-04 05:00:00,430.3,433.5,430.0,433.1
2022-01-04 06:00:00,433.4,434.9,431.4,434.9
2022-01-04 07:00:00,434.9,434.9,432.9,433.8
2022-01-04 08:00:00,433.9,437.0,431.3,435.6
2022-01-04 09:00:00,435.7,439.5,434.9,438.1
2022-01-04 10:00:00,438.5,438.9,434.8,435.3
2022-01-04 11:00:00,435.3,436.4,433.7,435.5
2022-01-04 12:00:00,435.4,436.6,432.7,432.8
2022-01-04 13:00:00,432.8,434.1,425.8,427.1
2022-01-04 14:00:00,426.7,431.2,425.4,428.1
2022-01-04 15:00:00,428.2,431.0,427.5,428.8
2022-01-04 16:00:00,429.0,429.4,427.6,429.3
2022-01-04 17:00:00,428.7,429.8,427.9,429.1
2022-01-04 18:00:00,429.0,429.0,426.0,427.1
2022-01-04 19:00:00,427.0,430.4,426.3,430.2
2022-01-04 20:00:00,430.0,430.0,426.5,426.7
2022-01-04 21:00:00,426.9,429.2,426.9,428.9
2022-01-04 22:00:00,429.0,430.5,428.8,429.6
2022-01-04 23:00:00,429.6,430.0,428.9,429.3
2022-01-05 00:00:00,429.1,429.5,427.5,429.0
2022-01-05 01:00:00,429.0,431.4,428.5,431.1
2022-01-05 02:00:00,431.1,431.4,429.9,430.8
2022-01-05 03:00:00,431.3,431.9,429.1,430.9
2022-01-05 04:00:00,431.0,431.9,430.5,431.4
2022-01-05 05:00:00,431.6,432.3,430.0,430.7
2022-01-05 06:00:00,430.6,430.6,426.7,427.9
2022-01-05 07:00:00,427.9,428.3,424.3,426.0
2022-01-05 08:00:00,426.0,428.9,425.2,428.8
2022-01-05 09:00:00,428.8,430.8,427.1,430.0
2022-01-05 10:00:00,430.6,430.6,428.4,429.8
2022-01-05 11:00:00,429.7,429.9,426.7,426.7
2022-01-05 12:00:00,426.9,428.2,423.8,423.8
2022-01-05 13:00:00,423.8,426.4,422.0,424.3
2022-01-05 14:00:00,424.0,425.2,410.7,411.5
2022-01-05 15:00:00,410.7,412.9,405.2,406.1
2022-01-05 16:00:00,406.5,410.0,402.5,404.3
2022-01-05 17:00:00,404.0,405.2,390.1,400.4
2022-01-05 18:00:00,400.2,404.1,398.7,399.6
