datetime,BELBUSD_open,BELBUSD_high,BELBUSD_low,BELBUSD_close
2022-01-01 00:00:00,1.577,1.595,1.569,1.586
2022-01-01 01:00:00,1.589,1.603,1.573,1.573
2022-01-01 02:00:00,1.575,1.593,1.569,1.592
2022-01-01 03:00:00,1.592,1.631,1.588,1.609
2022-01-01 04:00:00,1.609,1.622,1.575,1.59
2022-01-01 05:00:00,1.594,1.595,1.57,1.58
2022-01-01 06:00:00,1.579,1.589,1.568,1.571
2022-01-01 07:00:00,1.571,1.595,1.571,1.594
2022-01-01 08:00:00,1.594,1.597,1.586,1.591
2022-01-01 09:00:00,1.595,1.6,1.585,1.588
2022-01-01 10:00:00,1.588,1.607,1.588,1.605
2022-01-01 11:00:00,1.603,1.614,1.602,1.604
2022-01-01 12:00:00,1.607,1.632,1.603,1.626
2022-01-01 13:00:00,1.624,1.627,1.619,1.625
2022-01-01 14:00:00,1.626,1.653,1.626,1.634
2022-01-01 15:00:00,1.635,1.668,1.635,1.655
2022-01-01 16:00:00,1.655,1.655,1.642,1.647
2022-01-01 17:00:00,1.649,1.65,1.643,1.646
2022-01-01 18:00:00,1.647,1.65,1.639,1.65
2022-01-01 19:00:00,1.651,1.663,1.633,1.64
2022-01-01 20:00:00,1.641,1.641,1.629,1.634
2022-01-01 21:00:00,1.634,1.639,1.629,1.634
2022-01-01 22:00:00,1.633,1.636,1.627,1.629
2022-01-01 23:00:00,1.631,1.637,1.605,1.612
2022-01-02 00:00:00,1.612,1.625,1.61,1.62
2022-01-02 01:00:00,1.621,1.622,1.615,1.619
2022-01-02 02:00:00,1.617,1.625,1.617,1.621
2022-01-02 03:00:00,1.62,1.622,1.607,1.622
2022-01-02 04:00:00,1.622,1.638,1.622,1.627
2022-01-02 05:00:00,1.626,1.63,1.618,1.619
2022-01-02 06:00:00,1.62,1.635,1.62,1.627
2022-01-02 07:00:00,1.628,1.639,1.621,1.631
2022-01-02 08:00:00,1.632,1.654,1.628,1.647
2022-01-02 09:00:00,1.647,1.649,1.636,1.647
2022-01-02 10:00:00,1.646,1.659,1.644,1.653
2022-01-02 11:00:00,1.652,1.672,1.65,1.672
2022-01-02 12:00:00,1.673,1.675,1.659,1.671
2022-01-02 13:00:00,1.673,1.675,1.624,1.668
2022-01-02 14:00:00,1.669,1.67,1.648,1.663
2022-01-02 15:00:00,1.663,1.664,1.647,1.664
2022-01-02 16:00:00,1.665,1.669,1.659,1.66
2022-01-02 17:00:00,1.659,1.675,1.655,1.666
2022-01-02 18:00:00,1.666,1.672,1.663,1.667
2022-01-02 19:00:00,1.668,1.68,1.66,1.676
2022-01-02 20:00:00,1.676,1.684,1.665,1.682
2022-01-02 21:00:00,1.68,1.693,1.672,1.678
2022-01-02 22:00:00,1.682,1.696,1.656,1.666
2022-01-02 23:00:00,1.666,1.685,1.657,1.658
2022-01-03 00:00:00,1.661,1.669,1.654,1.663
2022-01-03 01:00:00,1.663,1.663,1.644,1.645
2022-01-03 02:00:00,1.642,1.65,1.637,1.644
2022-01-03 03:00:00,1.647,1.652,1.643,1.646
2022-01-03 04:00:00,1.647,1.653,1.633,1.65
2022-01-03 05:00:00,1.651,1.669,1.651,1.661
2022-01-03 06:00:00,1.664,1.673,1.662,1.666
2022-01-03 07:00:00,1.668,1.673,1.658,1.661
2022-01-03 08:00:00,1.659,1.673,1.659,1.663
2022-01-03 09:00:00,1.664,1.673,1.648,1.649
2022-01-03 10:00:00,1.649,1.655,1.638,1.641
2022-01-03 11:00:00,1.64,1.649,1.596,1.606
2022-01-03 12:00:00,1.607,1.619,1.603,1.615
2022-01-03 13:00:00,1.616,1.623,1.608,1.61
2022-01-03 14:00:00,1.609,1.617,1.602,1.602
2022-01-03 15:00:00,1.601,1.602,1.571,1.586
2022-01-03 16:00:00,1.588,1.603,1.583,1.596
2022-01-03 17:00:00,1.595,1.614,1.594,1.612
2022-01-03 18:00:00,1.613,1.622,1.607,1.617
2022-01-03 19:00:00,1.62,1.621,1.591,1.593
2022-01-03 20:00:00,1.59,1.603,1.579,1.585
2022-01-03 21:00:00,1.584,1.597,1.575,1.588
2022-01-03 22:00:00,1.587,1.598,1.58,1.594
2022-01-03 23:00:00,1.596,1.599,1.584,1.588
2022-01-04 00:00:00,1.587,1.606,1.587,1.598
2022-01-04 01:00:00,1.593,1.608,1.593,1.608
2022-01-04 02:00:00,1.608,1.614,1.603,1.614
2022-01-04 03:00:00,1.615,1.616,1.604,1.607
2022-01-04 04:00:00,1.609,1.612,1.6,1.603
2022-01-04 05:00:00,1.604,1.626,1.601,1.625
2022-01-04 06:00:00,1.624,1.657,1.624,1.656
2022-01-04 07:00:00,1.653,1.68,1.636,1.636
2022-01-04 08:00:00,1.637,1.664,1.62,1.661
2022-01-04 09:00:00,1.666,1.682,1.655,1.671
2022-01-04 10:00:00,1.672,1.676,1.649,1.653
2022-01-04 11:00:00,1.659,1.684,1.649,1.677
2022-01-04 12:00:00,1.675,1.736,1.668,1.712
2022-01-04 13:00:00,1.713,1.715,1.624,1.634
2022-01-04 14:00:00,1.637,1.68,1.632,1.656
2022-01-04 15:00:00,1.659,1.669,1.652,1.657
2022-01-04 16:00:00,1.659,1.67,1.655,1.669
2022-01-04 17:00:00,1.671,1.686,1.659,1.666
2022-01-04 18:00:00,1.667,1.678,1.643,1.648
2022-01-04 19:00:00,1.651,1.689,1.647,1.674
2022-01-04 20:00:00,1.674,1.688,1.667,1.667
2022-01-04 21:00:00,1.668,1.695,1.668,1.69
2022-01-04 22:00:00,1.691,1.701,1.686,1.693
2022-01-04 23:00:00,1.692,1.702,1.682,1.695
2022-01-05 00:00:00,1.695,1.695,1.678,1.683
2022-01-05 01:00:00,1.684,1.707,1.681,1.697
2022-01-05 02:00:00,1.699,1.716,1.696,1.713
2022-01-05 03:00:00,1.714,1.724,1.693,1.718
2022-01-05 04:00:00,1.722,1.735,1.709,1.717
2022-01-05 05:00:00,1.718,1.727,1.712,1.721
2022-01-05 06:00:00,1.722,1.725,1.686,1.699
2022-01-05 07:00:00,1.699,1.707,1.683,1.701
2022-01-05 08:00:00,1.698,1.706,1.688,1.7
2022-01-05 09:00:00,1.702,1.703,1.68,1.696
2022-01-05 10:00:00,1.698,1.701,1.686,1.693
2022-01-05 11:00:00,1.695,1.698,1.675,1.675
2022-01-05 12:00:00,1.676,1.685,1.64,1.64
2022-01-05 13:00:00,1.639,1.664,1.629,1.649
2022-01-05 14:00:00,1.648,1.653,1.546,1.561
2022-01-05 15:00:00,1.568,1.569,1.516,1.535
2022-01-05 16:00:00,1.532,1.552,1.51,1.51
2022-01-05 17:00:00,1.507,1.513,1.388,1.475
2022-01-05 18:00:00,1.473,1.492,1.465,1.465
2022-01-05 19:00:00,1.462,1.475,1.451,1.468
2022-01-05 20:00:00,1.469,1.469,1.429,1.437
2022-01-05 21:00:00,1.434,1.438,1.419,1.42
2022-01-05 22:00:00,1.419,1.428,1.403,1.403
2022-01-05 23:00:00,1.405,1.422,1.39,1.419
2022-01-06 00:00:00,1.417,1.431,1.409,1.422
2022-01-06 01:00:00,1.417,1.426,1.407,1.417
2022-01-06 02:00:00,1.416,1.428,1.413,1.426
2022-01-06 03:00:00,1.427,1.428,1.389,1.406
2022-01-06 04:00:00,1.406,1.406,1.366,1.376
2022-01-06 05:00:00,1.376,1.399,1.376,1.39
2022-01-06 06:00:00,1.395,1.401,1.378,1.392
2022-01-06 07:00:00,1.395,1.4,1.377,1.4
2022-01-06 08:00:00,1.402,1.416,1.396,1.414
2022-01-06 09:00:00,1.415,1.433,1.408,1.411
2022-01-06 10:00:00,1.412,1.422,1.398,1.422
2022-01-06 11:00:00,1.421,1.426,1.404,1.416
2022-01-06 12:00:00,1.415,1.42,1.409,1.414
2022-01-06 13:00:00,1.413,1.428,1.413,1.427
2022-01-06 14:00:00,1.427,1.434,1.422,1.427
2022-01-06 15:00:00,1.432,1.436,1.41,1.415
2022-01-06 16:00:00,1.415,1.427,1.413,1.423
2022-01-06 17:00:00,1.427,1.431,1.422,1.424
2022-01-06 18:00:00,1.424,1.427,1.413,1.419
2022-01-06 19:00:00,1.423,1.423,1.399,1.401
2022-01-06 20:00:00,1.404,1.415,1.398,1.413
2022-01-06 21:00:00,1.413,1.413,1.394,1.394
2022-01-06 22:00:00,1.392,1.393,1.313,1.319
2022-01-06 23:00:00,1.319,1.327,1.274,1.315
2022-01-07 00:00:00,1.316,1.326,1.308,1.323
2022-01-07 01:00:00,1.321,1.322,1.294,1.3
2022-01-07 02:00:00,1.301,1.318,1.282,1.318
2022-01-07 03:00:00,1.314,1.346,1.312,1.336
2022-01-07 04:00:00,1.334,1.351,1.334,1.34
2022-01-07 05:00:00,1.342,1.347,1.327,1.327
2022-01-07 06:00:00,1.329,1.336,1.326,1.33
2022-01-07 07:00:00,1.33,1.344,1.33,1.333
2022-01-07 08:00:00,1.336,1.344,1.29,1.307
2022-01-07 09:00:00,1.305,1.33,1.303,1.326
2022-01-07 10:00:00,1.323,1.323,1.277,1.3
2022-01-07 11:00:00,1.302,1.344,1.283,1.344
2022-01-07 12:00:00,1.341,1.345,1.323,1.336
2022-01-07 13:00:00,1.338,1.338,1.312,1.317
2022-01-07 14:00:00,1.317,1.327,1.308,1.324
2022-01-07 15:00:00,1.325,1.33,1.311,1.326
2022-01-07 16:00:00,1.328,1.331,1.324,1.324
2022-01-07 17:00:00,1.322,1.323,1.299,1.303
2022-01-07 18:00:00,1.302,1.311,1.298,1.308
2022-01-07 19:00:00,1.313,1.338,1.308,1.338
2022-01-07 20:00:00,1.34,1.347,1.335,1.336
2022-01-07 21:00:00,1.337,1.337,1.319,1.332
2022-01-07 22:00:00,1.332,1.332,1.311,1.327
2022-01-07 23:00:00,1.329,1.343,1.328,1.339
2022-01-08 00:00:00,1.339,1.342,1.332,1.342
2022-01-08 01:00:00,1.341,1.352,1.329,1.348
2022-01-08 02:00:00,1.345,1.357,1.345,1.351
2022-01-08 03:00:00,1.355,1.36,1.346,1.35
2022-01-08 04:00:00,1.352,1.376,1.345,1.358
2022-01-08 05:00:00,1.364,1.364,1.332,1.334
2022-01-08 06:00:00,1.333,1.346,1.329,1.346
2022-01-08 07:00:00,1.345,1.346,1.328,1.334
2022-01-08 08:00:00,1.334,1.34,1.326,1.329
2022-01-08 09:00:00,1.333,1.339,1.325,1.329
2022-01-08 10:00:00,1.333,1.344,1.301,1.328
2022-01-08 11:00:00,1.322,1.327,1.278,1.28
2022-01-08 12:00:00,1.279,1.281,1.228,1.228
2022-01-08 13:00:00,1.229,1.255,1.205,1.205
2022-01-08 14:00:00,1.212,1.229,1.204,1.218
2022-01-08 15:00:00,1.216,1.227,1.204,1.209
2022-01-08 16:00:00,1.209,1.245,1.208,1.241
2022-01-08 17:00:00,1.242,1.267,1.24,1.252
2022-01-08 18:00:00,1.252,1.254,1.228,1.229
2022-01-08 19:00:00,1.23,1.251,1.219,1.248
2022-01-08 20:00:00,1.248,1.251,1.229,1.242
2022-01-08 21:00:00,1.243,1.261,1.241,1.256
2022-01-08 22:00:00,1.254,1.255,1.243,1.245
2022-01-08 23:00:00,1.245,1.258,1.245,1.258
2022-01-09 00:00:00,1.258,1.261,1.244,1.244
2022-01-09 01:00:00,1.246,1.257,1.246,1.254
2022-01-09 02:00:00,1.255,1.257,1.25,1.251
2022-01-09 03:00:00,1.252,1.257,1.235,1.243
2022-01-09 04:00:00,1.244,1.246,1.232,1.235
2022-01-09 05:00:00,1.238,1.249,1.228,1.239
2022-01-09 06:00:00,1.241,1.258,1.241,1.25
2022-01-09 07:00:00,1.251,1.252,1.24,1.244
2022-01-09 08:00:00,1.243,1.253,1.231,1.231
2022-01-09 09:00:00,1.232,1.241,1.23,1.234
2022-01-09 10:00:00,1.234,1.234,1.213,1.229
2022-01-09 11:00:00,1.23,1.266,1.23,1.266
2022-01-09 12:00:00,1.268,1.268,1.256,1.262
2022-01-09 13:00:00,1.263,1.273,1.261,1.261
2022-01-09 14:00:00,1.258,1.284,1.258,1.283
2022-01-09 15:00:00,1.284,1.286,1.273,1.281
2022-01-09 16:00:00,1.282,1.285,1.272,1.275
2022-01-09 17:00:00,1.274,1.286,1.263,1.266
2022-01-09 18:00:00,1.267,1.268,1.251,1.261
2022-01-09 19:00:00,1.259,1.267,1.25,1.256
2022-01-09 20:00:00,1.255,1.279,1.255,1.269
2022-01-09 21:00:00,1.267,1.267,1.244,1.259
2022-01-09 22:00:00,1.257,1.265,1.252,1.264
2022-01-09 23:00:00,1.263,1.285,1.261,1.284
2022-01-10 00:00:00,1.286,1.286,1.273,1.28
2022-01-10 01:00:00,1.28,1.285,1.273,1.273
2022-01-10 02:00:00,1.273,1.29,1.27,1.288
2022-01-10 03:00:00,1.288,1.29,1.269,1.278
2022-01-10 04:00:00,1.276,1.284,1.266,1.266
2022-01-10 05:00:00,1.264,1.28,1.26,1.262
