datetime,BICOBUSD_open,BICOBUSD_high,BICOBUSD_low,BICOBUSD_close
2022-01-01 00:00:00,4.615,4.756,4.615,4.67
2022-01-01 01:00:00,4.67,4.686,4.634,4.641
2022-01-01 02:00:00,4.634,4.692,4.62,4.671
2022-01-01 03:00:00,4.67,4.704,4.625,4.637
2022-01-01 04:00:00,4.623,4.643,4.505,4.565
2022-01-01 05:00:00,4.567,4.588,4.504,4.524
2022-01-01 06:00:00,4.531,4.55,4.453,4.489
2022-01-01 07:00:00,4.48,4.577,4.474,4.575
2022-01-01 08:00:00,4.574,4.582,4.536,4.581
2022-01-01 09:00:00,4.585,4.585,4.49,4.509
2022-01-01 10:00:00,4.504,4.525,4.414,4.476
2022-01-01 11:00:00,4.476,4.512,4.4,4.425
2022-01-01 12:00:00,4.425,4.563,4.425,4.545
2022-01-01 13:00:00,4.544,4.557,4.477,4.493
2022-01-01 14:00:00,4.495,4.514,4.477,4.502
2022-01-01 15:00:00,4.496,4.519,4.489,4.519
2022-01-01 16:00:00,4.513,4.513,4.435,4.44
2022-01-01 17:00:00,4.44,4.451,4.4,4.432
2022-01-01 18:00:00,4.42,4.5,4.416,4.483
2022-01-01 19:00:00,4.492,4.549,4.429,4.467
2022-01-01 20:00:00,4.467,4.489,4.18,4.201
2022-01-01 21:00:00,4.204,4.279,4.102,4.178
2022-01-01 22:00:00,4.175,4.192,4.079,4.114
2022-01-01 23:00:00,4.113,4.249,4.106,4.131
2022-01-02 00:00:00,4.131,4.164,4.106,4.154
2022-01-02 01:00:00,4.157,4.2,4.125,4.14
2022-01-02 02:00:00,4.138,4.147,4.093,4.1
2022-01-02 03:00:00,4.104,4.114,4.01,4.093
2022-01-02 04:00:00,4.093,4.165,4.054,4.121
2022-01-02 05:00:00,4.121,4.128,4.07,4.092
2022-01-02 06:00:00,4.092,4.148,4.083,4.111
2022-01-02 07:00:00,4.111,4.132,4.085,4.132
2022-01-02 08:00:00,4.132,4.149,4.103,4.144
2022-01-02 09:00:00,4.144,4.199,4.128,4.195
2022-01-02 10:00:00,4.196,4.294,4.157,4.195
2022-01-02 11:00:00,4.2,4.433,4.16,4.381
2022-01-02 12:00:00,4.394,4.4,4.254,4.288
2022-01-02 13:00:00,4.293,4.293,4.162,4.243
2022-01-02 14:00:00,4.243,4.294,4.205,4.232
2022-01-02 15:00:00,4.235,4.299,4.201,4.208
2022-01-02 16:00:00,4.205,4.224,4.18,4.188
2022-01-02 17:00:00,4.192,4.214,4.147,4.164
2022-01-02 18:00:00,4.161,4.268,4.161,4.224
2022-01-02 19:00:00,4.213,4.231,4.174,4.196
2022-01-02 20:00:00,4.195,4.203,4.104,4.165
2022-01-02 21:00:00,4.163,4.236,4.119,4.204
2022-01-02 22:00:00,4.207,4.21,4.114,4.13
2022-01-02 23:00:00,4.127,4.153,4.107,4.13
2022-01-03 00:00:00,4.12,4.163,4.116,4.147
2022-01-03 01:00:00,4.151,4.153,4.118,4.122
2022-01-03 02:00:00,4.12,4.143,4.102,4.132
2022-01-03 03:00:00,4.12,4.144,4.119,4.132
