datetime,BICOUSD_open,BICOUSD_high,BICOUSD_low,BICOUSD_close
2022-01-01 00:00:00,4.54,4.61,4.48,4.6
2022-01-01 01:00:00,4.61,4.82,4.6,4.67
2022-01-01 02:00:00,4.67,4.75,4.64,4.7
2022-01-01 03:00:00,4.7,4.73,4.65,4.65
2022-01-01 04:00:00,4.65,4.75,4.61,4.61
2022-01-01 05:00:00,4.62,4.75,4.61,4.68
2022-01-01 06:00:00,4.67,4.68,4.63,4.63
2022-01-01 07:00:00,4.63,4.7,4.62,4.68
2022-01-01 08:00:00,4.66,4.71,4.62,4.62
2022-01-01 09:00:00,4.64,4.65,4.5,4.57
2022-01-01 10:00:00,4.56,4.59,4.5,4.54
2022-01-01 11:00:00,4.52,4.56,4.45,4.49
2022-01-01 12:00:00,4.49,4.58,4.46,4.56
2022-01-01 13:00:00,4.56,4.59,4.53,4.58
2022-01-01 14:00:00,4.58,4.59,4.48,4.48
2022-01-01 15:00:00,4.48,4.52,4.41,4.47
2022-01-01 16:00:00,4.47,4.52,4.41,4.43
2022-01-01 17:00:00,4.41,4.57,4.41,4.55
2022-01-01 18:00:00,4.55,4.56,4.47,4.47
2022-01-01 19:00:00,4.49,4.52,4.47,4.48
2022-01-01 20:00:00,4.48,4.53,4.48,4.52
2022-01-01 21:00:00,4.51,4.53,4.43,4.45
2022-01-01 22:00:00,4.44,4.45,4.4,4.43
2022-01-01 23:00:00,4.43,4.49,4.41,4.49
2022-01-02 00:00:00,4.48,4.54,4.42,4.47
2022-01-02 01:00:00,4.48,4.49,4.17,4.19
2022-01-02 02:00:00,4.19,4.26,4.1,4.18
2022-01-02 03:00:00,4.17,4.19,4.08,4.12
2022-01-02 04:00:00,4.12,4.25,4.1,4.14
2022-01-02 05:00:00,4.13,4.18,4.11,4.16
2022-01-02 06:00:00,4.16,4.24,4.12,4.14
2022-01-02 07:00:00,4.14,4.16,4.1,4.11
2022-01-02 08:00:00,4.12,4.13,4.02,4.09
2022-01-02 09:00:00,4.1,4.17,4.06,4.12
2022-01-02 10:00:00,4.11,4.13,4.06,4.1
2022-01-02 11:00:00,4.1,4.15,4.08,4.11
2022-01-02 12:00:00,4.11,4.14,4.08,4.13
2022-01-02 13:00:00,4.13,4.16,4.1,4.14
2022-01-02 14:00:00,4.15,4.21,4.12,4.2
2022-01-02 15:00:00,4.2,4.29,4.16,4.19
2022-01-02 16:00:00,4.19,4.51,4.15,4.39
2022-01-02 17:00:00,4.39,4.39,4.25,4.28
2022-01-02 18:00:00,4.28,4.29,4.16,4.24
2022-01-02 19:00:00,4.24,4.29,4.2,4.23
2022-01-02 20:00:00,4.22,4.31,4.19,4.2
2022-01-02 21:00:00,4.2,4.22,4.17,4.18
2022-01-02 22:00:00,4.19,4.22,4.14,4.16
2022-01-02 23:00:00,4.17,4.27,4.17,4.22
2022-01-03 00:00:00,4.22,4.24,4.18,4.2
2022-01-03 01:00:00,4.19,4.2,4.11,4.16
2022-01-03 02:00:00,4.16,4.23,4.11,4.21
2022-01-03 03:00:00,4.2,4.21,4.11,4.13
2022-01-03 04:00:00,4.13,4.16,4.11,4.12
2022-01-03 05:00:00,4.12,4.17,4.12,4.14
2022-01-03 06:00:00,4.14,4.15,4.11,4.11
2022-01-03 07:00:00,4.11,4.14,4.09,4.12
2022-01-03 08:00:00,4.12,4.14,4.11,4.12
2022-01-03 09:00:00,4.14,4.16,4.09,4.11
2022-01-03 10:00:00,4.11,4.12,4.05,4.07
2022-01-03 11:00:00,4.08,4.13,4.07,4.12
2022-01-03 12:00:00,4.11,4.14,4.1,4.11
2022-01-03 13:00:00,4.12,4.13,4.09,4.09
2022-01-03 14:00:00,4.09,4.11,4.08,4.08
2022-01-03 15:00:00,4.09,4.09,3.94,3.96
2022-01-03 16:00:00,3.96,4.04,3.86,3.99
2022-01-03 17:00:00,3.98,3.99,3.91,3.93
2022-01-03 18:00:00,3.94,4.05,3.94,4.0
2022-01-03 19:00:00,3.99,4.05,3.95,3.95
2022-01-03 20:00:00,3.95,3.96,3.78,3.87
2022-01-03 21:00:00,3.85,3.91,3.85,3.88
2022-01-03 22:00:00,3.87,3.93,3.84,3.91
2022-01-03 23:00:00,3.92,4.0,3.88,3.9
2022-01-04 00:00:00,3.9,3.94,3.81,3.84
