datetime,BNXBUSD_open,BNXBUSD_high,BNXBUSD_low,BNXBUSD_close
2022-01-01 00:00:00,63.0,63.4,61.2,62.4
2022-01-01 01:00:00,62.3,62.9,61.7,62.4
2022-01-01 02:00:00,62.3,62.5,61.8,62.3
2022-01-01 03:00:00,62.3,62.6,62.2,62.2
2022-01-01 04:00:00,62.2,62.5,62.1,62.4
2022-01-01 05:00:00,62.4,62.5,61.8,62.2
2022-01-01 06:00:00,62.1,62.4,60.6,61.1
2022-01-01 07:00:00,61.2,62.3,61.0,62.0
2022-01-01 08:00:00,62.0,62.3,61.9,62.1
2022-01-01 09:00:00,62.3,62.6,61.8,61.9
2022-01-01 10:00:00,62.0,62.5,61.7,62.0
2022-01-01 11:00:00,62.0,62.3,61.6,61.8
2022-01-01 12:00:00,61.9,62.2,61.6,61.8
2022-01-01 13:00:00,61.9,62.2,61.7,62.0
2022-01-01 14:00:00,61.9,62.0,61.3,61.3
2022-01-01 15:00:00,61.5,62.0,61.4,62.0
2022-01-01 16:00:00,62.1,62.4,61.9,62.3
2022-01-01 17:00:00,62.3,62.3,62.0,62.0
2022-01-01 18:00:00,62.0,62.7,62.0,62.5
2022-01-01 19:00:00,62.6,62.7,62.3,62.4
2022-01-01 20:00:00,62.3,62.3,61.8,61.9
2022-01-01 21:00:00,61.9,62.2,61.9,62.2
2022-01-01 22:00:00,62.2,62.2,61.7,61.9
2022-01-01 23:00:00,61.8,62.0,61.3,61.4
2022-01-02 00:00:00,61.5,61.6,61.3,61.4
2022-01-02 01:00:00,61.4,61.6,61.2,61.3
2022-01-02 02:00:00,61.4,61.5,61.2,61.3
2022-01-02 03:00:00,61.3,61.3,60.9,61.0
2022-01-02 04:00:00,61.1,61.3,60.3,60.7
2022-01-02 05:00:00,60.8,60.9,60.7,60.8
2022-01-02 06:00:00,60.8,60.8,60.4,60.7
2022-01-02 07:00:00,60.6,61.3,60.5,61.0
2022-01-02 08:00:00,61.0,61.0,60.4,60.4
2022-01-02 09:00:00,60.4,60.7,60.3,60.6
2022-01-02 10:00:00,60.5,61.1,60.4,61.0
2022-01-02 11:00:00,61.0,61.5,60.9,61.3
2022-01-02 12:00:00,61.3,61.7,61.1,61.5
2022-01-02 13:00:00,61.6,62.3,60.6,61.7
2022-01-02 14:00:00,61.6,61.8,61.1,61.4
2022-01-02 15:00:00,61.6,61.7,61.0,61.1
2022-01-02 16:00:00,61.2,61.4,61.1,61.2
2022-01-02 17:00:00,61.2,61.8,61.2,61.6
