datetime,BONDBUSD_open,BONDBUSD_high,BONDBUSD_low,BONDBUSD_close
2022-01-01 00:00:00,16.49,16.72,16.49,16.56
2022-01-01 01:00:00,16.55,16.55,16.48,16.49
2022-01-01 02:00:00,16.52,16.66,16.52,16.66
2022-01-01 03:00:00,16.6,16.6,16.59,16.59
2022-01-01 04:00:00,16.59,16.62,16.48,16.53
2022-01-01 05:00:00,16.51,16.99,16.48,16.83
2022-01-01 06:00:00,16.87,17.1,16.68,16.9
2022-01-01 07:00:00,16.97,18.73,16.97,17.75
2022-01-01 08:00:00,17.83,18.0,17.47,17.61
2022-01-01 09:00:00,17.61,17.69,17.29,17.45
2022-01-01 10:00:00,17.47,20.6,17.34,20.21
2022-01-01 11:00:00,20.22,21.59,19.64,19.73
2022-01-01 12:00:00,19.73,20.22,19.21,19.28
2022-01-01 13:00:00,19.26,19.31,18.73,18.87
2022-01-01 14:00:00,18.88,19.36,18.88,19.11
2022-01-01 15:00:00,19.12,19.42,18.53,18.67
2022-01-01 16:00:00,18.67,19.12,18.66,18.89
2022-01-01 17:00:00,18.84,18.89,18.42,18.49
2022-01-01 18:00:00,18.45,18.47,18.29,18.29
2022-01-01 19:00:00,18.35,19.33,18.12,18.77
2022-01-01 20:00:00,18.84,19.51,18.65,19.12
2022-01-01 21:00:00,19.21,20.21,19.2,19.89
2022-01-01 22:00:00,19.93,20.3,19.37,19.4
2022-01-01 23:00:00,19.4,19.47,18.91,19.01
2022-01-02 00:00:00,19.0,19.59,18.93,19.43
2022-01-02 01:00:00,19.43,19.5,19.04,19.39
2022-01-02 02:00:00,19.25,19.51,19.09,19.51
2022-01-02 03:00:00,19.51,19.87,19.08,19.41
2022-01-02 04:00:00,19.29,19.38,18.7,18.79
2022-01-02 05:00:00,18.78,18.87,18.54,18.57
2022-01-02 06:00:00,18.54,18.88,18.5,18.8
2022-01-02 07:00:00,18.8,19.16,18.69,18.82
2022-01-02 08:00:00,18.82,18.93,18.71,18.72
2022-01-02 09:00:00,18.71,18.72,18.33,18.36
2022-01-02 10:00:00,18.36,18.83,18.23,18.23
2022-01-02 11:00:00,18.3,18.62,18.23,18.5
2022-01-02 12:00:00,18.6,18.67,18.41,18.41
2022-01-02 13:00:00,18.41,18.41,18.05,18.18
2022-01-02 14:00:00,18.17,18.5,18.17,18.35
2022-01-02 15:00:00,18.28,18.3,18.16,18.2
2022-01-02 16:00:00,18.15,18.44,18.11,18.32
2022-01-02 17:00:00,18.39,18.43,18.33,18.41
2022-01-02 18:00:00,18.41,18.41,18.35,18.41
2022-01-02 19:00:00,18.41,18.41,18.31,18.31
2022-01-02 20:00:00,18.29,18.74,18.26,18.62
2022-01-02 21:00:00,18.68,18.69,18.5,18.54
2022-01-02 22:00:00,18.66,18.88,18.41,18.44
2022-01-02 23:00:00,18.32,18.56,18.32,18.35
2022-01-03 00:00:00,18.33,18.47,18.3,18.44
2022-01-03 01:00:00,18.44,18.44,18.28,18.31
2022-01-03 02:00:00,18.32,18.38,18.22,18.37
2022-01-03 03:00:00,18.36,18.43,18.27,18.31
2022-01-03 04:00:00,18.37,18.38,18.15,18.19
2022-01-03 05:00:00,18.27,18.39,18.21,18.34
2022-01-03 06:00:00,18.35,18.55,18.35,18.55
2022-01-03 07:00:00,18.46,18.62,18.35,18.35
2022-01-03 08:00:00,18.4,18.55,18.35,18.5
2022-01-03 09:00:00,18.48,19.12,18.43,18.59
2022-01-03 10:00:00,18.61,18.97,18.61,18.77
2022-01-03 11:00:00,18.8,18.95,18.32,18.33
2022-01-03 12:00:00,18.34,18.44,18.3,18.35
2022-01-03 13:00:00,18.38,18.38,18.17,18.22
2022-01-03 14:00:00,18.24,18.31,18.19,18.26
2022-01-03 15:00:00,18.1,18.1,17.76,17.85
2022-01-03 16:00:00,17.89,18.04,17.78,18.03
2022-01-03 17:00:00,18.04,18.38,18.04,18.38
2022-01-03 18:00:00,18.41,18.56,18.32,18.38
2022-01-03 19:00:00,18.35,18.42,18.03,18.03
2022-01-03 20:00:00,18.1,18.55,18.07,18.2
2022-01-03 21:00:00,18.18,18.23,18.03,18.14
2022-01-03 22:00:00,18.1,18.15,17.98,18.03
2022-01-03 23:00:00,18.02,18.02,17.83,17.84
2022-01-04 00:00:00,17.84,17.98,17.84,17.91
2022-01-04 01:00:00,17.95,18.08,17.84,18.08
2022-01-04 02:00:00,18.09,18.1,17.93,17.93
2022-01-04 03:00:00,18.08,18.16,17.95,18.05
2022-01-04 04:00:00,18.02,18.07,17.88,17.95
2022-01-04 05:00:00,17.94,18.08,17.83,18.08
2022-01-04 06:00:00,18.06,18.24,17.97,18.05
2022-01-04 07:00:00,18.05,18.05,17.8,17.87
2022-01-04 08:00:00,17.84,18.17,17.8,18.03
2022-01-04 09:00:00,18.07,18.23,18.0,18.18
2022-01-04 10:00:00,18.2,18.25,18.06,18.06
2022-01-04 11:00:00,18.06,18.29,18.0,18.2
2022-01-04 12:00:00,18.16,18.36,18.14,18.25
2022-01-04 13:00:00,18.31,18.43,18.26,18.39
2022-01-04 14:00:00,18.43,18.52,18.34,18.44
2022-01-04 15:00:00,18.41,18.48,18.36,18.4
2022-01-04 16:00:00,18.38,18.42,18.3,18.3
2022-01-04 17:00:00,18.3,18.55,18.29,18.29
2022-01-04 18:00:00,18.26,18.26,18.25,18.25
2022-01-04 19:00:00,18.29,18.3,18.2,18.3
2022-01-04 20:00:00,18.28,18.39,18.26,18.31
2022-01-04 21:00:00,18.32,18.44,18.28,18.42
2022-01-04 22:00:00,18.32,18.42,18.28,18.28
2022-01-04 23:00:00,18.3,18.3,18.3,18.3
2022-01-05 00:00:00,18.36,18.4,18.22,18.29
2022-01-05 01:00:00,18.28,18.37,18.27,18.37
2022-01-05 02:00:00,18.29,18.32,18.25,18.32
2022-01-05 03:00:00,18.27,18.36,18.27,18.31
2022-01-05 04:00:00,18.32,18.32,18.31,18.31
2022-01-05 05:00:00,18.31,18.37,18.21,18.28
2022-01-05 06:00:00,18.21,18.24,18.05,18.12
2022-01-05 07:00:00,18.14,18.14,18.01,18.07
2022-01-05 08:00:00,18.11,18.29,18.0,18.06
2022-01-05 09:00:00,18.04,18.09,17.94,18.01
2022-01-05 10:00:00,18.08,18.17,17.87,17.98
2022-01-05 11:00:00,18.07,18.07,17.91,17.91
2022-01-05 12:00:00,17.96,17.96,17.73,17.73
2022-01-05 13:00:00,17.69,17.82,17.53,17.68
2022-01-05 14:00:00,17.71,17.77,17.28,17.28
2022-01-05 15:00:00,17.28,17.31,17.0,17.06
2022-01-05 16:00:00,17.09,17.1,16.72,16.72
2022-01-05 17:00:00,16.74,16.74,16.25,16.56
2022-01-05 18:00:00,16.43,16.61,16.43,16.54
2022-01-05 19:00:00,16.5,17.83,16.41,16.67
2022-01-05 20:00:00,16.59,16.59,16.4,16.4
2022-01-05 21:00:00,16.53,16.53,16.43,16.44
2022-01-05 22:00:00,16.51,16.51,16.42,16.49
2022-01-05 23:00:00,16.51,16.87,16.49,16.56
2022-01-06 00:00:00,16.54,16.67,16.5,16.66
2022-01-06 01:00:00,16.59,16.69,16.54,16.54
2022-01-06 02:00:00,16.51,16.6,16.5,16.59
2022-01-06 03:00:00,16.56,16.56,16.43,16.43
2022-01-06 04:00:00,16.45,16.54,16.44,16.53
2022-01-06 05:00:00,16.45,16.74,16.45,16.62
2022-01-06 06:00:00,16.6,16.6,16.48,16.48
2022-01-06 07:00:00,16.42,16.6,16.42,16.46
2022-01-06 08:00:00,16.52,16.69,16.47,16.67
2022-01-06 09:00:00,16.6,16.64,16.56,16.56
2022-01-06 10:00:00,16.5,16.58,16.4,16.52
2022-01-06 11:00:00,16.5,16.5,16.46,16.5
2022-01-06 12:00:00,16.54,16.58,16.54,16.58
2022-01-06 13:00:00,16.56,16.68,16.55,16.65
2022-01-06 14:00:00,16.66,16.66,16.59,16.59
2022-01-06 15:00:00,16.59,16.59,16.51,16.55
2022-01-06 16:00:00,16.57,16.57,16.55,16.55
2022-01-06 17:00:00,16.52,16.52,16.52,16.52
2022-01-06 18:00:00,16.59,16.59,16.45,16.5
2022-01-06 19:00:00,16.46,16.49,16.46,16.49
2022-01-06 20:00:00,16.48,16.49,16.48,16.48
2022-01-06 21:00:00,16.52,16.65,16.48,16.5
2022-01-06 22:00:00,16.5,16.56,16.39,16.53
2022-01-06 23:00:00,16.51,16.55,16.28,16.5
2022-01-07 00:00:00,16.47,16.48,16.34,16.41
2022-01-07 01:00:00,16.26,16.26,16.26,16.26
2022-01-07 02:00:00,16.26,16.27,16.15,16.27
2022-01-07 03:00:00,16.23,16.44,16.23,16.35
2022-01-07 04:00:00,16.47,16.47,16.41,16.41
2022-01-07 05:00:00,16.41,16.41,16.35,16.35
2022-01-07 06:00:00,16.28,16.37,16.28,16.37
2022-01-07 07:00:00,16.31,16.35,16.06,16.06
2022-01-07 08:00:00,16.11,16.21,15.56,15.81
2022-01-07 09:00:00,15.84,16.13,15.82,15.85
2022-01-07 10:00:00,15.85,15.92,15.51,15.72
2022-01-07 11:00:00,15.74,16.1,15.67,16.09
2022-01-07 12:00:00,16.09,16.19,16.06,16.19
2022-01-07 13:00:00,16.2,16.22,16.07,16.12
2022-01-07 14:00:00,16.17,16.24,16.17,16.18
2022-01-07 15:00:00,16.16,16.19,16.05,16.05
2022-01-07 16:00:00,16.08,16.08,15.89,15.95
2022-01-07 17:00:00,15.89,15.89,15.7,15.71
2022-01-07 18:00:00,15.72,15.72,15.64,15.7
2022-01-07 19:00:00,15.75,15.92,15.7,15.87
2022-01-07 20:00:00,15.87,15.92,15.86,15.89
2022-01-07 21:00:00,15.85,15.85,15.79,15.79
2022-01-07 22:00:00,15.74,15.76,15.63,15.76
2022-01-07 23:00:00,15.8,15.9,15.8,15.86
2022-01-08 00:00:00,15.84,15.84,15.83,15.83
2022-01-08 01:00:00,15.86,15.86,15.79,15.81
2022-01-08 02:00:00,15.84,15.86,15.84,15.86
2022-01-08 03:00:00,15.89,15.9,15.87,15.87
2022-01-08 04:00:00,15.87,15.87,15.87,15.87
2022-01-08 05:00:00,15.93,15.94,15.86,15.86
2022-01-08 06:00:00,15.86,16.04,15.84,16.04
2022-01-08 07:00:00,16.04,16.04,15.97,15.97
2022-01-08 08:00:00,15.96,15.96,15.96,15.96
2022-01-08 09:00:00,15.97,15.97,15.77,15.77
2022-01-08 10:00:00,15.72,15.72,15.6,15.65
2022-01-08 11:00:00,15.61,15.69,15.5,15.5
2022-01-08 12:00:00,15.5,15.53,15.06,15.08
2022-01-08 13:00:00,15.1,15.24,15.04,15.11
2022-01-08 14:00:00,15.04,15.2,15.01,15.09
2022-01-08 15:00:00,15.13,15.13,15.06,15.06
2022-01-08 16:00:00,15.03,15.28,15.01,15.19
2022-01-08 17:00:00,15.18,15.29,15.17,15.22
2022-01-08 18:00:00,15.19,15.2,15.05,15.05
