datetime,BONDUSD_open,BONDUSD_high,BONDUSD_low,BONDUSD_close
2022-01-01 00:00:00,16.46,16.64,16.44,16.63
2022-01-01 01:00:00,16.63,16.69,16.53,16.56
2022-01-01 02:00:00,16.58,16.81,16.57,16.68
2022-01-01 03:00:00,16.68,16.9,16.52,16.55
2022-01-01 04:00:00,16.54,16.56,16.44,16.49
2022-01-01 05:00:00,16.47,16.73,16.45,16.56
2022-01-01 06:00:00,16.53,16.56,16.44,16.51
2022-01-01 07:00:00,16.48,16.66,16.45,16.61
2022-01-01 08:00:00,16.62,16.63,16.58,16.59
2022-01-01 09:00:00,16.59,16.63,16.45,16.53
2022-01-01 10:00:00,16.5,16.96,16.44,16.86
2022-01-01 11:00:00,16.87,17.13,16.7,16.93
2022-01-01 12:00:00,16.96,18.69,16.95,17.77
2022-01-01 13:00:00,17.76,18.01,17.53,17.61
2022-01-01 14:00:00,17.59,17.67,17.32,17.4
2022-01-01 15:00:00,17.42,20.6,17.35,20.34
2022-01-01 16:00:00,20.39,21.6,19.63,19.73
2022-01-01 17:00:00,19.72,20.19,19.19,19.23
2022-01-01 18:00:00,19.25,19.28,18.68,18.84
2022-01-01 19:00:00,18.86,19.44,18.86,19.13
2022-01-01 20:00:00,19.12,19.25,18.55,18.62
2022-01-01 21:00:00,18.62,19.12,18.61,18.88
2022-01-01 22:00:00,18.88,18.9,18.4,18.47
2022-01-01 23:00:00,18.48,18.49,18.26,18.33
2022-01-02 00:00:00,18.33,19.31,18.12,18.82
2022-01-02 01:00:00,18.81,19.5,18.63,19.13
2022-01-02 02:00:00,19.16,20.22,19.16,20.0
2022-01-02 03:00:00,20.01,20.5,19.37,19.39
2022-01-02 04:00:00,19.39,19.44,18.88,18.98
2022-01-02 05:00:00,18.98,19.68,18.87,19.4
2022-01-02 06:00:00,19.43,19.47,19.03,19.29
2022-01-02 07:00:00,19.28,19.54,19.07,19.54
2022-01-02 08:00:00,19.52,19.76,19.14,19.39
2022-01-02 09:00:00,19.37,19.39,18.71,18.78
2022-01-02 10:00:00,18.76,18.84,18.55,18.59
2022-01-02 11:00:00,18.56,18.86,18.52,18.79
2022-01-02 12:00:00,18.79,19.22,18.74,18.83
2022-01-02 13:00:00,18.83,18.91,18.69,18.69
2022-01-02 14:00:00,18.72,18.72,18.3,18.36
2022-01-02 15:00:00,18.36,18.99,18.23,18.23
2022-01-02 16:00:00,18.25,18.58,18.22,18.51
2022-01-02 17:00:00,18.55,18.57,18.35,18.42
2022-01-02 18:00:00,18.38,18.38,18.03,18.13
2022-01-02 19:00:00,18.14,18.44,18.14,18.33
2022-01-02 20:00:00,18.35,18.35,18.16,18.17
2022-01-02 21:00:00,18.17,18.36,18.14,18.3
2022-01-02 22:00:00,18.31,18.45,18.29,18.38
2022-01-02 23:00:00,18.38,18.41,18.35,18.39
2022-01-03 00:00:00,18.39,18.41,18.28,18.31
2022-01-03 01:00:00,18.31,18.79,18.28,18.76
2022-01-03 02:00:00,18.71,18.76,18.5,18.57
2022-01-03 03:00:00,18.57,18.8,18.37,18.37
2022-01-03 04:00:00,18.36,18.59,18.31,18.32
2022-01-03 05:00:00,18.35,18.5,18.3,18.41
2022-01-03 06:00:00,18.41,18.44,18.29,18.33
2022-01-03 07:00:00,18.33,18.4,18.23,18.38
2022-01-03 08:00:00,18.36,18.49,18.23,18.3
2022-01-03 09:00:00,18.36,18.38,18.16,18.28
2022-01-03 10:00:00,18.29,18.4,18.21,18.31
2022-01-03 11:00:00,18.32,18.57,18.32,18.47
2022-01-03 12:00:00,18.52,18.61,18.31,18.41
2022-01-03 13:00:00,18.43,18.55,18.31,18.44
2022-01-03 14:00:00,18.44,19.22,18.44,18.55
2022-01-03 15:00:00,18.55,19.02,18.55,18.79
2022-01-03 16:00:00,18.8,18.92,18.2,18.3
2022-01-03 17:00:00,18.32,18.46,18.23,18.33
2022-01-03 18:00:00,18.33,18.39,18.18,18.21
2022-01-03 19:00:00,18.21,18.35,18.18,18.21
2022-01-03 20:00:00,18.19,18.19,17.75,17.87
2022-01-03 21:00:00,17.89,18.06,17.79,17.98
2022-01-03 22:00:00,17.96,18.5,17.96,18.5
2022-01-03 23:00:00,18.48,18.53,18.33,18.38
2022-01-04 00:00:00,18.38,18.44,18.03,18.06
2022-01-04 01:00:00,18.03,18.51,18.03,18.21
2022-01-04 02:00:00,18.24,18.31,18.02,18.13
2022-01-04 03:00:00,18.11,18.14,17.93,18.01
2022-01-04 04:00:00,18.01,18.04,17.79,17.86
2022-01-04 05:00:00,17.83,17.99,17.76,17.97
2022-01-04 06:00:00,17.89,18.08,17.81,18.05
2022-01-04 07:00:00,18.09,18.17,17.9,18.15
2022-01-04 08:00:00,18.15,18.2,17.92,18.04
2022-01-04 09:00:00,18.04,18.08,17.87,17.97
2022-01-04 10:00:00,17.96,18.12,17.81,18.09
2022-01-04 11:00:00,18.09,18.25,17.95,18.05
2022-01-04 12:00:00,18.05,18.07,17.79,17.86
2022-01-04 13:00:00,17.87,18.18,17.81,17.95
2022-01-04 14:00:00,18.04,18.24,17.98,18.2
2022-01-04 15:00:00,18.23,18.27,18.04,18.05
2022-01-04 16:00:00,18.05,18.31,17.97,18.16
2022-01-04 17:00:00,18.18,18.35,18.11,18.29
2022-01-04 18:00:00,18.27,18.57,18.23,18.45
2022-01-04 19:00:00,18.45,18.55,18.35,18.35
2022-01-04 20:00:00,18.37,18.54,18.36,18.39
2022-01-04 21:00:00,18.38,18.51,18.27,18.33
2022-01-04 22:00:00,18.33,18.43,18.23,18.27
2022-01-04 23:00:00,18.24,18.3,18.22,18.26
2022-01-05 00:00:00,18.26,18.33,18.2,18.31
2022-01-05 01:00:00,18.27,18.42,18.16,18.28
2022-01-05 02:00:00,18.28,18.46,18.24,18.31
2022-01-05 03:00:00,18.34,18.36,18.28,18.33
2022-01-05 04:00:00,18.33,18.34,18.24,18.25
2022-01-05 05:00:00,18.25,18.43,18.21,18.26
2022-01-05 06:00:00,18.26,18.32,18.26,18.29
2022-01-05 07:00:00,18.29,18.34,18.22,18.31
2022-01-05 08:00:00,18.3,18.35,18.27,18.3
2022-01-05 09:00:00,18.3,18.35,18.29,18.29
2022-01-05 10:00:00,18.32,18.34,18.18,18.27
2022-01-05 11:00:00,18.25,18.28,18.09,18.13
2022-01-05 12:00:00,18.15,18.15,17.98,18.06
2022-01-05 13:00:00,18.08,18.31,18.02,18.05
2022-01-05 14:00:00,18.08,18.1,17.92,18.08
2022-01-05 15:00:00,18.06,18.15,17.88,18.05
2022-01-05 16:00:00,18.03,18.05,17.9,17.91
2022-01-05 17:00:00,17.93,17.93,17.69,17.69
2022-01-05 18:00:00,17.69,17.78,17.51,17.73
2022-01-05 19:00:00,17.73,17.8,17.26,17.26
2022-01-05 20:00:00,17.29,17.32,16.96,17.1
2022-01-05 21:00:00,17.11,17.11,16.67,16.69
2022-01-05 22:00:00,16.71,16.73,16.33,16.5
2022-01-05 23:00:00,16.5,16.65,16.4,16.53
2022-01-06 00:00:00,16.52,17.72,16.39,16.53
2022-01-06 01:00:00,16.54,16.56,16.3,16.48
2022-01-06 02:00:00,16.46,16.51,16.39,16.46
2022-01-06 03:00:00,16.46,16.48,16.37,16.45
2022-01-06 04:00:00,16.44,16.66,16.39,16.53
2022-01-06 05:00:00,16.52,16.68,16.48,16.62
2022-01-06 06:00:00,16.59,16.64,16.53,16.54
2022-01-06 07:00:00,16.54,16.61,16.49,16.57
2022-01-06 08:00:00,16.57,16.58,16.43,16.47
2022-01-06 09:00:00,16.49,16.52,16.42,16.48
2022-01-06 10:00:00,16.46,16.77,16.46,16.54
2022-01-06 11:00:00,16.54,16.56,16.42,16.42
2022-01-06 12:00:00,16.43,16.59,16.42,16.58
2022-01-06 13:00:00,16.55,16.69,16.49,16.64
2022-01-06 14:00:00,16.64,16.66,16.51,16.55
2022-01-06 15:00:00,16.54,16.55,16.39,16.53
2022-01-06 16:00:00,16.53,16.55,16.44,16.51
2022-01-06 17:00:00,16.51,16.61,16.5,16.59
2022-01-06 18:00:00,16.59,16.68,16.53,16.67
2022-01-06 19:00:00,16.65,16.67,16.57,16.58
2022-01-06 20:00:00,16.6,16.6,16.5,16.56
2022-01-06 21:00:00,16.56,16.6,16.47,16.55
2022-01-06 22:00:00,16.54,16.58,16.47,16.52
2022-01-06 23:00:00,16.54,16.54,16.38,16.52
2022-01-07 00:00:00,16.52,16.52,16.45,16.48
2022-01-07 01:00:00,16.47,16.51,16.45,16.48
2022-01-07 02:00:00,16.48,16.75,16.45,16.5
2022-01-07 03:00:00,16.51,16.57,16.31,16.46
2022-01-07 04:00:00,16.46,16.59,16.27,16.47
2022-01-07 05:00:00,16.47,16.47,16.34,16.45
2022-01-07 06:00:00,16.42,16.45,16.24,16.33
2022-01-07 07:00:00,16.31,16.31,16.12,16.25
2022-01-07 08:00:00,16.22,16.46,16.21,16.31
2022-01-07 09:00:00,16.3,16.45,16.28,16.37
2022-01-07 10:00:00,16.37,16.4,16.28,16.28
2022-01-07 11:00:00,16.28,16.36,16.27,16.35
2022-01-07 12:00:00,16.32,16.39,16.0,16.05
2022-01-07 13:00:00,16.06,16.19,15.55,15.86
2022-01-07 14:00:00,15.84,15.99,15.84,15.84
2022-01-07 15:00:00,15.84,15.95,15.53,15.74
2022-01-07 16:00:00,15.76,16.08,15.61,16.08
2022-01-07 17:00:00,16.08,16.21,16.08,16.2
2022-01-07 18:00:00,16.18,16.2,16.13,16.14
2022-01-07 19:00:00,16.13,16.29,16.13,16.17
2022-01-07 20:00:00,16.19,16.2,15.93,16.01
2022-01-07 21:00:00,16.01,16.05,15.83,15.95
2022-01-07 22:00:00,15.95,15.95,15.69,15.69
2022-01-07 23:00:00,15.72,15.77,15.62,15.68
2022-01-08 00:00:00,15.77,15.88,15.71,15.87
2022-01-08 01:00:00,15.86,15.94,15.84,15.88
2022-01-08 02:00:00,15.87,15.87,15.73,15.77
2022-01-08 03:00:00,15.77,15.79,15.62,15.79
2022-01-08 04:00:00,15.8,15.92,15.78,15.86
2022-01-08 05:00:00,15.84,15.86,15.79,15.85
2022-01-08 06:00:00,15.85,15.86,15.76,15.86
2022-01-08 07:00:00,15.86,15.89,15.84,15.89
2022-01-08 08:00:00,15.87,15.92,15.84,15.88
2022-01-08 09:00:00,15.86,15.91,15.86,15.9
2022-01-08 10:00:00,15.93,15.93,15.86,15.86
2022-01-08 11:00:00,15.88,16.01,15.84,16.0
2022-01-08 12:00:00,16.0,16.08,15.96,15.98
2022-01-08 13:00:00,15.97,16.03,15.95,15.96
2022-01-08 14:00:00,15.98,16.0,15.76,15.76
2022-01-08 15:00:00,15.75,15.75,15.59,15.66
2022-01-08 16:00:00,15.64,15.74,15.5,15.5
2022-01-08 17:00:00,15.51,15.54,15.0,15.07
2022-01-08 18:00:00,15.08,15.3,15.01,15.07
2022-01-08 19:00:00,15.07,15.23,15.01,15.16
2022-01-08 20:00:00,15.13,15.14,15.04,15.06
2022-01-08 21:00:00,15.06,15.27,14.97,15.18
2022-01-08 22:00:00,15.17,15.31,15.16,15.2
2022-01-08 23:00:00,15.19,15.22,15.1,15.1
2022-01-09 00:00:00,15.09,15.21,15.02,15.16
2022-01-09 01:00:00,15.16,15.18,15.03,15.14
2022-01-09 02:00:00,15.13,15.26,15.09,15.18
2022-01-09 03:00:00,15.19,15.25,15.14,15.18
2022-01-09 04:00:00,15.19,15.28,15.18,15.19
2022-01-09 05:00:00,15.22,15.25,15.06,15.11
2022-01-09 06:00:00,15.11,15.2,15.11,15.14
2022-01-09 07:00:00,15.15,15.16,15.02,15.04
2022-01-09 08:00:00,15.04,15.08,15.02,15.07
