datetime,BTCSTBUSD_open,BTCSTBUSD_high,BTCSTBUSD_low,BTCSTBUSD_close
2022-01-01 00:00:00,22.37,22.66,22.37,22.52
2022-01-01 01:00:00,22.54,22.54,22.42,22.42
2022-01-01 02:00:00,22.43,22.43,22.36,22.38
2022-01-01 03:00:00,22.38,22.48,22.38,22.41
2022-01-01 04:00:00,22.39,22.44,22.31,22.38
2022-01-01 05:00:00,22.38,22.47,22.13,22.23
2022-01-01 06:00:00,22.23,22.3,22.14,22.14
2022-01-01 07:00:00,22.16,22.22,22.1,22.22
2022-01-01 08:00:00,22.25,22.5,22.17,22.35
2022-01-01 09:00:00,22.42,22.5,22.31,22.49
2022-01-01 10:00:00,22.49,22.77,22.41,22.57
2022-01-01 11:00:00,22.54,22.65,22.54,22.54
2022-01-01 12:00:00,22.56,22.77,22.5,22.69
2022-01-01 13:00:00,22.69,22.69,22.57,22.67
2022-01-01 14:00:00,22.69,22.77,22.64,22.75
2022-01-01 15:00:00,22.76,22.91,22.71,22.84
2022-01-01 16:00:00,22.84,22.84,22.73,22.73
2022-01-01 17:00:00,22.73,22.91,22.67,22.88
2022-01-01 18:00:00,22.82,22.95,22.8,22.95
2022-01-01 19:00:00,22.9,22.92,22.76,22.76
2022-01-01 20:00:00,22.79,22.79,22.54,22.63
2022-01-01 21:00:00,22.63,22.64,22.58,22.58
2022-01-01 22:00:00,22.64,22.64,22.61,22.61
2022-01-01 23:00:00,22.64,22.64,22.41,22.42
2022-01-02 00:00:00,22.5,22.7,22.5,22.7
2022-01-02 01:00:00,22.7,22.84,22.7,22.75
2022-01-02 02:00:00,22.75,22.86,22.71,22.71
2022-01-02 03:00:00,22.71,22.76,22.61,22.69
2022-01-02 04:00:00,22.66,22.78,22.61,22.68
2022-01-02 05:00:00,22.64,22.69,22.55,22.55
2022-01-02 06:00:00,22.59,22.63,22.55,22.63
2022-01-02 07:00:00,22.62,22.67,22.51,22.67
2022-01-02 08:00:00,22.67,22.67,22.51,22.62
2022-01-02 09:00:00,22.6,22.64,22.52,22.52
2022-01-02 10:00:00,22.57,22.74,22.51,22.74
2022-01-02 11:00:00,22.72,22.79,22.62,22.79
2022-01-02 12:00:00,22.81,22.87,22.65,22.65
2022-01-02 13:00:00,22.65,22.93,22.44,22.73
2022-01-02 14:00:00,22.73,22.77,22.59,22.61
2022-01-02 15:00:00,22.69,22.72,22.49,22.56
2022-01-02 16:00:00,22.48,22.58,22.48,22.55
2022-01-02 17:00:00,22.55,22.74,22.55,22.71
2022-01-02 18:00:00,22.71,22.74,22.7,22.7
2022-01-02 19:00:00,22.65,22.73,22.61,22.66
2022-01-02 20:00:00,22.61,22.61,22.56,22.57
2022-01-02 21:00:00,22.55,22.55,22.4,22.47
2022-01-02 22:00:00,22.41,22.49,22.2,22.36
2022-01-02 23:00:00,22.36,22.42,22.2,22.33
2022-01-03 00:00:00,22.32,22.46,22.3,22.41
2022-01-03 01:00:00,22.42,22.42,22.32,22.32
2022-01-03 02:00:00,22.35,22.4,22.27,22.4
2022-01-03 03:00:00,22.4,22.43,22.35,22.4
2022-01-03 04:00:00,22.4,22.4,22.23,22.28
2022-01-03 05:00:00,22.31,22.5,22.31,22.49
2022-01-03 06:00:00,22.47,22.62,22.46,22.6
2022-01-03 07:00:00,22.63,22.65,22.56,22.56
