datetime,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close
2022-01-01 00:00:00,46221.22,46716.19,46219.13,46665.22
2022-01-01 01:00:00,46649.08,46934.18,46574.09,46808.94
2022-01-01 02:00:00,46784.3,46924.9,46732.83,46816.01
2022-01-01 03:00:00,46812.85,46902.46,46763.24,46801.51
2022-01-01 04:00:00,46801.3,46866.26,46621.67,46699.76
2022-01-01 05:00:00,46700.75,47555.18,46673.31,47199.51
2022-01-01 06:00:00,47209.72,47320.27,46938.63,46986.16
2022-01-01 07:00:00,46998.81,47233.73,46914.96,47210.36
2022-01-01 08:00:00,47222.77,47345.05,47093.48,47093.48
2022-01-01 09:00:00,47070.5,47205.46,46950.65,47142.05
2022-01-01 10:00:00,47188.69,47281.61,46724.72,46863.54
2022-01-01 11:00:00,46884.35,47008.47,46763.46,46776.72
2022-01-01 12:00:00,46797.92,47141.94,46766.38,47122.92
2022-01-01 13:00:00,47134.93,47190.88,46945.68,47029.17
2022-01-01 14:00:00,47027.87,47097.28,46874.82,46901.25
2022-01-01 15:00:00,46878.52,47478.73,46878.52,47307.45
2022-01-01 16:00:00,47310.61,47521.37,47212.94,47279.8
2022-01-01 17:00:00,47285.36,47958.65,47251.14,47750.97
2022-01-01 18:00:00,47761.25,47836.72,47423.82,47602.51
2022-01-01 19:00:00,47591.36,47618.76,47294.83,47342.62
2022-01-01 20:00:00,47343.16,47560.43,47254.32,47407.74
2022-01-01 21:00:00,47412.85,47547.55,47273.04,47329.09
2022-01-01 22:00:00,47343.04,47492.54,47225.85,47436.64
2022-01-01 23:00:00,47445.27,47813.14,47296.36,47728.93
2022-01-02 00:00:00,47718.04,47757.99,47384.68,47634.25
2022-01-02 01:00:00,47639.03,47639.03,47315.6,47370.71
2022-01-02 02:00:00,47375.97,47447.76,47281.47,47372.41
2022-01-02 03:00:00,47380.21,47455.37,47273.5,47319.01
2022-01-02 04:00:00,47301.82,47409.35,46772.24,46899.02
2022-01-02 05:00:00,46892.47,47077.69,46838.48,47067.6
2022-01-02 06:00:00,47080.57,47228.53,47012.81,47126.79
2022-01-02 07:00:00,47123.83,47286.73,47098.93,47172.72
2022-01-02 08:00:00,47131.92,47245.45,46982.22,47219.29
2022-01-02 09:00:00,47205.45,47489.28,47155.55,47284.75
2022-01-02 10:00:00,47265.52,47341.41,47147.9,47167.7
2022-01-02 11:00:00,47154.84,47380.15,47154.84,47235.77
2022-01-02 12:00:00,47238.28,47434.95,47019.45,47298.86
2022-01-02 13:00:00,47284.87,47284.87,47072.25,47131.63
2022-01-02 14:00:00,47133.43,47196.22,47019.61,47120.18
2022-01-02 15:00:00,47124.3,47379.5,47066.69,47340.4
2022-01-02 16:00:00,47341.69,47880.03,47288.79,47799.96
2022-01-02 17:00:00,47804.32,47987.85,47328.07,47387.73
2022-01-02 18:00:00,47387.03,47387.03,46644.55,47054.19
2022-01-02 19:00:00,47049.73,47212.91,46862.83,46918.22
2022-01-02 20:00:00,46911.96,47052.37,46833.17,46999.93
2022-01-02 21:00:00,46980.44,47173.11,46924.66,47015.4
2022-01-02 22:00:00,47031.25,47389.89,47031.25,47326.08
2022-01-02 23:00:00,47326.13,47475.6,47269.64,47289.79
2022-01-03 00:00:00,47270.43,47279.64,47025.88,47025.88
2022-01-03 01:00:00,47030.92,47144.96,46949.98,47100.25
2022-01-03 02:00:00,47096.52,47100.68,46858.47,46994.32
2022-01-03 03:00:00,46995.97,47073.86,46720.82,46802.35
2022-01-03 04:00:00,46778.08,46935.99,46756.93,46817.19
2022-01-03 05:00:00,46820.87,47212.0,46777.53,47090.63
2022-01-03 06:00:00,47091.43,47093.16,46892.13,46902.6
2022-01-03 07:00:00,46890.77,47078.5,46855.67,47049.58
2022-01-03 08:00:00,47053.49,47141.88,46940.75,46984.05
2022-01-03 09:00:00,46987.36,47098.45,46780.69,46981.24
2022-01-03 10:00:00,46988.76,47253.18,46988.76,47159.54
