datetime,BTGBUSD_open,BTGBUSD_high,BTGBUSD_low,BTGBUSD_close
2022-01-01 00:00:00,40.95,41.35,40.95,41.35
2022-01-01 01:00:00,40.91,40.97,40.91,40.97
2022-01-01 02:00:00,40.85,41.0,40.8,41.0
2022-01-01 03:00:00,41.21,41.21,41.21,41.21
2022-01-01 04:00:00,40.9,40.9,40.85,40.85
2022-01-01 05:00:00,40.85,41.15,40.63,40.63
2022-01-01 06:00:00,40.74,40.74,40.72,40.72
2022-01-01 07:00:00,40.72,40.72,40.72,40.72
2022-01-01 08:00:00,40.86,40.87,40.86,40.86
2022-01-01 09:00:00,40.84,40.84,40.83,40.84
2022-01-01 10:00:00,40.9,41.12,40.9,41.12
2022-01-01 11:00:00,41.29,41.29,41.29,41.29
2022-01-01 12:00:00,41.05,41.62,41.05,41.53
2022-01-01 13:00:00,41.53,41.55,41.08,41.28
2022-01-01 14:00:00,41.26,41.29,40.97,40.97
2022-01-01 15:00:00,41.24,41.24,41.14,41.14
2022-01-01 16:00:00,41.22,41.47,41.15,41.47
2022-01-01 17:00:00,41.34,41.34,41.04,41.32
2022-01-01 18:00:00,41.05,41.59,41.05,41.59
2022-01-01 19:00:00,41.23,41.53,41.16,41.23
2022-01-01 20:00:00,41.11,41.11,41.1,41.1
2022-01-01 21:00:00,41.1,41.37,41.09,41.37
2022-01-01 22:00:00,41.1,41.35,41.05,41.35
2022-01-01 23:00:00,41.35,41.35,40.94,41.11
2022-01-02 00:00:00,41.06,41.06,40.89,41.02
2022-01-02 01:00:00,41.06,41.08,41.06,41.08
2022-01-02 02:00:00,40.92,41.21,40.79,41.08
2022-01-02 03:00:00,41.12,41.52,41.12,41.52
2022-01-02 04:00:00,41.53,41.91,41.53,41.55
2022-01-02 05:00:00,41.52,41.52,41.52,41.52
2022-01-02 06:00:00,41.52,41.54,41.52,41.54
2022-01-02 07:00:00,41.85,41.85,41.53,41.53
2022-01-02 08:00:00,41.53,41.9,41.52,41.61
2022-01-02 09:00:00,41.84,42.2,41.69,42.14
2022-01-02 10:00:00,42.11,42.97,42.09,42.92
2022-01-02 11:00:00,42.79,42.99,42.37,42.6
2022-01-02 12:00:00,42.99,42.99,42.37,42.37
2022-01-02 13:00:00,42.16,42.64,41.69,41.85
2022-01-02 14:00:00,42.05,42.2,41.8,41.8
2022-01-02 15:00:00,41.78,42.21,41.78,42.21
2022-01-02 16:00:00,42.13,42.13,42.13,42.13
2022-01-02 17:00:00,42.13,42.13,42.13,42.13
2022-01-02 18:00:00,42.21,42.21,42.21,42.21
