datetime,BURGERBUSD_open,BURGERBUSD_high,BURGERBUSD_low,BURGERBUSD_close
2022-01-01 00:00:00,3.051,3.06,3.039,3.054
2022-01-01 01:00:00,3.053,3.071,3.041,3.041
2022-01-01 02:00:00,3.041,3.059,3.033,3.059
2022-01-01 03:00:00,3.048,3.06,3.043,3.047
2022-01-01 04:00:00,3.046,3.066,3.033,3.044
2022-01-01 05:00:00,3.051,3.051,3.008,3.008
2022-01-01 06:00:00,3.02,3.036,3.02,3.036
2022-01-01 07:00:00,3.01,3.033,2.994,3.033
2022-01-01 08:00:00,3.027,3.064,3.027,3.064
2022-01-01 09:00:00,3.064,3.072,3.051,3.072
2022-01-01 10:00:00,3.07,3.098,3.022,3.058
2022-01-01 11:00:00,3.054,3.072,3.043,3.044
2022-01-01 12:00:00,3.048,3.064,3.043,3.064
2022-01-01 13:00:00,3.057,3.064,3.026,3.026
2022-01-01 14:00:00,3.031,3.04,3.023,3.023
2022-01-01 15:00:00,3.031,3.031,3.02,3.027
2022-01-01 16:00:00,3.026,3.033,3.013,3.021
2022-01-01 17:00:00,3.021,3.027,3.018,3.02
2022-01-01 18:00:00,3.018,3.033,3.017,3.024
2022-01-01 19:00:00,3.02,3.029,3.006,3.022
2022-01-01 20:00:00,3.015,3.018,3.008,3.01
2022-01-01 21:00:00,3.003,3.011,3.002,3.011
2022-01-01 22:00:00,3.01,3.013,3.001,3.013
2022-01-01 23:00:00,3.008,3.011,2.986,2.986
2022-01-02 00:00:00,2.985,2.995,2.98,2.986
2022-01-02 01:00:00,2.994,3.007,2.991,3.007
2022-01-02 02:00:00,3.001,3.009,3.0,3.003
2022-01-02 03:00:00,3.001,3.031,3.0,3.021
2022-01-02 04:00:00,3.031,3.041,3.018,3.021
2022-01-02 05:00:00,3.029,3.053,3.021,3.024
2022-01-02 06:00:00,3.029,3.041,3.023,3.023
2022-01-02 07:00:00,3.023,3.05,3.023,3.032
2022-01-02 08:00:00,3.038,3.038,3.016,3.031
2022-01-02 09:00:00,3.033,3.039,3.023,3.034
2022-01-02 10:00:00,3.031,3.051,3.031,3.039
2022-01-02 11:00:00,3.048,3.053,3.032,3.05
2022-01-02 12:00:00,3.048,3.065,3.043,3.05
2022-01-02 13:00:00,3.043,3.043,2.988,3.023
2022-01-02 14:00:00,3.023,3.034,3.012,3.027
2022-01-02 15:00:00,3.021,3.085,3.021,3.054
2022-01-02 16:00:00,3.057,3.062,3.021,3.037
2022-01-02 17:00:00,3.043,3.071,3.038,3.062
2022-01-02 18:00:00,3.055,3.088,3.051,3.06
2022-01-02 19:00:00,3.053,3.056,3.047,3.054
2022-01-02 20:00:00,3.056,3.072,3.038,3.072
2022-01-02 21:00:00,3.051,3.051,3.036,3.045
2022-01-02 22:00:00,3.039,3.046,3.021,3.03
2022-01-02 23:00:00,3.022,3.03,3.013,3.021
2022-01-03 00:00:00,3.02,3.036,3.015,3.015
2022-01-03 01:00:00,3.017,3.022,3.01,3.016
2022-01-03 02:00:00,3.011,3.02,3.004,3.019
2022-01-03 03:00:00,3.011,3.02,2.996,3.008
2022-01-03 04:00:00,3.008,3.015,2.997,3.015
2022-01-03 05:00:00,3.019,3.025,3.016,3.021
2022-01-03 06:00:00,3.022,3.043,3.018,3.036
2022-01-03 07:00:00,3.04,3.041,3.014,3.015
2022-01-03 08:00:00,3.017,3.04,3.017,3.023
2022-01-03 09:00:00,3.025,3.038,3.019,3.021
2022-01-03 10:00:00,3.029,3.031,3.009,3.009
2022-01-03 11:00:00,3.014,3.017,2.959,2.985
2022-01-03 12:00:00,2.994,3.024,2.994,3.014
2022-01-03 13:00:00,3.01,3.01,2.989,2.994
2022-01-03 14:00:00,2.993,3.01,2.979,3.003
2022-01-03 15:00:00,2.996,2.996,2.942,2.96
2022-01-03 16:00:00,2.96,3.005,2.95,3.0
2022-01-03 17:00:00,3.005,3.029,3.0,3.025
2022-01-03 18:00:00,3.013,3.032,3.013,3.014
2022-01-03 19:00:00,3.014,3.014,2.98,2.98
2022-01-03 20:00:00,2.971,2.971,2.953,2.953
2022-01-03 21:00:00,2.967,2.967,2.91,2.948
2022-01-03 22:00:00,2.947,2.978,2.947,2.974
2022-01-03 23:00:00,2.971,2.973,2.96,2.96
2022-01-04 00:00:00,2.965,3.0,2.965,2.991
2022-01-04 01:00:00,3.006,3.006,2.982,2.985
2022-01-04 02:00:00,2.989,2.99,2.981,2.984
2022-01-04 03:00:00,3.0,3.001,2.98,2.993
2022-01-04 04:00:00,2.991,3.28,2.984,3.132
2022-01-04 05:00:00,3.132,3.2,3.066,3.099
2022-01-04 06:00:00,3.098,3.103,3.048,3.091
2022-01-04 07:00:00,3.095,3.095,3.062,3.08
2022-01-04 08:00:00,3.085,3.085,3.062,3.079
2022-01-04 09:00:00,3.089,3.09,3.06,3.083
2022-01-04 10:00:00,3.086,3.118,3.061,3.069
2022-01-04 11:00:00,3.07,3.1,3.064,3.081
2022-01-04 12:00:00,3.083,3.101,3.06,3.067
2022-01-04 13:00:00,3.067,3.08,3.013,3.032
2022-01-04 14:00:00,3.032,3.062,3.022,3.039
2022-01-04 15:00:00,3.039,3.053,3.01,3.012
2022-01-04 16:00:00,3.012,3.037,3.01,3.028
2022-01-04 17:00:00,3.029,3.029,3.005,3.01
2022-01-04 18:00:00,3.01,3.018,3.002,3.007
2022-01-04 19:00:00,3.002,3.027,2.997,3.027
2022-01-04 20:00:00,3.034,3.061,3.027,3.027
2022-01-04 21:00:00,3.036,3.055,3.028,3.035
2022-01-04 22:00:00,3.048,3.054,3.039,3.042
2022-01-04 23:00:00,3.039,3.045,3.015,3.028
2022-01-05 00:00:00,3.027,3.04,3.027,3.028
2022-01-05 01:00:00,3.034,3.037,3.015,3.028
2022-01-05 02:00:00,3.017,3.029,3.017,3.02
2022-01-05 03:00:00,3.021,3.038,3.016,3.035
2022-01-05 04:00:00,3.039,3.086,3.035,3.055
2022-01-05 05:00:00,3.056,3.062,3.045,3.045
2022-01-05 06:00:00,3.053,3.053,3.01,3.01
2022-01-05 07:00:00,3.018,3.035,3.01,3.018
2022-01-05 08:00:00,3.026,3.046,3.023,3.04
