datetime,C98BUSD_open,C98BUSD_high,C98BUSD_low,C98BUSD_close
2022-01-01 00:00:00,2.421,2.491,2.421,2.491
2022-01-01 01:00:00,2.488,2.503,2.467,2.469
2022-01-01 02:00:00,2.464,2.489,2.456,2.489
2022-01-01 03:00:00,2.485,2.491,2.472,2.473
2022-01-01 04:00:00,2.481,2.481,2.448,2.464
2022-01-01 05:00:00,2.464,2.475,2.414,2.442
2022-01-01 06:00:00,2.443,2.455,2.439,2.447
2022-01-01 07:00:00,2.446,2.459,2.44,2.455
2022-01-01 08:00:00,2.458,2.458,2.441,2.444
2022-01-01 09:00:00,2.444,2.45,2.433,2.437
2022-01-01 10:00:00,2.437,2.475,2.437,2.459
2022-01-01 11:00:00,2.466,2.484,2.459,2.47
2022-01-01 12:00:00,2.473,2.506,2.473,2.501
2022-01-01 13:00:00,2.502,2.507,2.49,2.494
2022-01-01 14:00:00,2.5,2.5,2.475,2.481
2022-01-01 15:00:00,2.484,2.498,2.484,2.492
2022-01-01 16:00:00,2.487,2.492,2.475,2.478
2022-01-01 17:00:00,2.48,2.503,2.478,2.501
2022-01-01 18:00:00,2.5,2.527,2.484,2.527
2022-01-01 19:00:00,2.524,2.524,2.493,2.508
2022-01-01 20:00:00,2.501,2.501,2.467,2.47
2022-01-01 21:00:00,2.467,2.481,2.458,2.463
2022-01-01 22:00:00,2.463,2.471,2.455,2.46
2022-01-01 23:00:00,2.464,2.471,2.416,2.432
2022-01-02 00:00:00,2.433,2.447,2.431,2.447
2022-01-02 01:00:00,2.445,2.448,2.441,2.444
2022-01-02 02:00:00,2.444,2.455,2.443,2.448
2022-01-02 03:00:00,2.446,2.456,2.427,2.456
2022-01-02 04:00:00,2.454,2.469,2.449,2.464
2022-01-02 05:00:00,2.464,2.483,2.462,2.467
2022-01-02 06:00:00,2.472,2.487,2.465,2.475
2022-01-02 07:00:00,2.474,2.495,2.458,2.491
2022-01-02 08:00:00,2.491,2.491,2.464,2.465
2022-01-02 09:00:00,2.465,2.467,2.45,2.456
2022-01-02 10:00:00,2.456,2.474,2.452,2.469
2022-01-02 11:00:00,2.47,2.496,2.461,2.489
2022-01-02 12:00:00,2.494,2.5,2.468,2.476
2022-01-02 13:00:00,2.476,2.477,2.424,2.45
2022-01-02 14:00:00,2.45,2.461,2.442,2.45
2022-01-02 15:00:00,2.449,2.46,2.443,2.457
2022-01-02 16:00:00,2.456,2.47,2.455,2.459
2022-01-02 17:00:00,2.464,2.468,2.456,2.456
2022-01-02 18:00:00,2.462,2.467,2.455,2.46
2022-01-02 19:00:00,2.46,2.46,2.433,2.433
2022-01-02 20:00:00,2.432,2.437,2.401,2.415
2022-01-02 21:00:00,2.415,2.423,2.402,2.41
2022-01-02 22:00:00,2.41,2.414,2.374,2.389
2022-01-02 23:00:00,2.392,2.404,2.382,2.382
2022-01-03 00:00:00,2.391,2.409,2.385,2.401
2022-01-03 01:00:00,2.4,2.4,2.388,2.391
2022-01-03 02:00:00,2.388,2.394,2.379,2.394
2022-01-03 03:00:00,2.394,2.405,2.393,2.395
2022-01-03 04:00:00,2.398,2.405,2.382,2.39
2022-01-03 05:00:00,2.393,2.415,2.393,2.415
2022-01-03 06:00:00,2.415,2.429,2.412,2.422
2022-01-03 07:00:00,2.42,2.428,2.404,2.405
2022-01-03 08:00:00,2.412,2.42,2.409,2.409
2022-01-03 09:00:00,2.41,2.434,2.397,2.408
2022-01-03 10:00:00,2.414,2.423,2.395,2.4
2022-01-03 11:00:00,2.405,2.414,2.336,2.365
2022-01-03 12:00:00,2.366,2.385,2.357,2.371
2022-01-03 13:00:00,2.373,2.382,2.356,2.359
2022-01-03 14:00:00,2.365,2.374,2.355,2.355
2022-01-03 15:00:00,2.354,2.356,2.304,2.326
2022-01-03 16:00:00,2.329,2.354,2.324,2.34
2022-01-03 17:00:00,2.336,2.37,2.332,2.362
2022-01-03 18:00:00,2.364,2.386,2.361,2.372
2022-01-03 19:00:00,2.374,2.402,2.356,2.363
2022-01-03 20:00:00,2.363,2.379,2.338,2.348
2022-01-03 21:00:00,2.348,2.363,2.329,2.344
2022-01-03 22:00:00,2.349,2.378,2.334,2.378
2022-01-03 23:00:00,2.378,2.446,2.378,2.424
2022-01-04 00:00:00,2.421,2.48,2.414,2.453
2022-01-04 01:00:00,2.455,2.469,2.442,2.455
2022-01-04 02:00:00,2.461,2.482,2.454,2.477
2022-01-04 03:00:00,2.476,2.49,2.454,2.46
2022-01-04 04:00:00,2.462,2.477,2.439,2.45
2022-01-04 05:00:00,2.452,2.497,2.446,2.485
2022-01-04 06:00:00,2.49,2.5,2.461,2.475
2022-01-04 07:00:00,2.473,2.473,2.454,2.468
2022-01-04 08:00:00,2.471,2.508,2.452,2.504
2022-01-04 09:00:00,2.505,2.567,2.505,2.544
2022-01-04 10:00:00,2.545,2.578,2.527,2.552
2022-01-04 11:00:00,2.553,2.64,2.541,2.621
2022-01-04 12:00:00,2.619,2.647,2.571,2.576
2022-01-04 13:00:00,2.576,2.599,2.501,2.544
2022-01-04 14:00:00,2.542,2.639,2.534,2.576
2022-01-04 15:00:00,2.574,2.627,2.569,2.609
2022-01-04 16:00:00,2.604,2.662,2.597,2.641
2022-01-04 17:00:00,2.641,2.641,2.573,2.581
2022-01-04 18:00:00,2.579,2.588,2.518,2.526
2022-01-04 19:00:00,2.527,2.604,2.506,2.604
2022-01-04 20:00:00,2.604,2.685,2.596,2.669
2022-01-04 21:00:00,2.665,2.678,2.634,2.65
2022-01-04 22:00:00,2.65,2.844,2.592,2.806
2022-01-04 23:00:00,2.805,2.873,2.782,2.856
2022-01-05 00:00:00,2.853,2.903,2.836,2.837
2022-01-05 01:00:00,2.839,2.857,2.816,2.831
2022-01-05 02:00:00,2.834,2.852,2.778,2.798
2022-01-05 03:00:00,2.8,2.805,2.753,2.759
2022-01-05 04:00:00,2.758,2.783,2.716,2.766
2022-01-05 05:00:00,2.767,2.776,2.732,2.76
2022-01-05 06:00:00,2.761,2.769,2.705,2.757
2022-01-05 07:00:00,2.75,2.818,2.724,2.767
2022-01-05 08:00:00,2.766,2.795,2.742,2.77
2022-01-05 09:00:00,2.771,2.783,2.724,2.752
2022-01-05 10:00:00,2.752,2.761,2.731,2.747
2022-01-05 11:00:00,2.747,2.787,2.71,2.714
2022-01-05 12:00:00,2.713,2.769,2.673,2.678
2022-01-05 13:00:00,2.676,2.772,2.651,2.746
2022-01-05 14:00:00,2.746,2.746,2.516,2.556
2022-01-05 15:00:00,2.551,2.604,2.5,2.546
2022-01-05 16:00:00,2.542,2.584,2.48,2.498
2022-01-05 17:00:00,2.497,2.515,2.297,2.454
2022-01-05 18:00:00,2.453,2.504,2.435,2.45
2022-01-05 19:00:00,2.45,2.477,2.424,2.474
2022-01-05 20:00:00,2.472,2.477,2.41,2.424
2022-01-05 21:00:00,2.423,2.441,2.39,2.396
2022-01-05 22:00:00,2.398,2.404,2.353,2.353
2022-01-05 23:00:00,2.36,2.397,2.339,2.383
2022-01-06 00:00:00,2.384,2.422,2.368,2.395
2022-01-06 01:00:00,2.393,2.405,2.368,2.387
