datetime,CAKEBUSD_open,CAKEBUSD_high,CAKEBUSD_low,CAKEBUSD_close
2022-01-01 00:00:00,11.83,11.99,11.82,11.89
2022-01-01 01:00:00,11.89,11.93,11.83,11.85
2022-01-01 02:00:00,11.86,11.88,11.82,11.88
2022-01-01 03:00:00,11.88,11.97,11.85,11.91
2022-01-01 04:00:00,11.91,11.94,11.86,11.91
2022-01-01 05:00:00,11.91,11.95,11.85,11.89
2022-01-01 06:00:00,11.88,11.95,11.86,11.88
2022-01-01 07:00:00,11.88,11.95,11.87,11.94
2022-01-01 08:00:00,11.95,11.97,11.94,11.96
2022-01-01 09:00:00,11.95,11.96,11.89,11.9
2022-01-01 10:00:00,11.89,11.99,11.88,11.92
2022-01-01 11:00:00,11.92,12.1,11.92,11.99
2022-01-01 12:00:00,11.99,12.1,11.98,12.05
2022-01-01 13:00:00,12.04,12.05,12.01,12.03
2022-01-01 14:00:00,12.03,12.04,12.02,12.04
2022-01-01 15:00:00,12.04,12.09,12.0,12.06
2022-01-01 16:00:00,12.06,12.09,11.96,11.97
2022-01-01 17:00:00,11.98,12.02,11.95,11.99
2022-01-01 18:00:00,11.99,12.05,11.97,12.04
2022-01-01 19:00:00,12.05,12.07,11.97,12.02
2022-01-01 20:00:00,12.02,12.02,11.95,11.95
2022-01-01 21:00:00,11.96,12.03,11.95,11.97
2022-01-01 22:00:00,11.97,11.98,11.93,11.96
2022-01-01 23:00:00,11.96,11.97,11.8,11.84
2022-01-02 00:00:00,11.84,11.9,11.83,11.9
2022-01-02 01:00:00,11.88,11.91,11.87,11.9
2022-01-02 02:00:00,11.89,11.92,11.88,11.91
2022-01-02 03:00:00,11.9,11.94,11.86,11.93
2022-01-02 04:00:00,11.92,11.97,11.91,11.93
2022-01-02 05:00:00,11.92,11.95,11.9,11.9
2022-01-02 06:00:00,11.92,12.01,11.91,12.0
2022-01-02 07:00:00,12.0,12.03,11.94,11.99
2022-01-02 08:00:00,12.0,12.04,11.98,12.0
2022-01-02 09:00:00,12.0,12.04,11.98,12.01
2022-01-02 10:00:00,12.02,12.6,12.01,12.49
2022-01-02 11:00:00,12.48,12.52,12.36,12.49
2022-01-02 12:00:00,12.49,12.56,12.35,12.37
2022-01-02 13:00:00,12.36,12.37,12.14,12.28
2022-01-02 14:00:00,12.28,12.32,12.23,12.31
2022-01-02 15:00:00,12.3,12.35,12.3,12.32
2022-01-02 16:00:00,12.32,12.35,12.31,12.32
2022-01-02 17:00:00,12.32,12.36,12.3,12.36
2022-01-02 18:00:00,12.36,12.38,12.34,12.34
2022-01-02 19:00:00,12.34,12.34,12.24,12.24
2022-01-02 20:00:00,12.23,12.26,12.21,12.23
2022-01-02 21:00:00,12.23,12.23,12.15,12.15
2022-01-02 22:00:00,12.15,12.3,12.12,12.17
2022-01-02 23:00:00,12.17,12.25,12.17,12.2
2022-01-03 00:00:00,12.2,12.28,12.19,12.26
2022-01-03 01:00:00,12.26,12.27,12.21,12.22
2022-01-03 02:00:00,12.21,12.25,12.18,12.25
2022-01-03 03:00:00,12.26,12.3,12.21,12.22
2022-01-03 04:00:00,12.23,12.32,12.17,12.3
2022-01-03 05:00:00,12.3,12.35,12.28,12.34
2022-01-03 06:00:00,12.34,12.41,12.34,12.37
2022-01-03 07:00:00,12.37,12.48,12.33,12.35
2022-01-03 08:00:00,12.34,12.58,12.34,12.45
2022-01-03 09:00:00,12.45,12.48,12.32,12.33
2022-01-03 10:00:00,12.34,12.37,12.24,12.3
2022-01-03 11:00:00,12.28,12.3,12.13,12.17
2022-01-03 12:00:00,12.16,12.23,12.13,12.13
2022-01-03 13:00:00,12.14,12.22,12.13,12.15
2022-01-03 14:00:00,12.15,12.18,12.09,12.09
2022-01-03 15:00:00,12.09,12.1,12.01,12.05
2022-01-03 16:00:00,12.05,12.12,12.02,12.06
2022-01-03 17:00:00,12.07,12.16,12.05,12.14
2022-01-03 18:00:00,12.14,12.17,12.12,12.13
2022-01-03 19:00:00,12.15,12.17,12.05,12.07
2022-01-03 20:00:00,12.07,12.11,12.01,12.03
2022-01-03 21:00:00,12.02,12.05,11.92,11.98
2022-01-03 22:00:00,11.98,12.07,11.95,12.05
2022-01-03 23:00:00,12.05,12.06,11.87,11.9
2022-01-04 00:00:00,11.89,11.95,11.88,11.92
2022-01-04 01:00:00,11.92,11.99,11.9,11.97
2022-01-04 02:00:00,11.97,12.0,11.95,11.98
