datetime,CELOBUSD_open,CELOBUSD_high,CELOBUSD_low,CELOBUSD_close
2022-01-01 00:00:00,5.055,5.169,5.043,5.114
2022-01-01 01:00:00,5.107,5.163,5.086,5.087
2022-01-01 02:00:00,5.085,5.2,5.063,5.173
2022-01-01 03:00:00,5.167,5.167,5.071,5.108
2022-01-01 04:00:00,5.112,5.112,5.006,5.044
2022-01-01 05:00:00,5.053,5.089,5.005,5.089
2022-01-01 06:00:00,5.09,5.245,5.076,5.12
2022-01-01 07:00:00,5.137,5.148,5.092,5.097
2022-01-01 08:00:00,5.1,5.116,5.034,5.085
2022-01-01 09:00:00,5.084,5.136,5.071,5.136
2022-01-01 10:00:00,5.137,5.19,5.111,5.128
2022-01-01 11:00:00,5.117,5.143,5.064,5.074
2022-01-01 12:00:00,5.079,5.123,5.063,5.111
2022-01-01 13:00:00,5.111,5.197,5.097,5.121
2022-01-01 14:00:00,5.121,5.142,5.078,5.078
2022-01-01 15:00:00,5.08,5.09,5.053,5.053
2022-01-01 16:00:00,5.064,5.076,5.048,5.048
2022-01-01 17:00:00,5.048,5.14,5.035,5.088
2022-01-01 18:00:00,5.094,5.136,5.063,5.136
2022-01-01 19:00:00,5.132,5.132,5.07,5.116
2022-01-01 20:00:00,5.116,5.201,5.105,5.199
2022-01-01 21:00:00,5.2,5.394,5.198,5.37
2022-01-01 22:00:00,5.372,5.398,5.286,5.286
2022-01-01 23:00:00,5.299,5.299,5.128,5.209
2022-01-02 00:00:00,5.213,5.274,5.197,5.261
2022-01-02 01:00:00,5.26,5.284,5.226,5.248
2022-01-02 02:00:00,5.254,5.272,5.178,5.209
2022-01-02 03:00:00,5.208,5.225,5.174,5.222
2022-01-02 04:00:00,5.223,5.271,5.211,5.244
2022-01-02 05:00:00,5.235,5.25,5.202,5.22
2022-01-02 06:00:00,5.218,5.247,5.182,5.182
2022-01-02 07:00:00,5.192,5.233,5.152,5.204
2022-01-02 08:00:00,5.201,5.201,5.15,5.15
2022-01-02 09:00:00,5.149,5.151,5.101,5.149
2022-01-02 10:00:00,5.133,5.179,5.098,5.169
2022-01-02 11:00:00,5.158,5.205,5.158,5.197
2022-01-02 12:00:00,5.197,5.212,5.132,5.148
2022-01-02 13:00:00,5.148,5.148,5.045,5.12
2022-01-02 14:00:00,5.108,5.125,5.068,5.073
2022-01-02 15:00:00,5.07,5.093,5.062,5.091
2022-01-02 16:00:00,5.079,5.104,5.062,5.089
2022-01-02 17:00:00,5.084,5.119,5.084,5.11
2022-01-02 18:00:00,5.114,5.131,5.084,5.084
2022-01-02 19:00:00,5.085,5.103,5.06,5.06
2022-01-02 20:00:00,5.063,5.12,5.052,5.12
2022-01-02 21:00:00,5.118,5.118,4.99,5.022
2022-01-02 22:00:00,5.024,5.044,4.918,4.945
2022-01-02 23:00:00,4.935,4.964,4.902,4.911
2022-01-03 00:00:00,4.919,4.967,4.911,4.95
2022-01-03 01:00:00,4.952,4.952,4.931,4.946
2022-01-03 02:00:00,4.94,4.959,4.94,4.953
2022-01-03 03:00:00,4.952,4.952,4.917,4.945
