datetime,CITYBUSD_open,CITYBUSD_high,CITYBUSD_low,CITYBUSD_close
2022-01-01 00:00:00,10.17,10.23,10.17,10.22
2022-01-01 01:00:00,10.23,10.24,10.19,10.2
2022-01-01 02:00:00,10.22,10.22,10.18,10.2
2022-01-01 03:00:00,10.19,10.21,10.19,10.21
2022-01-01 04:00:00,10.2,10.2,10.2,10.2
2022-01-01 05:00:00,10.22,10.24,10.22,10.24
2022-01-01 06:00:00,10.21,10.31,10.2,10.25
2022-01-01 07:00:00,10.26,10.3,10.25,10.29
2022-01-01 08:00:00,10.3,10.3,10.2,10.2
2022-01-01 09:00:00,10.22,10.4,10.17,10.23
2022-01-01 10:00:00,10.19,10.41,10.18,10.31
2022-01-01 11:00:00,10.27,10.3,10.25,10.25
2022-01-01 12:00:00,10.25,10.33,10.25,10.33
2022-01-01 13:00:00,10.32,10.39,10.29,10.33
2022-01-01 14:00:00,10.36,10.36,10.3,10.3
2022-01-01 15:00:00,10.34,10.38,10.34,10.37
2022-01-01 16:00:00,10.33,10.33,10.32,10.33
2022-01-01 17:00:00,10.32,10.37,10.3,10.3
2022-01-01 18:00:00,10.36,10.38,10.34,10.38
2022-01-01 19:00:00,10.38,10.44,10.38,10.41
2022-01-01 20:00:00,10.41,10.59,10.41,10.52
2022-01-01 21:00:00,10.52,10.52,10.48,10.48
2022-01-01 22:00:00,10.53,10.56,10.51,10.56
2022-01-01 23:00:00,10.57,10.66,10.55,10.55
2022-01-02 00:00:00,10.53,10.56,10.53,10.53
2022-01-02 01:00:00,10.53,10.56,10.52,10.56
2022-01-02 02:00:00,10.53,10.56,10.53,10.55
2022-01-02 03:00:00,10.51,10.51,10.46,10.49
2022-01-02 04:00:00,10.49,10.91,10.49,10.57
2022-01-02 05:00:00,10.55,10.57,10.53,10.55
2022-01-02 06:00:00,10.54,10.57,10.53,10.53
2022-01-02 07:00:00,10.53,10.66,10.5,10.53
2022-01-02 08:00:00,10.59,10.59,10.53,10.53
2022-01-02 09:00:00,10.5,10.53,10.5,10.51
2022-01-02 10:00:00,10.51,10.68,10.51,10.62
2022-01-02 11:00:00,10.58,10.72,10.58,10.64
2022-01-02 12:00:00,10.64,10.71,10.61,10.61
2022-01-02 13:00:00,10.62,10.62,10.5,10.53
2022-01-02 14:00:00,10.49,10.59,10.49,10.53
2022-01-02 15:00:00,10.5,10.5,10.44,10.47
2022-01-02 16:00:00,10.47,10.5,10.47,10.5
2022-01-02 17:00:00,10.51,10.55,10.48,10.48
2022-01-02 18:00:00,10.48,10.5,10.47,10.5
2022-01-02 19:00:00,10.52,10.52,10.5,10.5
2022-01-02 20:00:00,10.5,10.54,10.5,10.54
2022-01-02 21:00:00,10.5,10.5,10.47,10.47
2022-01-02 22:00:00,10.48,10.48,10.46,10.46
2022-01-02 23:00:00,10.47,10.49,10.46,10.46
