datetime,CLVBUSD_open,CLVBUSD_high,CLVBUSD_low,CLVBUSD_close
2022-01-01 00:00:00,0.707,0.721,0.705,0.711
2022-01-01 01:00:00,0.714,0.714,0.707,0.707
2022-01-01 02:00:00,0.706,0.714,0.706,0.713
2022-01-01 03:00:00,0.714,0.718,0.713,0.713
2022-01-01 04:00:00,0.713,0.716,0.71,0.711
2022-01-01 05:00:00,0.713,0.715,0.704,0.706
2022-01-01 06:00:00,0.708,0.715,0.707,0.708
2022-01-01 07:00:00,0.709,0.717,0.707,0.714
2022-01-01 08:00:00,0.714,0.717,0.713,0.713
2022-01-01 09:00:00,0.712,0.714,0.711,0.713
2022-01-01 10:00:00,0.715,0.719,0.714,0.715
2022-01-01 11:00:00,0.716,0.719,0.716,0.717
2022-01-01 12:00:00,0.719,0.725,0.715,0.718
2022-01-01 13:00:00,0.718,0.727,0.718,0.722
2022-01-01 14:00:00,0.724,0.73,0.722,0.725
2022-01-01 15:00:00,0.722,0.729,0.721,0.726
2022-01-01 16:00:00,0.726,0.732,0.725,0.729
2022-01-01 17:00:00,0.732,0.765,0.732,0.747
2022-01-01 18:00:00,0.745,0.758,0.744,0.758
2022-01-01 19:00:00,0.758,0.767,0.75,0.75
2022-01-01 20:00:00,0.75,0.75,0.745,0.748
2022-01-01 21:00:00,0.745,0.747,0.739,0.742
2022-01-01 22:00:00,0.74,0.745,0.739,0.745
2022-01-01 23:00:00,0.742,0.742,0.73,0.73
2022-01-02 00:00:00,0.733,0.741,0.733,0.739
2022-01-02 01:00:00,0.738,0.739,0.736,0.739
2022-01-02 02:00:00,0.736,0.738,0.735,0.736
2022-01-02 03:00:00,0.736,0.738,0.732,0.736
2022-01-02 04:00:00,0.736,0.743,0.733,0.735
2022-01-02 05:00:00,0.735,0.737,0.735,0.737
2022-01-02 06:00:00,0.735,0.737,0.734,0.734
2022-01-02 07:00:00,0.735,0.737,0.733,0.735
2022-01-02 08:00:00,0.735,0.736,0.732,0.736
2022-01-02 09:00:00,0.735,0.735,0.732,0.734
2022-01-02 10:00:00,0.733,0.738,0.733,0.735
2022-01-02 11:00:00,0.735,0.753,0.733,0.748
2022-01-02 12:00:00,0.748,0.75,0.738,0.738
2022-01-02 13:00:00,0.738,0.738,0.732,0.734
2022-01-02 14:00:00,0.733,0.737,0.731,0.733
2022-01-02 15:00:00,0.737,0.738,0.733,0.736
2022-01-02 16:00:00,0.735,0.746,0.735,0.745
2022-01-02 17:00:00,0.744,0.744,0.737,0.74
2022-01-02 18:00:00,0.743,0.744,0.74,0.742
2022-01-02 19:00:00,0.743,0.743,0.732,0.732
2022-01-02 20:00:00,0.732,0.736,0.732,0.733
2022-01-02 21:00:00,0.732,0.733,0.731,0.733
2022-01-02 22:00:00,0.733,0.733,0.722,0.722
2022-01-02 23:00:00,0.723,0.725,0.723,0.724
2022-01-03 00:00:00,0.722,0.734,0.717,0.729
2022-01-03 01:00:00,0.728,0.728,0.724,0.725
2022-01-03 02:00:00,0.724,0.726,0.72,0.725
2022-01-03 03:00:00,0.725,0.725,0.72,0.725
2022-01-03 04:00:00,0.725,0.727,0.715,0.719
2022-01-03 05:00:00,0.719,0.726,0.719,0.726
2022-01-03 06:00:00,0.726,0.73,0.725,0.727
2022-01-03 07:00:00,0.726,0.731,0.724,0.724
2022-01-03 08:00:00,0.724,0.731,0.724,0.729
