datetime,COCOSBUSD_open,COCOSBUSD_high,COCOSBUSD_low,COCOSBUSD_close
2022-01-01 00:00:00,2.033,2.0644,2.0315,2.0533
2022-01-01 01:00:00,2.0515,2.0677,2.0514,2.0518
2022-01-01 02:00:00,2.0514,2.0725,2.0514,2.0627
2022-01-01 03:00:00,2.0621,2.0724,2.0482,2.0505
2022-01-01 04:00:00,2.0487,2.0623,2.0442,2.0449
2022-01-01 05:00:00,2.0518,2.0565,2.0358,2.0358
2022-01-01 06:00:00,2.0411,2.0448,2.0271,2.0271
2022-01-01 07:00:00,2.036,2.0439,2.0281,2.0308
2022-01-01 08:00:00,2.0357,2.0401,2.0249,2.0297
2022-01-01 09:00:00,2.027,2.0313,2.0212,2.0289
2022-01-01 10:00:00,2.0288,2.0503,2.0271,2.0418
2022-01-01 11:00:00,2.0439,2.0735,2.0439,2.0463
2022-01-01 12:00:00,2.0527,2.0917,2.0465,2.0851
2022-01-01 13:00:00,2.0813,2.1366,2.0755,2.1126
2022-01-01 14:00:00,2.1147,2.1317,2.0879,2.0907
2022-01-01 15:00:00,2.0961,2.0967,2.0813,2.0939
2022-01-01 16:00:00,2.0898,2.0967,2.0663,2.0724
2022-01-01 17:00:00,2.0722,2.0807,2.0647,2.0743
2022-01-01 18:00:00,2.0761,2.1159,2.0688,2.0861
2022-01-01 19:00:00,2.0864,2.1146,2.0832,2.0981
2022-01-01 20:00:00,2.0947,2.1181,2.0869,2.0942
2022-01-01 21:00:00,2.0999,2.1233,2.0879,2.1191
2022-01-01 22:00:00,2.1149,2.1149,2.0809,2.0809
2022-01-01 23:00:00,2.0809,2.092,2.0603,2.0603
2022-01-02 00:00:00,2.0604,2.0845,2.0575,2.0809
2022-01-02 01:00:00,2.0809,2.0809,2.0679,2.0807
2022-01-02 02:00:00,2.0755,2.0929,2.0755,2.0864
2022-01-02 03:00:00,2.0823,2.0834,2.0698,2.0734
2022-01-02 04:00:00,2.0763,2.1092,2.0746,2.1
2022-01-02 05:00:00,2.1,2.1107,2.0892,2.1045
2022-01-02 06:00:00,2.0976,2.1052,2.0885,2.1052
2022-01-02 07:00:00,2.1021,2.1021,2.0869,2.0909
2022-01-02 08:00:00,2.0888,2.0957,2.0718,2.0718
