datetime,COMPUSD_open,COMPUSD_high,COMPUSD_low,COMPUSD_close
2022-01-01 00:00:00,200.08,203.07,200.08,202.91
2022-01-01 01:00:00,203.14,204.09,201.7,202.0
2022-01-01 02:00:00,202.09,203.0,201.91,202.52
2022-01-01 03:00:00,202.51,203.02,201.69,202.27
2022-01-01 04:00:00,202.34,202.59,198.89,199.7
2022-01-01 05:00:00,199.85,202.59,198.63,200.52
2022-01-01 06:00:00,200.63,200.8,199.3,199.67
2022-01-01 07:00:00,199.53,200.33,198.39,199.94
2022-01-01 08:00:00,199.82,200.72,199.32,200.32
2022-01-01 09:00:00,200.4,200.4,198.52,199.74
2022-01-01 10:00:00,199.83,200.35,197.27,199.08
2022-01-01 11:00:00,199.05,199.57,198.2,198.2
2022-01-01 12:00:00,198.4,200.43,198.19,200.13
2022-01-01 13:00:00,200.43,200.71,198.7,199.65
2022-01-01 14:00:00,199.67,200.35,198.97,199.3
2022-01-01 15:00:00,199.21,201.75,199.21,200.62
2022-01-01 16:00:00,200.89,208.7,200.8,202.24
2022-01-01 17:00:00,202.29,205.43,201.88,205.0
2022-01-01 18:00:00,205.04,206.35,203.91,204.78
2022-01-01 19:00:00,204.83,206.57,204.18,204.44
2022-01-01 20:00:00,204.55,209.5,204.43,206.05
2022-01-01 21:00:00,206.26,208.18,205.33,205.91
2022-01-01 22:00:00,206.22,207.04,205.29,206.71
2022-01-01 23:00:00,206.68,213.12,206.08,210.61
2022-01-02 00:00:00,210.6,210.6,206.32,207.46
2022-01-02 01:00:00,207.39,207.69,205.85,206.91
2022-01-02 02:00:00,206.92,208.28,205.86,206.06
2022-01-02 03:00:00,206.06,206.34,205.53,205.94
2022-01-02 04:00:00,205.94,206.74,202.34,202.94
2022-01-02 05:00:00,202.76,205.2,202.76,204.73
2022-01-02 06:00:00,204.77,205.99,204.37,204.98
2022-01-02 07:00:00,204.62,205.2,204.23,204.54
2022-01-02 08:00:00,204.58,206.57,203.35,206.57
2022-01-02 09:00:00,206.61,207.99,205.7,206.15
2022-01-02 10:00:00,206.09,206.53,205.06,205.32
2022-01-02 11:00:00,205.48,207.18,205.47,207.12
2022-01-02 12:00:00,207.08,209.51,205.55,208.56
2022-01-02 13:00:00,208.57,209.5,207.79,208.41
2022-01-02 14:00:00,208.5,209.12,207.32,208.83
2022-01-02 15:00:00,208.86,210.03,208.12,208.85
2022-01-02 16:00:00,208.88,210.53,208.11,209.92
2022-01-02 17:00:00,210.03,210.86,208.6,208.6
2022-01-02 18:00:00,208.55,211.03,204.8,208.44
2022-01-02 19:00:00,208.49,210.2,206.9,207.83
2022-01-02 20:00:00,207.6,209.72,206.89,209.5
2022-01-02 21:00:00,209.41,211.21,208.55,209.86
2022-01-02 22:00:00,209.99,212.0,209.99,211.84
2022-01-02 23:00:00,211.77,211.77,210.37,210.37
2022-01-03 00:00:00,210.37,210.41,208.24,208.24
2022-01-03 01:00:00,208.24,208.68,206.93,208.68
2022-01-03 02:00:00,208.59,209.59,207.18,208.66
2022-01-03 03:00:00,208.72,208.93,205.61,206.53
2022-01-03 04:00:00,206.6,208.36,206.41,207.37
2022-01-03 05:00:00,207.32,210.92,207.17,210.51
2022-01-03 06:00:00,210.18,210.68,209.0,209.24
2022-01-03 07:00:00,209.16,212.5,208.72,211.83
2022-01-03 08:00:00,211.78,217.52,211.78,215.55
2022-01-03 09:00:00,215.97,219.62,215.4,219.29
2022-01-03 10:00:00,219.65,222.2,218.46,221.21
2022-01-03 11:00:00,221.28,224.51,221.09,222.9
2022-01-03 12:00:00,222.88,224.65,220.57,223.96
2022-01-03 13:00:00,223.98,225.25,221.23,223.61
2022-01-03 14:00:00,223.48,224.09,221.37,222.12
2022-01-03 15:00:00,222.19,223.11,217.71,218.58
2022-01-03 16:00:00,218.65,219.34,212.89,213.71
2022-01-03 17:00:00,213.67,220.97,213.67,218.14
2022-01-03 18:00:00,218.23,219.56,215.47,216.06
2022-01-03 19:00:00,215.99,216.81,213.53,213.53
2022-01-03 20:00:00,213.53,214.06,207.95,209.78
2022-01-03 21:00:00,209.8,218.65,208.68,216.6
2022-01-03 22:00:00,216.66,225.08,215.78,221.74
2022-01-03 23:00:00,221.79,222.86,220.0,220.8
2022-01-04 00:00:00,220.94,224.1,218.98,219.7
2022-01-04 01:00:00,219.69,221.78,216.81,217.26
2022-01-04 02:00:00,217.54,218.45,215.4,216.6
2022-01-04 03:00:00,216.64,221.08,215.1,219.46
2022-01-04 04:00:00,219.33,220.6,215.84,216.27
2022-01-04 05:00:00,216.21,219.15,213.96,218.94
2022-01-04 06:00:00,218.7,223.54,217.68,222.35
2022-01-04 07:00:00,222.29,226.54,222.08,226.44
2022-01-04 08:00:00,226.44,230.77,225.26,229.32
2022-01-04 09:00:00,229.2,230.04,223.7,224.36
2022-01-04 10:00:00,224.88,228.96,223.16,228.54
