datetime,CREAMBUSD_open,CREAMBUSD_high,CREAMBUSD_low,CREAMBUSD_close
2022-01-01 00:00:00,37.5,37.9,37.5,37.5
2022-01-01 01:00:00,37.5,37.9,37.4,37.4
2022-01-01 02:00:00,37.4,37.5,37.0,37.3
2022-01-01 03:00:00,37.3,37.4,36.7,36.8
2022-01-01 04:00:00,36.8,36.9,36.4,36.9
2022-01-01 05:00:00,36.8,36.9,35.9,36.2
2022-01-01 06:00:00,36.3,36.6,35.3,35.9
2022-01-01 07:00:00,35.9,36.2,35.6,35.8
2022-01-01 08:00:00,35.9,36.4,35.5,35.7
2022-01-01 09:00:00,35.7,36.0,35.6,35.8
2022-01-01 10:00:00,35.7,36.4,35.7,36.2
2022-01-01 11:00:00,36.2,36.3,35.6,36.1
2022-01-01 12:00:00,36.1,36.3,36.0,36.3
2022-01-01 13:00:00,36.1,36.8,36.0,36.8
2022-01-01 14:00:00,36.8,36.8,35.8,36.1
2022-01-01 15:00:00,36.2,36.4,35.9,36.3
2022-01-01 16:00:00,36.4,36.4,35.2,35.8
2022-01-01 17:00:00,35.9,35.9,35.6,35.8
2022-01-01 18:00:00,35.8,36.1,35.7,36.1
2022-01-01 19:00:00,36.1,36.3,36.0,36.2
2022-01-01 20:00:00,36.2,36.2,36.0,36.0
2022-01-01 21:00:00,36.0,36.2,35.9,36.1
2022-01-01 22:00:00,36.1,36.1,36.0,36.1
2022-01-01 23:00:00,36.1,36.1,36.0,36.0
2022-01-02 00:00:00,36.0,36.1,35.9,36.0
2022-01-02 01:00:00,35.9,36.0,35.7,35.8
2022-01-02 02:00:00,35.9,36.5,35.7,36.3
2022-01-02 03:00:00,36.4,36.4,35.8,36.0
2022-01-02 04:00:00,36.0,36.1,35.9,35.9
2022-01-02 05:00:00,35.9,35.9,35.8,35.8
2022-01-02 06:00:00,35.8,36.0,35.8,35.8
2022-01-02 07:00:00,35.8,35.9,35.3,35.5
2022-01-02 08:00:00,35.5,36.1,35.4,36.1
2022-01-02 09:00:00,36.1,36.1,35.9,36.0
2022-01-02 10:00:00,35.9,36.0,35.8,35.9
2022-01-02 11:00:00,35.9,36.5,35.8,36.4
2022-01-02 12:00:00,36.5,37.4,36.5,36.6
2022-01-02 13:00:00,36.6,36.7,35.5,35.7
2022-01-02 14:00:00,35.6,35.9,35.5,35.9
2022-01-02 15:00:00,35.9,36.3,35.7,36.2
2022-01-02 16:00:00,36.3,36.5,36.1,36.5
2022-01-02 17:00:00,36.3,36.6,36.0,36.1
2022-01-02 18:00:00,36.0,36.4,36.0,36.2
2022-01-02 19:00:00,36.3,36.6,36.2,36.6
2022-01-02 20:00:00,36.6,36.7,36.0,36.2
2022-01-02 21:00:00,36.3,36.8,36.1,36.7
2022-01-02 22:00:00,36.7,36.9,36.6,36.8
2022-01-02 23:00:00,36.9,36.9,36.4,36.8
2022-01-03 00:00:00,36.7,37.9,36.6,37.7
2022-01-03 01:00:00,37.7,37.9,36.7,36.9
2022-01-03 02:00:00,37.0,37.2,36.7,36.8
2022-01-03 03:00:00,36.9,36.9,36.6,36.7
2022-01-03 04:00:00,36.7,38.4,36.7,38.4
2022-01-03 05:00:00,38.4,39.0,38.3,38.8
2022-01-03 06:00:00,38.8,38.8,37.6,37.9
2022-01-03 07:00:00,38.0,38.4,37.9,38.1
2022-01-03 08:00:00,38.2,39.8,37.8,38.6
2022-01-03 09:00:00,38.6,39.1,38.1,38.1
2022-01-03 10:00:00,38.1,38.2,37.1,37.3
2022-01-03 11:00:00,37.3,37.3,36.4,37.1
2022-01-03 12:00:00,37.2,37.4,37.2,37.3
2022-01-03 13:00:00,37.3,37.5,37.1,37.2
2022-01-03 14:00:00,37.1,37.9,37.0,37.5
2022-01-03 15:00:00,37.6,37.6,36.6,36.8
2022-01-03 16:00:00,36.8,37.3,36.8,37.3
2022-01-03 17:00:00,37.3,37.6,37.1,37.5
2022-01-03 18:00:00,37.5,38.0,37.5,37.9
2022-01-03 19:00:00,37.9,38.3,37.6,37.7
2022-01-03 20:00:00,37.6,37.6,36.8,37.0
2022-01-03 21:00:00,37.1,37.5,37.0,37.5
2022-01-03 22:00:00,37.4,37.5,36.8,37.4
2022-01-03 23:00:00,37.3,37.4,37.3,37.4
2022-01-04 00:00:00,37.3,37.4,37.2,37.2
2022-01-04 01:00:00,37.3,37.6,37.2,37.6
2022-01-04 02:00:00,37.6,37.7,37.2,37.3
