datetime,CROUSD_open,CROUSD_high,CROUSD_low,CROUSD_close
2022-01-01 00:00:00,0.5563,0.5637,0.5561,0.5631
2022-01-01 01:00:00,0.5631,0.5687,0.5617,0.5665
2022-01-01 02:00:00,0.5667,0.5678,0.5626,0.564
2022-01-01 03:00:00,0.5639,0.566,0.5623,0.5631
2022-01-01 04:00:00,0.5631,0.565,0.5611,0.5636
2022-01-01 05:00:00,0.5636,0.5739,0.5631,0.5692
2022-01-01 06:00:00,0.569,0.5711,0.5671,0.5682
2022-01-01 07:00:00,0.5682,0.5718,0.567,0.5704
2022-01-01 08:00:00,0.5704,0.5734,0.5687,0.5697
2022-01-01 09:00:00,0.5698,0.5709,0.5662,0.5694
2022-01-01 10:00:00,0.569,0.57,0.5626,0.5639
2022-01-01 11:00:00,0.5639,0.566,0.5617,0.5617
2022-01-01 12:00:00,0.562,0.5695,0.5617,0.5687
2022-01-01 13:00:00,0.5685,0.5709,0.5667,0.5703
2022-01-01 14:00:00,0.5703,0.5706,0.5667,0.5668
2022-01-01 15:00:00,0.5668,0.5724,0.566,0.5697
2022-01-01 16:00:00,0.57,0.5729,0.5684,0.5693
2022-01-01 17:00:00,0.5694,0.579,0.5689,0.5786
2022-01-01 18:00:00,0.5785,0.5797,0.5746,0.5783
2022-01-01 19:00:00,0.5786,0.584,0.5768,0.5787
2022-01-01 20:00:00,0.5786,0.5819,0.577,0.5813
2022-01-01 21:00:00,0.5813,0.5838,0.5788,0.5806
2022-01-01 22:00:00,0.5806,0.5816,0.5781,0.5813
2022-01-01 23:00:00,0.5813,0.5864,0.5794,0.5853
2022-01-02 00:00:00,0.5854,0.5859,0.5811,0.5821
2022-01-02 01:00:00,0.5822,0.5829,0.5743,0.5752
2022-01-02 02:00:00,0.5751,0.5783,0.5723,0.5772
2022-01-02 03:00:00,0.577,0.5819,0.577,0.5809
2022-01-02 04:00:00,0.5809,0.5822,0.574,0.5768
2022-01-02 05:00:00,0.5765,0.5815,0.5754,0.5813
2022-01-02 06:00:00,0.5813,0.5863,0.58,0.5854
2022-01-02 07:00:00,0.5854,0.5875,0.5835,0.5859
2022-01-02 08:00:00,0.5859,0.5862,0.5805,0.5852
2022-01-02 09:00:00,0.5854,0.5881,0.5842,0.5863
2022-01-02 10:00:00,0.586,0.5879,0.5833,0.5847
2022-01-02 11:00:00,0.5844,0.5876,0.5842,0.5846
2022-01-02 12:00:00,0.5846,0.5868,0.5816,0.5848
2022-01-02 13:00:00,0.5851,0.5856,0.582,0.5846
2022-01-02 14:00:00,0.5844,0.5856,0.5802,0.5809
2022-01-02 15:00:00,0.581,0.5841,0.5799,0.5834
2022-01-02 16:00:00,0.5835,0.588,0.583,0.588
2022-01-02 17:00:00,0.5879,0.59,0.5841,0.5862
2022-01-02 18:00:00,0.5862,0.5862,0.5742,0.5782
2022-01-02 19:00:00,0.5782,0.5803,0.5752,0.5768
2022-01-02 20:00:00,0.5768,0.5795,0.5754,0.5791
2022-01-02 21:00:00,0.5789,0.5816,0.5778,0.5793
2022-01-02 22:00:00,0.5793,0.5863,0.5792,0.5851
2022-01-02 23:00:00,0.5854,0.5885,0.585,0.5872
2022-01-03 00:00:00,0.5871,0.5875,0.5821,0.5821
2022-01-03 01:00:00,0.582,0.5834,0.5784,0.5806
2022-01-03 02:00:00,0.5804,0.5805,0.5775,0.5788
2022-01-03 03:00:00,0.5788,0.5796,0.575,0.5756
2022-01-03 04:00:00,0.5755,0.5758,0.5732,0.5745
2022-01-03 05:00:00,0.5745,0.579,0.5733,0.5787
2022-01-03 06:00:00,0.5787,0.5795,0.5767,0.5777
2022-01-03 07:00:00,0.5777,0.5803,0.5763,0.5795
2022-01-03 08:00:00,0.5794,0.5806,0.5776,0.5797
2022-01-03 09:00:00,0.5796,0.5808,0.5771,0.5793
2022-01-03 10:00:00,0.5795,0.5827,0.5792,0.5821
2022-01-03 11:00:00,0.582,0.586,0.5816,0.5827
2022-01-03 12:00:00,0.583,0.5854,0.5803,0.5808
2022-01-03 13:00:00,0.5808,0.5846,0.5798,0.5811
2022-01-03 14:00:00,0.5811,0.5832,0.577,0.5785
2022-01-03 15:00:00,0.5786,0.5806,0.5738,0.5746
2022-01-03 16:00:00,0.5746,0.5746,0.5574,0.5653
2022-01-03 17:00:00,0.5651,0.5717,0.5645,0.5696
2022-01-03 18:00:00,0.5695,0.5717,0.5675,0.5683
2022-01-03 19:00:00,0.5685,0.5714,0.5675,0.5705
2022-01-03 20:00:00,0.5705,0.5709,0.5569,0.5597
2022-01-03 21:00:00,0.5597,0.5627,0.5579,0.5604
2022-01-03 22:00:00,0.5604,0.5679,0.56,0.5651
2022-01-03 23:00:00,0.5651,0.5695,0.565,0.5668
2022-01-04 00:00:00,0.5671,0.5677,0.5605,0.5615
2022-01-04 01:00:00,0.5615,0.5634,0.5567,0.5567
2022-01-04 02:00:00,0.5566,0.5598,0.5553,0.5564
2022-01-04 03:00:00,0.5564,0.5624,0.5558,0.5615
2022-01-04 04:00:00,0.5612,0.563,0.5561,0.5599
2022-01-04 05:00:00,0.5601,0.5606,0.5552,0.5588
2022-01-04 06:00:00,0.5587,0.5603,0.5572,0.559
2022-01-04 07:00:00,0.5589,0.5616,0.5582,0.5616
2022-01-04 08:00:00,0.5616,0.5634,0.5596,0.5609
2022-01-04 09:00:00,0.5608,0.5618,0.5572,0.558
2022-01-04 10:00:00,0.5582,0.5622,0.5579,0.5599
2022-01-04 11:00:00,0.5599,0.5644,0.5599,0.5643
2022-01-04 12:00:00,0.5643,0.5652,0.5605,0.5639
2022-01-04 13:00:00,0.5637,0.5704,0.5597,0.5693
2022-01-04 14:00:00,0.5693,0.5754,0.5664,0.5728
2022-01-04 15:00:00,0.5729,0.5756,0.5663,0.5674
2022-01-04 16:00:00,0.5675,0.5675,0.5631,0.5635
2022-01-04 17:00:00,0.5635,0.5651,0.5592,0.5592
2022-01-04 18:00:00,0.5591,0.5612,0.5464,0.5483
2022-01-04 19:00:00,0.5482,0.5567,0.5462,0.5514
2022-01-04 20:00:00,0.5516,0.5569,0.55,0.555
2022-01-04 21:00:00,0.555,0.5553,0.5517,0.5538
2022-01-04 22:00:00,0.5538,0.5551,0.5503,0.5544
2022-01-04 23:00:00,0.5544,0.5547,0.5502,0.5512
2022-01-05 00:00:00,0.5512,0.5564,0.5496,0.5557
2022-01-05 01:00:00,0.5557,0.5573,0.5533,0.5536
2022-01-05 02:00:00,0.5536,0.5584,0.5536,0.5554
2022-01-05 03:00:00,0.5554,0.5597,0.5549,0.5585
2022-01-05 04:00:00,0.5585,0.5587,0.5525,0.5547
2022-01-05 05:00:00,0.5548,0.5552,0.551,0.5518
2022-01-05 06:00:00,0.5517,0.5561,0.5515,0.5557
2022-01-05 07:00:00,0.5557,0.5564,0.5533,0.5542
2022-01-05 08:00:00,0.5545,0.5559,0.5524,0.5553
2022-01-05 09:00:00,0.5552,0.5589,0.5542,0.5577
2022-01-05 10:00:00,0.5578,0.559,0.5537,0.5555
2022-01-05 11:00:00,0.5555,0.5557,0.5476,0.5498
2022-01-05 12:00:00,0.5498,0.5512,0.545,0.5494
2022-01-05 13:00:00,0.5492,0.5509,0.5473,0.55
2022-01-05 14:00:00,0.5503,0.5526,0.5463,0.5514
2022-01-05 15:00:00,0.5516,0.5529,0.547,0.5496
2022-01-05 16:00:00,0.5496,0.5502,0.5428,0.5434
2022-01-05 17:00:00,0.5434,0.5453,0.5327,0.5333
2022-01-05 18:00:00,0.5334,0.5366,0.5276,0.5304
2022-01-05 19:00:00,0.5304,0.5326,0.51,0.5113
2022-01-05 20:00:00,0.5116,0.5147,0.5023,0.5036
2022-01-05 21:00:00,0.5034,0.5102,0.4992,0.4995
2022-01-05 22:00:00,0.4995,0.502,0.481,0.4976
2022-01-05 23:00:00,0.4976,0.5071,0.4962,0.502
2022-01-06 00:00:00,0.5025,0.5097,0.4997,0.5077
2022-01-06 01:00:00,0.5083,0.5097,0.5006,0.5049
