datetime,CRVBUSD_open,CRVBUSD_high,CRVBUSD_low,CRVBUSD_close
2022-01-01 00:00:00,5.603,5.724,5.593,5.7
2022-01-01 01:00:00,5.698,5.779,5.681,5.71
2022-01-01 02:00:00,5.703,5.782,5.7,5.755
2022-01-01 03:00:00,5.755,5.808,5.741,5.808
2022-01-01 04:00:00,5.808,5.85,5.7,5.828
2022-01-01 05:00:00,5.82,6.05,5.777,5.91
2022-01-01 06:00:00,5.922,5.995,5.863,5.921
2022-01-01 07:00:00,5.926,5.956,5.88,5.92
2022-01-01 08:00:00,5.926,5.932,5.755,5.8
2022-01-01 09:00:00,5.806,5.876,5.725,5.768
2022-01-01 10:00:00,5.768,5.917,5.759,5.859
2022-01-01 11:00:00,5.852,6.19,5.851,6.149
2022-01-01 12:00:00,6.146,6.298,6.08,6.227
2022-01-01 13:00:00,6.236,6.3,6.183,6.236
2022-01-01 14:00:00,6.238,6.262,6.114,6.136
2022-01-01 15:00:00,6.142,6.254,6.11,6.18
2022-01-01 16:00:00,6.188,6.293,6.18,6.188
2022-01-01 17:00:00,6.188,6.228,6.1,6.178
2022-01-01 18:00:00,6.182,6.27,6.144,6.203
2022-01-01 19:00:00,6.2,6.222,6.052,6.088
2022-01-01 20:00:00,6.085,6.109,6.028,6.102
2022-01-01 21:00:00,6.104,6.203,6.088,6.197
2022-01-01 22:00:00,6.197,6.353,6.125,6.353
2022-01-01 23:00:00,6.354,6.457,6.155,6.202
2022-01-02 00:00:00,6.198,6.4,6.169,6.37
2022-01-02 01:00:00,6.368,6.419,6.284,6.344
2022-01-02 02:00:00,6.349,6.453,6.333,6.362
2022-01-02 03:00:00,6.368,6.418,6.247,6.285
2022-01-02 04:00:00,6.287,6.348,6.255,6.279
2022-01-02 05:00:00,6.277,6.28,6.157,6.206
2022-01-02 06:00:00,6.204,6.252,6.118,6.148
2022-01-02 07:00:00,6.141,6.211,6.089,6.133
2022-01-02 08:00:00,6.136,6.154,5.99,6.081
2022-01-02 09:00:00,6.075,6.079,5.95,6.0
2022-01-02 10:00:00,6.003,6.07,5.971,6.05
2022-01-02 11:00:00,6.045,6.199,6.04,6.118
2022-01-02 12:00:00,6.119,6.16,6.019,6.075
2022-01-02 13:00:00,6.072,6.077,5.91,5.978
2022-01-02 14:00:00,5.978,5.996,5.924,5.982
2022-01-02 15:00:00,5.984,6.009,5.918,5.963
2022-01-02 16:00:00,5.961,6.049,5.935,5.958
2022-01-02 17:00:00,5.956,6.059,5.954,6.032
2022-01-02 18:00:00,6.032,6.1,6.009,6.057
2022-01-02 19:00:00,6.045,6.046,5.928,5.944
2022-01-02 20:00:00,5.946,5.99,5.918,5.97
2022-01-02 21:00:00,5.967,5.982,5.76,5.812
2022-01-02 22:00:00,5.81,5.848,5.735,5.786
2022-01-02 23:00:00,5.785,5.849,5.768,5.808
2022-01-03 00:00:00,5.812,5.894,5.812,5.868
2022-01-03 01:00:00,5.869,5.87,5.806,5.836
2022-01-03 02:00:00,5.83,5.918,5.814,5.852
2022-01-03 03:00:00,5.853,5.914,5.851,5.88
2022-01-03 04:00:00,5.886,5.95,5.85,5.925
2022-01-03 05:00:00,5.924,6.256,5.92,6.247
2022-01-03 06:00:00,6.252,6.412,6.198,6.405
2022-01-03 07:00:00,6.405,6.464,6.331,6.394
2022-01-03 08:00:00,6.391,6.733,6.346,6.688
2022-01-03 09:00:00,6.688,6.688,6.47,6.496
2022-01-03 10:00:00,6.49,6.569,6.367,6.462
2022-01-03 11:00:00,6.455,6.5,6.226,6.301
2022-01-03 12:00:00,6.284,6.476,6.277,6.403
2022-01-03 13:00:00,6.397,6.441,6.286,6.306
2022-01-03 14:00:00,6.312,6.429,6.272,6.299
2022-01-03 15:00:00,6.297,6.385,6.143,6.243
2022-01-03 16:00:00,6.243,6.326,6.156,6.247
