datetime,CTKBUSD_open,CTKBUSD_high,CTKBUSD_low,CTKBUSD_close
2022-01-01 00:00:00,1.697,1.725,1.697,1.708
2022-01-01 01:00:00,1.709,1.718,1.703,1.703
2022-01-01 02:00:00,1.703,1.71,1.692,1.708
2022-01-01 03:00:00,1.71,1.721,1.71,1.71
2022-01-01 04:00:00,1.708,1.709,1.694,1.694
2022-01-01 05:00:00,1.699,1.701,1.674,1.691
2022-01-01 06:00:00,1.691,1.693,1.675,1.677
2022-01-01 07:00:00,1.679,1.688,1.678,1.685
2022-01-01 08:00:00,1.688,1.706,1.678,1.683
2022-01-01 09:00:00,1.685,1.714,1.685,1.7
2022-01-01 10:00:00,1.697,1.72,1.697,1.716
2022-01-01 11:00:00,1.714,1.721,1.714,1.717
2022-01-01 12:00:00,1.721,1.735,1.714,1.726
2022-01-01 13:00:00,1.73,1.733,1.719,1.721
2022-01-01 14:00:00,1.726,1.726,1.711,1.712
2022-01-01 15:00:00,1.715,1.741,1.715,1.738
2022-01-01 16:00:00,1.741,1.748,1.735,1.735
2022-01-01 17:00:00,1.733,1.744,1.73,1.74
2022-01-01 18:00:00,1.74,1.758,1.737,1.748
2022-01-01 19:00:00,1.75,1.755,1.731,1.75
2022-01-01 20:00:00,1.749,1.749,1.724,1.728
2022-01-01 21:00:00,1.727,1.729,1.725,1.726
2022-01-01 22:00:00,1.726,1.747,1.723,1.73
2022-01-01 23:00:00,1.73,1.737,1.696,1.703
2022-01-02 00:00:00,1.708,1.713,1.708,1.713
2022-01-02 01:00:00,1.709,1.713,1.708,1.713
2022-01-02 02:00:00,1.712,1.713,1.704,1.704
2022-01-02 03:00:00,1.703,1.73,1.692,1.73
2022-01-02 04:00:00,1.723,1.731,1.722,1.727
2022-01-02 05:00:00,1.725,1.729,1.723,1.724
2022-01-02 06:00:00,1.728,1.729,1.728,1.729
2022-01-02 07:00:00,1.723,1.729,1.714,1.729
2022-01-02 08:00:00,1.723,1.732,1.717,1.719
2022-01-02 09:00:00,1.725,1.725,1.716,1.721
2022-01-02 10:00:00,1.721,1.743,1.721,1.739
2022-01-02 11:00:00,1.741,1.758,1.739,1.757
2022-01-02 12:00:00,1.755,1.8,1.748,1.752
2022-01-02 13:00:00,1.752,1.758,1.723,1.744
2022-01-02 14:00:00,1.743,1.762,1.742,1.746
2022-01-02 15:00:00,1.743,1.759,1.737,1.753
2022-01-02 16:00:00,1.748,1.769,1.747,1.768
2022-01-02 17:00:00,1.765,1.772,1.755,1.761
2022-01-02 18:00:00,1.765,1.788,1.763,1.777
2022-01-02 19:00:00,1.776,1.828,1.753,1.753
2022-01-02 20:00:00,1.755,1.797,1.742,1.745
2022-01-02 21:00:00,1.742,1.742,1.706,1.719
2022-01-02 22:00:00,1.723,1.723,1.703,1.713
2022-01-02 23:00:00,1.712,1.723,1.708,1.713
2022-01-03 00:00:00,1.716,1.728,1.713,1.728
2022-01-03 01:00:00,1.721,1.722,1.714,1.714
2022-01-03 02:00:00,1.714,1.724,1.714,1.724
2022-01-03 03:00:00,1.725,1.728,1.721,1.725
2022-01-03 04:00:00,1.724,1.725,1.704,1.713
2022-01-03 05:00:00,1.715,1.731,1.705,1.725
2022-01-03 06:00:00,1.728,1.741,1.728,1.74
2022-01-03 07:00:00,1.737,1.749,1.722,1.722
2022-01-03 08:00:00,1.727,1.742,1.725,1.742
2022-01-03 09:00:00,1.737,1.747,1.725,1.725
2022-01-03 10:00:00,1.729,1.733,1.71,1.717
2022-01-03 11:00:00,1.719,1.726,1.678,1.69
