datetime,CTSIBUSD_open,CTSIBUSD_high,CTSIBUSD_low,CTSIBUSD_close
2022-01-01 00:00:00,0.6882,0.6998,0.6874,0.6966
2022-01-01 01:00:00,0.6964,0.6966,0.6928,0.6928
2022-01-01 02:00:00,0.6933,0.6983,0.6916,0.6983
2022-01-01 03:00:00,0.6968,0.6991,0.6946,0.695
2022-01-01 04:00:00,0.6944,0.6984,0.692,0.6932
2022-01-01 05:00:00,0.6947,0.6966,0.6866,0.6924
2022-01-01 06:00:00,0.6922,0.6931,0.6901,0.6909
2022-01-01 07:00:00,0.6909,0.6977,0.6909,0.6967
2022-01-01 08:00:00,0.6959,0.7,0.6948,0.6984
2022-01-01 09:00:00,0.6991,0.6992,0.6955,0.6959
2022-01-01 10:00:00,0.6956,0.7073,0.6953,0.7
2022-01-01 11:00:00,0.702,0.7055,0.7014,0.7014
2022-01-01 12:00:00,0.7015,0.7086,0.7006,0.7073
2022-01-01 13:00:00,0.7072,0.7116,0.7052,0.7081
2022-01-01 14:00:00,0.7093,0.7135,0.7093,0.7104
2022-01-01 15:00:00,0.7121,0.7184,0.7121,0.7139
2022-01-01 16:00:00,0.7139,0.7139,0.7087,0.7105
2022-01-01 17:00:00,0.7099,0.7115,0.7087,0.711
2022-01-01 18:00:00,0.71,0.7158,0.71,0.7158
2022-01-01 19:00:00,0.716,0.716,0.711,0.7121
2022-01-01 20:00:00,0.712,0.7128,0.7075,0.712
2022-01-01 21:00:00,0.7113,0.7113,0.7092,0.7096
2022-01-01 22:00:00,0.709,0.7108,0.7083,0.7083
2022-01-01 23:00:00,0.7077,0.7105,0.7011,0.7034
2022-01-02 00:00:00,0.7039,0.7065,0.7017,0.7058
2022-01-02 01:00:00,0.705,0.706,0.7048,0.7058
2022-01-02 02:00:00,0.705,0.7053,0.7021,0.7031
2022-01-02 03:00:00,0.7027,0.7101,0.7006,0.7086
2022-01-02 04:00:00,0.7097,0.7141,0.7087,0.7141
2022-01-02 05:00:00,0.7123,0.7167,0.7113,0.7113
2022-01-02 06:00:00,0.7111,0.7154,0.711,0.711
2022-01-02 07:00:00,0.7102,0.7127,0.707,0.7103
2022-01-02 08:00:00,0.7103,0.7108,0.708,0.7096
2022-01-02 09:00:00,0.7097,0.7101,0.7064,0.708
2022-01-02 10:00:00,0.7096,0.7131,0.7089,0.7117
2022-01-02 11:00:00,0.7128,0.7209,0.7122,0.7192
2022-01-02 12:00:00,0.7209,0.7218,0.7176,0.7176
2022-01-02 13:00:00,0.7176,0.7176,0.7044,0.7136
2022-01-02 14:00:00,0.7133,0.716,0.7098,0.7098
2022-01-02 15:00:00,0.7095,0.7127,0.7083,0.7116
2022-01-02 16:00:00,0.7112,0.7136,0.7082,0.7098
2022-01-02 17:00:00,0.7099,0.7119,0.7093,0.7107
2022-01-02 18:00:00,0.7109,0.7148,0.7109,0.7139
2022-01-02 19:00:00,0.7125,0.7126,0.7095,0.7107
2022-01-02 20:00:00,0.7107,0.7108,0.7052,0.7074
2022-01-02 21:00:00,0.7074,0.7074,0.7021,0.7021
2022-01-02 22:00:00,0.7027,0.704,0.6966,0.6998
2022-01-02 23:00:00,0.6985,0.7019,0.6982,0.7006
2022-01-03 00:00:00,0.6991,0.7032,0.6978,0.7029
2022-01-03 01:00:00,0.7022,0.7025,0.6992,0.7
2022-01-03 02:00:00,0.6991,0.7009,0.6964,0.7009
2022-01-03 03:00:00,0.7009,0.7015,0.6977,0.6988
2022-01-03 04:00:00,0.6985,0.6993,0.6947,0.6993
2022-01-03 05:00:00,0.6992,0.7053,0.6992,0.7038
2022-01-03 06:00:00,0.704,0.7108,0.7018,0.7095
2022-01-03 07:00:00,0.7083,0.7129,0.7072,0.7084
2022-01-03 08:00:00,0.7096,0.7145,0.7095,0.7125
2022-01-03 09:00:00,0.7114,0.7139,0.7063,0.7081
2022-01-03 10:00:00,0.7095,0.7095,0.7009,0.7022
2022-01-03 11:00:00,0.7022,0.7037,0.6903,0.6959
2022-01-03 12:00:00,0.696,0.7041,0.696,0.6986
2022-01-03 13:00:00,0.6998,0.7017,0.6961,0.6961
2022-01-03 14:00:00,0.6961,0.6982,0.6936,0.6936
2022-01-03 15:00:00,0.6931,0.6949,0.6813,0.6847
2022-01-03 16:00:00,0.6843,0.6902,0.6824,0.6871
2022-01-03 17:00:00,0.6861,0.6945,0.6861,0.6904
