datetime,CTXCBUSD_open,CTXCBUSD_high,CTXCBUSD_low,CTXCBUSD_close
2022-01-01 00:00:00,0.5092,0.5141,0.5065,0.5104
2022-01-01 01:00:00,0.5104,0.5119,0.5,0.5075
2022-01-01 02:00:00,0.5074,0.508,0.5015,0.5061
2022-01-01 03:00:00,0.5061,0.5145,0.504,0.5075
2022-01-01 04:00:00,0.5065,0.5065,0.4934,0.4953
2022-01-01 05:00:00,0.4963,0.4965,0.4851,0.4885
2022-01-01 06:00:00,0.4893,0.4931,0.4859,0.4873
2022-01-01 07:00:00,0.4896,0.4944,0.4838,0.484
2022-01-01 08:00:00,0.4854,0.49,0.4833,0.4888
2022-01-01 09:00:00,0.4896,0.4937,0.4895,0.4929
2022-01-01 10:00:00,0.4929,0.5233,0.4929,0.5155
2022-01-01 11:00:00,0.5155,0.5156,0.4989,0.5036
2022-01-01 12:00:00,0.5043,0.5126,0.4996,0.5054
2022-01-01 13:00:00,0.5054,0.5054,0.4966,0.5008
2022-01-01 14:00:00,0.5008,0.5042,0.4971,0.5016
2022-01-01 15:00:00,0.5016,0.5043,0.4992,0.4992
2022-01-01 16:00:00,0.4992,0.4998,0.493,0.4962
2022-01-01 17:00:00,0.4962,0.5001,0.495,0.4987
2022-01-01 18:00:00,0.4987,0.4991,0.4966,0.497
2022-01-01 19:00:00,0.498,0.498,0.4909,0.4918
2022-01-01 20:00:00,0.4918,0.4928,0.4869,0.49
2022-01-01 21:00:00,0.4897,0.494,0.4875,0.4893
2022-01-01 22:00:00,0.4887,0.49,0.4862,0.49
2022-01-01 23:00:00,0.4899,0.4965,0.4897,0.4902
2022-01-02 00:00:00,0.49,0.4925,0.4892,0.4894
2022-01-02 01:00:00,0.4896,0.491,0.4876,0.4907
2022-01-02 02:00:00,0.4898,0.4948,0.4883,0.4883
2022-01-02 03:00:00,0.4883,0.4896,0.4855,0.4891
2022-01-02 04:00:00,0.4871,0.49,0.4856,0.486
2022-01-02 05:00:00,0.4877,0.4886,0.4855,0.4865
2022-01-02 06:00:00,0.4878,0.4964,0.4878,0.4891
2022-01-02 07:00:00,0.4891,0.4909,0.4864,0.487
2022-01-02 08:00:00,0.487,0.4882,0.4825,0.4828
2022-01-02 09:00:00,0.4837,0.484,0.4786,0.4806
2022-01-02 10:00:00,0.4809,0.4809,0.4711,0.4758
2022-01-02 11:00:00,0.4747,0.4874,0.4747,0.4815
2022-01-02 12:00:00,0.4818,0.4845,0.4729,0.4735
2022-01-02 13:00:00,0.4737,0.4747,0.4656,0.4713
2022-01-02 14:00:00,0.4711,0.4725,0.468,0.47
