datetime,CVCUSD_open,CVCUSD_high,CVCUSD_low,CVCUSD_close
2022-01-01 00:00:00,0.3281,0.3521,0.3281,0.3477
2022-01-01 01:00:00,0.3476,0.3598,0.3418,0.3573
2022-01-01 02:00:00,0.3564,0.365,0.3501,0.3559
2022-01-01 03:00:00,0.3562,0.3645,0.3558,0.3576
2022-01-01 04:00:00,0.3577,0.3621,0.3526,0.356
2022-01-01 05:00:00,0.3569,0.3609,0.3559,0.3603
2022-01-01 06:00:00,0.3603,0.3603,0.3537,0.3549
2022-01-01 07:00:00,0.3546,0.3609,0.3546,0.3573
2022-01-01 08:00:00,0.3571,0.3584,0.3557,0.3557
2022-01-01 09:00:00,0.3556,0.3561,0.351,0.3531
2022-01-01 10:00:00,0.3531,0.3561,0.3497,0.3553
2022-01-01 11:00:00,0.3554,0.3574,0.3518,0.3518
2022-01-01 12:00:00,0.3521,0.357,0.3521,0.3563
2022-01-01 13:00:00,0.3569,0.3583,0.3551,0.3569
2022-01-01 14:00:00,0.3569,0.363,0.3569,0.3608
2022-01-01 15:00:00,0.36,0.3638,0.357,0.3628
2022-01-01 16:00:00,0.3623,0.3662,0.3623,0.3661
2022-01-01 17:00:00,0.3661,0.3691,0.3626,0.3645
2022-01-01 18:00:00,0.364,0.364,0.3609,0.3616
2022-01-01 19:00:00,0.3621,0.3622,0.3589,0.3611
2022-01-01 20:00:00,0.3611,0.3617,0.359,0.3599
2022-01-01 21:00:00,0.36,0.3613,0.3585,0.3613
2022-01-01 22:00:00,0.3613,0.3633,0.3594,0.3633
2022-01-01 23:00:00,0.3634,0.3671,0.3617,0.3671
2022-01-02 00:00:00,0.3672,0.3674,0.3579,0.358
2022-01-02 01:00:00,0.3586,0.3592,0.3554,0.3561
2022-01-02 02:00:00,0.3554,0.3582,0.355,0.3581
2022-01-02 03:00:00,0.3578,0.3683,0.3568,0.3575
2022-01-02 04:00:00,0.3579,0.3639,0.3537,0.3551
2022-01-02 05:00:00,0.3556,0.3574,0.3552,0.3564
2022-01-02 06:00:00,0.3566,0.3569,0.3559,0.3562
2022-01-02 07:00:00,0.3561,0.3578,0.3561,0.3578
2022-01-02 08:00:00,0.3579,0.3755,0.3548,0.3755
2022-01-02 09:00:00,0.3756,0.395,0.372,0.3901
2022-01-02 10:00:00,0.3906,0.3938,0.3798,0.3802
2022-01-02 11:00:00,0.3798,0.3851,0.3761,0.38
2022-01-02 12:00:00,0.3799,0.387,0.3795,0.3865
2022-01-02 13:00:00,0.3852,0.415,0.3831,0.4139
2022-01-02 14:00:00,0.4115,0.442,0.4054,0.4283
2022-01-02 15:00:00,0.428,0.4309,0.4034,0.4034
2022-01-02 16:00:00,0.4038,0.4126,0.4038,0.4078
2022-01-02 17:00:00,0.4071,0.4086,0.3964,0.4002
2022-01-02 18:00:00,0.4001,0.4069,0.3972,0.4022
2022-01-02 19:00:00,0.4029,0.4062,0.3979,0.3979
2022-01-02 20:00:00,0.3977,0.4048,0.3966,0.4013
2022-01-02 21:00:00,0.4012,0.4041,0.3989,0.4013
2022-01-02 22:00:00,0.4026,0.4096,0.4025,0.4083
2022-01-02 23:00:00,0.4071,0.4071,0.3939,0.3957
2022-01-03 00:00:00,0.3956,0.4154,0.3933,0.4034
2022-01-03 01:00:00,0.4036,0.4045,0.3967,0.4017
2022-01-03 02:00:00,0.401,0.405,0.3953,0.3971
2022-01-03 03:00:00,0.3976,0.4069,0.3939,0.3962
2022-01-03 04:00:00,0.3961,0.3999,0.3886,0.3891
2022-01-03 05:00:00,0.3885,0.39,0.3855,0.3886
2022-01-03 06:00:00,0.3886,0.3886,0.3844,0.3846
2022-01-03 07:00:00,0.3849,0.3876,0.3835,0.3861
2022-01-03 08:00:00,0.3862,0.3863,0.3804,0.3829
2022-01-03 09:00:00,0.3829,0.3829,0.3767,0.3783
2022-01-03 10:00:00,0.3796,0.3808,0.3774,0.3779
2022-01-03 11:00:00,0.3787,0.3807,0.3781,0.3794
2022-01-03 12:00:00,0.3788,0.3825,0.378,0.3816
2022-01-03 13:00:00,0.3814,0.3837,0.381,0.3811
2022-01-03 14:00:00,0.3814,0.3827,0.3787,0.38
2022-01-03 15:00:00,0.3809,0.3821,0.3788,0.3788
2022-01-03 16:00:00,0.379,0.3803,0.3674,0.3738
2022-01-03 17:00:00,0.3738,0.3758,0.3721,0.3744
2022-01-03 18:00:00,0.374,0.3748,0.3724,0.3735
2022-01-03 19:00:00,0.3749,0.3751,0.3706,0.3713
2022-01-03 20:00:00,0.3717,0.3717,0.3645,0.3682
2022-01-03 21:00:00,0.3683,0.3795,0.3675,0.3689
2022-01-03 22:00:00,0.3687,0.3738,0.3681,0.3721
2022-01-03 23:00:00,0.3728,0.376,0.3728,0.3742
2022-01-04 00:00:00,0.3749,0.3781,0.3672,0.3675
2022-01-04 01:00:00,0.3673,0.3709,0.3637,0.3637
2022-01-04 02:00:00,0.3641,0.3642,0.3589,0.3609
2022-01-04 03:00:00,0.3608,0.3642,0.3599,0.3636
2022-01-04 04:00:00,0.3618,0.3638,0.3594,0.3594
2022-01-04 05:00:00,0.3603,0.362,0.36,0.3617
2022-01-04 06:00:00,0.3611,0.3622,0.3602,0.3622
2022-01-04 07:00:00,0.3621,0.363,0.361,0.3627
2022-01-04 08:00:00,0.363,0.3649,0.3622,0.3625
2022-01-04 09:00:00,0.3628,0.3662,0.3628,0.3638
2022-01-04 10:00:00,0.3638,0.3669,0.3629,0.3669
2022-01-04 11:00:00,0.367,0.3676,0.3654,0.3669
2022-01-04 12:00:00,0.3669,0.3669,0.36,0.3634
2022-01-04 13:00:00,0.3626,0.3659,0.3607,0.3659
2022-01-04 14:00:00,0.366,0.369,0.3652,0.3682
2022-01-04 15:00:00,0.3688,0.3694,0.3641,0.3644
2022-01-04 16:00:00,0.364,0.3673,0.3635,0.3664
2022-01-04 17:00:00,0.3649,0.3675,0.3642,0.365
2022-01-04 18:00:00,0.365,0.3664,0.3549,0.3558
2022-01-04 19:00:00,0.3558,0.3613,0.3547,0.3592
2022-01-04 20:00:00,0.3597,0.3624,0.3582,0.3592
2022-01-04 21:00:00,0.3603,0.361,0.3581,0.3602
2022-01-04 22:00:00,0.3601,0.3608,0.3548,0.3589
2022-01-04 23:00:00,0.3591,0.3596,0.3558,0.3596
2022-01-05 00:00:00,0.3595,0.3721,0.3584,0.3662
2022-01-05 01:00:00,0.3661,0.3693,0.3634,0.3653
2022-01-05 02:00:00,0.3659,0.3687,0.3657,0.3672
2022-01-05 03:00:00,0.3677,0.3677,0.366,0.3674
2022-01-05 04:00:00,0.3667,0.3735,0.3667,0.3729
2022-01-05 05:00:00,0.372,0.372,0.3682,0.3691
2022-01-05 06:00:00,0.3692,0.3734,0.3687,0.3734
2022-01-05 07:00:00,0.3717,0.373,0.3698,0.373
2022-01-05 08:00:00,0.3718,0.3742,0.3697,0.3716
2022-01-05 09:00:00,0.3716,0.375,0.3716,0.375
2022-01-05 10:00:00,0.375,0.3781,0.3715,0.3744
2022-01-05 11:00:00,0.3743,0.3743,0.364,0.3714
2022-01-05 12:00:00,0.3715,0.3937,0.3669,0.3738
2022-01-05 13:00:00,0.3739,0.3774,0.3707,0.3764
2022-01-05 14:00:00,0.3764,0.3797,0.3743,0.378
2022-01-05 15:00:00,0.3781,0.3787,0.3738,0.3773
2022-01-05 16:00:00,0.3765,0.3782,0.3716,0.3732
2022-01-05 17:00:00,0.3731,0.3747,0.3652,0.3652
2022-01-05 18:00:00,0.3658,0.37,0.362,0.3665
2022-01-05 19:00:00,0.3664,0.3682,0.3425,0.3461
2022-01-05 20:00:00,0.3466,0.3488,0.3346,0.3409
2022-01-05 21:00:00,0.3408,0.3451,0.3357,0.3365
2022-01-05 22:00:00,0.3366,0.3381,0.3127,0.3331
2022-01-05 23:00:00,0.3329,0.3366,0.3297,0.3313
2022-01-06 00:00:00,0.3302,0.3342,0.329,0.3323
2022-01-06 01:00:00,0.3327,0.3335,0.3236,0.3258
2022-01-06 02:00:00,0.3251,0.3342,0.3226,0.3239
2022-01-06 03:00:00,0.3234,0.3266,0.3195,0.3195
2022-01-06 04:00:00,0.321,0.326,0.3181,0.3245
2022-01-06 05:00:00,0.3245,0.3263,0.3202,0.323
2022-01-06 06:00:00,0.3226,0.3252,0.3206,0.3223
2022-01-06 07:00:00,0.322,0.3262,0.322,0.3251
2022-01-06 08:00:00,0.3257,0.3279,0.3179,0.3224
2022-01-06 09:00:00,0.3221,0.3221,0.314,0.3163
2022-01-06 10:00:00,0.3169,0.3232,0.3167,0.3225
2022-01-06 11:00:00,0.322,0.3224,0.3174,0.3208
2022-01-06 12:00:00,0.3211,0.3237,0.3181,0.3232
