datetime,CVPBUSD_open,CVPBUSD_high,CVPBUSD_low,CVPBUSD_close
2022-01-01 00:00:00,1.371,1.396,1.371,1.385
2022-01-01 01:00:00,1.379,1.379,1.374,1.374
2022-01-01 02:00:00,1.373,1.378,1.372,1.378
2022-01-01 03:00:00,1.378,1.388,1.376,1.377
2022-01-01 04:00:00,1.378,1.382,1.371,1.378
2022-01-01 05:00:00,1.375,1.384,1.369,1.379
2022-01-01 06:00:00,1.379,1.384,1.378,1.381
2022-01-01 07:00:00,1.383,1.396,1.383,1.39
2022-01-01 08:00:00,1.386,1.39,1.384,1.388
2022-01-01 09:00:00,1.39,1.424,1.385,1.392
2022-01-01 10:00:00,1.39,1.407,1.385,1.391
2022-01-01 11:00:00,1.393,1.403,1.393,1.399
2022-01-01 12:00:00,1.395,1.407,1.389,1.407
2022-01-01 13:00:00,1.405,1.414,1.399,1.401
2022-01-01 14:00:00,1.402,1.402,1.392,1.396
2022-01-01 15:00:00,1.396,1.415,1.394,1.413
2022-01-01 16:00:00,1.414,1.418,1.401,1.407
2022-01-01 17:00:00,1.404,1.408,1.397,1.402
2022-01-01 18:00:00,1.397,1.413,1.395,1.413
2022-01-01 19:00:00,1.412,1.412,1.4,1.402
2022-01-01 20:00:00,1.401,1.401,1.398,1.4
2022-01-01 21:00:00,1.399,1.4,1.399,1.4
2022-01-01 22:00:00,1.398,1.41,1.394,1.405
2022-01-01 23:00:00,1.41,1.41,1.374,1.39
2022-01-02 00:00:00,1.389,1.396,1.387,1.396
2022-01-02 01:00:00,1.398,1.398,1.39,1.39
2022-01-02 02:00:00,1.391,1.401,1.388,1.397
2022-01-02 03:00:00,1.391,1.407,1.391,1.402
2022-01-02 04:00:00,1.405,1.417,1.399,1.4
2022-01-02 05:00:00,1.4,1.411,1.397,1.397
2022-01-02 06:00:00,1.397,1.411,1.397,1.409
2022-01-02 07:00:00,1.408,1.422,1.396,1.414
2022-01-02 08:00:00,1.414,1.442,1.404,1.407
2022-01-02 09:00:00,1.408,1.412,1.393,1.409
2022-01-02 10:00:00,1.409,1.507,1.408,1.451
2022-01-02 11:00:00,1.453,1.471,1.452,1.459
2022-01-02 12:00:00,1.461,1.474,1.448,1.456
2022-01-02 13:00:00,1.456,1.464,1.447,1.458
2022-01-02 14:00:00,1.455,1.463,1.455,1.457
2022-01-02 15:00:00,1.462,1.467,1.458,1.463
2022-01-02 16:00:00,1.465,1.499,1.464,1.471
2022-01-02 17:00:00,1.478,1.488,1.468,1.488
2022-01-02 18:00:00,1.489,1.495,1.479,1.479
2022-01-02 19:00:00,1.487,1.487,1.467,1.474
2022-01-02 20:00:00,1.47,1.47,1.458,1.464
2022-01-02 21:00:00,1.464,1.464,1.459,1.459
2022-01-02 22:00:00,1.464,1.502,1.464,1.485
2022-01-02 23:00:00,1.486,1.523,1.471,1.471
2022-01-03 00:00:00,1.472,1.476,1.457,1.471
2022-01-03 01:00:00,1.475,1.475,1.466,1.47
2022-01-03 02:00:00,1.464,1.465,1.458,1.463
2022-01-03 03:00:00,1.461,1.658,1.461,1.546
2022-01-03 04:00:00,1.546,1.585,1.507,1.529
2022-01-03 05:00:00,1.529,1.68,1.529,1.622
2022-01-03 06:00:00,1.62,1.693,1.581,1.591
2022-01-03 07:00:00,1.592,1.656,1.579,1.605
2022-01-03 08:00:00,1.608,1.62,1.578,1.589
2022-01-03 09:00:00,1.591,1.625,1.57,1.575
2022-01-03 10:00:00,1.578,1.587,1.56,1.571
2022-01-03 11:00:00,1.575,1.615,1.555,1.555
2022-01-03 12:00:00,1.56,1.581,1.543,1.545
2022-01-03 13:00:00,1.544,1.559,1.53,1.541
2022-01-03 14:00:00,1.538,1.54,1.521,1.531
2022-01-03 15:00:00,1.525,1.528,1.507,1.515
2022-01-03 16:00:00,1.516,1.531,1.511,1.523
2022-01-03 17:00:00,1.528,1.544,1.528,1.528
2022-01-03 18:00:00,1.531,1.548,1.531,1.538
2022-01-03 19:00:00,1.536,1.545,1.523,1.523
2022-01-03 20:00:00,1.52,1.525,1.511,1.512
2022-01-03 21:00:00,1.51,1.512,1.505,1.512
2022-01-03 22:00:00,1.512,1.521,1.512,1.521
2022-01-03 23:00:00,1.522,1.524,1.501,1.506
2022-01-04 00:00:00,1.506,1.513,1.502,1.504
2022-01-04 01:00:00,1.503,1.521,1.5,1.52
2022-01-04 02:00:00,1.522,1.527,1.519,1.527
2022-01-04 03:00:00,1.524,1.529,1.511,1.511
2022-01-04 04:00:00,1.515,1.521,1.509,1.51
2022-01-04 05:00:00,1.514,1.522,1.508,1.517
2022-01-04 06:00:00,1.514,1.522,1.51,1.512
2022-01-04 07:00:00,1.512,1.512,1.5,1.503
2022-01-04 08:00:00,1.505,1.514,1.501,1.51
2022-01-04 09:00:00,1.511,1.52,1.5,1.516
2022-01-04 10:00:00,1.516,1.518,1.5,1.5
2022-01-04 11:00:00,1.5,1.512,1.491,1.509
2022-01-04 12:00:00,1.51,1.559,1.506,1.519
2022-01-04 13:00:00,1.518,1.528,1.473,1.477
2022-01-04 14:00:00,1.477,1.524,1.476,1.521
2022-01-04 15:00:00,1.516,1.52,1.507,1.515
2022-01-04 16:00:00,1.511,1.511,1.509,1.51
2022-01-04 17:00:00,1.513,1.519,1.506,1.513
2022-01-04 18:00:00,1.514,1.514,1.48,1.481
2022-01-04 19:00:00,1.489,1.505,1.484,1.501
2022-01-04 20:00:00,1.501,1.501,1.496,1.499
2022-01-04 21:00:00,1.499,1.509,1.499,1.509
2022-01-04 22:00:00,1.509,1.513,1.504,1.511
2022-01-04 23:00:00,1.508,1.51,1.508,1.51
2022-01-05 00:00:00,1.506,1.524,1.496,1.507
2022-01-05 01:00:00,1.502,1.506,1.501,1.502
2022-01-05 02:00:00,1.502,1.507,1.501,1.507
2022-01-05 03:00:00,1.505,1.508,1.5,1.501
2022-01-05 04:00:00,1.507,1.512,1.504,1.505
2022-01-05 05:00:00,1.505,1.507,1.499,1.507
2022-01-05 06:00:00,1.503,1.518,1.482,1.488
2022-01-05 07:00:00,1.488,1.498,1.483,1.498
2022-01-05 08:00:00,1.498,1.527,1.497,1.523
2022-01-05 09:00:00,1.52,1.558,1.517,1.543
2022-01-05 10:00:00,1.543,1.55,1.517,1.52
2022-01-05 11:00:00,1.52,1.523,1.517,1.517
2022-01-05 12:00:00,1.52,1.525,1.504,1.517
2022-01-05 13:00:00,1.514,1.515,1.496,1.507
2022-01-05 14:00:00,1.506,1.506,1.451,1.452
2022-01-05 15:00:00,1.452,1.455,1.422,1.428
2022-01-05 16:00:00,1.429,1.45,1.402,1.428
2022-01-05 17:00:00,1.427,1.427,1.35,1.392
2022-01-05 18:00:00,1.39,1.403,1.382,1.386
2022-01-05 19:00:00,1.385,1.394,1.379,1.391
2022-01-05 20:00:00,1.391,1.411,1.376,1.401
2022-01-05 21:00:00,1.404,1.404,1.381,1.381
2022-01-05 22:00:00,1.381,1.391,1.345,1.345
2022-01-05 23:00:00,1.345,1.357,1.328,1.348
2022-01-06 00:00:00,1.348,1.359,1.341,1.35
2022-01-06 01:00:00,1.348,1.351,1.336,1.336
2022-01-06 02:00:00,1.345,1.359,1.344,1.359
2022-01-06 03:00:00,1.354,1.354,1.331,1.335
2022-01-06 04:00:00,1.334,1.335,1.313,1.315
2022-01-06 05:00:00,1.316,1.336,1.309,1.335
2022-01-06 06:00:00,1.334,1.335,1.326,1.331
2022-01-06 07:00:00,1.33,1.336,1.326,1.336
2022-01-06 08:00:00,1.337,1.358,1.337,1.35
2022-01-06 09:00:00,1.352,1.36,1.341,1.352
2022-01-06 10:00:00,1.347,1.347,1.325,1.342
2022-01-06 11:00:00,1.342,1.347,1.333,1.342
2022-01-06 12:00:00,1.342,1.349,1.339,1.342
2022-01-06 13:00:00,1.346,1.364,1.345,1.357
2022-01-06 14:00:00,1.363,1.368,1.357,1.364
2022-01-06 15:00:00,1.363,1.369,1.353,1.356
2022-01-06 16:00:00,1.356,1.383,1.354,1.36
2022-01-06 17:00:00,1.362,1.365,1.358,1.359
2022-01-06 18:00:00,1.363,1.369,1.359,1.365
2022-01-06 19:00:00,1.359,1.359,1.345,1.345
2022-01-06 20:00:00,1.342,1.35,1.341,1.35
2022-01-06 21:00:00,1.348,1.348,1.348,1.348
2022-01-06 22:00:00,1.347,1.347,1.306,1.312
2022-01-06 23:00:00,1.306,1.306,1.265,1.287
2022-01-07 00:00:00,1.289,1.31,1.288,1.305
2022-01-07 01:00:00,1.301,1.301,1.276,1.278
2022-01-07 02:00:00,1.28,1.301,1.267,1.296
2022-01-07 03:00:00,1.301,1.324,1.301,1.31
2022-01-07 04:00:00,1.311,1.331,1.311,1.323
2022-01-07 05:00:00,1.324,1.343,1.317,1.337
2022-01-07 06:00:00,1.335,1.34,1.329,1.336
2022-01-07 07:00:00,1.339,1.354,1.334,1.334
2022-01-07 08:00:00,1.336,1.342,1.279,1.3
2022-01-07 09:00:00,1.3,1.328,1.3,1.32
2022-01-07 10:00:00,1.32,1.32,1.283,1.298
2022-01-07 11:00:00,1.298,1.335,1.283,1.335
2022-01-07 12:00:00,1.332,1.337,1.312,1.321
2022-01-07 13:00:00,1.321,1.321,1.304,1.305
2022-01-07 14:00:00,1.308,1.314,1.3,1.314
2022-01-07 15:00:00,1.315,1.326,1.31,1.316
2022-01-07 16:00:00,1.317,1.317,1.311,1.314
2022-01-07 17:00:00,1.314,1.314,1.281,1.281
2022-01-07 18:00:00,1.282,1.284,1.272,1.277
2022-01-07 19:00:00,1.279,1.294,1.276,1.292
2022-01-07 20:00:00,1.292,1.302,1.291,1.291
2022-01-07 21:00:00,1.291,1.291,1.277,1.284
2022-01-07 22:00:00,1.284,1.31,1.283,1.308
2022-01-07 23:00:00,1.305,1.305,1.284,1.292
2022-01-08 00:00:00,1.291,1.296,1.291,1.291
2022-01-08 01:00:00,1.291,1.318,1.286,1.316
2022-01-08 02:00:00,1.312,1.312,1.291,1.295
2022-01-08 03:00:00,1.298,1.307,1.284,1.286
2022-01-08 04:00:00,1.291,1.299,1.291,1.296
2022-01-08 05:00:00,1.294,1.299,1.291,1.292
2022-01-08 06:00:00,1.293,1.297,1.29,1.297
2022-01-08 07:00:00,1.296,1.297,1.291,1.292
2022-01-08 08:00:00,1.292,1.299,1.273,1.287
2022-01-08 09:00:00,1.286,1.286,1.279,1.279
2022-01-08 10:00:00,1.277,1.277,1.263,1.268
2022-01-08 11:00:00,1.268,1.269,1.24,1.243
2022-01-08 12:00:00,1.241,1.241,1.197,1.2
2022-01-08 13:00:00,1.202,1.218,1.17,1.184
2022-01-08 14:00:00,1.182,1.2,1.18,1.19
2022-01-08 15:00:00,1.19,1.201,1.184,1.185
2022-01-08 16:00:00,1.19,1.286,1.19,1.216
2022-01-08 17:00:00,1.219,1.238,1.219,1.23
2022-01-08 18:00:00,1.226,1.227,1.219,1.219
2022-01-08 19:00:00,1.217,1.246,1.206,1.237
2022-01-08 20:00:00,1.235,1.242,1.218,1.218
2022-01-08 21:00:00,1.221,1.231,1.221,1.231
2022-01-08 22:00:00,1.231,1.231,1.223,1.223
2022-01-08 23:00:00,1.223,1.231,1.223,1.231
2022-01-09 00:00:00,1.232,1.233,1.22,1.22
2022-01-09 01:00:00,1.218,1.228,1.217,1.227
2022-01-09 02:00:00,1.227,1.232,1.227,1.229
2022-01-09 03:00:00,1.23,1.235,1.22,1.22
2022-01-09 04:00:00,1.221,1.221,1.213,1.217
2022-01-09 05:00:00,1.216,1.222,1.208,1.215
2022-01-09 06:00:00,1.214,1.227,1.214,1.224
2022-01-09 07:00:00,1.224,1.224,1.217,1.22
2022-01-09 08:00:00,1.219,1.223,1.206,1.206
2022-01-09 09:00:00,1.207,1.213,1.206,1.211
2022-01-09 10:00:00,1.211,1.212,1.2,1.211
2022-01-09 11:00:00,1.211,1.246,1.21,1.236
2022-01-09 12:00:00,1.236,1.27,1.235,1.26
2022-01-09 13:00:00,1.26,1.26,1.24,1.242
2022-01-09 14:00:00,1.242,1.258,1.241,1.256
2022-01-09 15:00:00,1.256,1.272,1.249,1.257
2022-01-09 16:00:00,1.256,1.256,1.241,1.241
2022-01-09 17:00:00,1.241,1.25,1.24,1.25
2022-01-09 18:00:00,1.241,1.322,1.231,1.288
2022-01-09 19:00:00,1.287,1.304,1.257,1.258
2022-01-09 20:00:00,1.258,1.277,1.256,1.277
2022-01-09 21:00:00,1.278,1.318,1.266,1.266
2022-01-09 22:00:00,1.266,1.266,1.252,1.252
2022-01-09 23:00:00,1.255,1.267,1.255,1.266
2022-01-10 00:00:00,1.266,1.32,1.266,1.32
2022-01-10 01:00:00,1.316,1.32,1.278,1.282
2022-01-10 02:00:00,1.283,1.287,1.27,1.271
2022-01-10 03:00:00,1.273,1.273,1.261,1.262
2022-01-10 04:00:00,1.261,1.262,1.249,1.253
2022-01-10 05:00:00,1.253,1.293,1.248,1.256
2022-01-10 06:00:00,1.255,1.255,1.234,1.24
2022-01-10 07:00:00,1.238,1.248,1.21,1.21
2022-01-10 08:00:00,1.21,1.216,1.191,1.191
2022-01-10 09:00:00,1.194,1.3,1.17,1.246
2022-01-10 10:00:00,1.246,1.365,1.236,1.266
2022-01-10 11:00:00,1.262,1.301,1.252,1.287
2022-01-10 12:00:00,1.282,1.288,1.227,1.242
2022-01-10 13:00:00,1.242,1.274,1.239,1.26
2022-01-10 14:00:00,1.257,1.314,1.245,1.245
2022-01-10 15:00:00,1.245,1.267,1.239,1.262
2022-01-10 16:00:00,1.26,1.265,1.252,1.252
2022-01-10 17:00:00,1.253,1.262,1.247,1.247
2022-01-10 18:00:00,1.251,1.256,1.235,1.249
2022-01-10 19:00:00,1.244,1.244,1.234,1.235
2022-01-10 20:00:00,1.233,1.244,1.232,1.243
2022-01-10 21:00:00,1.242,1.3,1.241,1.278
2022-01-10 22:00:00,1.275,1.291,1.274,1.286
2022-01-10 23:00:00,1.289,1.289,1.275,1.275
2022-01-11 00:00:00,1.275,1.33,1.273,1.3
